
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,15,5,-5,-1,-2,-6,96,62,35,1022,1020,1017,16,12,6,11,2,,0.00,3,Fog,191<br />
2000-1-2,18,13,8,13,10,-2,96,75,48,1017,1014,1012,16,14,6,47,16,60,7.11,7,Rain,215<br />
2000-1-3,16,14,13,15,13,11,100,91,81,1015,1009,1004,16,9,1,39,14,50,79.25,8,Fog-Rain,191<br />
2000-1-4,14,7,-1,13,0,-8,94,73,57,1024,1013,1003,16,16,11,34,23,42,0.00,8,Rain-Snow,274<br />
2000-1-5,1,-1,-4,-6,-8,-9,81,63,52,1031,1029,1024,16,16,16,23,13,,0.00,6,,271<br />
2000-1-6,8,1,-6,-3,-5,-8,85,67,41,1029,1027,1026,16,16,14,23,8,34,0.00,1,,223<br />
2000-1-7,6,1,-4,-2,-5,-9,91,62,35,1032,1029,1026,16,16,16,24,10,,0.00,2,,265<br />
2000-1-8,4,-2,-7,-1,-5,-8,92,77,53,1030,1025,1019,16,16,13,13,3,,0.00,3,,218<br />
2000-1-9,8,4,0,6,0,-2,100,69,53,1018,1011,1007,16,7,0,8,2,,0.00,8,Fog-Rain,208<br />
2000-1-10,12,9,6,9,3,-3,100,65,41,1006,1002,997,16,14,3,39,18,60,0.00,5,,217<br />
2000-1-11,11,5,-1,-2,-6,-10,72,44,29,1023,1013,1003,16,16,16,40,24,55,0.00,2,,265<br />
2000-1-12,15,4,-6,0,-4,-7,92,57,33,1025,1019,1010,16,16,5,32,5,40,3.30,3,Rain,108<br />
2000-1-13,13,6,-3,-1,-3,-8,69,57,36,1040,1023,1009,16,15,6,35,18,52,2.03,6,Rain-Snow,302<br />
2000-1-14,-1,-4,-8,-7,-11,-14,81,62,37,1045,1042,1038,16,16,16,13,8,,0.00,2,,97<br />
2000-1-15,11,3,-5,-4,-7,-11,68,50,28,1037,1029,1022,16,16,16,27,11,,0.00,3,,209<br />
2000-1-16,13,6,-2,4,-3,-10,61,50,26,1037,1027,1022,16,16,14,29,23,40,0.00,3,,327<br />
2000-1-17,-1,-4,-7,-6,-11,-16,88,58,32,1038,1033,1025,16,12,2,27,16,35,0.76,5,Rain-Snow,87<br />
2000-1-18,0,-2,-4,-3,-5,-7,96,87,79,1024,1021,1019,16,9,3,19,8,,0.25,8,Rain-Snow,355<br />
2000-1-19,1,-3,-7,-2,-3,-8,96,87,72,1022,1013,1003,16,7,1,19,8,,4.06,5,Fog-Snow,142<br />
2000-1-20,0,-6,-11,-1,-7,-17,96,76,59,1023,1012,1002,16,12,2,29,13,42,0.76,7,Snow,297<br />
2000-1-21,-8,-12,-17,-17,-18,-21,80,63,41,1026,1025,1023,16,16,16,24,14,,0.00,0,,282<br />
2000-1-22,-3,-9,-14,-4,-9,-17,89,80,62,1025,1020,1015,16,8,1,10,5,,3.30,8,Fog-Snow,106<br />
2000-1-23,0,-3,-6,-3,-4,-12,93,84,62,1023,1018,1016,16,9,2,21,5,29,0.00,8,,265<br />
2000-1-24,-6,-10,-16,-14,-17,-19,84,64,50,1026,1024,1021,16,16,11,19,10,,0.00,1,Snow,15<br />
2000-1-25,-5,-11,-18,-8,-13,-20,92,80,50,1020,1016,1013,16,8,1,19,6,27,0.00,7,Snow,335<br />
2000-1-26,-6,-9,-13,-9,-16,-18,75,57,46,1030,1025,1017,16,16,14,19,14,34,0.00,1,,352<br />
2000-1-27,-7,-13,-20,-17,-18,-22,88,69,44,1039,1035,1030,16,15,10,11,3,,0.00,0,,72<br />
2000-1-28,-4,-11,-19,-13,-17,-23,87,70,49,1041,1039,1037,16,14,8,19,6,,0.00,0,,50<br />
2000-1-29,-2,-5,-8,-3,-7,-13,100,77,43,1037,1029,1025,16,9,1,21,10,,3.05,8,Rain-Snow,55<br />
2000-1-30,1,-1,-4,-1,-3,-9,100,83,61,1024,1022,1020,16,9,2,27,10,40,0.25,8,Snow,250<br />
2000-1-31,1,-2,-4,-6,-7,-13,81,68,50,1021,1020,1018,16,12,2,27,21,39,0.00,5,Snow,241<br />
2000-2-1,1,-1,-3,-5,-7,-9,81,65,56,1028,1022,1018,16,14,4,24,14,29,0.00,8,Snow,274<br />
2000-2-2,1,-3,-8,-7,-9,-11,88,66,52,1032,1028,1020,16,16,11,21,11,,0.00,2,,225<br />
2000-2-3,6,2,-1,-1,-3,-7,93,72,59,1018,1011,1008,16,11,1,32,18,45,0.76,7,Rain-Snow,225<br />
2000-2-4,1,0,-1,-3,-4,-6,82,75,64,1025,1017,1012,16,10,3,27,18,27,0.00,8,Snow,282<br />
2000-2-5,2,-2,-6,-6,-7,-9,82,65,48,1030,1028,1025,16,15,6,24,14,,0.00,2,Snow,273<br />
2000-2-6,4,-2,-7,-3,-6,-8,89,73,55,1032,1029,1024,16,13,6,14,5,,0.00,2,,213<br />
2000-2-7,9,2,-4,-2,-3,-6,92,71,46,1030,1025,1023,16,13,5,14,5,,0.00,0,,321<br />
2000-2-8,8,1,-6,-3,-5,-7,96,77,42,1033,1029,1025,16,10,3,10,2,,0.00,0,,63<br />
2000-2-9,15,5,-5,0,-2,-6,96,71,35,1025,1020,1016,16,12,3,24,5,35,0.00,2,,218<br />
2000-2-10,17,8,0,9,2,-2,85,66,39,1016,1010,1004,16,16,14,21,5,,0.51,5,Rain,223<br />
2000-2-11,13,7,0,11,1,-4,93,79,67,1024,1017,1006,16,11,5,23,14,37,0.00,8,Rain,358<br />
2000-2-12,7,2,-2,-3,-5,-7,85,66,39,1024,1022,1018,16,16,16,23,14,,0.00,3,,60<br />
2000-2-13,11,4,-2,10,4,-4,100,93,81,1018,1009,1001,16,5,1,14,3,,50.04,8,Fog-Rain-Thunderstorm,222<br />
2000-2-14,6,3,0,4,-1,-3,93,82,70,1022,1012,1001,16,10,3,21,11,,2.03,8,Rain-Snow,312<br />
2000-2-15,8,4,1,2,-2,-4,79,68,54,1027,1023,1014,16,16,14,23,10,,0.00,6,,188<br />
2000-2-16,11,6,-1,3,-2,-6,71,63,56,1033,1024,1014,16,15,10,23,14,35,0.00,7,,324<br />
2000-2-17,6,1,-4,0,-5,-7,92,67,41,1035,1030,1023,16,15,10,16,6,27,4.83,3,Rain,69<br />
2000-2-18,11,6,1,10,6,0,100,94,87,1022,1010,1007,16,6,1,21,10,29,66.55,8,Rain-Thunderstorm,3<br />
2000-2-19,3,2,1,2,-2,-4,92,79,67,1028,1023,1014,16,12,5,19,14,26,0.00,8,Rain,315<br />
2000-2-20,6,2,-2,-1,-3,-5,92,70,53,1031,1030,1028,16,15,4,24,13,35,0.00,7,,258<br />
2000-2-21,12,3,-5,0,-3,-6,100,72,35,1035,1032,1028,16,10,0,16,3,,0.00,3,Fog,209<br />
2000-2-22,8,6,5,4,3,1,89,81,73,1028,1028,1028,16,15,5,10,6,,2.54,8,Rain,207<br />
2000-5-3,28,22,18,17,17,16,96,76,64,1022,1020,1019,16,14,5,19,5,,2.54,8,Rain,242<br />
2000-5-4,27,22,17,19,18,16,100,83,56,1022,1021,1020,16,12,5,23,10,,2.29,3,Rain,210<br />
2000-5-5,29,21,14,19,17,14,100,83,49,1024,1022,1020,16,8,0,19,6,,0.00,2,Fog,237<br />
2000-5-6,30,21,14,21,17,13,100,83,43,1022,1020,1018,16,9,0,39,6,55,7.87,3,Fog-Rain-Thunderstorm,203<br />
2000-5-7,29,22,16,20,17,14,100,82,47,1018,1016,1013,16,9,0,27,5,39,1.02,2,Fog-Rain,223<br />
2000-5-8,29,24,19,21,19,17,100,75,55,1013,1010,1007,16,14,5,32,13,47,0.25,4,,217<br />
2000-5-9,29,24,21,21,18,16,86,72,52,1009,1007,1003,16,16,14,34,19,71,0.51,6,Rain-Thunderstorm,212<br />
2000-5-10,22,17,11,18,10,4,97,64,31,1015,1010,1004,16,16,14,35,16,47,0.76,4,Rain-Thunderstorm,281<br />
2000-5-11,27,19,11,19,12,8,93,64,36,1015,1011,1005,16,16,16,24,8,34,0.00,2,,191<br />
2000-5-12,29,26,24,21,19,18,72,67,60,1007,1006,1005,16,15,11,34,21,40,0.00,7,,218<br />
2000-5-13,25,20,14,19,14,4,100,74,33,1019,1011,1006,16,13,3,32,14,45,18.03,5,Rain-Thunderstorm,275<br />
2000-5-14,18,12,7,6,3,2,89,53,34,1025,1023,1020,16,16,16,21,10,29,0.00,0,,299<br />
2000-5-15,22,13,5,8,5,0,100,64,26,1025,1023,1021,16,14,3,16,3,32,0.00,1,Fog,268<br />
2000-5-16,23,14,6,14,8,6,100,68,37,1022,1019,1015,16,15,5,23,5,34,1.52,4,Fog-Rain-Thunderstorm,190<br />
2000-5-17,26,18,12,18,14,12,100,89,52,1017,1015,1012,16,9,0,24,6,34,9.14,5,Fog-Rain-Thunderstorm,201<br />
2000-5-18,28,22,17,18,16,14,93,66,47,1014,1012,1011,16,14,6,32,14,40,0.00,3,Rain-Thunderstorm,226<br />
2000-5-19,27,22,17,19,17,12,78,69,58,1016,1013,1011,16,16,13,39,16,50,0.00,6,,256<br />
2000-5-20,17,14,13,13,12,11,100,85,72,1019,1018,1016,16,12,3,14,10,,0.51,8,Rain,338<br />
2000-5-21,22,17,13,13,12,9,100,82,52,1018,1016,1013,16,9,3,10,3,,0.25,7,Rain,27<br />
2000-5-22,24,17,12,16,13,11,97,78,51,1013,1011,1008,16,12,2,26,6,,3.81,5,Rain,211<br />
2000-5-23,26,21,17,19,18,16,96,83,66,1007,1003,1001,16,14,5,29,14,35,4.32,6,Rain,216<br />
2000-5-24,31,23,16,19,16,9,100,67,33,1004,1003,1002,16,14,5,26,10,39,0.00,2,Fog,227<br />
2000-5-25,24,19,13,13,9,6,87,52,32,1013,1010,1004,16,16,16,16,8,,0.00,2,,280<br />
2000-5-26,24,17,9,14,11,8,97,69,41,1016,1015,1012,16,16,11,19,3,,0.00,1,Fog-Rain,149<br />
2000-5-27,25,21,17,22,19,11,100,92,53,1013,1010,1009,16,9,1,16,6,,54.10,7,Fog-Rain-Thunderstorm,166<br />
2000-5-28,23,19,17,20,17,13,100,88,61,1010,1007,1006,16,10,1,27,10,35,6.10,6,Rain,243<br />
2000-5-29,20,17,14,15,13,11,97,78,68,1018,1014,1010,16,15,6,23,11,32,0.76,7,Rain,23<br />
2000-5-30,23,17,12,17,15,12,100,87,66,1021,1019,1017,16,9,0,21,5,,0.00,4,Fog,184<br />
2000-5-31,30,22,15,21,18,15,100,80,57,1020,1019,1017,16,12,4,23,6,29,0.00,1,Fog,226<br />
2000-6-9,21,,21,17,17,17,78,78,78,1018,1018,1018,16,16,16,13,13,,0.00,0,,210<br />
2000-6-10,32,27,23,21,20,18,81,59,48,1019,1018,1017,16,15,11,23,16,,0.00,0,,210<br />
2000-6-11,33,26,19,22,21,18,100,71,48,1021,1019,1017,16,12,5,19,6,,0.00,2,,250<br />
2000-6-12,33,28,23,23,22,19,97,77,49,1021,1019,1016,14,11,5,21,6,,0.51,3,Rain,232<br />
2000-6-13,32,27,21,23,21,19,100,77,51,1017,1016,1014,16,13,8,34,6,42,0.00,2,,239<br />
2000-6-14,32,27,21,24,22,20,100,87,53,1015,1013,1010,16,11,1,34,10,69,8.64,4,Rain,211<br />
2000-6-15,28,24,21,21,20,18,96,82,60,1012,1010,1008,16,13,1,27,18,37,10.67,5,Rain,220<br />
2000-6-16,31,25,20,24,22,19,100,88,65,1015,1011,1009,16,11,1,29,19,60,32.26,6,Fog-Rain-Thunderstorm,216<br />
2000-6-17,24,22,20,21,21,19,100,93,83,1019,1017,1014,16,14,2,16,8,,14.48,6,Rain,197<br />
