
GET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,13,10,7,4,3,1,71,63,47,1023,1019,1018,10,10,10,50,31,68,0.00,3,,301<br />
2001-1-2,9,6,3,5,3,1,100,86,66,1024,1022,1020,10,5,0,14,6,,0.00,6,Fog,74<br />
2001-1-3,11,6,0,4,1,-4,93,73,54,1024,1022,1020,10,8,3,18,8,,0.00,5,,310<br />
2001-1-4,12,6,-1,4,-1,-4,93,71,44,1023,1021,1020,10,7,4,6,3,,0.00,5,,317<br />
2001-1-5,9,4,1,3,1,-2,100,81,66,1024,1021,1020,10,8,0,18,8,,0.00,4,Fog,111<br />
2001-1-6,4,3,3,3,1,-1,100,84,70,1026,1025,1024,5,4,3,11,6,,0.00,8,,256<br />
2001-1-7,7,3,0,0,-2,-5,93,71,46,1027,1025,1024,8,6,3,14,8,,0.00,5,,230<br />
2001-1-8,12,4,-2,0,-2,-5,100,65,33,1027,1025,1024,10,8,3,18,6,,0.00,3,,288<br />
2001-1-9,13,7,0,3,-2,-4,81,61,33,1025,1024,1022,10,10,6,21,10,,0.00,1,,289<br />
2001-1-10,13,7,1,1,-2,-5,87,54,29,1022,1019,1016,10,10,10,47,24,64,0.00,4,,293<br />
2001-1-11,11,8,6,3,1,-1,70,59,47,1023,1022,1020,10,10,10,47,32,58,0.00,4,,298<br />
2001-1-12,8,6,4,5,3,1,93,79,66,1022,1021,1019,10,7,3,40,13,55,0.00,7,,253<br />
2001-1-13,12,8,4,2,0,-2,81,64,38,1023,1021,1020,10,10,10,40,21,,0.00,5,,288<br />
2001-1-14,6,3,2,3,1,-4,93,76,65,1024,1023,1021,10,10,8,50,27,55,0.00,7,Rain,300<br />
2001-1-15,7,3,0,-3,-7,-11,75,52,27,1030,1026,1024,10,10,10,50,32,58,0.00,4,,300<br />
2001-1-16,3,0,-2,2,1,-3,100,94,81,1033,1032,1030,10,6,1,14,5,,0.00,7,Fog-Snow,140<br />
2001-1-17,6,0,-5,1,-2,-6,100,84,65,1031,1028,1025,10,8,1,14,6,,0.00,5,,334<br />
2001-1-18,7,3,0,0,-2,-4,93,74,46,1025,1024,1022,10,7,4,21,8,,0.00,6,,286<br />
2001-1-19,4,3,2,3,1,-1,100,91,81,1027,1024,1023,10,3,0,14,5,,0.00,8,Fog-Rain,106<br />
2001-1-20,2,0,-1,2,0,-1,100,97,93,1032,1029,1027,6,4,1,14,10,,0.00,8,Fog-Rain-Snow,125<br />
2001-1-21,2,0,-2,-1,-2,-4,100,88,75,1032,1030,1028,10,8,3,11,3,,0.00,8,Snow,107<br />
2001-1-22,5,0,-4,-1,-4,-7,87,72,48,1028,1025,1024,10,10,10,18,6,,0.00,6,,296<br />
2001-1-23,1,0,-1,1,-1,-4,100,94,80,1032,1028,1026,10,4,1,26,5,,0.00,8,Fog-Snow,125<br />
2001-1-24,-1,-3,-4,-3,-6,-8,100,81,69,1035,1034,1032,10,6,1,26,14,,0.00,7,Snow,140<br />
2001-1-25,-2,-3,-6,-5,-7,-9,93,82,59,1037,1035,1034,10,7,3,11,5,,0.00,7,Snow,123<br />
2001-1-26,1,-3,-6,-7,-8,-10,86,70,48,1039,1038,1037,10,10,10,11,5,,0.00,4,,127<br />
2001-1-27,1,-3,-7,-6,-9,-12,93,70,41,1038,1034,1031,10,10,10,11,5,,0.00,3,,129<br />
2001-1-28,2,-3,-8,-5,-8,-11,93,72,41,1031,1028,1026,10,10,6,6,3,,0.00,3,,99<br />
2001-1-29,4,-2,-7,-4,-6,-9,93,74,49,1028,1027,1026,10,6,4,14,5,,0.00,1,,269<br />
2001-1-30,8,2,-4,-2,-5,-8,93,69,34,1028,1026,1024,8,6,3,18,6,,0.00,0,,281<br />
