
UYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,31,24,18,16,14,12,77,51,33,1012,1010,1008,10,10,10,24,16,,0.00,2,,339<br />
2001-1-2,33,26,19,18,16,12,73,56,38,1010,1009,1008,,,,23,16,,0.00,,,348<br />
2001-1-3,33,26,19,23,18,16,94,67,38,1013,1011,1009,,,,21,13,,0.00,,,28<br />
2001-1-4,34,28,22,23,21,17,94,72,41,1012,1010,1008,10,9,3,45,18,,0.00,3,Rain,21<br />
2001-1-5,33,27,21,24,21,18,100,70,41,1011,1009,1005,10,9,8,19,11,,0.00,2,,89<br />
2001-1-6,31,26,20,24,21,19,100,84,58,1007,1005,1003,10,8,3,42,18,52,0.00,6,Rain-Thunderstorm,9<br />
2001-1-7,28,24,21,24,21,15,100,85,61,1003,1000,999,10,9,1,34,18,,0.00,7,Rain-Thunderstorm,349<br />
2001-1-8,25,22,20,23,17,8,100,70,43,1010,1005,1002,10,10,4,42,18,50,0.00,4,Rain-Thunderstorm,146<br />
2001-1-9,26,23,20,22,16,8,89,65,43,1011,1008,1005,10,10,10,32,24,,0.00,4,,102<br />
2001-1-10,23,20,18,19,16,7,100,76,46,1011,1005,1002,10,9,5,42,26,53,0.00,5,Rain-Thunderstorm,222<br />
2001-1-11,21,18,16,12,6,4,64,44,35,1018,1015,1012,10,10,10,39,27,50,0.00,3,,211<br />
2001-1-12,28,20,13,19,12,8,88,61,34,1019,1015,1011,10,10,10,21,18,,0.00,4,,36<br />
2001-1-13,28,21,14,21,15,9,94,71,39,1016,1014,1011,10,10,8,23,18,,0.00,5,,54<br />
2001-1-14,26,23,20,22,19,17,100,83,57,1018,1016,1012,10,9,5,27,16,,0.00,4,,122<br />
2001-1-15,25,22,19,21,20,18,100,87,74,1017,1016,1013,10,10,8,32,18,,0.00,3,,104<br />
2001-1-16,26,22,19,21,19,18,100,81,65,1019,1011,1009,10,10,8,23,11,,0.00,1,,96<br />
2001-1-17,31,26,21,24,21,20,100,84,52,1009,1008,1007,10,10,9,132,18,,0.00,4,Rain-Thunderstorm,24<br />
2001-1-18,23,21,20,21,20,19,100,95,83,1013,1007,1006,10,7,3,27,13,,0.00,7,Rain-Thunderstorm,113<br />
2001-1-19,20,19,17,19,10,5,94,56,37,1022,1019,1014,10,10,8,29,24,,0.00,5,Rain-Thunderstorm,157<br />
2001-1-20,23,17,12,13,11,7,94,63,49,1023,1021,1018,10,10,10,26,14,,0.00,1,,86<br />
2001-1-21,26,20,14,17,13,10,94,63,36,1020,1016,1012,10,10,10,27,16,,0.00,5,,40<br />
2001-1-22,27,22,18,21,18,14,100,75,51,1013,1011,1009,10,9,0,21,16,,0.00,3,,67<br />
2001-1-23,30,24,19,21,19,15,100,75,40,1013,1012,1003,10,9,6,19,10,,0.00,3,,64<br />
2001-1-24,30,25,20,22,20,16,100,77,43,1015,1014,1012,10,9,8,23,14,,0.00,5,,84<br />
2001-1-25,29,24,21,24,22,20,94,85,62,1014,1012,1010,10,8,4,24,8,,0.00,4,Rain-Thunderstorm,91<br />
2001-1-26,29,24,20,24,21,2,100,83,22,1012,1010,1009,10,9,6,23,8,,0.00,7,Rain-Thunderstorm,80<br />
2001-1-27,28,23,18,24,20,17,100,90,66,1010,1004,1000,10,7,1,219,21,61,0.00,6,Rain-Thunderstorm,43<br />
2001-1-28,24,22,20,19,17,12,94,77,60,1011,1006,1002,10,10,10,26,18,,0.00,6,,197<br />
2001-1-29,23,18,14,14,11,9,94,59,46,1011,1010,1010,,,,21,13,,0.00,,,147<br />
2001-1-30,27,19,11,16,13,9,100,67,34,1011,1009,1005,10,10,10,24,16,,0.00,1,,53<br />
2001-1-31,27,22,18,22,19,13,94,81,65,1010,1008,1006,10,10,8,24,18,,0.00,6,Rain,86<br />
2001-2-1,24,22,21,22,18,14,100,80,53,1011,1009,1004,10,9,8,24,13,,0.00,3,Thunderstorm,120<br />
2001-2-2,31,24,18,23,18,8,100,80,52,1009,1003,999,10,9,1,61,24,80,0.00,5,Rain-Thunderstorm,197<br />
2001-2-3,22,18,15,10,8,6,68,50,41,1015,1012,1010,10,9,7,23,16,,0.00,2,,130<br />
2001-2-4,26,19,13,16,11,9,88,60,34,1015,1013,1011,10,10,10,19,16,,0.00,1,,9<br />
2001-2-5,29,22,16,20,17,12,100,72,48,1012,1008,1004,10,10,10,21,14,,0.00,2,,6<br />
2001-2-6,25,21,18,21,17,13,100,78,53,1007,1005,1004,10,9,3,27,14,,0.00,5,Rain-Thunderstorm,106<br />
2001-2-7,30,24,19,23,20,15,100,84,40,1009,1007,1005,10,9,6,19,13,,0.00,5,Rain-Thunderstorm,100<br />
2001-2-8,28,22,16,22,17,10,100,75,44,1014,1010,1007,10,8,2,55,19,84,0.00,6,Rain-Thunderstorm,94<br />
2001-2-9,32,26,20,23,20,15,94,71,46,1008,1005,999,10,10,10,32,18,,0.00,3,,28<br />
2001-2-10,26,22,19,23,16,7,100,71,43,1011,1006,1000,10,9,1,66,29,72,0.00,7,Rain-Thunderstorm,128<br />
2001-2-11,20,18,15,18,15,7,100,86,46,1013,1011,1010,10,6,3,27,18,,0.00,7,Rain-Thunderstorm,114<br />
2001-2-12,23,18,13,15,12,6,100,66,45,1018,1016,1013,10,10,10,19,10,,0.00,3,,158<br />
2001-2-13,23,17,11,18,13,8,94,73,53,1018,1015,1011,10,10,10,29,13,,0.00,1,,73<br />
2001-2-14,25,20,15,20,16,14,100,77,57,1013,1010,1007,10,10,10,23,16,,0.00,2,,67<br />
2001-2-15,25,21,17,20,17,15,100,81,54,1012,1009,1007,10,10,10,16,10,,0.00,2,,172<br />
2001-2-16,27,20,14,19,14,8,100,73,30,1016,1015,1012,10,4,0,13,6,,0.00,1,Fog,74<br />
2001-2-17,29,23,17,19,16,12,100,71,35,1018,1016,1013,10,10,10,23,16,,0.00,1,,24<br />
2001-2-18,28,22,17,20,18,15,100,75,45,1016,1014,1013,10,10,10,21,13,,0.00,1,,58<br />
2001-2-19,29,24,19,22,19,15,100,80,45,1015,1014,1013,10,7,3,21,16,,0.00,3,,43<br />
2001-2-20,32,26,19,22,19,9,100,72,36,1015,1013,1010,10,10,8,24,11,,0.00,1,,35<br />
2001-2-21,32,26,20,24,21,19,100,79,46,1011,1008,1006,10,10,8,27,21,45,0.00,4,Thunderstorm,11<br />
2001-2-22,25,22,20,22,19,16,100,83,73,1010,1008,1006,10,8,6,29,21,42,0.00,3,,120<br />
2001-2-23,31,26,22,24,21,12,100,82,35,1008,1007,1006,10,9,5,26,14,,0.00,4,Rain-Thunderstorm,356<br />
2001-2-24,25,22,20,22,21,18,100,88,65,1016,1011,1006,10,8,3,27,16,,0.00,7,Rain-Thunderstorm,72<br />
2001-2-25,24,22,19,21,18,15,94,81,69,1019,1017,1016,10,10,10,40,21,48,0.00,5,,96<br />
2001-2-26,25,21,18,21,18,15,88,77,65,1018,1017,1015,10,10,10,26,16,,0.00,4,,91<br />
2001-2-27,28,24,21,22,21,20,94,82,66,1017,1016,1015,10,10,10,34,19,,0.00,4,,69<br />
2001-2-28,30,26,22,28,21,20,89,76,55,1016,1013,1010,10,10,8,34,26,,0.00,4,,36<br />
2001-3-1,25,22,20,23,21,19,100,95,83,1014,1012,1008,10,7,3,32,19,,0.00,7,Rain,147<br />
2001-3-2,24,22,20,23,21,20,100,94,83,1014,1012,1010,10,9,5,14,10,,0.00,6,Rain,100<br />
2001-3-3,29,26,22,24,22,20,100,86,58,1012,1011,1010,10,9,3,19,6,,0.00,4,Rain-Thunderstorm,331<br />
2001-3-4,34,28,22,24,22,11,100,73,46,1012,1010,1008,10,10,5,23,14,,0.00,3,Rain-Thunderstorm,19<br />
2001-3-5,26,23,22,24,22,21,100,92,78,1010,1008,1006,10,10,6,24,14,,0.00,6,Rain-Thunderstorm,135<br />
2001-3-6,26,23,20,23,19,12,100,78,54,1016,1011,1007,10,10,10,24,14,,0.00,4,,182<br />
2001-3-7,25,21,18,19,14,11,94,65,53,1017,1015,1012,10,10,10,24,18,,0.00,1,,112<br />
2001-3-8,29,23,17,22,17,14,94,73,40,1016,1013,1011,,,,21,14,,0.00,,,43<br />
2001-3-9,29,23,17,18,15,11,100,63,33,1012,1010,1007,10,10,10,23,16,,0.00,1,,41<br />
2001-3-10,30,25,20,23,20,17,94,81,48,1012,1009,1006,10,10,10,21,16,,0.00,6,,69<br />
