
NZDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,19,16,13,13,10,9,82,65,56,1013,1010,1006,30,21,15,42,35,71,0.00,4,Rain,245<br />
2001-1-2,20,18,15,16,12,9,88,71,60,1016,1013,1012,30,19,10,34,24,,0.00,5,Rain,240<br />
2001-1-3,22,17,12,14,12,11,94,72,53,1023,1020,1017,20,18,15,14,8,,0.00,4,Rain,80<br />
2001-1-4,24,19,15,16,14,11,94,73,47,1026,1024,1023,30,27,10,14,6,,0.00,3,Rain,174<br />
2001-1-5,23,18,14,16,14,13,94,77,61,1026,1024,1022,30,30,30,24,8,,0.00,1,,244<br />
2001-1-6,22,18,15,16,14,13,94,77,60,1023,1021,1019,,,,24,13,,0.00,2,,203<br />
2001-1-7,24,19,14,16,14,12,94,73,50,1020,1019,1017,,,,19,6,,0.00,3,,44<br />
2001-1-8,25,20,15,16,14,10,94,70,39,1018,1016,1014,30,30,30,21,10,,0.00,3,,41<br />
2001-1-9,25,20,15,17,14,10,94,69,39,1016,1014,1012,30,30,30,24,8,,0.00,4,,37<br />
2001-1-10,23,20,18,17,16,14,94,81,57,1013,1010,1007,20,13,8,16,6,,0.00,6,Rain,98<br />
2001-1-11,19,17,16,17,16,13,94,89,68,1007,1005,1004,30,14,5,26,18,,0.00,7,Rain,178<br />
2001-1-12,24,20,17,18,15,12,88,75,64,1008,1005,1003,30,25,15,37,27,,0.00,4,Rain,187<br />
2001-1-13,22,19,17,16,14,13,83,73,64,1011,1009,1008,25,25,25,29,27,,0.00,4,,237<br />
2001-1-14,21,18,16,16,13,10,94,73,49,1015,1011,1009,30,20,3,34,23,,0.00,5,Rain,233<br />
2001-1-15,20,17,14,15,13,11,88,79,68,1019,1017,1016,30,13,8,24,11,,0.00,5,Rain,85<br />
2001-1-16,22,18,15,17,14,13,94,82,57,1017,1012,1009,30,20,5,35,16,,0.00,6,Rain,316<br />
2001-1-17,21,18,16,13,11,9,77,67,60,1012,1011,1011,30,27,15,35,24,,0.00,4,,227<br />
2001-1-18,20,18,16,14,13,12,82,70,60,1015,1012,1011,30,30,30,29,23,,0.00,4,Rain,221<br />
2001-1-19,23,18,13,16,14,12,94,77,60,1018,1016,1015,30,29,20,23,11,,0.00,3,,223<br />
2001-1-20,22,19,16,14,13,12,82,71,53,1017,1016,1015,30,24,15,39,23,,0.00,5,Rain,230<br />
2001-1-21,20,18,16,14,13,11,82,70,56,1017,1015,1014,30,29,10,32,24,,0.00,5,Rain,232<br />
2001-1-22,22,19,17,19,15,12,88,77,56,1017,1014,1013,30,22,4,32,24,,0.00,4,Rain,246<br />
2001-1-23,22,18,15,14,13,12,82,72,60,1019,1017,1016,30,27,25,27,18,,0.00,3,,218<br />
2001-1-24,24,19,15,18,15,13,88,75,60,1019,1017,1016,30,28,20,26,16,,0.00,3,,261<br />
2001-1-25,25,22,19,20,18,17,100,84,65,1017,1013,1010,30,18,4,34,24,,0.00,5,Rain,275<br />
2001-1-26,23,19,16,18,17,14,94,82,69,1010,1007,1003,30,17,4,35,24,,0.00,6,Rain,272<br />
2001-1-27,20,18,16,14,11,8,88,65,46,1010,1007,1004,30,28,20,37,29,,0.00,4,Rain,238<br />
2001-1-28,23,18,14,11,9,7,77,60,41,1017,1014,1010,30,29,25,26,16,,0.00,2,,190<br />
2001-1-29,23,18,13,16,14,11,94,72,50,1019,1017,1016,30,30,30,16,8,,0.00,2,,20<br />
2001-1-30,26,21,17,18,16,13,94,72,47,1020,1019,1018,30,30,30,26,11,45,0.00,4,,40<br />
2001-1-31,21,19,17,18,16,14,94,83,68,1018,1014,1010,30,17,10,21,10,,0.00,6,Rain,112<br />
2001-2-1,23,19,16,16,14,13,88,76,64,1016,1012,1010,30,29,25,37,21,53,0.00,2,,212<br />
2001-2-2,21,18,16,14,13,12,82,71,60,1022,1019,1017,30,29,25,39,29,,0.00,4,,215<br />
2001-2-3,22,18,14,15,14,12,94,76,64,1023,1022,1021,30,25,20,27,14,,0.00,5,,218<br />
2001-2-4,22,19,16,15,13,12,83,71,60,1021,1019,1018,30,28,25,32,26,,0.00,5,,231<br />
2001-2-5,24,20,17,16,15,12,88,75,50,1018,1015,1013,30,30,30,32,24,,0.00,3,,249<br />
2001-2-6,21,18,16,17,14,10,88,75,56,1015,1012,1010,30,22,4,40,29,60,0.00,5,Rain,241<br />
2001-2-7,23,17,11,15,12,9,88,72,49,1018,1016,1015,30,25,10,34,16,,0.00,3,Rain,198<br />
2001-2-8,20,18,16,17,15,12,100,84,64,1017,1015,1013,30,13,0,27,13,,0.00,5,Rain,197<br />
2001-2-9,24,18,13,16,14,12,94,76,60,1019,1017,1016,30,30,30,21,11,,0.00,1,,205<br />
2001-2-10,26,20,15,17,16,14,94,77,51,1019,1018,1016,30,30,30,23,8,40,0.00,3,,67<br />
2001-2-11,21,20,19,21,19,17,100,94,78,1017,1013,1010,30,10,2,24,18,,0.00,7,Rain,61<br />
2001-2-12,27,23,21,22,21,20,100,91,69,1010,1008,1007,30,11,3,34,18,,0.00,6,Rain,51<br />
2001-2-13,25,22,20,21,19,18,100,84,69,1012,1010,1009,30,17,5,26,18,,0.00,6,Rain,75<br />
2001-2-14,29,24,21,21,20,19,94,80,58,1014,1012,1011,30,24,20,24,11,,0.00,4,,82<br />
2001-2-15,27,23,21,22,21,20,100,87,70,1015,1014,1012,20,15,8,14,8,,0.00,5,Rain,29<br />
2001-2-16,26,23,21,21,20,18,94,85,74,1012,1009,1007,30,27,20,21,8,,0.00,6,,234<br />
2001-2-17,22,20,19,21,19,18,100,93,83,1006,1003,1000,30,15,4,26,11,,0.00,7,Rain,194<br />
2001-2-18,23,20,18,18,17,16,94,82,65,1015,1009,1003,30,21,15,21,14,,0.00,5,,230<br />
2001-2-19,25,21,18,20,18,16,94,82,69,1020,1017,1015,30,29,25,26,10,,0.00,7,Rain,106<br />
2001-2-20,25,23,21,21,20,19,88,82,74,1020,1019,1017,30,29,20,26,14,,0.00,6,,65<br />
2001-2-21,27,23,21,22,19,17,100,82,65,1021,1020,1019,30,20,5,23,11,,0.00,5,Rain,62<br />
2001-2-22,26,22,18,20,18,17,100,82,65,1021,1017,1014,30,26,20,23,11,,0.00,5,,42<br />
2001-2-23,22,19,17,21,18,16,100,92,83,1013,1009,1006,25,13,4,32,14,,0.00,6,Rain,96<br />
2001-2-24,24,19,15,17,16,13,94,77,61,1013,1012,1010,30,24,4,14,11,,0.00,2,Rain,188<br />
2001-2-25,24,20,17,19,17,16,94,83,69,1014,1012,1011,30,30,30,34,11,,0.00,3,,201<br />
2001-2-26,25,21,18,20,18,17,94,83,69,1017,1015,1013,30,27,20,21,14,,0.00,4,Rain,130<br />
2001-2-27,26,22,18,19,18,17,94,82,61,1019,1017,1017,30,27,10,23,10,,0.00,4,Rain,91<br />
2001-2-28,26,21,17,19,17,16,94,77,57,1020,1019,1018,30,30,30,23,11,,0.00,2,,95<br />
2001-3-1,25,21,17,18,16,14,94,76,57,1019,1018,1017,30,29,20,24,11,,0.00,3,,72<br />
2001-3-2,25,20,16,18,16,15,94,79,57,1017,1015,1014,30,26,8,16,8,,0.00,3,,75<br />
2001-3-3,25,21,17,17,16,14,88,73,50,1016,1015,1013,30,30,30,23,10,,0.00,3,,62<br />
2001-3-4,25,20,16,17,15,14,94,75,53,1017,1016,1015,30,30,30,21,10,,0.00,3,,97<br />
2001-3-5,24,20,17,17,16,15,94,78,61,1021,1019,1017,30,30,30,14,6,,0.00,5,Tornado,49<br />
2001-3-6,23,20,17,15,14,14,83,72,60,1023,1021,1020,30,30,30,16,10,,0.00,5,,55<br />
2001-3-7,22,19,17,15,14,13,82,73,57,1026,1024,1023,30,30,30,24,11,,0.00,5,Rain,88<br />
2001-3-8,24,20,17,18,16,15,88,78,61,1024,1022,1020,30,28,25,23,11,40,0.00,5,,64<br />
2001-3-9,21,20,19,20,18,16,94,90,83,1022,1020,1019,30,20,5,16,10,,0.00,6,Rain,90<br />
2001-3-10,22,18,14,16,13,11,83,69,53,1025,1024,1022,30,30,30,24,16,,0.00,4,,112<br />
2001-3-11,22,17,13,11,10,9,77,63,43,1025,1023,1020,30,30,30,21,11,,0.00,4,,157<br />
2001-3-12,22,16,11,14,12,10,94,75,56,1022,1021,1020,30,30,30,19,5,,0.00,3,,100<br />
2001-3-13,23,18,14,16,13,10,94,75,46,1023,1022,1021,30,30,30,21,8,,0.00,3,,11<br />
2001-3-14,24,20,17,17,16,14,94,78,61,1021,1019,1017,30,18,4,26,14,,0.00,5,Rain,338<br />
2001-3-15,22,19,16,15,13,12,88,73,60,1023,1021,1020,30,28,25,29,23,,0.00,2,,211<br />
2001-3-16,23,18,14,15,13,12,94,77,53,1026,1025,1024,30,30,30,24,8,40,0.00,3,,87<br />
2001-3-17,21,17,14,15,13,12,94,78,56,1027,1026,1025,30,30,30,23,10,,0.00,4,,96<br />
2001-3-18,21,17,14,14,13,11,94,76,60,1026,1025,1024,30,30,30,23,13,,0.00,4,,117<br />
2001-3-19,22,18,14,14,13,12,94,76,56,1028,1027,1025,,,,19,11,,0.00,3,,113<br />
2001-3-20,22,19,14,15,12,10,94,69,46,1028,1027,1026,30,23,10,16,10,,0.00,4,Rain,111<br />
2001-3-21,22,17,13,14,12,10,88,70,50,1026,1025,1024,,,,13,8,,0.00,4,,178<br />
2001-3-22,23,18,13,15,13,11,94,76,53,1027,1025,1024,,,,21,5,,0.00,2,,184<br />
2001-3-23,21,16,12,16,13,11,94,79,60,1026,1025,1023,30,30,30,14,6,,0.00,4,,187<br />
2001-3-24,23,18,14,17,14,13,100,81,53,1025,1024,1023,30,24,15,13,5,,0.00,5,,51<br />
2001-3-25,24,18,13,16,13,11,94,77,47,1024,1022,1021,30,30,30,16,6,,0.00,2,,346<br />
2001-3-26,23,17,12,16,13,11,100,76,47,1023,1021,1020,25,15,10,16,5,,0.00,1,,9<br />
2001-3-27,24,19,15,17,14,13,94,74,53,1020,1017,1014,30,30,30,23,11,,0.00,4,,326<br />
2001-3-28,22,19,17,19,17,15,94,88,83,1014,1011,1008,30,17,3,29,14,,0.00,7,Rain,332<br />
2001-3-29,22,19,17,17,15,12,94,79,64,1011,1008,1006,30,23,10,34,14,,0.00,5,Rain,286<br />
2001-3-30,19,16,12,12,10,8,82,64,49,1024,1016,1011,30,28,15,34,23,,0.00,3,Rain,222<br />
2001-3-31,22,16,11,12,9,7,88,70,46,1030,1027,1024,,,,21,11,,0.00,2,,124<br />
2001-4-1,20,17,13,14,12,10,88,78,60,1029,1026,1022,30,22,15,24,14,,0.00,5,Rain,110<br />
2001-4-2,20,18,17,19,18,15,100,95,83,1021,1013,1004,25,8,3,45,23,,0.00,6,Rain,69<br />
2001-4-3,20,18,16,20,15,7,100,82,55,1012,1006,1002,30,20,3,42,23,,0.00,5,Rain,240<br />
2001-4-4,19,17,15,12,11,8,77,67,52,1017,1014,1012,30,27,10,37,31,48,0.00,4,Rain,235<br />
2001-4-5,20,18,16,14,12,11,88,75,64,1018,1017,1016,30,26,8,32,21,52,0.00,5,Rain,240<br />
2001-4-6,19,17,16,15,13,11,94,74,60,1019,1017,1015,30,26,15,40,29,55,0.00,4,Rain,236<br />
2001-4-7,19,17,12,13,12,10,88,73,63,1024,1020,1017,30,23,15,42,34,,0.00,4,Rain,214<br />
2001-4-8,21,16,10,14,12,9,94,82,60,1029,1027,1024,30,28,20,14,6,,0.00,1,,199<br />
2001-4-9,20,15,10,14,12,9,100,81,56,1031,1029,1028,30,28,20,11,5,,0.00,2,,168<br />
2001-4-10,21,17,13,15,12,11,94,78,53,1027,1024,1020,30,30,30,23,8,,0.00,5,,342<br />
2001-4-11,20,18,15,16,14,13,94,84,68,1021,1019,1018,30,25,3,14,10,,0.00,6,Rain,252<br />
2001-4-12,19,17,16,18,15,13,94,86,73,1018,1010,998,30,19,3,39,16,60,0.00,6,Rain,69<br />
2001-4-13,23,20,17,21,17,15,100,85,61,997,995,992,30,17,3,29,21,,0.00,6,Rain,26<br />
2001-4-14,19,16,12,16,11,7,94,71,56,1019,1009,998,30,30,30,35,21,,0.00,3,,165<br />
2001-4-15,18,14,10,10,8,6,82,71,56,1022,1021,1019,30,30,30,24,14,,0.00,1,,170<br />
2001-4-16,18,14,11,12,11,9,94,79,68,1023,1022,1021,30,30,30,19,6,,0.00,6,,162<br />
2001-4-17,19,14,11,14,11,9,94,76,52,1025,1024,1023,30,30,30,21,6,,0.00,5,,89<br />
2001-4-18,19,17,14,12,11,10,82,71,60,1027,1025,1024,,,,21,11,,0.00,5,,110<br />
2001-4-19,19,16,13,15,13,11,94,84,73,1026,1024,1022,30,30,30,27,13,,0.00,3,,99<br />
2001-4-20,22,18,14,16,14,13,94,84,64,1022,1020,1018,30,30,30,14,10,,0.00,3,,86<br />
