
MSD,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-5,-11,-16,-6,-12,-17,100,89,79,1007,995,984,10,6,1,50,39,61,0.00,7,Snow,237<br />
2002-1-2,-14,-18,-22,-16,-19,-24,92,86,84,1021,1014,1009,10,10,10,14,8,,0.00,7,Snow,250<br />
2002-1-3,-22,-24,-28,-24,-28,-30,92,85,84,1033,1028,1021,10,10,10,26,13,,0.00,4,,299<br />
2002-1-4,-24,-27,-31,-28,-30,-33,91,78,59,1033,1026,1018,10,10,10,21,13,,0.00,1,Fog,134<br />
2002-1-5,-18,-23,-27,-20,-26,-30,92,78,70,1016,1010,1006,10,9,5,14,5,,0.00,8,Snow,192<br />
2002-1-6,-12,-15,-18,-14,-17,-20,92,86,85,1007,1000,996,10,8,2,21,14,,0.00,8,Snow,137<br />
2002-1-7,-12,-15,-18,-13,-16,-20,92,89,85,1004,1000,996,10,9,2,35,21,47,0.00,8,Rain-Snow,43<br />
2002-1-8,-18,-23,-28,-21,-26,-31,92,82,71,1015,1008,1003,10,5,1,43,35,55,0.00,7,Snow,340<br />
2002-1-9,-18,-23,-28,-20,-24,-31,92,83,76,1013,1004,998,10,6,1,29,18,35,0.00,5,Snow,244<br />
2002-1-10,-3,-12,-20,-4,-9,-22,100,93,85,1007,1004,1003,10,9,3,29,14,,0.00,8,Snow,260<br />
2002-1-11,-1,-4,-8,-1,-4,-9,100,95,93,1007,1003,1000,10,6,2,21,14,,0.00,8,Snow,208<br />
2002-1-12,1,0,0,0,0,-1,100,93,87,1009,1006,1001,10,9,5,29,21,,0.00,8,Rain-Snow,275<br />
2002-1-13,1,0,0,0,0,-1,100,95,87,1016,1011,1008,10,10,10,29,23,,0.00,8,Rain-Snow,291<br />
2002-1-14,1,0,-1,-2,-2,-4,93,86,80,1017,1014,1009,10,10,10,35,26,47,0.00,8,Snow,252<br />
2002-1-15,1,-1,-2,0,-2,-4,93,90,86,1009,1006,1004,10,10,10,43,34,55,0.00,8,Rain-Snow,253<br />
2002-1-16,-1,-7,-12,-3,-9,-14,100,81,74,1022,1017,1008,10,10,10,32,19,,0.00,5,,13<br />
2002-1-17,0,-6,-12,-1,-5,-12,100,93,80,1022,1018,1013,10,8,0,35,19,40,0.00,8,Fog,184<br />
2002-1-18,0,-2,-5,-2,-6,-7,93,86,80,1015,1013,1012,10,10,10,35,26,,0.00,7,Snow,240<br />
2002-1-19,-3,-4,-5,-4,-5,-6,100,96,86,1016,1016,1015,10,5,1,14,8,,0.00,8,Snow,169<br />
2002-1-20,-5,-6,-7,-6,-7,-8,100,93,86,1015,1012,1008,10,9,5,21,16,,0.00,8,Snow,165<br />
2002-1-21,-5,-6,-7,-7,-7,-8,93,89,80,1008,1006,1004,10,10,10,26,21,,0.00,8,Snow,183<br />
2002-1-22,-4,-7,-8,-5,-7,-10,100,93,86,1006,1006,1006,10,9,3,21,19,,0.00,8,Snow,161<br />
2002-1-23,-1,-3,-5,-2,-4,-5,100,91,86,1007,1006,1004,10,9,5,35,21,40,0.00,8,Snow,183<br />
2002-1-24,2,0,-2,1,-1,-2,100,94,87,1006,1003,1001,10,9,1,35,29,40,0.00,8,Snow,205<br />
2002-1-25,2,1,0,1,0,0,100,93,87,1010,1008,1006,10,8,3,29,19,40,0.00,8,Rain-Snow,191<br />
2002-1-26,2,-2,-5,1,-2,-8,100,89,69,1006,999,996,10,10,5,40,29,50,0.00,7,Rain-Snow,189<br />
2002-1-27,-1,-4,-6,-1,-6,-9,100,87,74,1000,999,998,10,10,5,35,31,47,0.00,7,Snow,198<br />
2002-1-28,2,-1,-6,1,-1,-10,100,91,74,998,993,990,10,9,2,55,35,64,0.00,7,Rain-Snow,195<br />
2002-1-29,-5,-10,-13,-6,-12,-16,100,81,73,1007,1002,993,10,5,2,35,27,43,0.00,7,Snow,183<br />
2002-1-30,-1,-3,-5,-1,-3,-6,100,94,86,993,989,987,10,8,0,21,16,,0.00,8,Fog-Snow,153<br />
2002-1-31,-1,-9,-17,-1,-11,-21,100,87,72,1010,998,987,10,7,0,43,19,55,0.00,4,Fog-Snow,332<br />
2002-2-1,-17,-19,-21,-20,-21,-23,92,82,72,1016,1014,1010,,,,21,13,,0.00,,,31<br />
2002-2-2,-13,-17,-20,-19,-21,-23,85,76,62,1028,1023,1016,,,,21,13,,0.00,,,37<br />
2002-2-3,-11,-18,-24,-12,-20,-26,92,83,72,1028,1024,1014,10,8,5,35,13,,0.00,8,Snow,133<br />
2002-2-4,0,-6,-11,-1,-7,-12,93,88,80,1019,1012,1006,10,10,10,32,24,43,0.00,8,Snow,330<br />
2002-2-5,0,-6,-12,-1,-9,-14,100,90,79,1021,1016,1010,10,9,3,40,19,50,0.00,8,Rain-Snow,149<br />
2002-2-6,3,1,-1,0,-1,-3,93,85,75,1015,1013,1010,10,10,10,35,24,,0.00,6,,219<br />
2002-2-7,0,-2,-3,-1,-3,-5,100,88,80,1014,1012,1012,10,10,10,35,23,40,0.00,8,Rain,208<br />
