
PET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,19,13,8,11,7,6,93,70,46,1033,1029,1025,10,9,6,21,5,,0.00,5,Rain-Thunderstorm,268<br />
2002-1-2,22,16,9,8,7,6,82,63,35,1032,1029,1026,10,10,8,29,5,,0.00,5,Rain,127<br />
2002-1-3,19,14,9,10,7,5,82,69,46,1033,1031,1029,10,10,8,14,2,,0.00,4,Rain,76<br />
2002-1-4,22,16,9,10,7,5,88,67,38,1034,1031,1025,10,9,8,32,3,,0.00,4,Rain-Thunderstorm,312<br />
2002-1-5,19,14,9,9,8,5,88,69,49,1035,1031,1027,10,9,8,26,5,37,0.00,5,Rain,79<br />
2002-1-6,22,14,8,9,7,5,87,66,35,1034,1030,1026,10,10,10,26,6,,0.00,5,Rain,74<br />
2002-1-7,23,16,8,8,6,5,87,60,31,1033,1029,1024,10,10,10,21,3,,0.00,2,,269<br />
2002-1-8,24,17,10,9,6,2,82,55,25,1032,1028,1025,10,10,9,13,2,,0.00,4,,43<br />
2002-1-9,22,16,9,10,7,6,87,66,38,1034,1031,1026,10,10,7,26,3,,0.00,4,Rain,68<br />
2002-1-10,18,13,8,9,6,4,93,68,45,1033,1031,1028,10,10,6,27,6,,0.00,4,Rain,75<br />
2002-1-11,16,12,8,8,6,4,82,69,48,1035,1031,1028,10,9,7,19,5,,0.00,5,Rain,3<br />
2002-1-12,21,14,8,7,5,1,87,67,27,1035,1031,1027,10,10,9,37,3,,0.00,4,Rain,70<br />
2002-1-13,17,12,8,7,6,3,87,64,39,1033,1030,1028,10,10,8,21,6,,0.00,5,Rain,294<br />
2002-1-14,21,14,8,7,5,2,87,58,31,1033,1030,1026,10,10,9,27,5,,0.00,4,,36<br />
2002-1-15,19,13,7,8,6,3,87,67,35,1033,1030,1026,10,10,8,14,2,,0.00,4,Rain-Thunderstorm,87<br />
2002-1-16,18,13,8,8,6,5,93,70,42,1031,1029,1025,10,10,7,29,3,,0.00,5,Rain,107<br />
2002-1-17,18,12,7,8,6,4,93,76,45,1032,1029,1026,10,9,7,19,3,,0.00,6,Rain,102<br />
2002-1-18,17,13,9,8,7,5,93,71,51,1032,1029,1027,10,10,8,14,3,,0.00,5,Rain,95<br />
2002-1-19,17,13,9,8,7,5,87,70,45,1032,1029,1026,10,10,9,19,5,,0.00,5,Rain,290<br />
2002-1-20,18,12,7,8,6,5,93,70,45,1033,1030,1027,10,10,9,26,3,,0.00,5,Rain,357<br />
2002-1-21,19,14,10,8,7,3,87,69,42,1034,1031,1029,10,10,6,16,3,,0.00,5,Rain-Thunderstorm,89<br />
2002-1-22,19,13,7,8,6,1,93,67,30,1036,1032,1027,10,9,7,23,11,,0.00,5,Rain,90<br />
2002-1-23,19,13,8,8,6,2,87,60,32,1035,1031,1027,10,10,9,19,3,,0.00,4,,57<br />
2002-1-24,20,14,8,10,7,4,87,63,35,1033,1030,1025,10,10,8,23,3,,0.00,4,Rain,275<br />
2002-1-25,19,13,7,8,7,4,93,68,37,1035,1031,1026,10,9,7,21,5,,0.00,6,Rain,40<br />
2002-1-26,21,14,8,8,7,5,93,62,37,1033,1029,1025,10,10,7,23,3,34,0.00,4,,320<br />
2002-1-27,21,14,8,8,6,2,87,62,28,1034,1030,1027,10,10,9,32,5,,0.00,4,,61<br />
2002-1-28,21,14,9,8,6,5,87,63,35,1033,1030,1025,10,10,8,21,3,,0.00,5,Rain,6<br />
2002-1-29,19,14,9,8,7,6,93,70,46,1032,1029,1026,10,9,6,23,3,,0.00,6,Rain,17<br />
2002-1-30,17,13,10,11,8,6,88,76,63,1032,1028,1008,10,9,5,23,5,,0.00,6,Rain,309<br />
2002-1-31,21,14,8,9,7,6,94,70,43,1032,1028,1010,10,10,7,24,3,,0.00,5,Rain-Thunderstorm,108<br />
2002-2-1,19,14,9,10,8,6,87,72,48,1033,1030,1028,10,10,8,21,3,,0.00,5,Rain-Thunderstorm,115<br />
2002-2-2,18,13,9,9,8,6,88,74,49,1035,1032,1029,10,9,6,19,3,,0.00,7,Rain,23<br />
