
HST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,26,21,16,17,16,14,90,75,48,1018,1016,1013,16,13,4,14,6,,0.00,0,,314<br />
2002-1-2,27,22,18,19,18,16,93,75,62,1015,1013,1011,16,16,16,32,11,40,0.00,2,,275<br />
2002-1-3,27,23,19,19,17,13,87,65,42,1016,1013,1011,16,16,16,26,18,,0.00,1,,300<br />
2002-1-4,26,22,18,21,19,16,93,78,64,1016,1015,1013,16,16,16,19,8,,0.00,0,,243<br />
2002-1-5,27,26,23,23,22,21,90,82,74,1016,1014,1012,16,16,16,24,18,29,0.00,2,,242<br />
2002-1-6,28,24,22,23,21,17,94,80,58,1019,1016,1014,16,16,10,23,16,,0.51,3,Rain,305<br />
2002-1-7,27,23,19,22,19,17,90,78,62,1019,1017,1016,16,16,16,19,8,,0.00,3,,109<br />
2002-1-8,27,24,22,22,21,20,90,81,71,1019,1017,1016,16,16,16,21,10,,0.00,2,Rain-Tornado,225<br />
2002-1-9,27,23,20,21,20,19,96,81,67,1017,1016,1014,16,16,16,29,8,,0.00,3,Rain,275<br />
2002-1-10,26,23,21,18,15,13,81,62,47,1020,1018,1016,16,16,16,29,14,40,0.00,1,,35<br />
2002-1-11,27,23,19,18,17,14,78,67,54,1019,1017,1015,16,16,16,19,11,,0.00,1,,101<br />
2002-1-12,29,24,20,21,18,16,82,71,53,1020,1018,1016,16,16,16,26,10,,0.00,1,,42<br />
2002-1-13,27,24,22,20,19,18,84,73,58,1019,1016,1014,16,16,16,23,13,,0.00,1,,69<br />
2002-1-14,28,23,19,21,19,18,97,78,58,1017,1016,1014,16,16,16,23,6,,0.00,1,,24<br />
2002-1-15,28,25,22,19,18,17,81,69,52,1019,1017,1015,16,16,16,26,18,,0.00,1,,59<br />
2002-1-16,27,24,22,18,17,14,73,64,47,1021,1020,1018,16,16,16,32,21,40,0.00,1,,53<br />
