
ACST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,31,27,24,25,24,23,100,79,66,1008,1007,1005,10,10,10,27,13,,0.00,5,Rain,280<br />
2002-1-2,32,30,28,26,24,23,89,73,62,1009,1007,1006,10,10,10,26,13,,0.00,6,,253<br />
2002-1-3,32,28,24,25,24,23,100,85,62,1009,1007,1005,10,9,4,37,16,58,0.00,6,Rain-Thunderstorm,236<br />
2002-1-4,32,28,25,26,24,20,94,79,62,1009,1007,1005,10,9,4,27,14,,0.00,6,Rain-Thunderstorm,247<br />
2002-1-5,32,29,26,26,24,23,89,76,66,1009,1007,1005,10,10,10,27,18,,0.00,6,,255<br />
2002-1-6,33,30,28,25,24,24,79,72,59,1009,1007,1006,10,10,10,27,23,,0.00,3,,265<br />
2002-1-7,33,31,29,25,24,24,79,73,62,1010,1008,1006,10,10,10,32,21,,0.00,3,,276<br />
2002-1-8,33,30,28,25,24,24,84,75,59,1009,1008,1006,10,10,10,24,16,,0.00,6,,270<br />
2002-1-9,32,30,27,26,25,24,94,79,66,1010,1008,1006,10,10,10,32,16,,0.00,5,Rain,275<br />
2002-1-10,32,28,25,26,24,22,94,80,66,1010,1008,1006,10,9,2,24,13,,0.00,5,Rain-Thunderstorm,276<br />
2002-1-11,32,29,26,26,24,23,89,75,59,1009,1007,1004,10,9,1,29,19,47,0.00,4,Rain,278<br />
2002-1-12,32,30,28,25,24,23,84,73,62,1008,1006,1005,10,10,6,29,19,,0.00,5,Rain,286<br />
2002-1-13,32,29,27,26,24,23,89,74,62,1008,1006,1005,10,10,1,29,19,,0.00,6,Rain,284<br />
2002-1-14,31,28,25,26,25,24,94,84,66,1008,1007,1005,10,8,1,26,18,47,0.00,5,Rain,269<br />
2002-1-15,33,30,28,26,25,22,89,76,55,1008,1006,1005,10,9,2,35,16,53,0.00,5,Rain-Thunderstorm,251<br />
2002-1-16,32,29,26,26,26,23,94,84,70,1008,1006,1005,10,9,2,26,13,34,0.00,5,Rain-Thunderstorm,259<br />
2002-1-17,32,29,26,26,25,23,100,81,62,1008,1007,1005,10,10,10,21,6,,0.00,4,,321<br />
2002-1-18,32,29,26,26,25,24,94,82,62,1010,1008,1006,10,9,3,27,8,,0.00,4,Rain-Thunderstorm,324<br />
2002-1-19,33,29,25,27,25,23,100,82,59,1010,1008,1007,10,8,0,16,6,,0.00,4,Rain-Thunderstorm,269<br />
2002-1-20,32,29,26,26,25,23,94,83,59,1010,1008,1005,10,9,3,23,10,,0.00,4,Rain-Thunderstorm,16<br />
2002-1-21,33,29,25,26,24,23,100,83,55,1009,1007,1005,10,9,2,32,6,,0.00,5,Rain-Thunderstorm,349<br />
2002-1-22,33,28,23,26,24,22,100,84,63,1009,1007,1005,10,9,0,27,10,66,0.00,5,Rain-Thunderstorm,221<br />
2002-1-23,33,29,25,26,24,23,94,81,62,1009,1007,1005,10,9,2,37,11,52,0.00,5,Rain-Thunderstorm,153<br />
2002-1-24,33,29,25,26,24,23,94,77,55,1009,1007,1005,10,9,3,16,10,39,0.00,5,Rain-Thunderstorm,11<br />
2002-1-25,33,29,26,26,24,23,94,74,55,1009,1007,1004,10,10,10,24,11,,0.00,3,,267<br />
2002-1-26,33,31,29,25,24,23,79,70,55,1008,1006,1004,10,10,10,32,16,,0.00,5,,267<br />
2002-1-27,34,31,29,26,26,25,84,73,59,1008,1006,1004,10,10,10,27,18,,0.00,5,Rain,268<br />
2002-1-28,32,27,23,26,24,21,94,78,66,1008,1006,1004,10,9,1,37,21,,0.00,5,Rain-Thunderstorm,288<br />
2002-1-29,33,29,25,27,26,23,94,80,62,1008,1006,1004,10,10,10,27,11,,0.00,5,,271<br />
2002-1-30,33,30,25,26,26,22,89,78,63,1009,1007,1005,10,10,10,47,16,50,0.00,6,Rain-Thunderstorm,257<br />
2002-1-31,33,28,24,26,24,23,94,79,59,1008,1007,1006,10,10,8,34,16,37,0.00,7,Rain-Thunderstorm,269<br />
2002-2-1,33,31,29,26,25,24,79,73,59,1008,1007,1005,10,10,10,27,21,,0.00,6,Rain,273<br />
2002-2-2,32,30,28,26,25,24,84,76,66,1009,1007,1006,10,10,5,29,19,,0.00,6,Rain,265<br />
2002-2-3,32,29,26,26,25,24,94,80,66,1009,1008,1006,10,9,4,29,14,52,0.00,5,Rain-Thunderstorm,260<br />
2002-2-4,32,30,28,25,24,23,84,73,59,1009,1007,1005,10,10,10,23,13,,0.00,6,,275<br />
2002-2-5,33,30,28,26,24,23,84,72,59,1009,1007,1005,10,10,10,26,13,,0.00,6,,267<br />
2002-2-6,33,30,28,26,25,24,89,78,59,1008,1006,1005,10,10,6,27,16,,0.00,6,Rain-Thunderstorm,243<br />
2002-2-7,28,27,25,26,25,24,100,91,84,1008,1007,1005,10,9,3,34,13,,0.00,6,Rain,286<br />
2002-2-8,28,27,25,25,24,24,94,92,79,1008,1006,1003,10,8,2,48,24,69,0.00,7,Rain,264<br />
2002-2-9,28,26,24,25,24,23,100,91,79,1006,1003,1001,10,4,0,52,24,66,0.00,7,Rain,286<br />
2002-2-10,29,27,24,25,24,22,100,84,66,1004,1002,1000,10,6,0,50,32,71,0.00,6,Rain,280<br />
2002-2-11,29,27,24,25,23,22,100,88,70,1005,1002,1000,10,5,1,66,40,80,0.00,6,Rain,253<br />
2002-2-12,28,26,23,26,23,21,100,90,83,1007,1004,1002,10,6,2,48,32,66,0.00,7,Rain,236<br />
2002-2-13,30,26,22,25,23,21,94,86,70,1008,1006,1004,10,7,1,40,18,,0.00,7,Rain,254<br />
2002-2-14,30,27,23,26,23,21,100,84,58,1010,1007,1006,10,8,4,39,16,64,0.00,6,Rain,237<br />
2002-2-15,31,29,27,25,25,24,89,81,70,1008,1007,1004,10,10,10,32,18,,0.00,4,,263<br />
2002-2-16,31,29,27,26,25,24,89,80,70,1007,1006,1004,10,9,4,32,21,,0.00,5,Rain,279<br />
2002-2-17,31,28,26,26,25,23,94,81,62,1008,1006,1005,10,8,0,32,21,,0.00,6,Rain,262<br />
2002-2-18,30,28,26,25,24,23,94,82,70,1007,1006,1004,10,9,3,35,23,,0.00,6,Rain,261<br />
2002-2-19,30,28,25,26,24,23,100,85,79,1007,1005,1002,10,8,1,39,27,53,0.00,7,Rain,261<br />
2002-2-20,29,27,24,26,25,23,100,88,79,1005,1003,1001,10,5,0,66,34,95,0.00,6,Rain,271<br />
2002-2-21,31,28,25,25,24,22,100,81,66,1008,1005,1003,10,8,0,60,43,89,0.00,5,Rain,296<br />
2002-2-22,31,28,25,26,25,24,100,84,70,1011,1008,1006,10,7,1,45,31,66,0.00,5,Rain,298<br />
2002-2-23,30,28,25,26,24,23,94,81,70,1011,1010,1008,10,9,3,35,16,53,0.00,5,Rain,282<br />
2002-2-24,31,28,26,25,24,23,94,82,70,1011,1010,1008,10,10,10,26,18,,0.00,4,Rain,310<br />
2002-2-25,32,28,25,26,24,21,100,82,52,1012,1011,1009,10,9,1,24,11,,0.00,4,Rain,329<br />
2002-2-26,32,29,26,26,25,23,100,89,70,1011,1009,1007,10,9,2,27,6,,0.00,4,Rain-Thunderstorm,248<br />
2002-2-27,30,28,26,26,24,22,100,86,62,1010,1009,1006,10,10,7,26,8,,0.00,6,Rain,238<br />
2002-2-28,32,29,26,26,25,23,94,82,62,1010,1008,1006,10,9,1,27,10,,0.00,4,Rain-Thunderstorm,271<br />
2002-3-1,33,29,26,26,24,21,94,78,55,1009,1007,1004,10,10,10,26,11,,0.00,3,,256<br />
2002-3-2,31,28,26,26,24,22,100,81,62,1008,1006,1004,10,10,10,21,8,,0.00,5,,261<br />
2002-3-3,33,28,24,25,23,21,100,81,49,1008,1006,1004,10,9,0,37,13,35,0.00,5,Rain-Thunderstorm,154<br />
