
MYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-5-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2002-5-23,26,,26,25,25,25,94,94,94,1012,1012,1012,10,10,10,8,8,,0.00,6,,100<br />
2002-7-9,32,32,31,26,26,26,75,71,70,1009,1007,1006,10,10,10,16,16,,0.00,6,,211<br />
2002-7-14,33,,33,25,25,25,63,63,63,1007,1007,1007,10,10,10,16,16,,0.00,6,,190<br />
2002-7-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2002-7-19,27,,27,25,25,25,89,89,89,1012,1012,1012,10,10,10,0,0,,0.00,6,,-1<br />
2002-7-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2002-7-31,32,28,24,24,23,23,100,81,59,1011,1009,1007,10,10,6,13,6,,0.00,6,Rain,100<br />
2002-8-1,32,27,23,25,23,22,94,77,59,1009,1007,1005,10,10,4,14,3,,0.00,6,,283<br />
2002-8-2,28,26,24,24,23,23,94,87,74,1010,1008,1007,10,10,1,10,3,,0.00,6,Rain-Thunderstorm,24<br />
2002-8-3,31,27,23,24,23,22,94,82,66,1011,1009,1007,10,10,6,23,6,,0.00,6,,106<br />
2002-8-4,31,27,24,24,23,20,94,77,58,1012,1009,1007,10,10,10,16,8,,0.00,6,,129<br />
2002-8-5,33,28,23,24,23,21,94,74,55,1012,1009,1006,10,10,8,21,10,,0.00,6,Rain,77<br />
2002-8-6,33,27,22,24,22,21,94,78,49,1012,1010,1007,10,9,1,13,6,,0.00,7,Rain,135<br />
2002-8-7,31,28,25,24,23,21,94,81,62,1013,1010,1008,10,10,10,13,2,,0.00,6,Rain-Thunderstorm,233<br />
2002-8-8,32,28,24,24,23,22,94,76,58,1012,1010,1008,10,10,10,16,3,,0.00,6,,277<br />
2002-8-9,30,27,23,24,23,21,94,81,66,1012,1010,1009,10,10,8,16,5,,0.00,6,Rain-Thunderstorm,211<br />
2002-8-10,31,27,24,25,23,22,89,81,66,1013,1011,1009,10,10,8,23,5,,0.00,6,,148<br />
2002-8-11,31,27,23,25,23,22,94,81,62,1014,1012,1009,10,10,8,19,5,,0.00,6,Rain,242<br />
2002-8-12,33,28,23,25,23,22,94,80,55,1014,1011,1008,10,10,6,16,6,,0.00,6,Rain,206<br />
2002-8-13,32,28,25,25,23,21,94,76,52,1012,1010,1008,10,8,4,11,3,,0.00,6,,217<br />
2002-8-14,34,29,25,25,22,18,89,69,38,1012,1009,1007,10,9,4,14,3,,0.00,6,,217<br />
2002-8-15,34,28,22,23,20,17,94,66,36,1009,1008,1005,10,9,8,13,3,,0.00,6,,185<br />
2002-8-16,34,28,22,22,20,18,94,67,38,1009,1007,1005,8,6,1,13,3,,0.00,6,,165<br />
2002-8-17,35,28,22,25,21,17,94,70,36,1009,1008,1005,8,5,2,16,5,,0.00,6,,161<br />
2002-8-18,35,29,24,25,23,19,94,72,39,1010,1008,1005,6,5,2,16,6,,0.00,6,,136<br />
2002-8-19,36,30,25,26,23,19,94,73,37,1010,1009,1006,6,4,1,14,5,,0.00,6,,135<br />
2002-8-20,32,28,25,26,25,23,94,80,59,1011,1009,1007,5,3,1,14,5,,0.00,6,,63<br />
2002-8-21,31,28,25,26,24,23,94,85,74,1011,1009,1008,5,4,1,13,3,,0.00,6,Rain,61<br />
2002-8-22,33,28,24,24,23,22,94,75,55,1012,1010,1007,10,7,2,13,5,,0.00,6,,40<br />
2002-8-23,32,28,24,25,24,23,94,77,59,1012,1010,1008,10,8,1,16,5,,0.00,6,Rain,316<br />
2002-8-24,30,28,23,25,24,22,94,83,70,1014,1011,1009,10,10,4,21,8,,0.00,6,Rain-Thunderstorm,234<br />
2002-8-25,30,27,23,24,23,22,100,87,66,1014,1012,1010,10,8,3,10,3,,0.00,6,Rain-Thunderstorm,83<br />
2002-8-26,31,27,24,25,24,23,94,82,66,1012,1010,1007,10,7,1,13,3,,0.00,6,,324<br />
2002-8-27,30,27,24,25,24,23,94,84,70,1012,1010,1008,10,9,4,13,3,,0.00,6,Thunderstorm,118<br />
2002-8-28,32,27,23,25,23,22,94,82,62,1013,1010,1008,10,7,2,16,5,,0.00,6,Rain-Thunderstorm,81<br />
2002-8-29,31,27,23,25,23,23,100,89,66,1013,1012,1010,10,9,5,14,5,,0.00,7,Rain,134<br />
2002-8-30,31,27,23,25,23,22,100,82,66,1012,1010,1007,10,9,3,19,6,,0.00,6,,169<br />
2002-8-31,31,27,24,25,23,22,94,83,70,1012,1010,1008,10,8,1,13,3,,0.00,6,,130<br />
2002-9-1,32,28,24,25,24,23,94,79,62,1013,1011,1008,10,9,3,14,6,,0.00,6,,360<br />
2002-9-2,33,29,25,25,24,23,94,78,55,1013,1011,1009,10,9,4,14,5,,0.00,6,,75<br />
2002-9-3,33,28,24,26,24,23,94,78,62,1012,1011,1008,10,10,10,16,6,,0.00,6,Thunderstorm,115<br />
2002-9-4,32,28,25,24,23,22,94,83,59,1013,1010,1008,10,9,4,19,6,,0.00,6,Rain-Thunderstorm,141<br />
2002-9-5,32,27,23,24,23,22,100,79,55,1013,1010,1008,10,10,10,14,8,,0.00,6,Rain,142<br />
2002-9-6,31,27,23,25,23,22,94,85,66,1012,1010,1007,10,9,2,14,6,,0.00,6,Rain-Thunderstorm,121<br />
2002-9-7,32,27,23,25,23,22,94,79,59,1011,1009,1006,10,9,6,13,6,,0.00,6,,112<br />
2002-9-8,31,27,24,25,23,23,94,85,66,1012,1009,1007,10,8,1,16,6,,0.00,6,Rain-Thunderstorm,116<br />
