
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-3,-8,-13,-13,-15,-17,80,61,40,1035,1032,1030,16,16,16,19,6,,0.00,0,,329<br />
2002-1-2,-7,-10,-12,-11,-12,-14,96,80,63,1036,1033,1030,16,13,2,21,10,,0.00,5,Snow,352<br />
2002-1-3,-1,-7,-13,-9,-12,-14,100,71,49,1031,1028,1024,16,15,8,23,6,,0.00,0,,212<br />
2002-1-4,6,1,-5,-3,-6,-11,72,62,53,1024,1020,1017,16,16,16,27,18,,0.00,0,,216<br />
2002-1-5,4,0,-3,3,-1,-4,100,91,64,1019,1017,1016,16,9,0,23,11,,1.52,5,Fog-Rain-Snow,256<br />
2002-1-6,2,-1,-6,1,-3,-10,100,86,61,1027,1020,1016,16,15,8,37,14,50,0.00,7,Snow,344<br />
2002-1-7,2,-4,-11,-7,-10,-13,88,66,48,1029,1025,1017,16,16,16,24,13,,0.00,0,,236<br />
2002-1-8,13,6,-1,3,-2,-7,76,63,49,1017,1013,1010,16,16,16,14,11,,0.00,0,,229<br />
2002-1-9,11,6,1,2,1,0,96,73,53,1015,1011,1009,16,16,16,10,5,,0.00,0,,243<br />
2002-1-10,10,4,-2,2,1,-3,96,72,54,1025,1020,1014,16,16,14,21,6,,0.00,1,Rain,336<br />
2002-1-11,12,3,-5,1,-3,-5,100,67,37,1026,1022,1017,16,16,16,24,6,,0.00,1,,231<br />
2002-1-12,9,5,1,2,-2,-6,76,62,41,1020,1017,1013,16,16,16,32,18,39,0.00,2,,290<br />
2002-1-13,11,6,1,1,-2,-6,70,58,44,1012,1005,1002,16,16,16,29,14,32,0.00,0,,225<br />
2002-1-14,6,2,-1,1,-3,-7,82,67,54,1022,1013,1004,16,16,16,34,19,50,0.00,5,,291<br />
2002-1-15,4,0,-4,-6,-7,-8,72,61,49,1028,1024,1020,16,16,16,19,11,,0.00,0,,2<br />
2002-1-16,3,-1,-4,-2,-6,-8,78,64,54,1025,1019,1014,16,16,16,27,10,35,0.00,0,,341<br />
2002-1-17,6,1,-4,-7,-8,-9,78,55,36,1026,1025,1023,16,16,16,11,6,,0.00,2,,244<br />
2002-1-18,2,-2,-6,-1,-4,-8,100,81,57,1028,1023,1019,16,10,1,16,10,,2.54,4,Fog-Snow,97<br />
2002-1-19,1,-1,-4,-2,-3,-5,100,92,75,1020,1018,1016,16,10,1,23,10,,1.02,5,Snow,288<br />
2002-1-20,5,1,-3,0,-3,-6,89,78,67,1017,1010,1005,16,16,14,26,16,35,0.00,1,,208<br />
2002-1-21,13,6,-2,-3,-5,-7,82,53,27,1017,1015,1009,16,16,16,26,13,35,0.00,0,,231<br />
2002-1-22,16,10,4,9,1,-6,96,54,38,1016,1009,1003,16,16,13,40,19,58,0.00,0,,199<br />
2002-1-23,13,7,-1,11,3,-4,100,81,64,1019,1010,1003,16,14,11,27,18,27,0.00,5,,314<br />
2002-1-24,7,1,-6,-4,-7,-8,85,62,37,1025,1023,1020,16,16,16,21,11,,0.00,0,,279<br />
2002-1-25,14,6,-3,-7,-8,-8,75,44,21,1025,1022,1018,16,16,16,35,14,45,0.00,0,,219<br />
2002-1-26,18,11,4,-1,-4,-8,48,36,24,1018,1016,1014,16,16,16,37,23,47,0.00,0,,211<br />
2002-1-27,18,12,7,2,1,-2,57,46,32,1014,1011,1008,16,16,16,35,24,52,0.00,0,,210<br />
2002-1-28,9,3,-3,2,-3,-6,85,72,59,1016,1013,1010,16,16,14,16,11,,0.00,0,,338<br />
2002-1-29,-2,-3,-4,-4,-5,-6,100,88,74,1023,1019,1015,16,10,3,21,11,,7.11,7,Rain-Snow,344<br />
2002-1-30,0,-2,-4,0,-3,-5,100,97,92,1025,1021,1014,14,9,6,21,13,,42.42,8,Rain,16<br />
