
MDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-2-4,-4,-7,-9,-6,-7,-9,100,92,80,1033,1031,1031,11,7,5,19,13,,0.00,2,,293<br />
2002-2-5,-3,-7,-11,-6,-9,-11,100,95,80,1031,1029,1026,6,4,0,14,3,,0.00,3,,261<br />
2002-2-6,1,-6,-12,-5,-8,-12,100,91,56,1029,1027,1024,9,4,1,23,6,,0.00,3,,275<br />
2002-2-7,7,-1,-9,-4,-7,-10,100,80,39,1026,1021,1014,16,10,3,37,11,52,0.00,2,,292<br />
2002-2-8,11,4,-2,4,-5,-8,100,64,37,1029,1022,1012,16,15,2,53,29,66,0.00,6,Snow,296<br />
2002-2-9,-1,-3,-6,-3,-6,-8,93,79,69,1042,1036,1027,32,17,16,34,16,,0.00,1,,311<br />
2002-2-10,3,-3,-9,-4,-7,-11,93,74,45,1043,1040,1036,16,16,11,26,14,,0.00,1,,190<br />
2002-2-11,3,-2,-6,-2,-4,-9,93,73,56,1032,1030,1028,16,15,11,14,10,,0.00,3,,298<br />
2002-2-12,-1,-4,-7,-3,-4,-7,100,88,80,1030,1029,1028,16,12,1,23,10,,0.00,2,,294<br />
2002-2-13,3,-2,-7,-3,-5,-8,93,79,48,1027,1022,1019,16,13,11,34,18,,0.00,6,,223<br />
2002-2-14,1,-1,-3,-2,-4,-6,100,79,65,1026,1021,1016,16,14,6,37,16,,0.00,4,,303<br />
2002-2-15,3,-2,-7,-2,-6,-9,93,77,48,1031,1029,1027,16,15,11,24,11,,0.00,0,,159<br />
2002-2-16,3,-1,-5,-2,-3,-6,93,82,70,1027,1023,1016,16,12,10,19,3,,0.00,5,,317<br />
2002-2-17,11,6,1,-1,-2,-5,81,57,33,1010,1007,1005,32,18,11,34,18,40,0.00,4,,171<br />
2002-2-18,3,1,0,1,0,-1,100,91,75,1015,1010,1005,11,8,5,19,10,,0.00,8,Snow,327<br />
2002-2-19,7,2,-2,1,-1,-3,100,80,57,1020,1018,1016,16,14,8,37,18,,0.00,6,,169<br />
2002-2-20,6,3,0,6,3,0,100,99,87,1032,1025,1019,16,12,6,32,13,47,0.00,6,Rain,72<br />
2002-2-21,8,2,-3,1,-2,-4,100,81,43,1037,1035,1033,16,16,16,27,11,,0.00,1,,176<br />
2002-2-22,14,7,1,4,-1,-5,81,57,33,1030,1026,1021,16,16,16,29,18,,0.00,3,,143<br />
2002-2-23,14,10,5,1,-1,-3,76,49,33,1013,1010,1008,16,16,16,52,37,60,0.00,6,,270<br />
2002-2-24,8,4,2,2,1,-1,93,78,53,1019,1018,1017,16,16,16,27,8,,0.00,7,,158<br />
2002-2-25,0,-2,-5,-8,-9,-11,74,59,51,1036,1033,1030,16,16,16,34,19,,0.00,1,,329<br />
2002-2-26,2,-3,-8,-5,-10,-15,86,58,32,1037,1029,1022,16,16,16,34,14,,0.00,2,,197<br />
2002-2-27,3,-2,-6,-5,-7,-9,93,71,52,1027,1024,1019,16,16,16,16,6,,0.00,0,,311<br />
2002-2-28,5,0,-4,-2,-6,-8,100,69,42,1017,1011,1009,16,14,4,40,23,50,0.00,7,,269<br />
2002-3-1,-3,-6,-8,-9,-11,-12,86,67,51,1021,1017,1012,16,16,11,39,24,48,0.00,3,,323<br />
2002-3-2,-1,-6,-9,-10,-12,-16,86,61,32,1028,1026,1021,16,16,16,21,11,42,0.00,1,,327<br />
2002-3-3,2,-4,-9,-8,-11,-13,79,61,38,1032,1030,1029,16,16,16,13,5,,0.00,0,,298<br />
2002-3-4,9,1,-6,-4,-9,-13,80,53,22,1030,1026,1020,16,16,16,23,8,,0.00,0,,188<br />
2002-3-5,13,6,-2,-3,-7,-12,69,43,18,1019,1017,1015,16,16,16,27,10,32,0.00,0,,201<br />
2002-3-6,14,9,4,-4,-9,-12,45,25,17,1015,1011,1005,16,16,11,40,27,55,0.00,3,,169<br />
2002-3-7,11,7,3,4,2,-4,100,77,40,1006,1003,997,16,16,16,50,23,60,0.00,5,,175<br />
2002-3-8,4,-2,-8,2,-8,-12,100,74,51,1026,1016,999,16,13,2,45,26,53,0.00,4,,297<br />
2002-3-9,7,-1,-8,-2,-7,-12,93,65,34,1029,1026,1022,16,16,4,32,16,42,0.00,0,,202<br />
2002-3-10,9,6,2,2,-3,-7,100,59,39,1021,1019,1015,16,16,11,32,21,40,0.00,3,,205<br />
2002-3-11,10,5,0,1,0,-1,93,70,47,1026,1024,1022,16,16,16,23,6,,0.00,2,,199<br />
2002-3-12,11,8,6,6,1,-1,100,65,50,1021,1017,1011,16,16,16,32,21,40,0.00,4,,199<br />
2002-3-13,6,2,-2,6,1,-2,100,98,81,1010,1009,1007,16,10,1,26,10,42,0.00,8,,351<br />
2002-3-14,2,-2,-6,-2,-4,-7,100,83,65,1015,1013,1009,16,16,11,29,18,35,0.00,4,,328<br />
2002-3-15,3,-2,-6,-3,-6,-9,100,71,41,1016,1014,1010,16,16,16,21,5,,0.00,3,,211<br />
2002-3-16,5,2,-1,-1,-3,-6,100,79,61,1009,1008,1008,16,15,1,26,11,37,0.00,5,,191<br />
2002-3-17,1,-1,-4,-1,-4,-8,100,83,55,1013,1010,1008,16,13,2,23,11,,0.00,5,,199<br />
2002-3-18,1,-2,-5,-3,-6,-9,100,77,60,1023,1019,1013,16,16,8,27,11,40,0.00,3,,314<br />
2002-3-19,7,0,-6,-2,-4,-8,86,69,49,1026,1024,1023,16,16,16,24,11,34,0.00,2,,190<br />
2002-3-20,16,9,2,1,-1,-3,70,56,36,1026,1025,1023,16,16,16,34,16,45,0.00,0,,198<br />
2002-3-21,19,10,2,4,0,-3,76,55,24,1026,1023,1020,16,16,16,21,13,,0.00,0,,220<br />
2002-3-22,22,13,4,2,-1,-4,70,42,19,1020,1014,1008,16,16,16,34,13,37,0.00,0,,185<br />
2002-3-23,16,9,3,4,-3,-7,100,47,20,1009,1006,1002,16,15,11,45,24,58,0.00,2,,186<br />
2002-3-24,7,3,1,4,3,1,100,96,81,1013,1010,1008,16,12,2,21,5,27,0.00,6,,356<br />
2002-3-25,9,4,1,4,2,-1,100,84,62,1021,1017,1014,16,15,3,26,6,34,0.00,5,,281<br />
2002-3-26,13,7,1,2,1,-1,93,66,38,1022,1019,1016,16,16,16,16,8,32,0.00,3,,195<br />
2002-3-27,14,10,5,3,1,-1,76,55,38,1017,1015,1013,16,16,16,34,14,40,0.00,2,,248<br />
2002-3-28,14,8,3,1,-1,-3,75,53,36,1020,1018,1016,16,16,16,14,8,26,0.00,0,,341<br />
2002-3-29,13,8,3,3,1,-2,81,60,36,1021,1019,1017,16,16,16,29,10,39,0.00,0,,334<br />
2002-3-30,16,9,2,2,-1,-3,81,52,27,1022,1021,1020,16,16,16,29,10,42,0.00,0,,289<br />
2002-3-31,17,10,3,2,-1,-3,81,51,26,1023,1021,1017,16,16,8,14,8,,0.00,0,,248<br />
2002-4-1,22,13,4,3,-2,-7,61,38,15,1017,1015,1013,16,16,16,23,13,29,0.00,0,,256<br />
2002-4-2,14,10,7,5,2,-2,71,56,38,1018,1017,1015,16,16,16,27,16,35,0.00,0,,320<br />
2002-4-3,16,8,1,2,0,-2,81,52,29,1019,1017,1016,16,16,16,24,11,27,0.00,0,,319<br />
2002-4-4,21,12,4,3,0,-2,65,44,28,1021,1019,1018,16,16,16,21,10,26,0.00,0,,276<br />
2002-4-5,24,16,8,3,1,-2,66,38,19,1018,1015,1010,16,16,16,35,14,42,0.00,0,,185<br />
2002-4-6,19,16,11,5,2,-3,62,41,26,1010,1008,1006,16,16,16,26,16,,0.00,1,,261<br />
2002-4-7,16,11,6,3,1,-2,71,52,31,1015,1012,1009,16,16,16,29,16,45,0.00,0,,333<br />
2002-4-8,17,10,4,3,1,-1,70,54,36,1017,1016,1015,16,16,16,14,10,,0.00,0,,306<br />
2002-4-9,21,13,7,7,3,0,67,52,27,1019,1017,1015,16,16,11,35,19,48,0.00,1,,204<br />
2002-4-10,15,11,7,8,5,2,100,71,42,1022,1021,1017,16,16,16,37,19,29,0.00,6,,335<br />
2002-4-11,17,10,3,6,2,1,93,58,34,1023,1021,1019,16,16,16,19,6,27,0.00,2,,224<br />
2002-4-12,19,14,9,6,3,1,66,50,37,1023,1020,1019,16,16,16,32,14,47,0.00,2,,264<br />
2002-4-13,23,14,5,4,2,0,76,46,23,1024,1022,1018,16,16,16,21,10,26,0.00,0,,210<br />
2002-4-14,28,21,14,9,2,-3,63,32,15,1017,1008,1001,16,16,16,39,27,66,0.00,1,,187<br />
2002-4-15,24,13,2,10,4,0,100,71,21,1004,997,989,16,13,4,84,29,126,0.00,3,,291<br />
2002-4-16,10,6,1,1,-1,-3,100,67,43,1014,1010,1005,16,16,6,32,13,42,0.00,5,,187<br />
2002-4-17,10,6,1,3,1,-4,100,77,40,1014,1009,1005,16,14,2,42,23,52,0.00,5,,167<br />
2002-4-18,4,2,1,4,2,1,100,95,87,1016,1015,1013,16,15,5,23,10,,0.00,7,,331<br />
2002-4-19,7,3,1,4,3,1,100,92,71,1015,1014,1012,16,13,2,16,8,,0.00,6,,351<br />
2002-4-20,6,3,0,4,2,-1,100,91,65,1018,1012,1008,16,14,3,27,6,,0.00,7,,32<br />
2002-4-21,12,6,1,3,2,-1,100,72,47,1022,1020,1018,16,16,16,26,16,32,0.00,2,,190<br />
2002-4-22,18,12,6,3,1,-1,70,51,32,1021,1019,1017,16,16,16,29,14,37,0.00,2,,181<br />
2002-4-23,21,13,7,4,1,-5,66,43,27,1024,1017,1015,16,16,16,32,19,40,0.00,0,,270<br />
2002-4-24,13,7,1,-1,-6,-11,57,39,26,1029,1026,1023,16,16,16,23,14,,0.00,0,,331<br />
2002-4-25,19,11,4,7,1,-3,72,52,29,1023,1016,1010,16,16,16,24,6,,0.00,2,,244<br />
2002-4-26,18,13,8,10,8,5,94,79,56,1011,1005,1000,16,16,16,37,11,52,0.00,4,,299<br />
2002-4-27,9,7,4,8,6,4,100,90,76,1015,1007,1001,16,16,11,35,14,50,0.00,7,,185<br />
2002-4-28,13,8,4,9,7,4,100,88,72,1021,1019,1015,16,16,16,23,10,,0.00,4,,299<br />
2002-4-29,23,14,6,8,6,2,100,64,27,1021,1015,1009,16,16,16,29,11,39,0.00,0,,209<br />
2002-4-30,21,14,9,5,0,-11,58,37,17,1010,1007,1002,16,16,16,40,19,50,0.00,1,,201<br />
2002-5-1,14,11,6,5,1,-10,81,59,18,1013,1009,1004,16,16,16,37,23,47,0.00,3,,321<br />
2002-5-2,17,10,4,5,3,1,93,63,34,1014,1013,1012,16,16,16,29,6,35,0.00,1,,309<br />
2002-5-3,18,13,8,6,4,2,76,55,37,1017,1015,1013,16,16,16,37,16,45,0.00,4,,201<br />
2002-5-4,19,13,8,6,3,0,82,52,36,1021,1019,1016,16,16,16,21,8,,0.00,2,,319<br />
2002-5-5,22,16,9,7,4,1,71,50,25,1016,1015,1014,16,16,16,27,11,35,0.00,2,,247<br />
2002-5-6,23,16,8,7,4,1,62,44,29,1016,1013,1009,16,16,16,23,10,26,0.00,0,,308<br />
2002-5-7,20,12,4,7,2,-7,62,47,32,1020,1010,1005,16,16,16,52,16,61,0.00,3,,314<br />
2002-5-8,10,4,-1,-7,-9,-14,60,36,19,1023,1022,1020,16,16,16,24,14,34,0.00,1,,339<br />
2002-5-9,18,8,-1,-1,-7,-12,47,32,16,1021,1016,1011,16,16,16,35,14,45,0.00,0,,214<br />
2002-5-10,14,11,7,7,3,-2,100,61,47,1012,1010,1008,16,16,16,34,11,42,0.00,4,,333<br />
2002-5-11,13,9,6,7,7,5,100,87,58,1020,1016,1012,16,15,4,27,13,37,0.00,6,,327<br />
2002-5-12,19,12,6,6,4,3,87,58,35,1027,1025,1020,16,16,16,23,11,14,0.00,0,,332<br />
2002-5-13,24,16,7,5,2,-2,71,44,18,1026,1022,1015,16,16,16,23,10,29,0.00,0,,214<br />
2002-5-14,22,17,13,7,4,2,55,42,31,1014,1013,1011,16,16,11,34,13,45,0.00,0,,302<br />
2002-5-15,20,13,7,3,-1,-5,62,37,22,1014,1013,1013,16,16,16,24,11,37,0.00,1,,323<br />
2002-5-16,22,17,12,7,3,-3,52,39,27,1019,1016,1013,16,16,16,37,8,45,0.00,3,,345<br />
2002-5-17,27,17,7,8,3,-1,66,41,21,1019,1017,1013,16,16,16,21,6,,0.00,0,,227<br />
2002-5-18,31,22,14,4,0,-6,48,25,10,1014,1012,1010,16,16,11,34,19,58,0.00,0,,178<br />
