
YEKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-8-5,30,21,13,19,16,11,94,73,43,1021,1020,1019,5,4,2,11,2,,0.00,1,Fog,280<br />
2003-8-6,32,23,14,19,16,12,94,66,36,1019,1019,1018,10,7,5,18,3,,0.00,5,Fog,333<br />
2003-8-7,33,24,15,19,16,13,94,64,33,1020,1019,1019,10,7,5,18,3,29,0.00,3,Fog,276<br />
2003-8-8,32,23,14,19,16,13,94,66,36,1020,1019,1017,10,6,0,21,5,29,0.00,4,Fog,174<br />
2003-8-9,31,23,15,19,16,12,88,68,40,1017,1016,1015,10,10,10,18,10,26,0.00,6,Thunderstorm,153<br />
2003-8-10,31,22,13,18,16,12,94,68,40,1017,1016,1015,10,7,0,18,3,,0.00,5,Fog,172<br />
2003-8-11,29,23,17,20,17,14,88,69,51,1015,1014,1012,10,10,10,14,5,26,0.00,7,,138<br />
2003-8-12,30,23,17,20,18,16,94,73,55,1012,1011,1010,7,6,5,18,6,21,0.00,6,,3<br />
2003-8-13,26,22,18,20,18,16,88,82,69,1012,1010,1008,10,10,10,18,8,,0.00,8,Rain-Thunderstorm,60<br />
2003-8-14,28,23,19,19,14,11,94,63,37,1011,1010,1008,10,9,5,21,8,,0.00,7,Rain,227<br />
2003-8-15,27,20,14,15,13,11,83,62,39,1009,1007,1006,10,10,10,26,8,26,0.00,7,,166<br />
2003-8-16,24,18,12,15,13,10,88,72,50,1013,1010,1007,10,9,5,21,6,35,0.00,5,Fog,244<br />
2003-8-17,29,20,12,17,13,9,88,71,45,1014,1013,1012,10,10,10,26,8,29,0.00,5,,179<br />
2003-8-18,26,20,15,18,16,14,94,86,61,1015,1014,1013,10,6,0,11,3,,0.00,6,Fog,143<br />
2003-8-19,24,19,14,18,14,12,100,86,56,1013,1011,1009,10,5,0,26,3,,0.00,8,Fog,185<br />
2003-8-20,16,13,11,15,13,11,100,95,88,1010,1009,1008,10,6,0,18,5,26,0.00,8,Fog-Rain-Thunderstorm,4<br />
2003-8-21,18,16,14,17,15,13,100,95,88,1011,1009,1007,10,6,3,18,11,29,0.00,8,Rain,357<br />
2003-8-22,26,21,16,17,14,10,100,76,36,1014,1012,1010,10,10,10,21,8,14,0.00,8,Rain-Thunderstorm,67<br />
2003-8-23,26,18,11,16,13,8,100,71,32,1014,1014,1013,6,3,0,18,5,,0.00,7,Fog-Rain,137<br />
2003-8-24,25,20,15,16,14,13,94,76,47,1014,1014,1013,10,10,10,18,5,,0.00,8,,145<br />
2003-8-25,25,19,13,16,14,12,94,75,47,1014,1013,1012,10,7,0,21,6,,0.00,6,Fog,149<br />
2003-8-26,26,18,11,15,13,11,100,73,42,1012,1011,1010,5,2,0,14,5,21,0.00,4,Fog-Thunderstorm,168<br />
2003-8-27,19,17,16,17,16,14,94,88,82,1012,1011,1010,10,10,10,18,8,26,0.00,8,Rain-Thunderstorm,158<br />
2003-8-28,24,20,16,17,14,11,100,77,47,1015,1013,1011,6,4,1,18,5,,0.00,7,Fog-Rain-Thunderstorm,220<br />
2003-8-29,26,18,11,15,12,9,100,70,34,1015,1013,1010,10,7,3,26,8,32,0.00,3,Fog,174<br />
2003-8-30,18,16,11,14,11,6,94,74,45,1015,1012,1011,10,10,10,29,11,,0.00,7,Rain,279<br />
2003-8-31,19,13,8,11,9,7,94,80,52,1017,1015,1013,10,10,10,14,8,29,0.00,5,Rain,188<br />
2003-9-1,28,20,12,14,11,9,94,65,30,1013,1011,1011,10,10,10,32,10,29,0.00,6,Rain,199<br />
2003-9-2,25,18,10,18,14,9,100,79,61,1017,1015,1013,5,2,0,14,6,26,0.00,5,Fog,171<br />
2003-9-3,31,24,19,19,16,13,78,62,45,1013,1010,1007,,,,21,11,29,0.00,4,,170<br />
2003-9-4,20,15,8,16,9,5,82,72,63,1019,1015,1010,10,10,10,18,11,,0.00,6,,297<br />
2003-9-5,17,11,6,9,7,3,87,73,59,1024,1022,1019,10,10,10,21,10,,0.00,8,,60<br />
2003-9-6,29,21,13,19,14,9,88,71,51,1021,1013,1009,10,10,10,26,18,32,0.00,7,,150<br />
2003-9-7,21,17,14,15,13,10,94,77,64,1013,1011,1009,10,10,10,21,8,29,0.00,4,,25<br />
2003-9-8,16,13,10,10,8,7,87,78,63,1013,1011,1009,10,10,10,26,18,35,0.00,8,Rain-Thunderstorm,38<br />
2003-9-9,10,8,7,7,6,5,93,86,82,1010,1008,1007,10,7,2,21,14,26,0.00,8,Rain,20<br />
2003-9-10,8,7,6,7,6,5,93,89,87,1012,1010,1009,10,8,2,18,10,18,0.00,8,Rain,10<br />
