
NOVT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-12-16,-8,-13,-19,-9,-14,-21,93,86,79,1033,1032,1031,8,4,0,21,10,,0.00,5,Fog-Snow,156<br />
2003-12-17,-6,-10,-14,-14,-16,-18,79,68,54,1031,1029,1025,8,6,6,18,10,,0.00,6,,156<br />
2003-12-18,-8,-12,-15,-13,-16,-18,85,74,67,1025,1019,1016,6,5,4,18,11,,0.00,2,,162<br />
2003-12-19,-1,-8,-14,-4,-12,-16,86,79,68,1017,1012,1006,10,6,4,26,11,47,0.00,4,Rain,155<br />
2003-12-20,0,-2,-3,-1,-3,-7,93,84,74,1006,1005,1004,10,8,3,26,19,40,0.00,7,Rain-Snow,204<br />
2003-12-21,-3,-7,-9,-6,-9,-11,86,84,79,1009,1007,1006,10,7,5,18,13,26,0.00,7,Snow,257<br />
2003-12-22,-5,-11,-16,-8,-12,-20,93,78,49,1034,1017,1008,10,6,1,29,19,43,0.00,6,Snow,264<br />
2003-12-23,-5,-11,-18,-7,-13,-20,92,84,72,1037,1035,1035,10,6,4,35,16,47,0.00,6,Snow,205<br />
2003-12-24,-5,-7,-9,-7,-8,-10,93,90,80,1035,1034,1031,6,5,2,29,24,43,0.00,7,Snow,230<br />
2003-12-25,-8,-12,-16,-10,-14,-18,93,87,79,1031,1025,1020,8,5,3,21,16,,0.00,6,Snow,210<br />
2003-12-26,-11,-16,-19,-14,-17,-21,92,86,79,1025,1023,1020,8,5,4,21,10,,0.00,6,Snow,234<br />
2003-12-27,-8,-10,-11,-12,-14,-16,79,71,67,1020,1018,1016,10,8,6,26,23,,0.00,6,Snow,220<br />
2003-12-28,-8,-10,-12,-10,-12,-14,86,82,79,1019,1016,1014,10,7,4,29,23,,0.00,8,Snow,224<br />
2003-12-29,-6,-9,-12,-9,-11,-14,93,86,79,1022,1020,1018,10,7,4,32,19,,0.00,7,Snow,239<br />
2003-12-30,-5,-8,-10,-7,-9,-12,93,87,80,1028,1025,1020,10,8,4,21,16,,0.00,7,Fog-Snow,238<br />
2003-12-31,-6,-10,-13,-8,-12,-15,93,87,85,1026,1024,1022,6,5,2,21,18,,0.00,6,Snow,242<br />
