
ART,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,24,21,19,18,17,15,94,77,65,1015,1015,1014,10,10,7,23,16,,0.00,3,,113<br />
2003-1-2,24,22,20,18,16,14,83,68,53,1016,1014,1011,10,10,10,27,16,,0.00,1,,97<br />
2003-1-3,27,23,21,20,18,16,88,73,54,1011,1009,1007,10,10,10,19,14,,0.00,3,,59<br />
2003-1-4,29,24,21,22,19,16,100,73,45,1010,1008,1006,10,10,10,16,8,,0.00,1,,108<br />
2003-1-5,31,26,22,22,16,10,89,56,34,1010,1006,1004,10,10,10,34,14,52,0.00,2,,291<br />
2003-1-6,30,23,17,17,12,9,72,46,33,1013,1011,1008,10,10,10,27,18,,0.00,0,,339<br />
2003-1-7,25,21,18,15,9,6,64,45,35,1016,1014,1012,10,10,10,29,21,,0.00,0,,109<br />
2003-1-8,28,24,21,21,18,15,78,69,61,1013,1010,1007,10,10,10,29,14,,0.00,3,,26<br />
2003-1-9,29,24,20,22,20,18,94,72,58,1010,1009,1007,10,10,7,27,11,,0.00,0,,13<br />
2003-1-10,30,25,20,23,19,16,89,69,57,1015,1010,1007,10,9,4,66,26,93,0.00,4,Rain-Thunderstorm,55<br />
2003-1-11,26,23,22,19,16,12,73,61,44,1016,1014,1010,10,10,10,52,18,61,0.00,2,,119<br />
2003-1-12,26,22,19,19,15,13,73,62,50,1017,1015,1012,10,10,10,24,16,,0.00,0,,66<br />
2003-1-13,30,26,21,23,19,15,100,70,54,1014,1011,1009,10,9,1,48,14,71,0.00,2,Rain-Thunderstorm,354<br />
2003-1-14,31,27,23,25,22,17,84,70,61,1013,1011,1010,10,10,10,21,13,,0.00,1,,4<br />
2003-1-15,31,28,26,24,21,17,70,64,43,1013,1011,1008,10,10,10,23,11,,0.00,2,,35<br />
2003-1-16,32,28,25,23,21,17,78,65,40,1011,1009,1007,10,10,10,16,10,,0.00,2,,38<br />
2003-1-17,31,27,24,23,20,15,83,66,42,1014,1009,1006,10,10,10,47,16,,0.00,8,Rain,320<br />
2003-1-18,23,20,17,15,11,6,68,52,40,1020,1017,1012,10,10,10,48,31,,0.00,0,,120<br />
2003-1-19,22,20,19,20,17,12,100,82,64,1011,1008,1001,10,7,1,37,19,48,0.00,6,Rain-Thunderstorm,61<br />
2003-1-20,31,24,19,19,16,8,100,63,30,1007,1005,1004,8,6,1,24,14,,0.00,5,,251<br />
2003-1-21,27,23,20,22,17,8,88,64,32,1009,1007,1005,10,9,9,21,13,,0.00,4,,108<br />
2003-1-22,23,21,19,19,17,16,94,79,69,1008,1007,1007,10,9,3,37,18,,0.00,7,Rain-Thunderstorm,144<br />
2003-1-23,24,20,17,17,11,4,83,56,31,1019,1014,1008,10,9,7,27,14,,0.00,2,,201<br />
2003-1-24,28,22,16,21,13,7,73,57,37,1019,1016,1013,,,,29,13,,0.00,,,314<br />
2003-1-25,30,25,20,20,17,14,83,63,45,1015,1013,1011,10,10,10,19,14,,0.00,0,,328<br />
2003-1-26,30,26,22,22,19,16,73,64,55,1013,1011,1008,10,10,10,16,8,,0.00,0,,20<br />
2003-1-27,31,27,24,26,22,17,84,72,55,1011,1009,1008,,,,24,10,,0.00,,,18<br />
2003-1-28,28,26,23,24,21,14,89,74,50,1014,1012,1010,10,10,10,40,16,,0.00,1,Fog,122<br />
2003-1-29,33,28,24,24,19,11,83,65,43,1014,1011,1007,10,10,10,27,19,,0.00,1,,4<br />
2003-1-30,35,30,25,25,22,20,83,65,44,1008,1005,1000,10,10,10,201,24,,0.00,3,,327<br />
2003-1-31,36,31,27,24,22,15,70,57,36,1005,1003,1001,10,10,10,34,16,,0.00,2,,316<br />
