
PHT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,33,30,27,26,24,23,84,72,59,1012,1011,1009,10,10,10,14,11,,0.00,4,,36<br />
2003-1-2,31,27,24,24,23,22,94,80,62,1013,1012,1010,10,10,5,19,10,26,0.00,5,Rain,31<br />
2003-1-3,32,27,22,25,24,22,100,79,66,1014,1012,1010,10,10,10,11,6,,0.00,6,,13<br />
2003-1-4,32,28,24,25,24,23,94,76,66,1014,1012,1009,10,10,10,19,10,26,0.00,5,,32<br />
2003-1-5,31,27,24,25,24,23,94,77,66,1014,1013,1011,10,10,10,19,11,,0.00,5,,26<br />
2003-1-6,25,24,24,24,23,22,100,92,83,1015,1013,1011,10,9,5,19,13,,0.00,7,Rain,5<br />
2003-1-7,32,27,23,25,24,22,94,77,62,1014,1012,1010,10,10,10,11,8,,0.00,5,,50<br />
2003-1-8,32,28,24,25,24,23,94,77,62,1015,1012,1009,10,10,10,19,11,,0.00,5,,6<br />
2003-1-9,33,28,24,24,24,22,100,71,55,1013,1010,1008,10,10,10,19,14,26,0.00,3,,1<br />
2003-1-10,30,27,23,25,24,22,94,85,70,1013,1011,1008,10,9,1,19,10,,0.00,5,Rain,14<br />
2003-1-11,31,27,23,24,22,20,94,76,55,1013,1011,1008,10,10,10,19,11,,0.00,4,,9<br />
2003-1-12,30,27,23,24,22,20,88,77,66,1013,1011,1010,10,10,10,19,10,,0.00,6,,16<br />
2003-1-13,32,28,24,24,23,22,89,70,55,1014,1011,1009,10,10,10,23,14,,0.00,3,,17<br />
2003-1-14,31,27,24,25,24,22,89,74,66,1014,1012,1010,10,10,10,23,13,,0.00,4,,11<br />
2003-1-15,31,27,23,24,23,22,94,78,62,1015,1012,1010,10,9,8,23,14,,0.00,5,Rain,9<br />
2003-1-16,27,24,23,24,23,22,94,90,83,1015,1013,1011,10,9,5,19,13,40,0.00,7,Rain,11<br />
2003-1-17,28,26,23,24,23,22,94,86,74,1015,1013,1011,10,7,3,19,11,,0.00,7,Rain,21<br />
2003-1-18,30,27,23,25,24,22,100,85,74,1014,1012,1009,10,10,10,19,10,,0.00,6,,14<br />
2003-1-19,31,27,24,25,24,23,94,79,66,1011,1011,1010,10,10,10,19,13,,0.00,6,,27<br />
2003-1-20,31,27,24,26,23,2,94,77,20,1011,1010,1007,10,10,10,19,13,,0.00,5,,27<br />
2003-1-21,31,27,24,25,24,23,94,78,66,1012,1009,1006,10,10,10,19,16,,0.00,3,,43<br />
2003-1-22,33,28,24,25,24,23,94,75,59,1011,1008,1006,10,10,10,14,10,,0.00,2,,62<br />
2003-1-23,32,28,25,26,25,23,94,83,66,1011,1009,1006,10,9,4,11,8,,0.00,6,Rain-Thunderstorm,65<br />
2003-1-24,30,28,25,25,24,23,94,83,70,1011,1010,1008,10,9,5,19,10,34,0.00,5,Rain,12<br />
2003-1-25,31,27,24,24,23,23,94,77,62,1013,1011,1008,10,10,10,19,16,34,0.00,3,,15<br />
2003-1-26,31,27,24,25,23,21,89,75,62,1011,1009,1008,10,10,10,23,14,,0.00,4,,33<br />
2003-1-27,31,28,25,25,24,24,94,80,66,1013,1011,1009,10,10,10,19,10,,0.00,5,,33<br />
2003-1-28,33,29,25,26,24,21,94,74,63,1013,1011,1009,10,10,10,14,13,,0.00,3,,40<br />
2003-1-29,33,29,25,25,24,24,94,75,62,1013,1012,1010,10,10,10,19,14,,0.00,4,,29<br />
2003-1-30,32,28,25,26,24,23,89,78,66,1014,1012,1010,10,10,10,19,11,34,0.00,5,,7<br />
2003-1-31,32,28,24,25,24,22,94,78,62,1015,1012,1007,10,10,8,19,13,,0.00,4,Rain,23<br />
2003-2-1,33,29,25,25,24,23,94,75,59,1013,1011,1009,10,10,10,23,11,34,0.00,4,,26<br />
2003-2-2,31,27,24,26,24,23,100,93,75,1012,1011,1009,10,10,8,19,8,37,0.00,6,Rain,31<br />
2003-2-3,29,27,24,24,23,23,94,81,74,1013,1011,1009,10,9,4,23,11,37,0.00,6,Rain,11<br />
2003-2-4,30,27,23,24,23,21,94,80,70,1012,1010,1008,10,10,8,23,14,,0.00,5,Rain,14<br />
2003-2-5,27,26,24,23,23,22,94,83,74,1013,1011,1010,10,9,2,26,14,45,0.00,7,Rain,24<br />
2003-2-6,29,27,24,24,23,21,89,79,74,1013,1011,1009,10,10,10,23,14,34,0.00,4,Rain,23<br />
2003-2-7,31,27,24,25,24,22,94,82,70,1012,1010,1008,10,10,10,19,10,,0.00,5,Rain,36<br />
2003-2-8,33,29,25,25,24,23,89,73,59,1012,1009,1008,10,10,10,11,8,,0.00,5,,33<br />
2003-2-9,31,27,24,25,24,23,94,86,70,1011,1009,1008,10,10,10,11,8,,0.00,4,Thunderstorm,48<br />
2003-2-10,29,27,25,26,24,24,94,89,79,1012,1010,1008,10,9,3,11,5,,0.00,7,Rain,18<br />
2003-2-11,32,27,23,24,23,21,94,72,58,1012,1010,1008,10,10,10,19,10,,0.00,4,,11<br />
2003-2-12,33,27,21,24,23,20,94,73,59,1014,1011,1008,10,10,10,11,8,,0.00,3,,45<br />
2003-2-13,32,28,24,26,24,23,94,79,70,1013,1011,1009,10,10,10,23,14,26,0.00,3,,25<br />
2003-2-14,32,28,25,24,23,22,89,73,55,1014,1012,1009,10,10,10,23,13,34,0.00,4,,26<br />
2003-2-15,31,29,27,26,24,24,84,75,66,1012,1010,1009,10,10,10,14,10,,0.00,4,,65<br />
2003-2-16,33,29,25,25,24,23,89,77,63,1012,1010,1008,10,10,10,11,6,,0.00,3,,35<br />
2003-2-17,33,28,24,24,23,22,94,69,55,1014,1012,1009,10,10,10,11,11,,0.00,3,,23<br />
2003-2-18,33,28,23,24,23,22,94,68,52,1013,1011,1009,10,10,10,11,6,,0.00,3,,20<br />
2003-2-19,27,26,24,24,23,22,94,87,79,1012,1010,1009,10,9,5,19,11,,0.00,8,Rain,9<br />
2003-2-20,28,26,23,24,23,22,94,84,74,1014,1012,1010,10,8,4,11,6,,0.00,7,Rain,19<br />
2003-2-21,30,27,23,25,23,22,100,82,70,1013,1012,1011,10,10,10,19,10,,0.00,5,Rain,14<br />
2003-2-22,32,27,23,25,24,22,94,80,66,1014,1011,1009,10,10,10,19,13,37,0.00,5,Rain,19<br />
2003-2-23,29,27,24,24,23,23,94,84,74,1016,1011,1009,10,8,4,14,10,,0.00,7,Rain,30<br />
2003-2-24,26,24,24,22,21,20,89,77,69,1013,1010,1008,10,10,10,19,13,23,0.00,8,,5<br />
2003-2-25,31,26,22,23,22,20,88,71,58,1012,1010,1008,10,10,10,23,13,34,0.00,5,,12<br />
2003-2-26,30,27,24,24,23,22,89,81,70,1013,1011,1009,10,10,8,14,10,,0.00,7,Rain,22<br />
2003-2-27,31,27,23,25,24,22,94,79,66,1013,1010,1007,10,10,10,14,13,23,0.00,3,,37<br />
2003-2-28,30,27,24,24,19,-25,94,74,4,1016,1010,1008,10,10,10,23,16,34,0.00,4,,10<br />
2003-3-1,31,27,24,25,24,22,89,75,66,1011,1009,1007,10,10,10,23,11,,0.00,5,Rain,27<br />
2003-3-2,32,29,26,28,25,24,89,77,66,1012,1010,1007,10,10,10,19,8,,0.00,4,,30<br />
2003-3-3,33,28,24,25,24,23,94,75,63,1012,1009,1006,10,10,10,14,6,,0.00,3,,36<br />
2003-3-4,34,30,26,26,24,23,89,78,59,1011,1009,1006,10,10,10,14,8,,0.00,4,Rain,35<br />
2003-3-5,33,30,28,26,25,24,89,74,63,1011,1009,1007,10,10,8,11,8,,0.00,4,Rain,57<br />
2003-3-6,32,28,25,26,25,24,100,80,66,1012,1010,1007,10,10,10,11,6,,0.00,4,Thunderstorm,62<br />
2003-3-7,34,29,25,26,24,23,94,80,55,1012,1010,1007,10,9,4,19,6,,0.00,6,Rain-Thunderstorm,47<br />
2003-3-8,32,28,24,25,24,23,94,78,62,1012,1010,1008,10,10,10,14,8,26,0.00,5,,24<br />
2003-3-9,32,28,24,24,23,21,83,69,55,1013,1011,1008,10,10,10,19,13,23,0.00,3,,2<br />
2003-3-10,30,27,23,23,23,22,94,81,66,1014,1012,1010,10,10,10,23,16,37,0.00,6,,27<br />
2003-3-11,32,27,23,23,22,21,94,69,52,1014,1012,1010,10,10,10,26,14,37,0.00,3,,13<br />
2003-3-12,32,27,22,24,22,21,94,71,59,1015,1013,1011,10,10,10,26,13,45,0.00,4,,26<br />
2003-3-13,29,27,24,24,23,22,100,83,70,1015,1014,1012,10,8,5,19,14,,0.00,7,Rain,15<br />
2003-3-14,32,27,23,25,23,22,94,76,62,1015,1012,1010,10,10,10,23,10,,0.00,4,,24<br />
2003-3-15,28,26,23,25,23,22,100,91,79,1014,1013,1012,10,9,4,14,10,,0.00,7,Rain,27<br />
2003-3-16,32,28,25,26,24,23,94,75,62,1015,1013,1011,10,10,10,11,6,,0.00,5,,46<br />
2003-3-17,33,27,22,24,23,20,88,70,55,1014,1012,1009,10,10,10,14,8,,0.00,3,,38<br />
2003-3-18,34,29,25,26,24,23,89,76,63,1014,1012,1009,10,10,10,19,10,,0.00,4,Thunderstorm,23<br />
2003-3-19,31,28,25,25,24,24,94,83,70,1014,1011,1009,10,10,8,14,10,,0.00,6,Rain,13<br />
2003-3-20,31,27,24,25,24,22,94,82,70,1013,1011,1009,10,10,8,14,6,,0.00,6,Rain,30<br />
2003-3-21,32,28,24,25,24,23,94,77,66,1014,1011,1009,10,10,8,19,10,,0.00,4,Rain,21<br />
2003-3-22,31,27,24,26,23,2,94,78,24,1014,1012,1011,10,10,8,14,8,,0.00,6,Rain,30<br />
2003-3-23,32,28,24,25,24,23,100,82,66,1013,1012,1009,10,10,10,14,8,,0.00,3,Rain,23<br />
2003-3-24,33,28,24,25,24,23,94,77,63,1013,1011,1009,10,10,10,19,11,,0.00,4,,31<br />
2003-3-25,28,27,25,25,23,22,94,85,74,1014,1012,1011,10,9,8,19,11,,0.00,7,Rain,12<br />
2003-3-26,31,27,24,25,24,23,94,79,70,1013,1011,1010,10,10,10,19,14,,0.00,5,,10<br />
2003-3-27,30,27,24,26,24,23,94,86,74,1012,1010,1008,10,10,8,11,8,,0.00,6,Rain,38<br />
2003-3-28,29,27,25,25,24,23,94,83,79,1011,1009,1007,10,10,10,19,10,,0.00,6,Rain,24<br />
2003-3-29,32,28,24,26,24,23,94,77,66,1010,1009,1006,10,10,10,14,6,,0.00,4,,34<br />
2003-3-30,33,28,24,26,24,22,94,72,66,1012,1009,1007,10,10,10,19,11,,0.00,3,,27<br />
2003-3-31,33,28,23,25,24,22,94,72,59,1012,1009,1007,10,10,10,19,8,26,0.00,4,,27<br />
2003-4-1,32,28,25,26,24,22,84,74,62,1010,1008,1006,10,10,10,19,11,,0.00,4,,39<br />
2003-4-2,34,30,26,25,24,24,89,74,59,1010,1008,1006,10,10,10,14,11,,0.00,3,,36<br />
2003-4-3,34,31,28,26,25,25,89,72,59,1011,1009,1006,10,10,10,14,8,,0.00,4,,75<br />
2003-4-4,34,30,26,26,24,23,89,71,56,1011,1009,1006,10,10,10,11,8,,0.00,2,,50<br />
2003-4-5,33,29,25,26,25,23,89,74,63,1012,1010,1007,10,10,10,11,6,,0.00,3,,57<br />
2003-4-6,34,29,25,25,24,24,100,76,56,1012,1010,1008,10,10,10,19,8,,0.00,2,Rain,29<br />
2003-4-7,34,29,25,25,24,22,83,68,56,1014,1011,1009,10,10,10,23,14,,0.00,2,,27<br />
2003-4-8,34,30,26,25,24,24,89,70,59,1013,1011,1008,10,10,10,23,10,,0.00,3,,46<br />
2003-4-9,34,29,24,25,24,22,94,72,52,1013,1011,1008,10,10,10,14,8,,0.00,2,,57<br />
2003-4-10,33,28,24,25,24,23,94,74,63,1014,1012,1010,10,10,10,14,8,,0.00,3,,62<br />
2003-4-11,33,29,26,25,24,24,89,73,59,1014,1012,1009,10,10,10,11,10,,0.00,3,,69<br />
2003-4-12,33,29,25,25,24,23,94,71,59,1013,1011,1008,10,10,10,23,8,,0.00,2,,43<br />
2003-4-13,33,28,24,24,23,21,89,70,49,1012,1010,1007,10,10,10,19,6,,0.00,2,,34<br />
2003-4-14,34,29,24,24,23,22,94,67,49,1012,1010,1007,10,10,10,19,11,,0.00,1,,34<br />
2003-4-15,35,30,25,25,24,22,83,72,56,1012,1010,1009,10,10,10,19,13,,0.00,3,,3<br />
2003-4-16,35,30,25,25,24,23,89,70,53,1013,1010,1000,10,10,10,14,8,,0.00,3,,44<br />
2003-4-17,33,30,28,26,25,23,74,68,63,1012,1009,1007,10,10,9,19,10,,0.00,3,,37<br />
2003-4-18,33,30,27,27,25,24,89,71,59,1010,1007,1005,10,10,10,19,11,,0.00,2,,150<br />
2003-4-19,33,29,25,26,26,24,94,78,59,1008,1006,1004,10,10,10,19,6,26,0.00,6,,181<br />
2003-4-20,33,29,25,26,26,24,94,77,66,1010,1008,1006,10,10,10,19,6,,0.00,3,,207<br />
2003-4-21,32,28,24,26,25,23,94,78,66,1012,1009,1007,10,10,10,14,8,,0.00,4,,185<br />
2003-4-22,33,29,26,26,26,25,94,78,66,1011,1009,1007,10,10,10,14,8,,0.00,5,,80<br />
2003-4-23,34,29,25,26,24,24,94,73,56,1011,1009,1006,10,10,10,14,6,,0.00,4,,85<br />
2003-4-24,34,30,26,26,26,25,94,76,63,1010,1008,1005,10,10,10,14,10,,0.00,4,Rain,56<br />
