
HKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-1,22,19,17,15,13,9,83,65,46,1021,1019,1016,9,6,4,29,18,,0.00,0,,91<br />
2004-1-2,22,19,17,15,13,10,83,66,53,1021,1019,1017,4,2,1,23,8,,0.00,3,,289<br />
2004-1-3,23,20,17,15,12,9,83,65,41,1022,1019,1017,7,5,3,29,19,,0.00,2,,85<br />
2004-1-4,24,21,18,15,13,12,83,65,50,1022,1020,1018,9,7,5,24,16,,0.00,5,,93<br />
2004-1-5,23,21,19,15,14,13,78,66,57,1022,1020,1018,8,6,4,21,13,39,0.00,2,,53<br />
2004-1-6,23,20,17,17,15,14,88,75,61,1021,1019,1018,5,4,2,14,6,,0.00,3,,136<br />
2004-1-7,23,20,17,16,14,12,88,68,50,1023,1021,1019,10,8,4,35,16,,0.00,1,,103<br />
2004-1-8,23,20,18,15,13,11,78,66,47,1024,1022,1021,10,9,8,37,27,,0.00,3,,100<br />
2004-1-9,24,21,18,15,13,11,83,67,44,1025,1022,1020,10,9,9,29,21,,0.00,3,,81<br />
2004-1-10,21,20,19,17,14,12,83,72,64,1021,1019,1017,8,8,7,39,21,,0.00,6,,88<br />
2004-1-11,20,18,16,18,14,9,94,73,56,1022,1020,1019,10,7,2,35,18,,0.00,6,Rain,4<br />
2004-1-12,17,16,14,10,8,4,67,61,51,1024,1022,1020,10,8,6,26,18,,0.00,6,,357<br />
2004-1-13,16,13,10,9,4,1,72,55,44,1025,1022,1020,9,8,7,27,18,,0.00,3,,13<br />
2004-1-14,20,18,15,13,9,7,77,64,49,1022,1020,1018,10,10,9,35,23,,0.00,2,,91<br />
2004-1-15,22,19,16,16,14,13,82,72,60,1019,1017,1015,10,9,9,35,23,,0.00,4,,90<br />
2004-1-16,22,19,16,18,16,10,88,80,68,1020,1017,1014,10,7,2,34,19,,0.00,5,,16<br />
2004-1-17,18,14,12,12,8,6,72,64,55,1022,1019,1017,10,9,8,27,14,,0.00,5,,25<br />
2004-1-18,17,16,14,13,12,11,94,79,68,1019,1017,1015,10,8,4,34,21,,0.00,5,Rain,65<br />
2004-1-19,13,11,9,11,8,7,94,83,76,1021,1019,1018,10,9,6,27,18,,0.00,6,Rain,31<br />
2004-1-20,10,9,8,8,7,5,93,84,76,1023,1020,1018,10,8,3,29,19,,0.00,6,Rain,18<br />
2004-1-21,13,10,7,5,0,-4,81,52,35,1024,1023,1020,10,9,8,32,23,,0.00,4,,13<br />
2004-1-22,15,11,8,7,2,-2,59,50,41,1024,1022,1020,10,9,8,32,24,,0.00,6,,43<br />
2004-1-23,15,11,8,9,6,2,87,67,51,1026,1022,1020,10,9,7,34,18,,0.00,6,Rain,28<br />
2004-1-24,14,11,9,3,-5,-10,66,34,21,1028,1026,1024,10,10,10,35,21,53,0.00,6,,28<br />
2004-1-25,14,11,8,2,-3,-7,50,37,30,1026,1024,1022,,,,32,19,,0.00,,,32<br />
2004-1-26,15,13,12,6,3,-1,63,48,36,1022,1021,1018,10,9,7,26,16,,0.00,5,,45<br />
2004-1-27,14,13,12,6,3,0,63,54,41,1022,1020,1019,10,9,7,24,18,,0.00,6,,1<br />
2004-1-28,15,13,11,10,4,0,72,55,44,1021,1018,1015,10,9,6,19,14,,0.00,6,,25<br />
2004-1-29,16,13,12,11,9,8,82,76,68,1016,1015,1012,4,3,2,23,14,,0.00,6,,331<br />
2004-1-30,19,17,14,16,13,11,88,80,64,1018,1016,1014,5,2,1,21,11,,0.00,6,,349<br />
2004-1-31,20,18,16,16,14,13,88,79,64,1017,1015,1014,10,8,6,40,31,,0.00,5,,91<br />
2004-2-1,22,20,18,17,16,15,83,80,69,1015,1013,1010,10,8,6,23,18,,0.00,4,,89<br />
2004-2-2,22,18,15,17,16,13,94,82,73,1014,1012,1010,10,6,3,21,11,37,0.00,5,Rain,350<br />
2004-2-3,15,12,10,14,10,4,100,88,66,1019,1016,1013,10,6,2,26,19,,0.00,6,Rain,6<br />
2004-2-4,10,9,8,7,6,4,93,84,66,1021,1019,1017,10,8,5,24,18,,0.00,6,Rain,24<br />
2004-2-5,12,9,7,7,6,5,93,81,62,1025,1022,1020,10,9,5,19,14,,0.00,6,Rain,25<br />
2004-2-6,13,12,11,8,6,1,82,65,44,1027,1024,1023,10,9,7,26,13,,0.00,6,Rain,51<br />
2004-2-7,13,11,9,9,7,6,93,84,67,1028,1025,1024,10,7,5,39,18,,0.00,6,Rain,28<br />
2004-2-8,9,8,8,7,6,6,93,85,82,1026,1024,1023,10,8,6,24,18,,0.00,6,Rain,1<br />
2004-2-9,15,11,7,7,6,3,82,70,55,1026,1024,1022,10,9,8,21,14,,0.00,2,,358<br />
2004-2-10,18,14,10,10,8,2,88,67,34,1027,1024,1022,10,9,6,24,8,,0.00,2,,115<br />
2004-2-11,20,18,15,12,8,5,77,57,40,1023,1022,1020,10,10,9,32,19,,0.00,3,,99<br />
2004-2-12,23,19,15,13,12,10,88,68,44,1024,1022,1019,10,7,5,14,8,,0.00,6,,353<br />
2004-2-13,21,18,15,14,9,6,88,62,38,1023,1020,1017,7,5,4,21,8,,0.00,0,,268<br />
2004-2-14,23,18,13,11,8,5,72,53,35,1019,1017,1015,7,5,1,19,6,,0.00,0,,229<br />
2004-2-15,24,20,17,14,9,4,77,52,31,1019,1017,1016,9,8,7,32,23,,0.00,2,,106<br />
2004-2-16,23,20,18,14,12,11,73,61,50,1020,1018,1017,10,10,8,32,24,,0.00,5,,106<br />
2004-2-17,24,21,19,16,15,14,83,71,57,1019,1016,1014,10,8,6,23,14,,0.00,2,,33<br />
2004-2-18,24,20,17,17,16,14,88,75,61,1017,1015,1013,7,6,4,27,10,,0.00,2,,86<br />
2004-2-19,24,21,18,17,16,14,88,75,61,1018,1016,1014,10,7,4,19,13,,0.00,2,,56<br />
2004-2-20,25,22,19,18,17,17,88,78,61,1019,1017,1015,10,7,3,29,18,,0.00,3,,85<br />
2004-2-21,24,22,20,18,18,16,88,77,65,1017,1015,1013,10,8,6,26,16,,0.00,3,,62<br />
2004-2-22,26,22,19,19,18,15,94,77,54,1016,1014,1011,8,4,3,14,8,,0.00,4,,285<br />
2004-2-23,22,20,19,17,13,11,83,64,56,1018,1017,1015,8,7,5,48,21,,0.00,4,,95<br />
2004-2-24,21,19,18,17,14,12,83,73,64,1018,1016,1014,10,8,4,47,29,,0.00,6,,64<br />
2004-2-25,22,20,19,17,16,16,83,78,69,1018,1015,1013,6,5,3,21,10,,0.00,6,Rain,322<br />
2004-2-26,23,21,19,17,16,14,88,75,64,1018,1016,1014,10,8,4,23,11,,0.00,4,,86<br />
2004-2-27,24,21,19,16,14,13,83,67,53,1018,1016,1014,10,9,8,27,23,,0.00,2,,93<br />
2004-2-28,25,22,20,19,18,17,88,77,65,1015,1013,1010,9,7,6,29,18,,0.00,4,,95<br />
2004-2-29,26,23,21,20,19,18,88,78,61,1013,1010,1008,10,8,6,26,14,,0.00,5,,150<br />
2004-3-1,27,26,24,22,21,19,89,79,69,1010,1008,1005,10,10,9,29,18,,0.00,6,Rain,185<br />
2004-3-2,20,17,14,18,16,12,100,87,78,1014,1010,1008,10,6,1,27,19,,0.00,6,Rain,15<br />
2004-3-3,16,14,13,12,7,4,88,64,45,1020,1017,1014,10,10,9,27,21,,0.00,6,,17<br />
2004-3-4,18,16,13,9,4,2,63,48,37,1021,1018,1015,10,9,9,32,19,,0.00,4,,43<br />
2004-3-5,20,18,16,12,10,7,77,61,43,1020,1017,1015,9,7,4,23,14,,0.00,3,,17<br />
2004-3-6,25,21,18,13,9,2,68,50,24,1023,1020,1018,10,7,5,39,13,,0.00,6,,92<br />
2004-3-7,23,20,17,12,9,5,68,53,33,1028,1026,1024,10,9,8,29,19,,0.00,6,,84<br />
2004-3-8,21,18,15,11,10,8,72,61,46,1030,1026,1023,8,7,6,29,19,52,0.00,1,,92<br />
2004-3-9,23,19,15,13,11,8,73,62,47,1023,1019,1016,9,8,7,19,13,,0.00,0,,106<br />
2004-3-10,24,20,17,17,14,10,78,69,57,1016,1014,1011,10,10,9,16,8,,0.00,3,,131<br />
2004-3-11,26,23,21,18,17,15,83,70,54,1014,1012,1010,10,10,10,21,10,,0.00,3,,132<br />
2004-3-12,27,23,21,19,18,16,88,72,51,1016,1013,1011,10,10,8,13,8,,0.00,4,,41<br />
2004-3-13,23,21,20,20,17,16,88,82,78,1018,1016,1015,10,9,7,29,18,,0.00,5,,94<br />
2004-3-14,22,21,20,18,16,16,83,76,69,1019,1017,1016,10,6,2,19,11,,0.00,6,,13<br />
2004-3-15,24,22,20,17,16,15,83,73,57,1019,1016,1013,9,8,4,27,16,,0.00,4,,105<br />
2004-3-16,24,21,19,19,18,16,88,77,69,1017,1013,1010,10,9,7,35,19,,0.00,6,Rain,96<br />
2004-3-17,27,23,21,21,20,18,88,81,65,1015,1013,1011,10,7,6,23,18,,0.00,5,,82<br />
2004-3-18,26,23,20,21,19,16,94,81,69,1017,1015,1014,10,8,6,48,19,,0.00,4,,95<br />
2004-3-19,23,20,18,16,15,14,83,72,57,1018,1015,1012,10,10,9,39,29,58,0.00,6,,99<br />
2004-3-20,24,21,19,16,16,15,83,73,61,1015,1013,1010,10,9,8,27,19,,0.00,4,,100<br />
2004-3-21,23,21,19,18,16,16,83,76,65,1015,1013,1011,10,9,2,29,21,,0.00,6,,53<br />
2004-3-22,22,20,18,16,14,11,83,67,56,1015,1013,1011,10,8,5,24,14,,0.00,3,,346<br />
2004-3-23,21,19,18,17,15,14,94,74,64,1014,1012,1010,9,8,6,34,23,,0.00,6,Rain,99<br />
2004-3-24,21,20,19,18,16,13,94,77,68,1013,1011,1009,10,9,6,52,29,,0.00,6,Rain,91<br />
2004-3-25,20,19,18,18,17,17,94,90,83,1012,1010,1009,10,7,3,48,29,,0.00,6,Rain,86<br />
2004-3-26,18,17,15,17,14,12,100,85,73,1017,1014,1012,10,9,5,26,14,,0.00,6,Rain,38<br />
2004-3-27,17,16,14,15,14,13,100,88,82,1018,1016,1015,10,8,4,21,13,,0.00,6,Rain,43<br />
2004-3-28,20,18,16,18,16,14,94,87,83,1017,1015,1012,9,6,4,21,10,,0.00,6,Rain,67<br />
2004-3-29,20,19,19,19,18,18,100,94,88,1015,1013,1011,9,5,1,26,18,37,0.00,6,Rain,61<br />
2004-3-30,22,20,19,19,18,18,100,91,78,1017,1014,1012,8,5,2,34,11,63,0.00,6,Rain-Thunderstorm,348<br />
2004-3-31,22,20,19,19,18,17,100,86,78,1017,1014,1012,10,6,4,47,29,,0.00,6,Rain-Thunderstorm,99<br />
2004-4-1,23,21,20,21,19,17,94,88,83,1016,1015,1012,10,7,2,45,27,63,0.00,6,Rain,75<br />
2004-4-2,23,21,19,18,15,13,94,70,57,1018,1016,1015,10,10,7,34,14,,0.00,5,Rain,63<br />
2004-4-3,23,20,18,18,16,14,88,74,64,1019,1017,1015,10,9,6,23,14,,0.00,5,Rain,77<br />
2004-4-4,26,22,19,19,17,16,94,78,61,1018,1017,1015,8,5,2,39,14,39,0.00,2,,101<br />
2004-4-5,23,21,19,17,15,14,78,71,61,1018,1016,1014,10,7,7,34,26,60,0.00,4,,92<br />
2004-4-6,25,23,21,21,19,16,88,78,69,1014,1012,1010,10,8,6,32,23,,0.00,6,,91<br />
2004-4-7,27,24,22,22,21,20,94,83,70,1014,1011,1009,10,8,6,27,19,,0.00,6,Rain,111<br />
2004-4-8,21,19,18,18,13,11,94,69,56,1018,1016,1014,10,9,5,45,24,,0.00,6,Rain,14<br />
2004-4-9,21,19,18,16,14,12,83,72,64,1018,1016,1014,10,9,7,13,10,,0.00,6,,45<br />
2004-4-10,26,23,20,18,16,15,78,69,54,1016,1014,1011,10,10,9,23,16,,0.00,5,,70<br />
2004-4-11,28,24,22,21,19,18,88,73,58,1013,1011,1009,10,9,6,29,11,,0.00,5,,64<br />
2004-4-12,29,26,23,22,21,18,88,74,51,1011,1009,1007,10,10,9,24,10,,0.00,4,,12<br />
2004-4-13,29,27,24,23,23,21,94,82,70,1010,1008,1006,10,9,7,23,11,,0.00,5,Rain,187<br />
2004-4-14,27,24,22,22,21,19,94,83,65,1011,1009,1008,10,9,6,39,18,,0.00,6,Rain,86<br />
2004-4-15,25,23,21,19,19,18,88,79,69,1013,1011,1009,10,9,8,37,24,61,0.00,6,Rain,80<br />
2004-4-16,25,23,22,21,20,19,88,80,73,1013,1011,1009,9,8,5,23,11,,0.00,6,Rain,70<br />
2004-4-17,28,24,22,22,21,20,94,84,65,1011,1008,1005,10,7,3,24,13,,0.00,6,Rain,99<br />
2004-4-18,27,24,22,21,18,15,94,70,48,1010,1008,1006,10,8,6,16,8,,0.00,4,,298<br />
2004-4-19,31,26,22,20,18,16,78,61,40,1013,1011,1009,8,7,5,19,8,,0.00,3,,209<br />
2004-4-20,30,27,23,22,19,17,78,65,54,1015,1013,1011,10,8,6,16,8,,0.00,4,,65<br />
2004-4-21,30,28,25,24,23,22,89,78,66,1013,1011,1009,10,9,6,23,11,,0.00,3,,100<br />
2004-4-22,32,29,26,24,23,21,89,72,55,1010,1008,1006,10,10,8,32,13,,0.00,3,,228<br />
2004-4-23,32,29,26,24,23,22,84,73,59,1010,1008,1006,10,10,10,29,18,,0.00,4,,231<br />
2004-4-24,28,26,23,23,21,20,89,78,65,1014,1011,1009,10,9,6,42,23,,0.00,5,,104<br />
2004-4-25,27,24,22,21,20,19,88,80,65,1014,1012,1010,10,9,8,45,35,,0.00,4,,100<br />
2004-4-26,29,27,24,23,22,22,89,78,66,1012,1010,1008,10,9,8,35,26,,0.00,4,,142<br />
2004-4-27,30,27,24,24,22,20,89,75,62,1012,1010,1009,10,9,6,29,16,,0.00,5,Rain,283<br />
2004-4-28,26,24,23,21,19,16,83,74,61,1014,1013,1011,10,8,5,42,32,,0.00,5,Rain,101<br />
2004-4-29,26,24,23,21,21,20,88,79,74,1013,1011,1009,7,6,6,40,32,,0.00,6,,99<br />
2004-4-30,30,27,24,22,22,20,89,73,58,1011,1009,1007,10,9,6,27,18,14,0.00,3,,99<br />
2004-5-1,30,28,25,22,22,20,83,72,55,1011,1009,1007,10,10,8,24,11,,0.00,2,,107<br />
2004-5-2,31,28,26,23,22,21,83,73,55,1011,1010,1008,10,10,10,24,14,,0.00,4,,126<br />
2004-5-3,32,29,26,24,23,21,84,70,55,1011,1009,1007,10,10,10,23,14,,0.00,3,,166<br />
2004-5-4,28,24,22,24,21,17,94,83,73,1013,1011,1010,10,8,5,35,16,,0.00,5,Rain,4<br />
2004-5-5,25,22,19,19,17,15,88,73,61,1016,1013,1011,10,7,4,16,13,,0.00,5,Rain,349<br />
2004-5-6,28,26,23,21,20,19,83,74,65,1015,1014,1012,10,8,7,24,13,,0.00,5,,83<br />
2004-5-7,28,26,24,22,20,19,83,71,58,1014,1011,1008,10,10,8,40,27,,0.00,6,,110<br />
2004-5-8,27,24,23,24,23,22,100,89,79,1008,1006,1004,10,8,2,37,19,,0.00,6,Rain-Thunderstorm,230<br />
2004-5-9,31,27,23,23,22,20,94,74,55,1010,1008,1006,10,9,6,23,6,,0.00,2,,218<br />
2004-5-10,32,28,24,24,23,22,94,76,59,1011,1009,1007,10,10,8,23,11,,0.00,2,,121<br />
2004-5-11,31,29,27,24,23,23,84,74,62,1010,1008,1006,10,10,10,26,19,,0.00,3,,142<br />
2004-5-12,32,29,27,25,24,22,89,74,58,1007,1005,1002,10,10,10,23,14,37,0.00,4,Rain,177<br />
2004-5-13,32,30,28,26,24,24,84,75,62,1008,1006,1004,10,10,10,23,13,,0.00,6,,176<br />
2004-5-14,29,26,23,26,24,22,94,85,74,1012,1009,1007,10,9,4,32,16,27,0.00,6,Rain-Thunderstorm,117<br />
2004-5-15,31,28,26,24,24,23,89,77,62,1011,1010,1007,10,8,6,34,23,,0.00,5,,112<br />
2004-5-16,32,29,26,24,24,22,89,74,62,1011,1009,1006,10,9,6,26,11,,0.00,4,,53<br />
2004-5-17,30,28,25,24,20,18,84,65,55,1012,1011,1009,10,9,7,26,18,,0.00,5,,13<br />
2004-5-18,29,27,25,23,22,20,83,74,66,1011,1009,1006,9,7,5,16,11,,0.00,5,,350<br />
2004-5-19,27,26,24,24,23,22,94,86,78,1008,1005,1002,7,4,2,21,11,,0.00,6,Rain,331<br />
2004-5-20,28,26,23,23,22,21,100,81,66,1004,1003,1001,9,6,2,23,14,,0.00,5,Rain,300<br />
2004-5-21,26,23,21,23,21,20,94,87,78,1004,1002,1000,9,6,3,32,11,,0.00,6,Rain,74<br />
2004-5-22,27,24,23,21,21,19,88,76,65,1006,1004,1002,10,9,5,19,11,,0.00,6,Rain,76<br />
2004-5-23,31,27,23,22,21,20,83,69,52,1008,1006,1004,10,9,6,26,11,,0.00,3,,93<br />
2004-5-24,32,28,24,22,20,13,83,63,33,1009,1008,1006,10,10,9,29,14,,0.00,3,,100<br />
