
VET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-31,28,27,26,22,21,20,78,69,62,1010,1009,1008,10,10,10,24,19,,0.00,2,,5<br />
2004-2-1,36,29,22,23,21,20,94,67,41,1013,1010,1007,10,10,10,24,16,,0.00,2,,21<br />
2004-2-2,35,29,23,23,22,20,100,71,46,1010,1008,1006,10,10,10,32,16,,0.00,3,,11<br />
2004-2-3,33,28,24,23,22,20,94,69,52,1015,1009,1006,10,10,10,32,23,,0.00,3,,6<br />
2004-2-4,33,27,22,22,19,16,88,63,45,1012,1010,1007,10,10,10,32,16,,0.00,2,,355<br />
2004-2-5,33,28,23,24,21,19,88,70,49,1013,1010,1008,10,10,10,34,18,,0.00,1,,10<br />
2004-2-6,33,28,24,22,20,17,78,61,43,1012,1010,1008,10,10,10,35,19,,0.00,2,,9<br />
2004-2-7,34,28,23,22,19,18,78,59,38,1012,1010,1008,10,10,10,34,18,,0.00,2,,16<br />
2004-2-8,34,28,23,22,20,18,88,65,43,1014,1011,1009,10,10,10,32,18,,0.00,1,,9<br />
2004-2-9,33,28,24,23,21,19,94,68,46,1013,1011,1009,10,10,10,39,16,,0.00,1,,7<br />
2004-2-10,34,29,24,21,21,19,78,65,46,1013,1009,1006,10,10,10,39,16,,0.00,2,,2<br />
2004-2-11,33,28,23,22,18,16,78,59,43,1015,1009,1007,10,10,10,27,16,,0.00,2,,9<br />
2004-2-12,35,29,24,21,19,15,74,58,39,1012,1010,1007,10,10,10,29,16,,0.00,1,,359<br />
2004-2-13,33,28,24,23,20,18,83,64,46,1012,1010,1009,10,10,10,34,16,,0.00,1,,359<br />
2004-2-14,33,28,24,23,21,19,89,64,49,1012,1010,1008,10,10,10,32,18,,0.00,3,,355<br />
2004-2-15,35,29,23,23,21,19,88,65,47,1012,1010,1008,10,10,10,29,16,,0.00,2,,347<br />
2004-2-16,35,29,23,24,21,19,84,67,41,1012,1010,1009,10,10,10,35,18,,0.00,2,,6<br />
2004-2-17,35,29,24,23,22,19,83,69,44,1013,1011,1010,10,10,10,35,21,,0.00,2,,5<br />
