
AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,22,17,12,11,9,6,77,59,46,1023,1021,1020,,,,11,8,,0.00,,,284<br />
2005-1-2,24,19,14,14,10,4,82,62,27,1021,1018,1016,9,9,8,10,6,,0.00,0,,191<br />
2005-1-3,26,19,13,16,11,1,100,64,20,1017,1015,1013,8,5,0,23,10,,0.00,0,Fog,175<br />
2005-1-4,22,19,17,14,13,11,82,70,53,1021,1019,1017,8,7,6,26,18,,0.00,0,,345<br />
2005-1-5,22,19,16,17,14,12,94,78,64,1021,1019,1016,,,,16,10,,0.00,,,41<br />
2005-1-6,27,22,18,17,12,2,94,60,25,1018,1016,1013,,,,26,16,,0.00,,,201<br />
2005-1-7,21,19,16,12,10,8,72,59,43,1023,1021,1017,8,5,4,26,21,,0.00,4,,338<br />
2005-1-8,20,18,15,11,8,0,72,56,36,1025,1023,1021,9,8,6,21,16,,0.00,3,,343<br />
2005-1-9,21,17,14,17,14,11,94,77,64,1024,1021,1020,9,6,4,19,10,,0.00,1,,12<br />
2005-1-10,23,19,15,18,16,12,100,82,50,1020,1016,1014,9,5,0,27,10,,0.00,3,Fog,124<br />
2005-1-11,19,17,14,13,8,4,77,56,48,1021,1018,1017,10,10,10,34,19,47,0.00,3,,313<br />
2005-1-12,23,17,11,6,2,-4,67,47,25,1024,1022,1020,5,3,1,21,10,,0.00,0,,290<br />
2005-1-13,19,16,12,10,8,5,77,64,52,1025,1022,1021,10,7,2,23,14,,0.00,2,,315<br />
2005-1-14,19,16,13,10,8,6,82,64,43,1024,1021,1019,10,10,10,16,14,,0.00,4,,339<br />
2005-1-15,19,16,13,10,9,6,77,65,43,1021,1019,1017,10,9,7,14,8,,0.00,1,,333<br />
2005-1-16,20,17,13,12,9,8,82,67,46,1021,1019,1018,,,,13,6,,0.00,,,355<br />
2005-1-17,21,17,13,16,13,10,88,79,60,1021,1018,1017,10,7,5,16,6,,0.00,2,Rain,98<br />
2005-1-18,23,20,18,17,17,11,94,82,60,1018,1015,1013,10,10,10,34,18,,0.00,4,Rain,92<br />
2005-1-19,20,19,19,18,17,16,94,87,78,1016,1013,1011,10,8,3,34,26,,0.00,6,Rain-Thunderstorm,112<br />
2005-1-20,20,18,16,18,15,9,94,84,63,1022,1019,1014,10,8,5,34,18,,0.00,7,Rain,337<br />
2005-1-21,20,18,15,11,9,7,68,60,52,1024,1022,1021,,,,34,21,,0.00,,,340<br />
2005-1-22,20,17,14,18,14,11,94,81,68,1021,1017,1013,10,10,10,24,10,,0.00,3,,99<br />
2005-1-23,19,17,14,17,14,10,94,82,59,1019,1016,1012,10,9,3,26,14,,0.00,6,Rain,304<br />
2005-1-24,19,16,13,12,11,9,88,72,56,1019,1018,1016,10,10,10,16,13,,0.00,1,,317<br />
2005-1-25,20,16,12,11,9,7,88,68,43,1022,1020,1019,10,9,8,23,11,,0.00,0,,314<br />
2005-1-26,19,17,14,10,9,7,77,65,46,1021,1020,1018,9,6,4,26,21,,0.00,2,,323<br />
2005-1-27,19,14,10,12,11,7,94,74,56,1022,1020,1018,10,9,6,23,13,,0.00,1,,321<br />
2005-1-28,20,16,12,12,10,8,88,71,49,1020,1018,1016,10,10,10,21,11,,0.00,2,,307<br />
2005-1-29,20,17,13,13,11,9,88,73,52,1021,1019,1018,10,10,10,27,14,,0.00,1,,315<br />
2005-1-30,20,16,12,15,12,10,94,80,60,1022,1021,1020,10,8,7,14,10,,0.00,0,,343<br />
2005-1-31,21,17,13,14,13,9,100,82,46,1022,1020,1019,10,6,1,16,6,,0.00,1,Fog,150<br />
2005-2-1,22,18,14,16,13,7,100,77,38,1021,1019,1017,8,5,1,24,11,,0.00,0,Fog,146<br />
2005-2-2,26,21,16,16,14,7,94,70,34,1018,1016,1014,8,8,8,24,14,,0.00,0,,154<br />
2005-2-3,25,20,16,16,13,8,88,66,47,1016,1014,1013,8,8,7,13,8,,0.00,0,,207<br />
2005-2-4,25,20,15,17,15,12,100,76,53,1013,1012,1009,8,4,0,19,6,,0.00,1,Fog,29<br />
2005-2-5,22,19,16,15,12,9,83,67,43,1016,1014,1013,9,9,9,26,18,,0.00,0,,341<br />
2005-2-6,22,18,15,13,12,8,82,67,43,1016,1014,1012,,,,16,11,,0.00,,,42<br />
2005-2-7,22,19,17,16,13,9,88,69,52,1015,1012,1010,,,,34,16,,0.00,,,31<br />
2005-2-8,20,18,15,10,8,5,68,54,43,1016,1015,1014,10,10,10,19,14,,0.00,1,,1<br />
2005-2-9,21,18,16,13,10,8,72,61,49,1018,1015,1013,10,10,10,27,14,,0.00,1,,20<br />
2005-2-10,18,16,13,7,3,0,55,45,30,1022,1020,1018,10,10,10,23,21,,0.00,1,,327<br />
2005-2-11,17,14,12,10,6,2,68,54,39,1021,1019,1016,,,,19,10,,0.00,,,52<br />
2005-2-12,20,18,16,16,13,10,83,72,64,1018,1016,1014,,,,23,14,,0.00,,,86<br />
2005-2-13,22,20,18,17,16,14,88,78,60,1015,1013,1012,10,10,10,29,18,,0.00,6,,33<br />
2005-2-14,21,18,16,13,10,4,77,61,37,1021,1019,1014,10,10,10,39,27,,0.00,4,,340<br />
2005-2-15,17,14,13,11,9,8,82,68,55,1023,1021,1019,10,10,10,29,19,,0.00,8,Rain,324<br />
2005-2-16,20,16,11,11,8,3,94,68,33,1022,1020,1018,10,9,6,24,16,,0.00,4,,313<br />
2005-2-17,21,16,12,19,9,0,94,66,28,1022,1020,1019,8,8,7,21,14,,0.00,,,320<br />
2005-2-18,21,16,12,14,12,10,88,73,49,1021,1020,1018,8,8,6,16,10,,0.00,0,,3<br />
2005-2-19,21,17,13,15,14,12,100,81,56,1021,1019,1018,10,6,1,19,8,,0.00,1,,116<br />
2005-2-20,22,18,15,17,16,13,94,85,60,1020,1017,1016,10,7,1,19,6,,0.00,1,,111<br />
2005-2-21,23,20,17,18,17,14,100,84,68,1018,1016,1014,10,9,7,26,14,,0.00,1,,117<br />
2005-2-22,23,20,18,19,17,14,88,79,68,1017,1015,1012,10,10,10,34,14,,0.00,6,,21<br />
2005-2-23,22,20,18,17,16,15,94,79,64,1018,1016,1015,9,7,5,32,21,,0.00,4,Rain,2<br />
2005-2-24,23,20,18,17,16,12,94,81,53,1018,1016,1014,10,8,6,23,13,,0.00,6,Rain,38<br />
2005-2-25,21,19,18,18,17,15,94,88,68,1018,1015,1013,10,9,7,14,6,,0.00,7,Rain,87<br />
2005-2-26,22,19,17,19,18,17,100,89,78,1016,1014,1012,10,8,7,23,11,,0.00,6,,25<br />
2005-2-27,23,20,18,18,18,15,100,86,61,1015,1013,1011,8,6,3,23,13,,0.00,5,,5<br />
2005-2-28,23,20,18,19,17,15,94,84,61,1014,1011,1009,9,6,3,19,11,,0.00,2,,9<br />
2005-3-1,25,21,18,18,14,8,94,68,41,1015,1011,1009,10,9,6,26,11,,0.00,2,,326<br />
2005-3-2,26,22,18,13,8,5,73,43,28,1017,1016,1014,,,,24,11,,0.00,,,297<br />
2005-3-3,28,23,18,15,11,6,73,51,25,1017,1016,1014,,,,14,8,,0.00,,,336<br />
2005-3-4,27,22,17,17,13,7,88,62,28,1016,1015,1013,9,9,9,32,10,,0.00,0,,129<br />
2005-3-5,26,23,21,17,14,11,78,61,42,1019,1016,1012,10,10,9,24,14,,0.00,4,Rain,134<br />
2005-3-6,26,22,19,16,11,5,78,52,29,1021,1019,1017,9,8,7,24,10,35,0.00,,,354<br />
2005-3-7,27,22,17,14,11,6,77,56,28,1020,1017,1016,,,,14,6,,0.00,,,114<br />
2005-3-8,30,24,19,18,13,6,78,56,22,1017,1015,1013,,,,24,10,,0.00,,,155<br />
2005-3-9,33,27,21,19,15,7,88,59,20,1016,1014,1013,8,8,8,19,10,,0.00,3,,129<br />
2005-3-10,34,28,22,19,16,10,73,57,26,1016,1014,1012,10,10,10,23,13,,0.00,6,,141<br />
