
SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,28,27,25,26,24,24,100,92,84,1013,1011,1009,10,9,4,24,10,,0.00,6,Rain,19<br />
2005-1-2,26,24,24,25,24,24,100,96,89,1012,1010,1009,10,7,1,16,8,,0.00,7,Rain,345<br />
2005-1-3,29,27,24,25,24,24,100,90,74,1011,1010,1008,10,10,4,19,8,,0.00,6,Rain,357<br />
2005-1-4,29,27,25,25,24,24,94,88,74,1012,1011,1009,10,10,6,19,6,,0.00,6,Rain,359<br />
2005-1-5,30,27,24,25,24,23,100,86,66,1013,1011,1009,10,9,3,23,8,,0.00,6,Rain,2<br />
2005-1-6,30,28,25,24,23,22,94,81,62,1012,1011,1009,10,10,10,21,6,,0.00,6,Rain,1<br />
2005-1-7,29,27,25,25,23,23,94,85,70,1012,1010,1008,10,10,7,11,5,,0.00,6,Rain,324<br />
2005-1-8,27,26,24,25,24,23,100,95,83,1012,1010,1009,10,9,5,14,8,,0.00,7,Rain,346<br />
2005-1-9,29,27,25,25,24,24,94,88,74,1012,1010,1008,10,10,8,23,6,,0.00,6,,15<br />
2005-1-10,27,26,25,25,24,23,100,93,83,1012,1010,1009,10,9,1,16,5,,0.00,6,Rain,352<br />
2005-1-11,30,28,25,26,24,2,94,86,18,1013,1011,1009,10,10,10,24,6,,0.00,6,Rain,10<br />
2005-1-12,31,28,25,26,24,23,100,85,66,1013,1011,1009,10,10,10,23,11,,0.00,4,,15<br />
2005-1-13,31,28,25,25,24,23,94,81,66,1012,1010,1008,10,10,10,24,11,,0.00,5,,21<br />
2005-1-14,31,28,25,25,24,23,94,82,62,1012,1010,1008,10,10,10,34,10,,0.00,4,,21<br />
2005-1-15,30,28,25,25,23,2,94,80,22,1012,1010,1008,10,10,10,27,11,,0.00,3,,20<br />
2005-1-16,30,28,25,24,23,22,94,82,66,1013,1011,1009,10,10,10,27,13,,0.00,4,Rain,25<br />
2005-1-17,28,26,24,25,24,23,100,90,74,1014,1012,1010,10,9,4,27,10,,0.00,6,Rain,24<br />
2005-1-18,30,28,25,24,23,21,94,80,66,1014,1013,1011,10,10,8,26,13,,0.00,6,,24<br />
2005-1-19,31,27,24,23,22,21,94,78,58,1015,1013,1011,10,10,10,21,10,,0.00,6,,20<br />
2005-1-20,31,27,23,24,22,20,94,77,55,1016,1014,1011,10,10,9,21,6,,0.00,6,,17<br />
2005-1-21,31,27,23,24,23,21,94,78,55,1017,1014,1012,10,10,10,14,5,,0.00,6,,8<br />
2005-1-22,31,27,24,25,24,22,100,82,62,1015,1013,1011,10,10,10,21,8,,0.00,4,,21<br />
2005-1-23,31,28,25,24,23,22,94,79,62,1014,1012,1010,10,10,10,26,10,,0.00,4,,19<br />
2005-1-24,31,27,24,23,22,21,94,76,58,1014,1012,1010,10,10,10,23,10,,0.00,4,,16<br />
2005-1-25,31,27,24,22,22,21,89,75,55,1013,1010,1007,10,10,10,21,10,,0.00,3,,18<br />
2005-1-26,32,27,23,23,22,21,94,78,52,1011,1009,1006,10,10,10,19,6,,0.00,3,,23<br />
2005-1-27,31,27,24,24,23,22,94,80,62,1010,1008,1006,10,10,10,21,6,,0.00,5,,42<br />
2005-1-28,32,28,25,25,24,23,94,82,62,1009,1008,1005,10,10,10,19,8,,0.00,5,,23<br />
2005-1-29,32,28,25,24,23,21,94,78,52,1010,1008,1006,10,10,10,21,10,,0.00,6,,18<br />
2005-1-30,32,28,24,24,23,22,94,79,55,1012,1010,1008,10,10,10,21,5,,0.00,6,,21<br />
2005-1-31,32,28,25,24,23,23,94,79,59,1013,1010,1008,10,10,10,23,6,,0.00,6,,26<br />
2005-2-1,32,28,25,24,23,22,94,75,55,1012,1011,1008,10,10,10,24,10,,0.00,6,,19<br />
2005-2-2,32,28,25,24,23,21,89,76,52,1013,1011,1009,10,10,10,19,10,,0.00,6,,22<br />
2005-2-3,32,28,25,25,24,23,94,79,59,1014,1011,1009,10,10,10,23,8,,0.00,5,,31<br />
2005-2-4,33,29,26,25,24,23,94,80,55,1013,1011,1009,10,10,10,26,10,,0.00,6,,30<br />
2005-2-5,32,29,26,25,24,23,94,81,59,1012,1010,1008,10,10,10,24,6,,0.00,6,,20<br />
2005-2-6,33,29,25,24,22,19,94,73,46,1014,1012,1010,10,10,10,24,11,,0.00,6,,23<br />
2005-2-7,33,28,24,24,23,21,94,76,49,1015,1013,1011,10,10,8,90,8,,0.00,5,,25<br />
2005-2-8,33,29,25,25,23,22,94,78,55,1014,1012,1010,10,10,10,26,11,,0.00,6,,23<br />
2005-2-9,33,29,25,25,23,22,94,77,52,1013,1012,1010,10,10,7,23,6,,0.00,4,,19<br />
2005-2-10,33,29,25,25,24,23,94,78,55,1013,1012,1009,10,10,10,24,10,,0.00,5,,22<br />
2005-2-11,33,29,26,25,24,22,94,77,52,1014,1012,1010,10,10,10,26,13,,0.00,6,,22<br />
2005-2-12,33,29,26,25,24,23,94,78,55,1014,1012,1009,10,10,10,26,11,,0.00,6,,25<br />
2005-2-13,33,29,26,25,24,23,94,80,55,1013,1011,1008,10,10,8,24,8,,0.00,6,Rain,29<br />
2005-2-14,33,29,26,25,24,22,94,79,52,1013,1011,1008,10,10,7,23,8,,0.00,6,,27<br />
2005-2-15,34,30,26,25,24,22,94,78,52,1012,1010,1008,10,10,10,21,11,,0.00,6,,33<br />
2005-2-16,34,30,26,26,24,23,94,77,52,1012,1010,1007,10,10,10,19,8,,0.00,6,,31<br />
2005-2-17,33,29,26,26,25,24,100,81,59,1012,1010,1007,10,10,6,19,6,,0.00,6,Rain,40<br />
2005-2-18,34,30,26,26,25,24,94,80,56,1012,1010,1008,10,9,4,21,5,,0.00,6,,39<br />
2005-2-19,35,30,26,25,23,21,94,75,47,1012,1010,1008,10,9,5,23,8,,0.00,4,,26<br />
2005-2-20,34,29,25,25,23,22,94,74,52,1013,1011,1009,10,9,5,26,8,,0.00,5,,15<br />
2005-2-21,34,30,26,25,23,21,84,72,52,1014,1012,1010,10,10,8,26,10,,0.00,4,,15<br />
2005-2-22,34,29,25,24,23,20,89,72,44,1014,1012,1010,10,9,4,26,10,,0.00,4,,17<br />
2005-2-23,34,30,26,25,23,22,89,73,49,1014,1011,1009,10,9,6,26,10,,0.00,5,,18<br />
2005-2-24,34,30,27,26,25,22,89,79,56,1012,1010,1008,10,8,5,23,8,,0.00,6,,38<br />
2005-2-25,34,30,27,26,24,23,94,76,52,1012,1010,1007,10,10,10,21,8,,0.00,6,,31<br />
2005-2-26,34,30,26,26,26,24,94,82,59,1013,1011,1008,10,9,5,24,5,,0.00,6,Rain-Thunderstorm,47<br />
2005-2-27,32,29,27,27,26,25,94,88,66,1013,1010,1008,10,8,4,21,3,,0.00,6,Rain-Thunderstorm,12<br />
2005-2-28,33,29,26,26,25,23,100,82,59,1013,1011,1008,10,9,4,21,3,,0.00,6,,47<br />
2005-3-1,34,30,26,26,25,23,94,80,55,1014,1012,1010,10,9,2,23,5,,0.00,5,,34<br />
2005-3-2,33,29,26,27,26,24,100,84,63,1015,1013,1011,10,10,3,21,6,,0.00,5,Rain-Thunderstorm,32<br />
2005-3-3,33,28,23,26,25,22,100,87,63,1016,1014,1012,10,10,2,19,8,,0.00,6,Rain-Thunderstorm,17<br />
2005-3-4,33,29,26,25,24,23,94,79,59,1017,1014,1012,10,9,4,26,10,,0.00,6,,26<br />
2005-3-5,33,29,26,25,24,21,89,75,52,1018,1015,1013,10,10,10,29,14,,0.00,4,,27<br />
2005-3-6,33,29,26,26,24,23,89,79,59,1017,1015,1013,10,10,10,29,14,,0.00,4,Rain,29<br />
