
CDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,28,24,22,20,18,17,83,68,54,1022,1021,1019,10,9,6,23,18,,0.00,4,,12<br />
2005-1-2,29,26,22,17,16,13,73,58,37,1022,1021,1019,10,10,9,23,16,,0.00,2,,19<br />
2005-1-3,27,23,20,19,16,13,83,68,42,1022,1021,1019,10,9,9,26,16,,0.00,1,,13<br />
2005-1-4,28,24,22,19,16,11,83,58,35,1021,1019,1017,10,9,9,19,14,,0.00,2,,25<br />
2005-1-5,29,26,22,23,19,15,83,67,54,1019,1017,1015,10,10,10,26,13,,0.00,1,,50<br />
2005-1-6,28,24,22,21,17,12,88,63,44,1019,1017,1016,10,10,9,24,11,,0.00,1,,52<br />
2005-1-7,29,24,21,22,18,13,88,65,54,1020,1019,1017,10,10,9,26,13,,0.00,1,,51<br />
2005-1-8,29,26,22,20,17,14,83,63,42,1022,1021,1019,10,9,9,19,13,,0.00,1,,16<br />
2005-1-9,29,26,22,19,17,13,83,63,37,1021,1019,1017,10,10,10,26,16,,0.00,1,,20<br />
2005-1-10,30,26,22,19,18,16,78,61,45,1020,1018,1016,10,9,9,23,19,,0.00,2,,18<br />
2005-1-11,29,26,22,22,19,15,83,67,45,1019,1017,1015,10,9,8,21,16,,0.00,1,,37<br />
2005-1-12,29,26,22,20,18,15,83,65,42,1018,1017,1015,10,9,8,26,13,,0.00,1,,39<br />
2005-1-13,28,26,23,21,19,17,83,68,54,1019,1017,1016,10,10,9,29,13,,0.00,1,,43<br />
2005-1-14,28,24,22,20,18,17,73,62,51,1021,1019,1017,10,10,9,14,10,,0.00,1,,190<br />
2005-1-15,29,26,23,23,20,17,88,69,61,1019,1017,1016,10,9,8,16,10,,0.00,1,,231<br />
2005-1-16,28,24,20,23,21,16,94,76,54,1018,1016,1014,10,9,8,23,11,,0.00,2,Rain,271<br />
2005-1-17,26,23,21,22,19,17,94,74,57,1019,1016,1015,9,9,9,37,27,53,0.00,4,,359<br />
2005-1-18,29,24,21,18,16,12,83,66,35,1022,1020,1018,10,9,8,29,24,48,0.00,1,,5<br />
2005-1-19,27,23,19,18,15,13,94,62,42,1021,1020,1017,10,9,9,26,18,40,0.00,1,,13<br />
2005-1-20,29,23,18,17,16,14,88,64,42,1021,1019,1017,10,9,9,26,16,,0.00,2,,9<br />
2005-1-21,27,22,17,17,15,13,88,67,50,1021,1019,1017,10,10,9,16,14,,0.00,1,,353<br />
2005-1-22,25,20,16,17,15,11,94,71,50,1022,1020,1018,9,9,9,19,11,,0.00,1,,42<br />
2005-1-23,26,22,18,20,17,11,94,73,53,1020,1018,1016,10,9,9,19,8,,0.00,1,,260<br />
2005-1-24,28,23,19,19,15,10,78,64,45,1021,1019,1017,10,9,8,27,18,,0.00,2,,359<br />
2005-1-25,26,22,18,21,15,11,83,65,41,1020,1018,1016,10,9,9,21,16,,0.00,2,,2<br />
2005-1-26,26,22,18,18,17,14,88,70,47,1019,1017,1016,10,9,9,16,10,,0.00,3,,358<br />
2005-1-27,30,26,21,23,19,15,88,70,45,1019,1017,1016,10,9,8,16,11,,0.00,2,,7<br />
2005-1-28,30,25,20,23,19,16,88,72,45,1019,1017,1016,10,9,9,26,16,39,0.00,3,,15<br />
2005-1-29,27,23,20,21,18,16,88,76,51,1019,1017,1016,10,9,8,21,16,,0.00,2,,14<br />
2005-1-30,27,23,19,20,17,15,88,68,51,1017,1016,1014,10,9,8,21,16,,0.00,1,,352<br />
2005-1-31,28,23,19,19,17,15,100,68,45,1018,1016,1014,10,9,9,19,13,,0.00,1,,352<br />
2005-2-1,29,24,19,19,17,14,88,66,48,1018,1016,1014,10,9,8,16,14,,0.00,1,,28<br />
2005-2-2,26,22,19,17,15,12,88,62,42,1019,1017,1016,10,10,9,19,14,,0.00,1,,45<br />
2005-2-3,28,23,19,20,16,12,83,67,47,1019,1017,1015,10,10,9,26,16,,0.00,1,,13<br />
2005-2-4,28,22,16,20,16,13,100,73,39,1019,1017,1014,10,9,9,16,10,,0.00,1,,8<br />
2005-2-5,25,21,18,19,16,13,94,72,61,1018,1016,1015,10,9,9,26,14,,0.00,2,,360<br />
2005-2-6,27,21,16,17,14,12,88,65,42,1019,1017,1016,10,9,9,23,16,,0.00,2,,18<br />
2005-2-7,27,22,18,20,16,13,88,68,47,1018,1016,1014,10,10,9,39,16,,0.00,1,,10<br />
2005-2-8,26,22,18,19,16,11,88,65,39,1017,1016,1014,10,10,9,19,11,,0.00,2,,24<br />
2005-2-9,26,22,19,20,17,15,88,73,51,1017,1016,1014,10,9,9,16,13,,0.00,2,,14<br />
2005-2-10,27,22,18,18,15,12,88,64,39,1018,1016,1014,10,9,9,21,14,,0.00,1,,331<br />
