
BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,32,29,27,25,23,22,79,69,62,1015,1013,1012,10,10,10,21,11,,0.00,3,,111<br />
2005-1-2,33,30,27,24,23,22,79,69,55,1015,1014,1013,10,10,10,21,14,,0.00,3,,102<br />
2005-1-3,32,29,26,24,23,22,79,70,62,1016,1015,1013,10,10,7,23,16,,0.00,4,Rain,128<br />
2005-1-4,32,29,26,25,23,23,94,75,59,1015,1014,1011,10,10,9,23,18,,0.00,4,Rain,129<br />
2005-1-5,33,30,27,24,23,22,79,68,55,1015,1013,1012,10,10,10,23,14,,0.00,3,,117<br />
2005-1-6,33,29,26,23,22,21,79,67,52,1014,1013,1011,10,10,10,23,16,,0.00,2,,122<br />
2005-1-7,32,29,26,24,23,22,89,72,55,1014,1012,1011,10,10,7,23,14,,0.00,4,Rain,155<br />
2005-1-8,32,28,25,24,23,23,89,73,59,1013,1012,1010,10,10,10,24,14,,0.00,3,,145<br />
2005-1-9,33,30,27,25,24,23,84,73,59,1013,1012,1010,10,10,10,23,16,,0.00,3,,107<br />
2005-1-10,33,29,25,24,23,23,89,69,59,1013,1012,1010,10,10,10,21,14,,0.00,4,,113<br />
2005-1-11,33,30,27,24,23,22,79,69,59,1013,1012,1011,10,10,10,21,14,,0.00,4,,106<br />
2005-1-12,33,30,27,24,23,22,79,67,55,1013,1012,1010,10,10,10,21,14,,0.00,3,,69<br />
2005-1-13,33,30,27,25,24,23,79,73,59,1012,1011,1009,10,10,10,27,16,,0.00,4,,71<br />
2005-1-14,31,29,27,25,24,23,79,75,70,1013,1011,1009,10,10,10,19,13,,0.00,4,,94<br />
2005-1-15,32,29,27,25,24,23,79,71,62,1012,1010,1009,10,10,10,21,14,,0.00,3,,98<br />
2005-1-16,32,29,27,24,23,23,84,72,62,1012,1010,1008,10,10,10,21,14,,0.00,3,,108<br />
2005-1-17,33,30,28,24,23,23,79,70,59,1012,1010,1008,10,10,10,16,14,,0.00,5,,92<br />
2005-1-18,31,29,27,24,24,23,84,74,66,1012,1010,1009,10,10,10,21,14,,0.00,5,,111<br />
2005-1-19,31,29,27,25,24,23,84,76,66,1013,1011,1009,10,10,9,23,13,,0.00,4,,96<br />
2005-1-20,31,29,27,25,24,23,79,73,66,1014,1012,1010,10,10,10,21,11,,0.00,5,,90<br />
2005-1-21,33,30,27,25,24,23,84,73,63,1014,1012,1011,10,10,10,21,14,,0.00,4,,109<br />
2005-1-22,32,29,27,25,24,24,84,75,66,1014,1012,1010,10,10,10,21,14,,0.00,5,,126<br />
2005-1-23,32,29,27,24,24,23,84,73,62,1014,1011,1009,10,10,10,19,13,,0.00,4,,141<br />
