
IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,27,22,18,19,17,8,94,75,30,1020,1017,1015,8,6,2,19,8,,0.00,5,,103<br />
2005-1-2,28,22,16,16,14,12,100,69,39,1019,1016,1008,8,5,0,19,6,,0.00,3,Fog,102<br />
2005-1-3,28,22,17,17,15,13,100,59,42,1019,1016,1014,8,6,2,14,6,,0.00,4,,99<br />
2005-1-4,28,22,17,17,13,5,94,62,26,1020,1017,1015,8,6,2,14,8,,0.00,4,,89<br />
2005-1-5,28,22,16,16,10,5,94,53,26,1020,1018,1016,8,6,2,19,5,,0.00,0,Fog,92<br />
2005-1-6,28,21,14,13,11,9,94,55,32,1020,1017,1015,8,6,2,55,13,,0.00,0,,89<br />
2005-1-7,28,21,14,14,11,9,100,52,32,1020,1017,1015,8,6,1,19,13,,0.00,5,Fog,94<br />
2005-1-8,26,20,15,15,12,9,94,61,34,1020,1017,1015,8,6,1,19,10,,0.00,0,Fog,95<br />
2005-1-9,26,20,14,13,10,7,94,52,32,1019,1017,1015,8,6,2,11,8,,0.00,5,,82<br />
2005-1-10,28,21,14,15,9,5,100,54,24,1017,1015,1013,8,5,1,11,6,,0.00,2,Fog,81<br />
2005-1-11,28,21,15,12,9,7,82,49,26,1018,1015,1011,6,5,2,19,5,,0.00,0,,50<br />
2005-1-12,28,21,15,15,11,6,94,51,25,1019,1016,1014,8,6,1,14,6,,0.00,1,,61<br />
2005-1-13,28,21,15,15,11,7,100,56,26,1019,1016,1015,8,6,1,14,6,,0.00,3,Fog,89<br />
2005-1-14,27,21,15,14,10,5,94,49,24,1018,1016,1013,8,6,1,11,8,,0.00,1,Fog,98<br />
2005-1-15,27,20,14,15,11,8,94,55,30,1019,1016,1013,10,6,1,19,8,,0.00,1,,94<br />
2005-1-16,28,21,14,14,12,7,94,60,28,1019,1016,1013,6,6,6,11,6,,0.00,0,,112<br />
2005-1-17,27,21,16,16,13,11,94,58,37,1019,1015,1013,8,6,2,14,5,,0.00,3,,138<br />
2005-1-18,28,23,18,17,15,13,94,63,45,1019,1016,1013,6,5,4,14,6,,0.00,3,,100<br />
2005-1-19,28,23,18,17,16,13,94,62,42,1018,1016,1014,8,6,4,19,10,,0.00,3,,101<br />
2005-1-20,29,23,17,16,13,10,94,56,30,1020,1018,1016,10,7,2,19,13,,0.00,2,,95<br />
2005-1-21,29,22,16,16,13,11,94,60,33,1022,1019,1017,10,8,4,19,13,,0.00,2,,96<br />
2005-1-22,28,22,17,16,15,13,94,61,42,1021,1019,1016,10,8,2,23,16,,0.00,3,,103<br />
2005-1-23,28,23,18,17,16,11,94,65,42,1020,1017,1015,10,7,2,19,10,,0.00,2,,102<br />
2005-1-24,29,23,18,18,15,13,100,63,39,1020,1017,1015,10,9,5,14,8,,0.00,4,,104<br />
2005-1-25,29,24,19,18,15,12,94,60,37,1019,1016,1014,10,8,2,11,8,,0.00,2,,112<br />
2005-1-26,29,23,18,17,15,11,94,64,37,1018,1015,1012,10,8,3,11,5,,0.00,2,,98<br />
2005-1-27,29,23,18,17,15,12,94,62,35,1016,1014,1012,10,7,1,11,3,,0.00,5,Fog-Rain,100<br />
2005-1-28,27,23,19,18,15,11,88,62,39,1017,1014,1011,8,6,5,10,5,,0.00,6,,120<br />
2005-1-29,29,22,16,15,12,9,88,51,30,1016,1014,1011,10,8,2,19,8,,0.00,2,,116<br />
2005-1-30,27,21,16,18,16,14,94,69,54,1017,1014,1012,9,6,2,14,10,,0.00,5,,131<br />
2005-1-31,25,21,18,18,17,15,88,73,57,1018,1016,1014,8,6,4,11,8,,0.00,4,,116<br />
2005-2-1,27,23,19,18,17,16,94,76,54,1019,1017,1014,10,7,2,11,6,,0.00,5,,75<br />
2005-2-2,26,22,18,19,18,17,100,74,57,1019,1017,1014,10,8,3,14,11,,0.00,4,Rain,90<br />
2005-2-3,27,22,18,18,17,15,94,70,51,1019,1017,1014,8,6,2,19,14,,0.00,3,,95<br />
2005-2-4,27,23,19,18,16,15,94,65,48,1019,1017,1015,8,7,3,19,13,,0.00,4,,101<br />
2005-2-5,28,23,19,19,17,15,94,65,45,1019,1016,1014,8,7,3,19,11,,0.00,3,,108<br />
2005-2-6,28,23,18,17,16,12,94,67,47,1020,1017,1015,8,7,3,14,11,,0.00,4,,91<br />
2005-2-7,29,23,17,14,7,2,82,39,18,1020,1018,1016,8,7,3,19,13,,0.00,1,,90<br />
2005-2-8,29,22,16,14,9,4,88,46,21,1021,1018,1016,8,6,2,19,14,,0.00,1,,93<br />
2005-2-9,28,21,15,16,11,6,94,53,25,1022,1020,1017,10,7,3,26,14,,0.00,2,,90<br />
2005-2-10,28,22,16,14,8,5,82,44,24,1023,1020,1018,8,7,4,27,14,,0.00,0,,91<br />
2005-2-11,29,22,16,14,8,3,88,44,19,1023,1021,1018,8,7,4,23,13,,0.00,0,,92<br />
2005-2-12,30,23,16,14,6,0,82,40,15,1022,1020,1017,8,7,4,100,31,,0.00,0,,90<br />
2005-2-13,30,23,16,12,6,1,72,39,15,1021,1018,1016,8,7,2,19,11,,0.00,0,,89<br />
2005-2-14,31,23,15,9,6,2,67,34,16,1019,1016,1014,8,7,4,19,11,,0.00,0,,90<br />
2005-2-15,32,24,18,10,5,2,52,26,16,1018,1015,1013,8,6,2,19,13,,0.00,0,,94<br />
2005-2-16,34,27,19,14,8,3,60,35,17,1018,1015,1012,8,7,3,14,8,,0.00,0,,10<br />
2005-2-17,34,27,19,14,7,3,64,33,14,1018,1015,1012,8,7,2,11,3,,0.00,1,,109<br />
2005-2-18,34,26,18,18,8,3,83,36,14,1018,1015,1013,10,6,2,14,6,,0.00,0,,104<br />
2005-2-19,33,26,19,15,7,0,73,34,12,1019,1016,1014,8,7,2,19,8,,0.00,0,,104<br />
2005-2-20,33,24,17,17,6,-6,100,39,8,1019,1016,1014,8,6,3,19,10,,0.00,3,,110<br />
2005-2-21,33,24,17,14,8,1,82,39,14,1018,1016,1013,10,9,6,19,8,,0.00,2,,131<br />
2005-2-22,30,24,18,17,15,13,94,58,42,1020,1017,1014,10,8,2,10,5,,0.00,2,,96<br />
2005-2-23,31,24,19,18,16,11,94,54,37,1020,1016,1014,10,8,2,19,10,,0.00,3,,93<br />
2005-2-24,31,26,20,18,13,7,88,49,23,1020,1017,1014,10,9,2,14,10,,0.00,3,,96<br />
2005-2-25,32,26,19,17,11,3,83,45,16,1019,1017,1014,10,8,2,19,11,,0.00,2,,94<br />
2005-2-26,33,26,19,15,10,6,73,41,20,1020,1017,1012,10,8,6,14,10,,0.00,2,,97<br />
2005-2-27,32,26,19,14,8,2,68,38,15,1020,1016,1014,8,8,3,14,10,,0.00,,,93<br />
2005-2-28,33,26,18,10,4,0,56,29,12,1019,1016,1013,8,8,4,23,11,,0.00,0,,97<br />
2005-3-1,33,24,17,13,8,2,72,37,14,1019,1017,1014,8,8,3,23,11,,0.00,0,,93<br />
2005-3-2,32,24,18,16,9,4,83,40,18,1022,1019,1016,8,7,2,14,10,,0.00,0,,99<br />
2005-3-3,32,24,17,17,9,3,100,46,17,1021,1018,1012,8,6,0,14,8,,0.00,1,Fog,96<br />
2005-3-4,33,26,19,19,11,4,94,43,18,1021,1018,1016,10,7,2,14,8,,0.00,0,,101<br />
2005-3-5,32,26,19,18,14,10,88,50,26,1027,1019,1015,10,9,6,14,3,,0.00,2,,109<br />
2005-3-6,32,26,20,19,17,10,94,63,36,1022,1019,1016,8,7,2,11,8,,0.00,3,,120<br />
2005-3-7,32,26,21,20,16,10,94,58,32,1021,1019,1016,8,7,2,19,10,,0.00,3,,120<br />
2005-3-8,33,27,20,19,16,11,88,59,35,1022,1019,1017,10,6,2,14,11,,0.00,4,,113<br />
2005-3-9,32,26,19,20,16,11,88,54,31,1021,1019,1016,8,7,4,14,10,,0.00,3,,113<br />
2005-3-10,32,26,20,20,17,10,100,59,35,1020,1017,1014,10,8,3,19,8,,0.00,3,,342<br />
2005-3-11,32,26,19,19,17,12,100,59,33,1019,1015,1012,8,6,2,19,6,,0.00,3,,118<br />
2005-3-12,32,26,20,19,17,13,94,61,33,1018,1015,1012,10,6,3,11,6,,0.00,3,Rain-Thunderstorm,196<br />
2005-3-13,33,27,21,20,16,12,94,58,29,1018,1015,1012,10,9,8,11,6,,0.00,2,,343<br />
2005-3-14,32,26,20,19,15,10,94,54,27,1018,1015,1013,10,8,3,19,13,,0.00,1,,89<br />
2005-3-15,32,26,21,19,14,9,83,47,27,1018,1015,1012,10,7,2,14,10,,0.00,5,,63<br />
2005-3-16,33,26,19,17,12,8,83,45,24,1018,1015,1013,10,7,3,14,8,,0.00,1,,100<br />
2005-3-17,33,27,20,16,12,6,73,45,18,1019,1016,1013,10,8,2,26,11,,0.00,3,,91<br />
2005-3-18,38,28,18,15,11,5,83,39,14,1017,1015,1012,8,5,2,27,11,,0.00,0,,87<br />
2005-3-19,33,26,19,15,8,4,78,35,17,1017,1014,1012,8,6,2,27,11,,0.00,0,,81<br />
2005-3-20,33,26,19,17,11,6,78,46,18,1018,1015,1013,10,7,4,14,6,,0.00,0,,88<br />
2005-3-21,32,26,21,19,9,4,88,36,17,1017,1014,1011,10,8,3,19,6,,0.00,0,,76<br />
2005-3-22,33,27,21,17,13,9,73,42,23,1016,1013,1010,10,8,3,14,8,,0.00,1,,95<br />
2005-3-23,32,27,23,22,18,14,89,58,45,1015,1012,1009,10,7,3,19,11,,0.00,3,,242<br />
2005-3-24,34,28,22,19,12,3,83,44,16,1015,1012,1010,8,7,6,23,13,,0.00,2,,311<br />
2005-3-25,34,28,22,18,14,10,73,45,29,1016,1013,1011,10,7,2,14,5,,0.00,2,,328<br />
2005-3-26,34,27,20,20,15,10,83,49,28,1017,1014,1011,10,8,3,11,6,,0.00,3,,30<br />
2005-3-27,34,27,21,21,17,14,88,53,30,1017,1014,1011,10,8,3,19,6,,0.00,3,,110<br />
2005-3-28,34,28,23,21,17,11,88,56,27,1017,1014,1011,10,7,3,14,6,,0.00,3,,112<br />
2005-3-29,32,27,23,21,18,15,88,55,36,1016,1014,1012,10,8,6,10,5,,0.00,5,,295<br />
2005-3-30,33,27,22,21,16,11,94,53,26,1015,1012,1009,10,8,6,11,6,,0.00,3,,122<br />
2005-3-31,32,27,23,21,17,15,88,58,40,1014,1012,1009,10,7,6,19,10,,0.00,4,,252<br />
2005-4-1,35,28,21,21,19,17,88,67,36,1014,1012,1009,6,6,4,27,8,47,0.00,4,Rain,264<br />
2005-4-2,34,27,21,21,17,13,94,58,30,1016,1013,1011,10,8,6,19,6,,0.00,3,,101<br />
2005-4-3,35,28,21,20,18,16,88,60,34,1017,1014,1011,10,8,4,27,13,47,0.00,2,,94<br />
2005-4-4,32,27,22,20,19,18,88,66,43,1017,1014,1011,10,8,6,23,13,37,0.00,4,Rain-Thunderstorm,86<br />
2005-4-5,30,26,21,21,20,19,94,76,55,1016,1014,1012,10,8,3,19,11,27,0.00,5,Rain,88<br />
2005-4-6,31,26,20,20,19,17,94,74,43,1016,1014,1011,10,9,3,19,8,,0.00,4,Rain-Thunderstorm,92<br />
2005-4-7,28,23,19,21,19,18,94,83,58,1015,1013,1011,10,7,3,19,6,,0.00,3,Rain-Thunderstorm,209<br />
