
KGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,-5,-8,-11,-8,-11,-13,93,85,73,1035,1033,1032,10,6,2,18,6,,0.00,5,Snow,275<br />
2006-1-2,-11,-13,-16,-12,-14,-18,92,89,85,1039,1037,1034,10,6,2,14,10,,0.00,6,Snow,269<br />
2006-1-3,-13,-17,-20,-16,-19,-22,92,85,73,1043,1040,1038,9,6,4,11,3,,0.00,2,Snow,276<br />
2006-1-4,-15,-18,-22,-17,-21,-24,92,85,77,1043,1041,1039,6,2,0,11,3,,0.00,1,Fog,255<br />
2006-1-5,-17,-19,-21,-19,-21,-24,92,84,77,1039,1036,1034,7,3,1,6,3,,0.00,3,Fog-Snow,331<br />
2006-1-6,-7,-14,-21,-14,-18,-23,85,73,46,1033,1031,1027,9,3,1,11,6,,0.00,2,,141<br />
2006-1-7,-1,-9,-17,-8,-13,-19,85,69,54,1027,1024,1021,9,5,1,14,8,,0.00,0,,121<br />
2006-1-8,3,-2,-6,-3,-7,-11,93,66,44,1020,1016,1013,9,6,3,18,11,,0.00,,,117<br />
2006-1-9,3,0,-3,0,-2,-4,100,87,65,1016,1012,1010,8,5,0,21,11,,0.00,6,Fog-Rain-Snow,242<br />
2006-1-10,-3,-7,-9,-4,-7,-10,100,93,86,1026,1020,1016,5,2,1,21,10,,0.00,7,Fog-Snow,298<br />
2006-1-11,-6,-11,-16,-7,-11,-18,100,91,85,1033,1031,1027,8,3,1,18,6,,0.00,7,Snow,294<br />
2006-1-12,-9,-14,-20,-10,-17,-23,93,87,78,1033,1030,1028,3,1,0,11,3,,0.00,1,Fog,132<br />
2006-1-13,-5,-12,-19,-10,-15,-21,93,83,68,1028,1025,1023,3,2,0,6,5,,0.00,0,Fog,129<br />
2006-1-14,0,-9,-19,-8,-13,-21,92,77,51,1022,1020,1015,8,3,0,11,3,,0.00,0,Fog,145<br />
2006-1-15,-3,-9,-14,-8,-12,-16,92,78,55,1015,1013,1011,8,3,1,14,6,,0.00,,,182<br />
2006-1-16,0,-5,-10,-6,-9,-12,93,78,60,1018,1016,1013,6,4,2,11,5,,0.00,6,,102<br />
2006-1-17,-1,-7,-13,-8,-11,-15,93,77,55,1018,1016,1013,8,4,1,14,6,,0.00,3,,139<br />
2006-1-18,0,-6,-12,-8,-12,-14,93,72,44,1019,1017,1016,9,5,1,14,8,,0.00,0,,123<br />
2006-1-19,1,-7,-13,-5,-11,-15,100,82,55,1029,1023,1015,6,3,1,29,13,,0.00,6,Snow,168<br />
2006-1-20,-10,-14,-19,-11,-16,-21,93,87,79,1028,1026,1025,8,4,0,14,6,,0.00,2,Fog,120<br />
2006-1-21,-4,-11,-18,-11,-16,-20,92,76,59,1025,1023,1022,6,2,1,14,6,,0.00,0,,129<br />
2006-1-22,-5,-11,-18,-11,-15,-20,92,80,63,1023,1020,1018,2,2,1,11,3,,0.00,0,,199<br />
2006-1-23,1,-7,-15,-5,-11,-17,92,70,51,1022,1020,1019,8,4,1,21,8,,0.00,1,,165<br />
2006-1-24,2,-4,-9,-4,-7,-10,100,82,60,1023,1022,1020,6,4,1,21,10,,0.00,4,Fog,144<br />
2006-1-25,3,-2,-7,-1,-4,-8,100,82,60,1022,1018,1015,6,4,0,40,8,,0.00,6,Fog,46<br />
2006-1-26,-1,-8,-14,-2,-12,-16,93,88,79,1032,1026,1019,7,3,1,40,19,40,0.00,7,Fog-Snow,312<br />
2006-1-27,-10,-12,-14,-12,-14,-17,92,85,79,1020,1017,1016,6,3,1,14,6,,0.00,6,Snow,303<br />
2006-1-28,-10,-12,-13,-11,-13,-14,93,89,85,1021,1019,1017,6,4,0,21,10,,0.00,6,Fog-Snow,311<br />
2006-1-29,-6,-9,-11,-8,-11,-13,93,86,80,1026,1024,1020,4,3,1,14,3,,0.00,6,Snow,358<br />
2006-1-30,-2,-8,-13,-5,-9,-14,93,87,74,1026,1023,1017,4,2,0,11,3,,0.00,5,Fog,3<br />
2006-1-31,-1,-4,-7,-4,-6,-9,93,88,75,1023,1019,1017,3,2,1,21,8,,0.00,5,Snow,176<br />
2006-2-1,1,-2,-4,-3,-5,-6,93,82,69,1024,1022,1020,3,2,1,14,8,,0.00,5,Fog,127<br />
2006-2-2,4,-1,-5,0,-4,-7,87,76,65,1028,1023,1019,6,4,2,26,11,,0.00,4,Rain,136<br />
2006-2-3,5,2,-1,0,-2,-3,87,76,61,1033,1030,1026,9,6,3,18,11,,0.00,5,,91<br />
2006-2-4,9,4,-1,0,-2,-4,86,65,50,1025,1021,1017,8,6,3,26,10,,0.00,,,104<br />
2006-2-5,11,7,4,4,1,-2,76,63,41,1017,1013,1011,8,6,4,32,14,,0.00,,,119<br />
2006-2-6,7,4,1,3,2,0,100,85,66,1029,1024,1017,6,3,0,18,6,,0.00,6,Fog-Rain,131<br />
2006-2-7,7,2,-2,4,0,-2,100,94,70,1028,1024,1020,8,2,0,11,5,,0.00,0,Fog,120<br />
2006-2-8,16,7,-1,3,0,-3,100,60,34,1021,1020,1018,8,5,0,29,13,,0.00,0,Fog,135<br />
2006-2-9,19,12,5,6,1,-3,81,52,30,1020,1016,1010,10,6,4,29,14,,0.00,1,,130<br />
2006-2-10,13,9,6,8,3,-1,93,65,44,1012,1009,1005,8,6,3,32,10,,0.00,4,Rain,171<br />
2006-2-11,9,4,0,6,2,-2,93,82,62,1030,1019,1012,8,5,3,43,19,,0.00,6,Rain,286<br />
2006-2-12,2,0,-1,-1,-2,-3,93,85,75,1031,1030,1027,8,6,5,14,6,,0.00,6,,330<br />
2006-2-13,4,0,-4,-2,-4,-5,93,81,61,1027,1026,1025,10,6,4,14,5,,0.00,5,,57<br />
2006-2-14,6,1,-3,-6,-7,-9,80,58,36,1026,1023,1020,8,7,6,43,23,47,0.00,,,66<br />
2006-2-15,6,1,-3,-5,-8,-9,80,55,36,1020,1016,1014,7,6,5,40,29,,0.00,0,,68<br />
2006-2-16,17,6,-4,2,-6,-12,87,57,13,1014,1010,1008,9,6,4,18,8,,0.00,0,,87<br />
2006-2-17,12,6,1,1,-1,-4,75,57,44,1010,1009,1008,9,7,4,21,10,,0.00,,,145<br />
2006-2-18,12,8,3,6,4,1,100,86,62,1022,1013,1009,10,6,1,40,11,35,0.00,5,Fog-Rain-Tornado,258<br />
2006-2-19,2,-2,-5,0,-2,-6,100,95,80,1027,1025,1023,10,5,0,21,10,,0.00,5,Fog-Rain-Snow,278<br />
2006-2-20,5,0,-5,-1,-4,-6,100,82,57,1028,1026,1024,9,5,1,21,8,,0.00,4,Fog,69<br />
2006-2-21,9,3,-2,-1,-3,-5,100,70,37,1028,1026,1024,9,6,2,11,5,,0.00,3,,223<br />
2006-2-22,12,6,-1,0,-3,-6,87,62,28,1026,1023,1021,10,7,3,21,10,,0.00,3,,97<br />
2006-2-23,4,2,0,1,-1,-2,100,88,65,1026,1022,1020,10,6,1,32,10,,0.00,6,Rain-Snow,239<br />
2006-2-24,3,1,-1,0,-1,-3,100,91,65,1026,1024,1022,10,5,1,18,6,,0.00,6,Snow,298<br />
2006-2-25,1,-2,-5,-1,-5,-7,100,81,60,1029,1027,1024,10,8,2,26,11,,0.00,6,Snow,6<br />
2006-2-26,8,0,-7,-2,-6,-8,93,70,46,1023,1020,1018,9,8,6,11,6,,0.00,3,,95<br />
2006-2-27,15,8,0,0,-3,-8,87,57,20,1020,1018,1016,9,7,6,18,13,,0.00,1,,110<br />
2006-2-28,14,7,1,2,-1,-5,81,57,36,1019,1017,1015,9,8,5,18,10,,0.00,,,205<br />
2006-3-1,20,13,6,4,-1,-9,76,48,13,1018,1014,1011,9,8,7,29,16,,0.00,,,132<br />
2006-3-2,8,6,3,3,2,0,93,73,66,1020,1017,1011,10,8,5,26,13,,0.00,6,,136<br />
2006-3-3,19,9,0,3,-1,-11,100,61,12,1018,1014,1011,8,4,2,14,8,,0.00,,,90<br />
2006-3-4,19,11,3,3,-1,-3,75,49,24,1010,1008,1005,9,6,6,29,10,,0.00,3,,195<br />
2006-3-5,18,12,7,8,3,2,93,59,37,1020,1014,1010,10,8,6,29,11,43,0.00,3,Rain,263<br />
2006-3-6,10,6,2,7,2,1,93,81,54,1028,1025,1021,10,9,6,40,21,32,0.00,5,Rain,301<br />
2006-3-7,10,4,-1,3,1,-2,100,80,62,1027,1023,1021,10,9,6,14,6,,0.00,4,,267<br />
2006-3-8,14,8,3,4,2,0,93,66,41,1027,1026,1023,10,8,5,21,6,,0.00,3,,70<br />
2006-3-9,18,9,1,2,0,-2,87,58,28,1025,1023,1021,9,7,5,21,13,,0.00,0,,81<br />
2006-3-10,23,13,3,3,-1,-9,87,48,11,1023,1018,1015,9,7,6,32,14,,0.00,0,,82<br />
2006-3-11,24,12,1,0,-4,-9,70,37,11,1015,1013,1011,6,6,4,21,11,,0.00,,,204<br />
2006-3-12,19,13,7,4,1,-6,71,46,26,1015,1013,1012,9,7,5,21,13,,0.00,,,229<br />
2006-3-13,15,9,3,4,3,1,93,66,39,1017,1014,1012,9,7,5,29,11,,0.00,5,,261<br />
2006-3-14,10,8,5,6,4,0,93,87,50,1023,1021,1017,9,3,3,29,11,,0.00,6,Rain,278<br />
2006-3-15,6,4,3,4,3,2,100,89,81,1022,1021,1019,10,5,2,21,8,,0.00,6,Rain,292<br />
2006-3-16,7,3,0,1,-1,-4,100,79,57,1023,1021,1020,10,8,2,26,10,,0.00,5,Rain-Snow,51<br />
2006-3-17,11,4,-1,-1,-3,-5,80,59,38,1019,1017,1015,10,9,6,14,6,,0.00,3,,44<br />
2006-3-18,8,4,2,3,1,0,87,78,66,1020,1017,1013,10,8,6,14,8,,0.00,4,Rain,186<br />
2006-3-19,12,6,0,2,0,-2,100,67,41,1022,1020,1019,9,5,3,18,8,,0.00,0,,142<br />
2006-3-20,17,9,1,2,-1,-4,87,56,24,1021,1016,1014,9,7,6,21,10,,0.00,0,,88<br />
2006-3-21,20,12,4,3,-1,-5,81,49,18,1015,1013,1011,9,7,6,11,6,,0.00,,,69<br />
2006-3-22,11,7,4,7,3,2,93,81,58,1026,1019,1011,10,7,4,32,13,,0.00,5,Rain,226<br />
2006-3-23,13,7,1,2,1,-2,100,69,38,1026,1023,1019,9,8,6,18,8,,0.00,5,,104<br />
2006-3-24,14,7,1,4,2,-1,93,69,44,1020,1019,1017,9,7,6,18,10,,0.00,0,,192<br />
2006-3-25,21,11,1,3,-1,-8,87,52,14,1017,1013,1011,9,7,4,26,8,,0.00,0,,69<br />
2006-3-26,20,12,5,4,1,-3,76,49,21,1020,1016,1012,9,6,4,14,8,,0.00,,,238<br />
2006-3-27,21,13,5,4,2,-2,81,49,23,1020,1015,1011,9,7,6,18,10,,0.00,,,202<br />
2006-3-28,22,14,7,10,4,-2,94,57,20,1020,1014,1011,10,6,4,43,11,64,0.00,5,Rain,112<br />
2006-3-29,12,9,6,10,7,4,100,85,62,1025,1022,1019,10,8,4,26,10,,0.00,6,Rain,266<br />
2006-3-30,17,11,5,7,4,1,93,67,39,1022,1018,1013,8,7,5,35,11,,0.00,3,,63<br />
2006-3-31,24,17,9,12,7,4,100,64,29,1015,1010,1007,10,8,3,32,13,,0.00,4,Rain,18<br />
2006-4-1,11,10,9,10,7,4,100,84,62,1022,1019,1015,9,7,5,18,13,,0.00,6,Rain,247<br />
2006-4-2,13,10,7,7,5,2,93,77,51,1024,1023,1021,10,8,5,26,11,,0.00,6,Rain,197<br />
2006-4-3,17,11,5,5,3,0,87,61,34,1022,1020,1019,9,8,6,14,8,,0.00,2,,75<br />
2006-4-4,21,12,3,6,3,-3,93,57,21,1019,1017,1015,8,7,5,14,6,,0.00,0,,68<br />
2006-4-5,25,16,6,6,2,-5,87,48,14,1015,1012,1011,10,9,7,26,11,,0.00,1,,93<br />
2006-4-6,18,14,11,11,7,4,82,64,45,1020,1017,1013,10,9,7,29,11,,0.00,4,Rain-Thunderstorm,193<br />
2006-4-7,22,16,11,8,4,0,82,49,23,1020,1015,1010,10,8,5,29,14,,0.00,3,,140<br />
2006-4-8,25,17,9,10,4,-2,94,56,18,1010,1005,1001,10,8,6,50,18,,0.00,6,Rain,269<br />
