
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,,,,,,,,,,1024,1022,1019,10,5,0,6,2,,0.00,0,Fog,233<br />
2006-1-2,,,,,,,,,,1021,1019,1018,10,6,4,0,0,,0.00,3,,-1<br />
2006-1-3,,,,,,,,,,1022,1019,1017,10,5,3,11,2,,0.00,2,,280<br />
2006-1-4,,,,,,,,,,1020,1017,1016,10,7,3,10,3,,0.00,1,,262<br />
2006-1-5,,,,,,,,,,1020,1017,1014,10,6,3,10,2,,0.00,1,,231<br />
2006-1-6,,,,,,,,,,1021,1020,1018,8,5,3,0,0,,0.00,3,,-1<br />
2006-1-7,,,,,,,,,,1021,1019,1017,10,6,4,11,2,,0.00,4,,267<br />
2006-1-8,,,,,,,,,,1021,1020,1019,7,4,3,6,2,,0.00,0,,90<br />
2006-1-9,,,,,,,,,,1020,1018,1015,10,6,3,11,2,,0.00,0,,257<br />
2006-1-10,,,,,,,,,,1021,1018,1015,10,6,3,11,2,,0.00,0,,242<br />
2006-1-11,,,,,,,,,,1019,1016,1015,10,6,3,11,3,,0.00,0,,258<br />
2006-1-12,,,,,,,,,,1019,1017,1015,10,5,1,14,2,,0.00,0,,260<br />
2006-1-13,,,,,,,,,,1018,1015,1014,8,5,1,14,3,,0.00,3,,258<br />
2006-1-14,,,,,,,,,,1017,1015,1013,5,3,1,10,2,,0.00,2,,236<br />
2006-1-15,,,,,,,,,,1019,1016,1015,5,3,0,11,2,,0.00,1,Fog,255<br />
2006-1-16,,,,,,,,,,1018,1016,1013,7,3,0,11,3,,0.00,1,Fog,284<br />
2006-1-17,,,,,,,,,,1018,1015,1014,10,6,0,16,5,,0.00,3,Fog,265<br />
2006-1-18,,,,,,,,,,1017,1015,1013,10,7,3,19,5,,0.00,1,,267<br />
2006-1-19,,,,,,,,,,1017,1015,1013,10,7,1,19,5,,0.00,1,,270<br />
2006-1-20,,,,,,,,,,1017,1016,1014,10,7,5,16,3,,0.00,1,,318<br />
2006-1-21,,,,,,,,,,1020,1016,1013,10,7,4,14,3,,0.00,1,,272<br />
2006-1-22,,,,,,,,,,1016,1014,1012,10,6,3,14,2,,0.00,5,,277<br />
2006-1-23,,,,,,,,,,1018,1015,1014,10,7,3,14,3,,0.00,1,,272<br />
2006-1-24,,,,,,,,,,1020,1019,1017,10,7,2,19,5,,0.00,1,,230<br />
2006-1-25,,,,,,,,,,1023,1021,1020,10,6,1,8,2,,0.00,1,,252<br />
2006-1-26,,,,,,,,,,1024,1022,1020,8,6,1,14,3,,0.00,1,Fog,280<br />
2006-1-27,,,,,,,,,,1023,1021,1018,10,5,2,14,3,,0.00,1,,245<br />
2006-1-28,,,,,,,,,,1022,1020,1017,8,5,1,11,3,,0.00,1,,209<br />
2006-1-29,,,,,,,,,,1021,1018,1016,8,6,4,11,3,,0.00,1,,247<br />
2006-1-30,,,,,,,,,,1023,1021,1019,10,6,1,10,2,,0.00,2,Fog,58<br />
2006-1-31,,,,,,,,,,1024,1022,1020,10,6,0,13,3,,0.00,2,Fog,224<br />
2006-2-1,,,,,,,,,,1024,1021,1019,8,6,1,14,3,,0.00,0,,277<br />
2006-2-2,,,,,,,,,,1023,1022,1020,8,3,0,8,2,,0.00,3,Fog,260<br />
2006-2-3,,,,,,,,,,1023,1021,1019,10,6,4,11,2,,0.00,1,,258<br />
2006-2-4,,,,,,,,,,1022,1020,1017,8,5,2,10,2,,0.00,2,,238<br />
2006-2-5,,,,,,,,,,1022,1020,1018,8,5,0,10,2,,0.00,0,Fog,260<br />
2006-2-6,,,,,,,,,,1023,1020,1017,5,4,1,10,2,,0.00,4,,272<br />
2006-2-7,,,,,,,,,,1021,1019,1018,6,4,1,13,3,,0.00,2,,205<br />
2006-2-8,,,,,,,,,,1024,1022,1020,5,4,3,13,2,,0.00,4,,225<br />
2006-2-9,,,,,,,,,,1025,1022,1019,6,4,1,10,3,,0.00,3,,274<br />
2006-2-10,,,,,,,,,,1023,1020,1017,8,5,3,23,5,,0.00,1,,267<br />
2006-2-11,,,,,,,,,,1022,1019,1017,8,5,1,19,5,,0.00,1,,199<br />
2006-2-12,,,,,,,,,,1022,1019,1017,7,4,0,10,2,,0.00,2,Fog,151<br />
2006-2-13,,,,,,,,,,1019,1017,1015,8,5,1,14,3,,0.00,2,,270<br />
2006-2-14,,,,,,,,,,1016,1014,1012,8,5,0,14,3,,0.00,1,Fog,210<br />
