
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,25,18,11,19,14,11,100,82,64,1020,1018,1017,16,6,0,19,9,23,0.25,1,Fog,161<br />
2006-1-2,27,23,19,19,18,16,93,72,51,1021,1018,1016,16,16,11,29,13,37,T,2,,192<br />
2006-1-3,28,20,12,20,16,7,97,64,31,1017,1015,1012,16,14,6,39,19,52,0.00,4,,241<br />
2006-1-4,23,16,9,15,12,9,100,75,49,1018,1016,1015,16,13,0,19,7,21,0.00,1,Fog,312<br />
2006-1-5,24,17,9,14,11,8,100,71,41,1015,1013,1008,16,9,0,23,11,27,0.00,2,Fog,252<br />
2006-1-6,17,11,6,15,6,0,97,66,35,1018,1012,1008,16,16,16,39,22,50,T,1,,282<br />
2006-1-7,13,8,3,3,1,-2,86,62,38,1025,1022,1017,16,16,14,29,13,35,0.00,0,Snow,289<br />
2006-1-8,16,8,0,7,2,-4,100,63,25,1027,1026,1024,16,13,3,16,5,19,0.00,0,Snow,47<br />
2006-1-9,21,13,4,14,10,4,100,79,57,1029,1027,1026,16,15,10,21,7,23,0.00,1,,35<br />
2006-1-10,24,18,12,17,15,11,100,80,60,1027,1025,1024,16,14,3,24,11,32,0.00,4,,99<br />
2006-1-11,24,18,12,18,16,12,100,82,64,1023,1021,1019,16,10,0,23,7,27,0.00,1,Fog,118<br />
2006-1-12,24,18,12,18,15,12,100,82,64,1021,1019,1017,16,8,0,16,6,21,0.00,3,Fog,43<br />
2006-1-13,27,20,13,19,17,13,100,79,58,1018,1015,1009,16,10,0,27,12,35,0.00,3,Fog,185<br />
2006-1-14,21,15,9,19,3,-3,90,60,30,1014,1011,1007,16,16,16,60,36,71,0.51,2,Rain,280<br />
2006-1-15,16,9,2,7,1,-4,80,57,33,1020,1017,1014,16,16,16,34,11,40,0.00,0,,327<br />
2006-1-16,23,16,7,13,6,-3,92,56,19,1020,1018,1016,16,16,16,26,12,32,0.00,0,,201<br />
2006-1-17,28,21,13,19,14,12,93,71,48,1018,1016,1014,16,16,16,40,18,48,0.00,2,,175<br />
2006-1-18,22,14,6,19,9,-2,93,61,29,1029,1023,1015,16,14,4,39,19,48,7.62,5,Rain,307<br />
2006-1-19,21,13,5,15,11,3,89,74,58,1029,1027,1026,16,16,16,26,16,32,0.00,4,,47<br />
2006-1-20,24,21,18,19,18,15,93,86,78,1026,1025,1023,16,15,10,27,15,35,1.27,6,Rain,87<br />
2006-1-21,26,22,18,20,19,17,90,80,69,1025,1024,1023,16,16,16,24,15,29,0.00,1,,112<br />
2006-1-22,25,23,21,20,19,18,97,83,69,1027,1024,1022,16,16,11,26,17,29,T,4,Rain,101<br />
2006-1-23,26,23,19,21,19,18,90,80,69,1022,1020,1019,16,14,4,32,18,35,0.51,3,Rain,142<br />
2006-1-24,28,23,18,19,18,17,100,76,51,1019,1017,1015,16,15,10,34,14,37,T,3,,242<br />
2006-1-25,21,16,12,17,9,2,100,65,30,1023,1020,1018,16,16,13,34,15,39,0.00,1,,347<br />
2006-1-26,21,13,6,9,7,2,82,63,44,1029,1026,1023,16,16,16,27,17,39,0.00,2,,3<br />
