
COT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,18,12,6,12,9,5,100,88,59,1026,1024,1022,10,8,3,19,5,,0.00,4,Fog,290<br />
2006-1-2,20,12,4,12,9,4,100,80,37,1027,1025,1023,10,9,6,24,6,,0.00,4,Fog,275<br />
2006-1-3,18,13,9,13,11,9,100,90,59,1028,1025,1024,10,9,1,23,10,,0.00,3,Rain-Thunderstorm,292<br />
2006-1-4,17,12,8,12,11,8,100,90,68,1027,1025,1022,10,8,2,24,6,,0.00,3,Fog-Thunderstorm,318<br />
2006-1-5,16,13,11,12,11,10,100,91,72,1026,1024,1022,10,10,7,16,6,,0.00,5,Rain,320<br />
2006-1-6,18,14,10,13,11,9,100,91,59,1029,1024,1021,10,9,3,19,3,,0.00,6,Fog,306<br />
2006-1-7,16,13,10,13,11,10,100,94,72,1027,1024,1022,10,8,2,19,6,,0.00,6,Rain-Thunderstorm,312<br />
2006-1-8,20,15,10,20,12,10,100,94,63,1027,1025,1023,10,7,1,19,5,,0.00,5,Fog-Rain-Thunderstorm,251<br />
2006-1-9,18,13,8,14,12,8,100,90,59,1027,1024,1022,10,7,0,19,5,,0.00,3,Fog-Rain-Thunderstorm,288<br />
2006-1-10,19,14,9,13,11,9,100,88,52,1026,1024,1022,10,6,0,26,5,,0.00,4,Fog-Rain-Thunderstorm,286<br />
2006-1-11,18,14,11,13,12,11,100,87,64,1026,1024,1022,10,9,7,26,5,,0.00,5,Thunderstorm,271<br />
2006-1-12,19,14,11,13,11,9,100,88,52,1025,1023,1021,10,9,3,23,8,,0.00,4,Thunderstorm,320<br />
2006-1-13,20,14,8,11,9,6,100,78,40,1026,1024,1022,10,9,5,16,6,,0.00,2,Fog,55<br />
2006-1-14,20,11,3,12,8,3,100,83,52,1027,1025,1022,10,8,0,19,5,,0.00,2,Fog,283<br />
2006-1-15,18,13,8,13,11,7,100,90,59,1026,1024,1022,10,9,4,26,5,,0.00,4,Fog-Rain-Thunderstorm,277<br />
2006-1-16,19,14,10,13,10,7,100,81,49,1026,1024,1022,10,9,6,19,6,,0.00,4,,45<br />
2006-1-17,19,13,8,13,10,8,100,84,49,1028,1026,1023,10,9,4,19,10,,0.00,3,Fog,19<br />
2006-1-18,20,13,7,12,10,7,100,84,49,1028,1026,1024,10,10,9,27,8,,0.00,3,Fog,311<br />
2006-1-19,20,13,6,13,9,6,100,85,40,1026,1024,1021,10,10,7,19,8,,0.00,3,Fog,329<br />
2006-1-20,19,12,5,12,9,4,100,89,45,1024,1022,1019,10,7,0,19,5,,0.00,4,Fog,281<br />
2006-1-21,20,13,7,10,6,1,100,68,30,1025,1022,1020,10,8,1,23,8,,0.00,3,Fog,140<br />
2006-1-22,19,14,9,11,9,8,100,76,49,1026,1024,1022,10,10,10,26,10,,0.00,5,,81<br />
2006-1-23,17,14,10,11,9,7,94,75,52,1025,1024,1022,10,10,10,23,10,,0.00,5,,61<br />
2006-1-24,19,13,8,11,9,7,100,78,49,1026,1024,1022,10,10,10,23,11,,0.00,3,,58<br />
2006-1-25,19,14,11,12,11,9,100,78,52,1027,1026,1024,10,10,10,21,11,,0.00,5,,81<br />
2006-1-26,23,17,11,23,11,9,100,82,52,1028,1026,1024,10,9,5,16,8,,0.00,4,Rain,85<br />
2006-1-27,18,14,11,13,11,9,100,84,56,1029,1027,1025,10,9,4,13,8,,0.00,4,,56<br />
2006-1-28,20,15,10,13,11,9,100,79,52,1028,1026,1023,10,10,10,23,8,,0.00,4,Rain,101<br />
2006-1-29,17,13,11,11,10,8,100,81,55,1028,1026,1023,10,10,9,19,10,,0.00,5,,58<br />
2006-1-30,19,14,9,13,10,7,100,84,46,1027,1025,1022,10,10,10,23,10,,0.00,4,,41<br />
2006-1-31,18,13,9,13,11,9,100,84,56,1026,1024,1012,10,9,3,16,8,,0.00,4,,48<br />
2006-2-1,19,14,10,12,11,9,100,85,56,1026,1024,1021,10,9,6,11,5,,0.00,5,,46<br />
