
AWDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,29,20,11,4,2,-1,62,32,14,1023,1020,1016,10,10,10,35,24,47,0.00,,,128<br />
2006-1-2,30,22,14,16,4,-5,78,35,11,1018,1014,1010,10,10,9,39,26,53,0.00,6,Rain,104<br />
2006-1-3,24,20,16,16,15,13,88,71,57,1013,1011,1009,10,10,7,29,19,47,0.00,6,Rain,113<br />
2006-1-4,31,24,18,18,16,14,83,59,40,1013,1011,1010,10,10,10,26,16,,0.00,1,,159<br />
2006-1-5,35,28,20,19,17,15,78,53,34,1015,1012,1010,10,10,10,37,18,58,0.00,1,,131<br />
2006-1-6,37,28,20,20,17,15,73,52,30,1014,1012,1008,10,10,10,32,23,58,0.00,1,,94<br />
2006-1-7,36,29,22,21,19,17,83,56,32,1011,1009,1006,10,10,10,27,11,,0.00,1,Rain,282<br />
2006-1-8,28,24,20,21,18,14,94,70,42,1013,1011,1009,10,8,3,29,16,,0.00,5,,225<br />
2006-1-9,29,23,17,13,11,9,64,50,29,1015,1013,1011,10,10,10,37,23,45,0.00,1,,162<br />
2006-1-10,30,22,15,13,10,3,77,49,18,1018,1015,1013,10,10,10,26,16,34,0.00,1,,142<br />
2006-1-11,32,24,17,16,9,5,61,41,19,1017,1014,1012,10,10,10,37,23,,0.00,6,,96<br />
2006-1-12,24,21,19,19,17,15,94,81,61,1015,1012,1010,10,9,3,37,19,61,0.00,7,Rain,115<br />
2006-1-13,22,20,18,17,15,14,83,75,64,1012,1011,1010,10,10,10,39,21,55,0.00,6,,140<br />
2006-1-14,26,22,18,19,16,14,83,70,57,1011,1009,1007,10,10,10,24,14,,0.00,6,,165<br />
2006-1-15,30,24,18,17,16,14,88,64,43,1008,1007,1006,10,10,10,26,16,,0.00,1,,169<br />
2006-1-16,31,23,16,19,17,15,100,67,43,1007,1005,1003,10,10,10,24,11,29,0.00,1,,162<br />
2006-1-17,32,24,18,18,17,15,88,66,40,1006,1004,1003,10,10,10,26,14,,0.00,1,,191<br />
2006-1-18,26,22,18,18,16,15,94,68,54,1010,1007,1005,10,10,7,29,16,,0.00,6,,231<br />
2006-1-19,30,22,15,16,15,14,94,67,37,1011,1009,1006,10,10,10,29,19,,0.00,3,Fog,198<br />
2006-1-20,33,23,14,16,14,13,100,60,29,1008,1006,1003,,,,29,16,35,0.00,,,214<br />
2006-1-21,28,22,16,15,13,9,82,57,39,1007,1005,1004,10,10,9,39,27,53,0.00,1,,212<br />
2006-1-22,31,23,15,8,5,2,55,35,16,1012,1010,1007,,,,32,23,,0.00,,,138<br />
2006-1-23,35,26,17,10,7,4,52,31,18,1013,1010,1007,10,10,10,42,23,63,0.00,1,,107<br />
2006-1-24,35,28,22,21,14,7,94,50,28,1008,1006,1004,10,8,5,47,34,64,0.00,6,Rain,109<br />
2006-1-25,30,25,20,21,19,16,94,77,55,1009,1006,1003,10,9,3,32,18,,0.00,5,Rain,225<br />
2006-1-26,28,22,16,15,10,5,77,51,23,1014,1012,1010,10,10,10,29,21,35,0.00,2,,142<br />
2006-1-27,28,21,15,14,10,5,82,53,23,1014,1011,1009,,,,32,18,45,0.00,,,147<br />
2006-1-28,29,22,16,14,11,7,88,52,32,1012,1010,1008,10,10,10,34,18,,0.00,1,,173<br />
2006-1-29,25,20,15,8,5,0,63,40,21,1018,1015,1013,10,10,10,42,29,58,0.00,4,,152<br />
