
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,27,23,18,21,19,17,100,87,54,1011,1009,1006,16,9,1,29,13,35,0.00,7,Fog,194<br />
2006-1-2,26,19,11,18,10,1,100,61,20,1018,1014,1010,16,12,2,23,14,,0.00,3,,261<br />
2006-1-3,27,17,7,13,6,3,93,57,24,1021,1019,1017,16,16,11,16,5,,0.00,0,Fog,170<br />
2006-1-4,24,17,10,16,13,6,100,78,38,1021,1018,1017,16,9,0,21,8,,0.00,6,Fog,283<br />
2006-1-5,21,15,9,4,-1,-4,54,34,20,1026,1023,1019,16,16,16,37,21,50,0.00,1,,344<br />
2006-1-6,17,10,3,-2,-4,-7,55,34,20,1029,1026,1024,16,16,16,34,16,40,0.00,0,,327<br />
2006-1-7,23,12,1,11,1,-3,84,50,18,1024,1021,1018,16,16,16,26,10,32,0.00,0,,206<br />
2006-1-8,24,19,13,14,13,10,90,73,48,1017,1016,1014,16,16,16,32,14,45,0.00,2,,196<br />
2006-1-9,26,21,14,17,15,13,93,77,48,1022,1019,1017,16,16,16,26,8,35,T,6,,164<br />
2006-1-10,19,12,4,17,4,1,90,60,35,1027,1024,1022,16,15,10,45,19,53,4.32,4,Rain-Thunderstorm,337<br />
2006-1-11,20,11,1,12,5,0,93,70,34,1024,1021,1017,16,16,10,19,5,,0.00,0,,165<br />
2006-1-12,23,17,11,18,17,13,97,85,69,1016,1013,1010,16,13,5,26,13,34,T,7,,182<br />
2006-1-13,20,14,9,19,2,-9,94,44,15,1027,1020,1011,16,15,10,37,23,53,T,2,Rain,320<br />
2006-1-14,19,11,3,2,-4,-9,61,36,15,1029,1026,1023,16,16,16,19,10,,0.00,2,Rain,290<br />
2006-1-15,22,16,8,14,9,2,84,65,49,1023,1017,1011,16,16,16,27,11,37,0.00,6,,182<br />
2006-1-16,21,17,12,18,15,8,94,82,67,1011,1006,1002,16,14,4,39,11,52,8.89,8,Rain-Thunderstorm,199<br />
2006-1-17,14,9,3,9,-2,-11,86,48,18,1024,1017,1008,16,16,16,48,21,63,3.56,3,Rain,297<br />
2006-1-18,22,13,3,10,2,-5,69,48,27,1027,1024,1022,16,16,16,29,16,40,0.00,0,,203<br />
2006-1-19,22,19,16,14,12,11,72,62,53,1022,1019,1017,16,16,16,34,18,40,0.00,7,,175<br />
2006-1-20,24,21,17,18,16,13,93,77,64,1020,1017,1015,16,15,5,27,13,40,0.51,7,Rain,161<br />
2006-1-21,17,14,10,17,6,2,90,59,44,1025,1022,1020,16,16,14,40,21,47,4.57,8,,25<br />
2006-1-22,13,11,9,17,12,8,100,92,80,1021,1017,1014,16,6,0,29,14,39,25.91,8,Fog-Rain-Thunderstorm,32<br />
2006-1-23,14,12,9,9,8,7,86,80,74,1024,1022,1019,16,16,13,23,18,,0.00,8,,350<br />
2006-1-24,21,14,8,9,6,3,86,64,32,1029,1026,1024,16,16,14,19,13,,0.00,6,,4<br />
2006-1-25,22,13,4,6,3,-1,85,54,24,1032,1030,1028,16,16,14,27,6,40,0.00,5,,57<br />
2006-1-26,15,12,9,7,4,-3,69,56,35,1031,1030,1029,16,16,16,23,11,,0.00,7,,90<br />
2006-1-27,21,13,6,14,11,4,93,78,66,1029,1025,1022,16,16,13,24,14,,0.00,6,,100<br />
2006-1-28,23,20,16,18,17,14,94,87,64,1022,1016,1013,16,13,1,42,16,48,15.75,8,Rain-Thunderstorm,204<br />
2006-1-29,26,19,12,17,13,7,100,83,32,1016,1014,1010,16,8,0,21,8,26,0.00,4,Fog,218<br />
2006-1-30,23,17,10,18,9,-4,96,61,17,1020,1014,1010,16,13,6,32,16,45,0.00,4,,311<br />
