
WGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,-4,-6,-6,-7,-9,-10,93,74,68,1006,1005,1001,10,10,5,34,23,,0.00,7,Snow,142<br />
2007-1-2,-1,-4,-7,-5,-10,-12,80,71,59,1000,992,986,10,10,6,29,16,39,0.00,6,Snow,85<br />
2007-1-3,1,0,-1,-2,-2,-4,93,85,75,986,984,980,10,3,1,61,37,85,0.00,5,Snow,155<br />
2007-1-4,0,-3,-7,-1,-7,-11,100,93,74,985,983,980,10,5,1,14,10,,0.00,7,Snow,211<br />
2007-1-5,-5,-6,-7,-6,-7,-10,93,89,74,990,988,985,10,9,5,19,10,,0.00,7,Snow,62<br />
2007-1-6,-7,-10,-12,-10,-12,-14,93,82,79,997,995,992,10,9,1,45,31,50,0.00,2,Snow,5<br />
2007-1-7,-11,-12,-12,-14,-14,-15,85,82,73,997,995,994,10,10,10,35,29,,0.00,1,,55<br />
2007-1-8,-10,-11,-11,-13,-14,-15,85,77,73,1001,998,995,10,10,10,32,27,,0.00,1,,66<br />
2007-1-9,-9,-11,-12,-11,-12,-14,100,87,79,1000,995,986,10,10,10,29,16,,0.00,4,Snow,55<br />
2007-1-10,-11,-13,-14,-13,-16,-20,92,77,57,1003,991,983,10,10,10,52,32,69,0.00,0,Snow,25<br />
2007-1-11,-12,-13,-14,-15,-16,-18,85,79,72,1004,1002,998,10,10,10,26,19,,0.00,5,,83<br />
2007-1-12,-12,-13,-14,-13,-15,-16,100,83,73,998,996,994,10,9,5,27,21,,0.00,6,Snow,77<br />
2007-1-13,-12,-14,-16,-14,-17,-17,100,78,67,997,994,993,10,10,6,32,24,,0.00,5,Snow,91<br />
2007-1-14,-12,-14,-17,-12,-14,-19,100,92,79,1001,999,997,10,6,1,26,14,,0.00,7,Snow,228<br />
2007-1-15,-13,-14,-15,-15,-17,-18,100,84,72,997,994,992,10,10,10,24,16,,0.00,4,,81<br />
2007-1-16,-12,-13,-15,-15,-17,-19,92,79,62,997,994,986,10,10,10,29,19,,0.00,2,,72<br />
2007-1-17,-10,-12,-13,-10,-13,-16,100,87,62,996,986,981,10,7,1,40,21,52,0.00,6,Snow,150<br />
2007-1-18,-9,-10,-11,-12,-15,-17,85,71,57,1003,1002,997,10,9,2,40,26,,0.00,5,Snow,66<br />
2007-1-19,-9,-10,-11,-9,-11,-12,100,92,86,1015,1009,1003,10,9,6,26,19,,0.00,7,Snow,350<br />
2007-1-20,-1,-7,-12,-9,-13,-16,86,68,46,1021,1019,1016,10,10,10,34,14,,0.00,5,Snow,93<br />
