
AZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,6,3,1,4,2,0,100,95,75,1036,1034,1031,10,10,10,29,14,,0.00,5,Rain-Snow,194<br />
2007-1-2,6,3,0,4,2,-2,100,87,70,1034,1031,1029,10,10,10,29,13,,0.00,4,,189<br />
2007-1-3,8,6,3,4,2,-1,100,81,53,1029,1026,1024,10,10,10,37,24,,0.00,6,,192<br />
2007-1-4,8,6,4,4,2,-1,100,75,53,1024,1020,1015,10,10,10,52,31,55,0.00,4,,184<br />
2007-1-5,7,6,4,7,4,-1,100,92,57,1020,1017,1015,10,10,10,29,16,,0.00,7,,322<br />
2007-1-6,7,6,5,7,6,4,100,98,93,1018,1016,1014,10,10,10,34,26,,0.00,8,Rain,324<br />
2007-1-7,6,4,4,5,4,3,100,94,87,1025,1021,1018,10,10,10,37,32,,0.00,7,Rain,321<br />
2007-1-8,7,3,1,6,4,1,100,96,93,1026,1025,1023,10,10,8,26,11,,0.00,5,,219<br />
2007-1-9,9,4,0,5,2,-2,100,89,46,1025,1024,1022,8,4,0,14,10,,0.00,2,Fog,209<br />
2007-1-10,9,4,-1,8,3,-1,100,99,93,1031,1029,1026,10,4,0,14,6,,0.00,2,Fog,318<br />
2007-1-11,10,4,-1,9,4,-1,100,99,93,1031,1029,1026,10,3,0,19,8,,0.00,2,Fog,191<br />
2007-1-12,9,7,4,6,4,1,100,91,58,1026,1022,1019,10,10,8,29,18,,0.00,4,,181<br />
2007-1-13,8,3,-1,6,4,-1,100,93,62,1018,1015,1014,10,6,0,26,13,,0.00,3,Fog,198<br />
2007-1-14,7,1,-5,6,1,-5,100,99,87,1015,1013,1009,10,2,0,14,6,,0.00,2,Fog,329<br />
2007-1-15,10,6,2,8,6,2,100,93,71,1021,1019,1014,10,10,10,34,14,,0.00,5,,288<br />
2007-1-16,9,6,3,7,5,3,100,93,71,1019,1017,1015,10,10,10,40,21,,0.00,7,,272<br />
2007-1-17,8,4,0,6,3,-1,100,95,76,1025,1021,1018,10,9,4,26,8,,0.00,6,,309<br />
2007-1-18,11,4,-1,5,1,-1,100,83,47,1027,1026,1024,10,9,8,11,5,,0.00,4,,155<br />
2007-1-19,9,4,1,7,4,1,100,84,58,1026,1017,1009,8,3,0,48,21,66,0.00,1,Fog,180<br />
2007-1-20,17,11,5,7,-2,-7,100,45,22,1009,1003,1001,10,10,10,66,39,85,0.00,8,,232<br />
2007-1-21,10,7,2,8,6,2,100,95,82,1025,1019,1010,10,9,0,37,23,,0.00,5,Fog,338<br />
2007-1-22,9,4,0,9,4,0,100,94,71,1025,1022,1019,10,3,0,40,14,,0.00,2,Fog,184<br />
2007-1-23,13,9,5,9,6,2,100,85,54,1030,1027,1018,8,7,4,52,23,60,0.00,0,,250<br />
2007-1-24,11,8,6,9,7,5,100,94,67,1028,1024,1018,10,10,10,48,27,66,0.00,4,,178<br />
2007-1-25,16,11,6,9,6,2,100,78,39,1019,1017,1014,,,,55,31,74,0.00,,,226<br />
2007-1-26,11,7,4,9,5,1,100,91,50,1019,1017,1014,10,4,0,26,18,,0.00,7,Fog,303<br />
2007-1-27,9,7,5,9,7,3,100,99,81,1017,1014,1009,10,5,0,34,19,,0.00,7,Fog,243<br />
2007-1-28,20,13,6,7,1,-6,100,49,17,1008,1001,997,8,5,3,52,32,63,0.00,6,,199<br />
2007-1-29,10,5,0,8,3,-1,100,91,62,1018,1011,997,10,8,1,60,32,77,0.00,8,Rain-Snow,357<br />
2007-1-30,7,4,2,5,3,2,100,91,76,1016,1009,1005,10,10,10,48,16,60,0.00,8,,194<br />
2007-1-31,6,3,1,5,3,1,100,96,76,1017,1009,1006,10,9,3,48,23,63,0.00,8,Rain-Snow,292<br />
2007-2-1,8,3,-1,3,-2,-10,100,75,27,1023,1021,1017,10,10,10,26,13,,0.00,2,,245<br />
2007-2-2,9,6,3,0,-4,-8,61,47,37,1021,1014,1011,,,,63,34,82,0.00,,,201<br />
2007-2-3,8,4,1,6,3,-3,100,89,53,1018,1015,1011,10,10,10,45,24,,0.00,5,,312<br />
2007-2-4,7,3,0,6,4,0,100,98,93,1018,1011,1004,10,8,1,11,6,,0.00,6,Fog-Rain,239<br />
2007-2-5,9,6,3,8,6,3,100,99,93,1016,1009,1004,10,10,10,34,18,,0.00,6,,320<br />
2007-2-6,9,4,1,9,6,1,100,99,93,1016,1014,1012,10,9,1,19,8,,0.00,6,Fog,147<br />
2007-2-7,9,7,5,8,7,5,100,98,93,1021,1015,1011,10,9,3,55,26,74,0.00,7,,314<br />
2007-2-8,10,8,5,9,7,5,100,98,93,1023,1022,1020,10,10,3,34,23,,0.00,6,,3<br />
2007-2-9,12,9,6,11,9,6,100,99,94,1022,1022,1020,10,9,0,29,19,,0.00,5,Fog,169<br />
2007-2-10,11,8,6,10,8,6,100,98,93,1022,1020,1018,10,9,3,26,11,,0.00,7,Fog,166<br />
2007-2-11,10,6,1,9,6,1,100,99,93,1021,1020,1018,10,6,0,14,8,,0.00,5,Fog,298<br />
2007-2-12,11,8,5,11,8,5,100,99,94,1020,1019,1017,10,5,0,34,19,,0.00,7,Fog,180<br />
2007-2-13,9,7,6,8,8,6,100,100,93,1017,1016,1015,10,9,3,26,10,,0.00,8,,305<br />
2007-2-14,8,7,6,8,7,6,100,98,93,1019,1017,1015,10,10,8,26,18,,0.00,8,,352<br />
2007-2-15,8,7,6,8,7,5,100,99,93,1019,1017,1016,10,10,10,14,6,,0.00,8,Rain,177<br />
2007-2-16,8,4,0,8,6,0,100,100,100,1018,1017,1016,10,9,4,19,13,,0.00,8,Rain,331<br />
2007-2-17,8,3,-1,8,4,-1,100,98,93,1022,1020,1018,10,9,1,19,8,,0.00,6,Fog,344<br />
2007-2-18,6,2,-1,5,-1,-6,100,85,64,1033,1027,1021,10,9,0,63,34,116,0.00,8,Rain-Snow,347<br />
2007-2-19,6,3,0,5,1,-5,100,86,69,1033,1028,1022,10,10,10,40,18,,0.00,6,,188<br />
2007-2-20,9,4,1,5,3,0,100,84,66,1022,1017,1014,10,10,10,45,26,,0.00,4,,221<br />
2007-2-21,11,6,0,8,3,-1,100,86,54,1016,1012,1007,10,8,3,40,11,,0.00,2,,196<br />
2007-2-22,9,4,0,7,2,-3,100,86,61,1021,1014,1008,10,10,8,34,21,,0.00,6,Rain,335<br />
2007-2-23,7,4,3,7,3,-2,100,90,65,1021,1018,1012,10,10,8,19,10,,0.00,8,Rain,87<br />
2007-2-24,8,3,-1,7,5,-1,100,97,87,1016,1008,1005,10,9,0,71,27,89,0.00,8,Rain-Snow,267<br />
2007-2-25,-1,-2,-3,-1,-3,-5,100,90,80,1029,1026,1017,10,6,0,74,48,93,0.00,7,Snow,335<br />
2007-2-26,1,-1,-2,0,-3,-5,100,88,75,1030,1029,1028,10,10,10,29,21,,0.00,7,Snow,341<br />
2007-2-27,4,1,-2,1,-1,-5,100,88,56,1029,1027,1027,10,9,2,26,11,,0.00,8,Snow,95<br />
2007-2-28,7,4,3,5,3,-1,100,91,66,1026,1023,1022,10,10,8,23,16,,0.00,7,Rain-Snow,158<br />
2007-3-1,9,7,5,8,6,4,100,95,81,1021,1019,1016,10,10,10,34,21,,0.00,8,,162<br />
2007-3-2,10,7,3,7,5,3,100,94,66,1020,1017,1015,10,10,10,23,13,,0.00,6,,353<br />
2007-3-3,10,6,2,9,6,2,100,97,87,1021,1019,1017,10,10,10,29,16,,0.00,3,,226<br />
2007-3-4,12,8,4,12,8,4,100,100,100,1016,1015,1013,10,9,1,40,24,,0.00,7,,184<br />
2007-3-5,11,6,2,10,7,2,100,99,93,1017,1016,1015,10,8,0,26,11,,0.00,5,Fog,357<br />
2007-3-6,9,7,5,8,6,5,100,100,93,1021,1017,1015,10,10,10,55,31,74,0.00,8,Rain,339<br />
2007-3-7,8,7,4,8,6,4,100,98,93,1024,1022,1020,10,10,10,55,47,74,0.00,6,Rain,332<br />
2007-3-8,9,4,-1,8,5,-1,100,99,93,1024,1022,1021,10,7,0,26,16,,0.00,4,Fog,340<br />
2007-3-9,8,6,4,8,6,4,100,98,93,1024,1023,1022,10,10,10,34,19,,0.00,5,,343<br />
2007-3-10,9,6,2,8,5,2,100,97,81,1028,1026,1024,10,9,0,29,18,,0.00,4,Fog,326<br />
2007-3-11,11,4,-2,10,4,-2,100,98,87,1028,1025,1022,10,5,0,29,8,,0.00,6,Fog,170<br />
2007-3-12,11,6,0,9,6,0,100,93,76,1022,1018,1016,10,5,0,19,8,,0.00,3,Fog,183<br />
2007-3-13,11,6,1,10,6,1,100,99,94,1017,1016,1015,10,5,0,23,8,,0.00,5,Fog,330<br />
2007-3-14,7,6,5,7,6,5,100,100,93,1017,1016,1014,10,9,1,29,23,,0.00,7,Fog-Rain,329<br />
2007-3-15,10,7,3,7,5,3,100,90,62,1014,1012,1009,10,10,10,34,23,,0.00,8,Rain,331<br />
2007-3-16,9,6,3,8,6,3,100,97,87,1010,1008,1006,10,9,4,45,21,,0.00,6,Rain,328<br />
2007-3-17,8,6,4,6,4,1,100,90,62,1015,1013,1009,10,10,10,29,19,,0.00,7,,310<br />
2007-3-18,12,7,3,8,5,3,100,89,54,1014,1010,1005,10,10,10,37,14,,0.00,3,,207<br />
2007-3-19,9,7,4,8,7,4,100,96,82,1016,1008,1002,10,10,10,55,37,74,0.00,5,,284<br />
2007-3-20,8,4,2,8,6,2,100,98,93,1023,1019,1016,10,10,10,34,14,,0.00,7,Rain,289<br />
2007-3-21,10,7,4,9,7,4,100,96,71,1025,1024,1023,10,9,4,19,13,,0.00,6,Fog,320<br />
2007-3-22,9,6,2,8,6,2,100,97,71,1026,1025,1024,10,8,0,11,6,,0.00,7,Fog-Rain,2<br />
2007-3-23,9,7,5,9,7,5,100,100,100,1027,1025,1023,10,10,10,14,8,,0.00,7,Rain,6<br />
2007-3-24,10,8,7,10,8,7,100,100,100,1023,1017,1013,10,9,4,19,10,,0.00,8,Rain,355<br />
2007-3-25,12,8,5,12,8,5,100,100,94,1014,1010,1006,10,7,0,45,16,,0.00,6,Fog,315<br />
2007-3-26,11,7,3,9,7,3,100,97,87,1016,1014,1013,10,10,10,34,18,,0.00,4,,218<br />
2007-3-27,8,7,5,8,5,1,100,93,70,1025,1021,1014,10,10,10,52,32,71,0.00,8,Rain,342<br />
2007-3-28,7,4,2,5,1,-2,100,72,57,1032,1030,1025,10,10,10,40,27,,0.00,5,,22<br />
2007-3-29,9,4,-1,6,2,-3,100,80,43,1032,1029,1028,10,10,10,23,10,,0.00,6,,10<br />
2007-3-30,10,5,0,7,2,-3,100,83,40,1029,1027,1027,10,10,10,19,8,,0.00,4,,8<br />
2007-3-31,11,6,2,8,4,2,100,83,58,1027,1024,1021,10,10,10,23,8,,0.00,1,,203<br />
2007-4-1,12,8,4,11,8,4,100,97,88,1021,1019,1018,10,10,10,19,11,,0.00,4,,170<br />
2007-4-2,13,7,1,11,6,1,100,88,54,1021,1020,1018,10,2,0,19,8,,0.00,1,Fog,78<br />
2007-4-3,10,8,7,10,8,7,100,100,93,1018,1013,1010,10,10,10,29,16,,0.00,8,Rain,325<br />
2007-4-4,15,9,4,12,8,4,100,95,72,1012,1009,1007,10,9,8,45,13,,0.00,3,Fog,204<br />
2007-4-5,16,10,5,12,8,5,100,85,55,1018,1016,1013,10,7,0,23,10,,0.00,2,Fog,189<br />
2007-4-6,16,12,9,14,11,9,100,98,68,1017,1012,1009,10,9,8,48,26,66,0.00,6,,174<br />
2007-4-7,13,10,7,12,9,7,100,97,88,1016,1012,1006,10,9,0,55,26,74,0.00,7,Fog,324<br />
2007-4-8,14,11,8,11,8,6,100,88,63,1019,1017,1016,,,,19,14,,0.00,,,358<br />
2007-4-9,13,11,9,13,11,9,100,99,94,1016,1014,1012,10,10,10,14,10,,0.00,8,Rain,172<br />
