
SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,22,19,16,17,16,14,94,82,68,1027,1025,1023,10,9,5,26,14,,0.00,7,Rain,215<br />
2007-1-2,26,22,18,19,17,16,94,74,61,1026,1022,1020,10,10,10,29,13,40,0.00,4,,32<br />
2007-1-3,27,23,19,19,17,15,83,67,51,1021,1017,1014,10,10,10,35,16,,0.00,2,,26<br />
2007-1-4,28,24,20,23,21,18,89,79,62,1017,1015,1013,10,10,9,23,14,37,0.00,3,,63<br />
2007-1-5,29,27,24,24,23,22,89,82,70,1014,1013,1011,10,10,10,32,16,50,0.00,3,,40<br />
2007-1-6,31,27,24,23,23,22,89,79,62,1012,1010,1009,10,10,10,34,19,40,0.00,4,,40<br />
2007-1-7,25,22,19,23,19,16,94,89,83,1018,1013,1010,10,8,2,45,18,64,0.00,7,Rain-Thunderstorm,218<br />
2007-1-8,25,21,18,19,16,14,83,72,61,1017,1016,1014,10,10,10,26,14,,0.00,5,Rain,218<br />
2007-1-9,27,22,18,20,18,16,94,73,57,1017,1015,1014,10,10,10,19,8,,0.00,3,,217<br />
2007-1-10,27,24,22,21,20,19,88,76,65,1018,1017,1016,10,10,10,16,10,,0.00,4,,79<br />
2007-1-11,29,26,22,22,21,20,88,79,66,1017,1013,1010,10,10,10,34,18,52,0.00,2,,32<br />
2007-1-12,29,26,22,23,21,19,89,78,69,1013,1011,1009,10,10,9,21,14,,0.00,2,,130<br />
2007-1-13,28,26,23,23,22,19,94,79,66,1014,1013,1011,10,10,5,21,11,,0.00,5,Rain,210<br />
2007-1-14,31,27,24,24,23,22,94,80,66,1012,1008,1005,10,10,10,24,11,,0.00,4,Thunderstorm,41<br />
2007-1-15,30,27,24,25,23,18,94,83,65,1007,1004,999,10,10,9,35,11,55,0.00,6,Rain-Thunderstorm,158<br />
2007-1-16,28,24,21,23,21,18,89,76,65,1016,1008,1003,10,10,10,35,19,,0.00,5,,224<br />
2007-1-17,27,23,21,21,19,17,88,77,61,1017,1014,1010,10,9,4,32,14,47,0.00,6,Rain-Thunderstorm,15<br />
2007-1-18,27,24,22,24,22,21,94,87,74,1014,1012,1010,10,9,5,23,14,,0.00,5,Rain-Thunderstorm,79<br />
2007-1-19,28,24,22,23,21,18,94,80,62,1020,1015,1013,10,10,10,29,16,,0.00,3,Rain,216<br />
2007-1-20,26,23,20,20,18,16,88,73,61,1020,1020,1019,10,10,9,35,19,50,0.00,4,Rain,216<br />
2007-1-21,28,23,18,19,18,17,94,72,58,1020,1016,1013,10,10,10,34,11,47,0.00,1,,25<br />
2007-1-22,31,26,20,23,21,17,88,72,58,1015,1012,1010,10,10,10,16,13,,0.00,1,,45<br />
2007-1-23,29,24,20,24,22,18,94,83,74,1018,1016,1014,10,10,10,26,10,,0.00,2,,226<br />
2007-1-24,28,27,25,23,22,20,89,78,70,1019,1018,1017,10,10,10,21,13,,0.00,5,,200<br />
2007-1-25,27,24,23,23,22,20,88,77,70,1018,1015,1013,10,10,10,26,11,,0.00,6,Rain,32<br />
2007-1-26,32,28,24,24,23,22,89,76,58,1013,1010,1006,10,10,10,37,19,60,0.00,2,,36<br />
2007-1-27,29,27,25,24,22,20,89,77,70,1021,1015,1010,10,10,10,37,24,53,0.00,5,,219<br />
2007-1-28,28,24,22,24,22,19,84,75,62,1020,1019,1017,10,10,10,26,14,,0.00,3,,96<br />
2007-1-29,31,27,24,23,22,20,89,74,58,1017,1011,1007,10,10,8,35,23,53,0.00,2,,36<br />
2007-1-30,26,23,21,23,21,19,100,86,69,1017,1013,1010,10,8,2,39,26,61,0.00,7,Rain,223<br />
2007-1-31,27,23,21,21,20,19,94,81,65,1018,1015,1013,10,10,10,19,13,,0.00,3,Rain,270<br />
2007-2-1,30,26,22,23,21,19,89,77,66,1015,1011,1007,10,10,10,37,18,61,0.00,4,,41<br />
2007-2-2,28,26,23,23,21,18,94,74,61,1017,1016,1015,10,10,10,32,19,,0.00,4,Rain,212<br />
2007-2-3,30,27,23,24,23,21,94,82,70,1016,1012,1008,10,10,10,29,13,,0.00,3,,36<br />
2007-2-4,28,26,23,24,23,21,94,85,74,1015,1011,1008,10,9,4,39,18,58,0.00,6,Rain,213<br />
2007-2-5,27,23,20,23,21,19,94,82,65,1015,1012,1010,10,9,4,19,8,29,0.00,4,Rain-Thunderstorm,209<br />
2007-2-6,27,24,22,23,22,21,94,85,74,1014,1011,1009,10,10,10,21,10,,0.00,4,,236<br />
2007-2-7,29,24,21,24,22,19,89,79,66,1015,1014,1012,10,10,10,21,10,,0.00,3,,138<br />
2007-2-8,29,27,25,24,24,23,94,83,74,1013,1011,1009,10,10,10,34,19,,0.00,4,,48<br />
2007-2-9,32,29,26,25,24,23,89,78,59,1010,1008,1006,10,10,10,34,21,48,0.00,5,,49<br />
2007-2-10,31,27,24,24,23,22,94,79,66,1006,1002,999,10,9,1,37,24,55,0.00,2,Rain-Thunderstorm,36<br />
2007-2-11,24,21,18,22,17,14,94,80,61,1010,1007,1003,10,8,4,42,21,61,0.00,6,Rain-Thunderstorm,237<br />
2007-2-12,27,22,18,18,16,15,88,66,48,1010,1009,1007,10,10,10,24,11,,0.00,2,,223<br />
2007-2-13,27,21,16,17,15,10,88,63,36,1013,1010,1009,10,10,10,37,16,58,0.00,1,,229<br />
2007-2-14,28,23,18,19,16,13,77,61,45,1015,1013,1012,10,10,10,35,18,55,0.00,3,,223<br />
2007-2-15,27,22,18,20,18,16,88,73,61,1015,1012,1009,10,10,10,23,10,,0.00,2,,27<br />
2007-2-16,29,24,21,22,20,19,94,78,61,1019,1012,1004,10,8,3,40,26,61,0.00,6,Rain,210<br />
2007-2-17,26,23,20,20,19,19,94,81,69,1020,1017,1014,10,10,6,26,13,,0.00,6,Rain,343<br />
2007-2-18,29,26,22,24,22,19,89,81,74,1018,1013,1010,10,10,8,27,13,,0.00,3,Rain,118<br />
2007-2-19,30,27,23,24,23,22,94,81,70,1017,1015,1012,10,10,9,27,11,,0.00,4,,45<br />
2007-2-20,32,27,23,24,23,21,89,77,59,1012,1009,1006,10,9,8,39,19,55,0.00,3,,35<br />
2007-2-21,30,26,22,25,23,20,89,80,66,1012,1010,1008,10,10,9,24,11,,0.00,3,,199<br />
2007-2-22,29,26,23,24,22,21,100,84,66,1018,1015,1012,10,9,3,27,14,,0.00,6,Rain,218<br />
2007-2-23,29,26,22,24,22,21,100,85,66,1018,1016,1013,10,8,2,23,11,,0.00,6,Rain,10<br />
2007-2-24,29,27,25,25,24,23,94,83,70,1014,1013,1011,10,10,5,32,16,,0.00,4,Rain,39<br />
2007-2-25,31,27,23,25,23,22,94,78,58,1017,1013,1012,10,10,9,37,19,53,0.00,3,,34<br />
2007-2-26,28,26,24,26,24,22,94,89,83,1019,1017,1016,10,10,6,24,13,,0.00,3,,198<br />
2007-2-27,31,27,23,24,23,21,94,79,58,1017,1013,1009,10,10,8,29,13,,0.00,2,,23<br />
2007-2-28,29,27,24,24,22,21,83,76,62,1012,1010,1009,10,10,10,26,16,,0.00,2,,48<br />
2007-3-1,30,26,22,23,21,20,89,75,58,1013,1011,1009,10,10,10,24,10,,0.00,2,,47<br />
2007-3-2,29,26,23,23,22,21,94,79,62,1014,1012,1011,10,10,10,24,10,,0.00,2,,33<br />
2007-3-3,32,27,23,24,22,21,88,75,59,1010,1006,1002,10,9,6,40,21,48,0.00,3,,36<br />
2007-3-4,29,24,21,24,22,19,94,83,66,1012,1007,1004,10,6,2,37,19,58,0.00,4,Rain-Thunderstorm,207<br />
2007-3-5,28,24,21,24,21,19,94,88,78,1014,1012,1008,10,8,4,29,13,,0.00,5,Rain-Thunderstorm,224<br />
2007-3-6,27,23,20,21,18,15,94,73,51,1018,1016,1014,10,9,5,26,13,,0.00,4,Rain,226<br />
2007-3-7,27,23,19,19,17,13,94,68,44,1024,1020,1018,10,10,6,35,18,47,0.00,3,Rain,222<br />
