
AMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,31,28,25,24,23,23,94,83,62,1014,1011,1001,10,10,2,14,2,,0.00,4,Rain-Thunderstorm,47<br />
2007-1-2,30,27,24,24,23,23,94,88,70,1014,1011,1008,10,10,3,19,2,,0.00,5,Rain-Thunderstorm,69<br />
2007-1-3,29,27,24,24,23,22,94,88,70,1015,1011,1008,10,9,4,11,3,,0.00,5,Rain-Thunderstorm,37<br />
2007-1-4,28,26,23,25,23,22,94,91,83,1014,1011,1007,10,9,0,14,2,34,0.00,6,Fog-Rain-Thunderstorm,20<br />
2007-1-5,27,24,23,24,23,22,94,89,79,1013,1010,1008,10,9,3,19,2,,0.00,6,Rain-Thunderstorm,82<br />
2007-1-6,29,27,24,24,23,22,94,88,70,1013,1010,1008,10,10,2,21,3,37,0.00,6,Rain,35<br />
2007-1-7,33,28,23,24,23,22,94,79,55,1013,1010,1007,10,9,0,13,3,,0.00,6,Fog,31<br />
2007-1-8,32,28,25,24,23,22,94,79,59,1012,1010,1007,10,10,10,23,3,,0.00,5,Rain,37<br />
2007-1-9,27,26,24,24,23,22,94,90,79,1013,1011,1008,10,9,2,19,3,,0.00,5,Rain,103<br />
2007-1-10,28,24,22,24,23,20,94,91,79,1013,1011,1009,10,9,0,24,5,,0.00,6,Fog-Rain-Thunderstorm,222<br />
2007-1-11,26,24,23,23,22,21,100,91,83,1015,1011,1009,10,7,0,14,2,,0.00,6,Fog-Rain-Thunderstorm,93<br />
2007-1-12,31,26,22,24,23,21,94,83,66,1012,1010,1007,10,10,8,19,3,,0.00,5,Fog-Rain-Thunderstorm,56<br />
2007-1-13,31,27,23,25,23,22,94,86,66,1012,1009,1006,10,10,8,14,3,,0.00,6,Rain,25<br />
2007-1-14,30,27,23,25,23,22,94,84,70,1018,1010,1007,10,10,3,27,5,48,0.00,6,Rain,75<br />
2007-1-15,32,27,23,25,23,21,94,84,59,1012,1009,1007,10,10,10,11,2,,0.00,4,,5<br />
2007-1-16,32,28,25,25,24,23,94,81,62,1012,1009,1006,10,10,10,8,2,,0.00,5,,7<br />
2007-1-17,27,24,23,25,23,22,100,92,89,1013,1010,1008,10,9,1,21,3,,0.00,7,Rain-Thunderstorm,164<br />
2007-1-18,32,27,23,25,23,22,94,86,66,1013,1010,1007,10,9,1,27,2,,0.00,6,Rain-Thunderstorm,211<br />
2007-1-19,31,27,24,25,23,22,94,86,70,1012,1010,1007,10,9,3,19,3,37,0.00,5,Rain-Thunderstorm,87<br />
2007-1-20,26,24,24,25,23,22,100,91,83,1015,1011,1009,10,8,1,19,2,,0.00,7,Fog-Rain-Thunderstorm,57<br />
2007-1-21,31,27,24,25,23,22,94,82,66,1014,1011,1008,10,9,1,14,3,,0.00,5,Fog,27<br />
2007-1-22,33,28,23,25,24,22,94,81,55,1013,1010,1007,10,10,10,13,2,,0.00,5,,56<br />
2007-1-23,30,27,24,25,24,23,100,87,70,1012,1010,1006,10,9,1,26,3,,0.00,4,Fog-Rain-Thunderstorm,27<br />
2007-1-24,30,27,24,25,24,23,94,86,66,1012,1009,1006,10,9,4,14,3,32,0.00,4,Rain,53<br />
2007-1-25,32,28,25,24,23,23,94,79,59,1011,1009,1006,10,10,10,14,3,34,0.00,4,Thunderstorm,39<br />
