
ARST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,35,30,24,19,17,15,57,44,32,1010,1005,1002,10,10,10,40,8,,0.00,2,Thunderstorm,154<br />
2007-1-2,27,23,19,17,14,7,88,60,32,1015,1012,1010,10,10,10,42,11,,0.00,7,,122<br />
2007-1-3,30,24,18,18,17,16,100,67,43,1016,1013,1010,10,10,10,10,3,,0.00,2,,122<br />
2007-1-4,33,27,20,19,17,15,88,60,34,1014,1012,1009,10,10,10,11,3,,0.00,1,,151<br />
2007-1-5,28,26,23,18,14,6,69,52,31,1016,1013,1011,10,10,10,29,11,,0.00,4,,154<br />
2007-1-6,30,25,20,20,17,14,78,60,45,1012,1011,1009,10,10,10,11,6,,0.00,2,,124<br />
2007-1-7,30,25,20,18,17,14,88,65,40,1017,1014,1011,10,10,8,23,13,,0.00,2,,88<br />
2007-1-8,34,27,19,19,17,16,88,60,36,1013,1009,1005,10,10,10,19,6,,0.00,0,,92<br />
2007-1-9,35,28,22,20,18,15,78,56,30,1009,1006,1003,10,10,10,11,3,,0.00,2,,140<br />
2007-1-10,28,24,22,19,12,5,65,46,25,1016,1012,1007,10,10,10,23,13,,0.00,4,,164<br />
2007-1-11,32,26,20,18,16,12,73,50,35,1016,1014,1012,10,10,10,16,5,,0.00,2,Thunderstorm,141<br />
2007-1-12,36,28,21,19,14,10,83,44,20,1017,1013,1009,10,10,10,26,6,,0.00,1,,60<br />
2007-1-13,30,26,22,12,4,-2,46,27,12,1017,1012,1007,10,10,8,27,8,,0.00,1,,149<br />
2007-1-14,28,22,17,10,4,2,42,30,21,1018,1014,1009,,,,14,8,,0.00,,,156<br />
2007-1-15,33,24,16,13,9,6,63,39,23,1015,1012,1010,10,10,10,21,5,,0.00,0,,79<br />
2007-1-16,28,24,20,17,16,13,78,58,44,1014,1012,1008,10,10,10,19,8,,0.00,1,Rain-Thunderstorm,78<br />
2007-1-17,32,24,18,17,14,6,88,56,22,1012,1009,1007,10,10,10,14,8,,0.00,2,,158<br />
2007-1-18,34,27,20,11,9,8,52,33,23,1011,1008,1005,10,10,10,19,8,,0.00,1,,188<br />
2007-1-19,33,27,20,14,12,8,64,41,26,1013,1010,1007,10,10,10,16,10,,0.00,2,,108<br />
2007-1-20,35,27,19,15,12,10,60,41,23,1015,1012,1008,10,10,10,24,8,,0.00,1,,88<br />
2007-1-21,35,28,20,17,15,13,73,47,32,1012,1009,1005,10,10,10,26,6,,0.00,0,,99<br />
2007-1-22,33,28,23,19,17,17,69,54,38,1007,1004,1001,10,10,10,16,8,,0.00,1,,157<br />
2007-1-23,32,27,23,17,14,11,61,44,31,1010,1007,1003,10,10,10,23,14,,0.00,1,,146<br />
2007-1-24,29,24,19,20,18,17,100,67,51,1012,1010,1008,10,10,10,27,10,,0.00,2,Rain-Thunderstorm,132<br />
2007-1-25,30,24,19,19,17,13,94,66,48,1014,1009,1005,10,10,10,24,10,,0.00,2,Rain-Thunderstorm,359<br />
2007-1-26,29,23,18,17,14,11,88,57,35,1015,1012,1009,10,10,10,24,14,,0.00,3,,75<br />
2007-1-27,27,22,17,18,15,13,94,63,45,1016,1014,1013,10,10,8,23,6,,0.00,4,Thunderstorm,48<br />
2007-1-28,30,23,16,18,16,14,94,70,37,1014,1012,1008,10,10,10,23,3,,0.00,1,Rain-Thunderstorm,104<br />
2007-1-29,28,23,18,14,13,11,77,56,37,1016,1014,1011,10,10,10,27,8,,0.00,2,Rain,77<br />
2007-1-30,30,23,16,15,13,8,88,52,27,1017,1015,1011,10,10,10,23,5,,0.00,1,Thunderstorm,65<br />
2007-1-31,33,24,17,16,12,8,68,45,21,1015,1013,1011,10,10,10,10,3,,0.00,1,,77<br />
2007-2-1,35,27,18,14,11,8,68,39,19,1017,1015,1012,10,10,10,21,5,,0.00,1,Thunderstorm,119<br />
2007-2-2,35,27,19,17,14,11,78,52,23,1014,1012,1008,10,10,10,11,3,,0.00,2,Rain-Thunderstorm,132<br />
2007-2-3,33,26,19,17,14,12,73,52,31,1011,1008,1005,10,10,10,23,5,,0.00,2,Rain-Thunderstorm,141<br />
2007-2-4,33,26,19,16,12,9,78,46,24,1013,1010,1008,10,10,10,10,2,,0.00,0,,69<br />
2007-2-5,33,27,21,17,13,8,68,45,25,1012,1008,1004,10,10,10,24,3,,0.00,2,,156<br />
2007-2-6,32,24,18,14,12,11,68,45,27,1011,1009,1006,10,10,10,19,5,,0.00,0,,111<br />
2007-2-7,27,23,21,13,9,4,57,41,29,1018,1014,1011,10,10,10,23,11,,0.00,0,,151<br />
2007-2-8,29,24,19,15,11,7,54,42,32,1018,1015,1012,10,10,10,13,5,,0.00,1,,168<br />
2007-2-9,28,23,18,19,16,10,94,68,44,1021,1017,1014,10,9,0,27,8,,0.00,3,Rain-Hail-Thunderstorm,168<br />
2007-2-10,29,22,16,16,15,12,100,64,35,1025,1022,1020,10,10,10,19,2,,0.00,1,,131<br />
2007-2-11,31,26,21,17,16,14,78,57,35,1022,1017,1012,10,10,10,24,8,,0.00,3,,99<br />
2007-2-12,30,26,21,19,17,15,73,58,40,1015,1012,1009,10,10,10,14,5,,0.00,1,,148<br />
2007-2-13,34,27,21,19,18,16,83,58,34,1011,1007,1003,10,10,10,10,5,,0.00,1,,95<br />
2007-2-14,29,23,17,19,17,15,100,64,51,1012,1008,1006,10,10,10,21,10,,0.00,3,,130<br />
2007-2-15,36,27,19,19,13,-7,88,50,7,1007,1002,996,10,10,10,39,6,64,0.00,1,,71<br />
2007-2-16,23,18,14,10,6,3,59,47,37,1016,1010,1003,10,10,10,24,14,63,0.00,4,,163<br />
2007-2-17,22,16,10,8,4,1,82,47,25,1018,1016,1013,10,10,10,16,10,,0.00,2,Rain,46<br />
2007-2-18,28,19,11,9,4,-1,54,36,21,1017,1014,1011,10,10,10,14,5,,0.00,0,,44<br />
2007-2-19,29,22,15,13,9,7,67,47,29,1019,1013,1011,10,10,10,23,6,,0.00,1,Rain,159<br />
2007-2-20,19,16,13,12,10,7,82,70,56,1022,1020,1016,10,9,6,24,13,,0.00,7,,174<br />
2007-2-21,25,20,15,13,12,10,82,64,44,1017,1013,1011,10,10,10,11,3,,0.00,5,,128<br />
2007-2-22,30,22,15,15,14,12,88,60,37,1015,1013,1009,10,10,8,13,3,,0.00,2,,149<br />
2007-2-23,31,26,20,17,16,13,68,55,40,1015,1013,1010,10,10,10,14,5,,0.00,2,,131<br />
2007-2-24,36,29,22,19,17,16,73,53,34,1014,1011,1007,10,10,10,16,6,,0.00,0,,148<br />
2007-2-25,38,30,23,21,18,15,73,51,31,1010,1007,1003,10,10,10,11,5,,0.00,1,,154<br />
2007-2-26,31,26,22,21,16,9,94,56,29,1011,1009,1005,10,10,10,21,13,,0.00,2,Rain-Thunderstorm,158<br />
2007-2-27,28,24,20,19,14,9,88,58,30,1013,1010,1007,10,10,10,23,8,,0.00,2,,170<br />
2007-2-28,29,24,19,12,10,9,56,42,30,1012,1006,1001,10,10,10,11,6,,0.00,0,,159<br />
2007-3-1,23,20,17,12,8,4,64,47,35,1015,1010,1005,10,10,10,23,11,,0.00,4,Rain,158<br />
2007-3-2,26,19,13,9,6,0,77,43,21,1020,1017,1015,10,10,10,13,3,,0.00,3,,147<br />
