
WIB,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,31,27,23,24,22,21,89,74,50,1011,1009,1006,10,8,6,27,14,,3.05,5,Rain,263<br />
2007-1-2,30,27,23,25,23,21,95,80,55,1011,1009,1007,10,8,6,39,23,45,6.10,6,Rain,264<br />
2007-1-3,31,28,24,24,22,20,89,73,52,1011,1009,1007,10,8,5,34,19,,0.00,5,,248<br />
2007-1-4,32,28,24,23,21,20,83,67,49,1011,1009,1007,10,9,8,34,21,,0.00,4,,241<br />
2007-1-5,33,29,24,24,22,20,83,67,42,1011,1009,1006,10,9,8,29,18,,0.00,3,,262<br />
2007-1-6,33,28,24,23,22,19,94,67,34,1011,1009,1007,10,9,8,29,16,,0.00,3,,260<br />
2007-1-7,33,28,24,24,21,18,94,66,41,1011,1009,1006,10,9,8,32,16,45,0.00,1,,247<br />
2007-1-8,33,28,23,24,22,19,89,68,46,1011,1009,1007,10,10,8,24,11,,0.00,3,,242<br />
2007-1-9,33,28,24,24,22,21,89,71,49,1012,1010,1007,10,9,8,24,11,,0.51,3,,262<br />
2007-1-10,34,29,23,24,21,18,86,59,35,1012,1010,1006,10,9,6,27,16,,0.00,2,,247<br />
2007-1-11,35,29,22,23,21,16,94,65,22,1011,1009,1006,10,9,5,32,13,,0.00,3,,244<br />
2007-1-12,34,28,23,25,22,20,94,73,44,1011,1009,1006,10,9,8,24,10,,0.00,3,,258<br />
2007-1-13,35,29,23,24,22,17,94,66,29,1011,1009,1006,10,10,10,37,14,42,0.00,1,,253<br />
2007-1-14,34,29,24,26,23,21,94,73,46,1011,1009,1006,10,9,5,35,16,,0.00,5,,259<br />
2007-1-15,32,28,23,24,23,21,94,75,46,1012,1009,1007,10,8,5,26,11,,0.00,3,,271<br />
2007-1-16,34,29,23,25,23,21,94,74,44,1011,1009,1007,10,9,6,23,10,,0.00,3,Thunderstorm,271<br />
2007-1-17,34,29,24,25,23,22,94,75,45,1012,1010,1007,10,8,6,27,6,,0.00,4,,244<br />
2007-1-18,33,28,23,25,23,22,94,74,50,1012,1010,1007,10,7,4,19,6,,0.00,4,,274<br />
2007-1-19,33,29,24,26,23,22,94,75,52,1012,1009,1006,8,6,3,23,6,,9.91,3,Rain-Thunderstorm,230<br />
2007-1-20,33,29,24,26,24,23,94,79,52,1012,1010,1007,10,6,3,16,5,,0.00,3,,129<br />
2007-1-21,32,28,24,25,24,23,94,78,59,1012,1010,1007,10,7,2,21,5,,0.00,3,,306<br />
2007-1-22,31,28,24,25,24,23,94,80,54,1013,1010,1009,10,8,3,21,6,,2.03,5,Rain,294<br />
2007-1-23,29,26,23,26,23,22,94,86,70,1014,1012,1010,10,7,4,19,8,37,8.89,7,Rain,255<br />
2007-1-24,32,28,23,25,23,21,94,78,55,1014,1012,1010,10,8,5,23,8,24,0.00,7,Rain,295<br />
2007-1-25,32,28,23,25,24,22,94,80,49,1013,1011,1009,10,8,5,16,6,,1.02,6,,281<br />
2007-1-26,31,28,24,25,24,23,94,79,56,1014,1012,1009,10,9,5,19,8,,21.08,4,Rain-Thunderstorm,293<br />
2007-1-27,32,28,25,26,24,23,94,81,63,1014,1012,1009,10,7,4,23,6,,0.00,3,Rain-Thunderstorm,264<br />
2007-1-28,31,28,24,26,24,23,94,83,62,1014,1012,1009,10,7,5,19,6,,1.02,4,Rain-Thunderstorm,283<br />
2007-1-29,29,27,25,25,23,22,92,78,63,1014,1012,1009,10,8,5,27,11,,0.25,6,Rain,306<br />
2007-1-30,29,28,25,25,23,22,90,76,66,1015,1012,1010,10,8,5,21,11,,22.10,6,Rain,322<br />
2007-1-31,31,28,24,24,23,22,94,75,66,1014,1012,1010,8,7,4,34,18,39,27.94,7,Rain-Thunderstorm,331<br />
2007-2-1,29,27,24,24,23,22,94,84,76,1014,1012,1010,10,7,5,21,10,,69.09,8,Rain-Thunderstorm,318<br />
2007-2-2,28,26,23,24,23,22,100,86,66,1014,1012,1009,10,7,2,24,10,,39.88,7,Rain-Thunderstorm,309<br />
2007-2-3,29,27,23,24,23,22,97,79,66,1014,1012,1010,10,6,1,29,14,37,39.12,7,Rain,330<br />
2007-2-4,30,27,24,25,23,23,94,80,61,1013,1011,1009,10,8,5,26,11,35,11.94,6,Rain,331<br />
2007-2-5,30,27,24,25,24,23,96,83,58,1013,1011,1009,10,8,5,19,10,,11.94,7,Rain,353<br />
2007-2-6,30,27,23,25,23,22,96,81,62,1014,1012,1009,10,7,2,19,8,,0.00,5,Rain-Thunderstorm,281<br />
2007-2-7,29,27,25,26,24,24,94,86,70,1014,1012,1009,10,7,3,19,6,,0.25,5,Fog-Rain,352<br />
2007-2-8,28,26,23,26,24,22,100,92,79,1014,1012,1010,7,5,0,21,6,,9.91,7,Rain-Thunderstorm,132<br />
2007-2-9,30,27,23,25,24,23,100,88,70,1014,1012,1009,10,7,0,19,6,,7.11,5,Rain-Thunderstorm,316<br />
2007-2-10,31,27,24,25,24,23,95,81,58,1013,1011,1008,8,6,1,19,6,,0.00,5,,352<br />
2007-2-11,31,28,24,26,24,22,94,79,62,1013,1011,1009,10,8,4,23,6,,0.00,5,,331<br />
2007-2-12,31,27,24,26,24,23,94,82,62,1013,1010,1008,10,7,2,21,5,,8.89,6,Rain,304<br />
2007-2-13,29,27,23,26,24,22,94,85,62,1013,1011,1008,10,7,3,16,6,,2.03,6,Rain-Thunderstorm,289<br />
2007-2-14,32,28,24,26,24,23,94,79,56,1013,1011,1009,10,6,1,19,5,,0.00,3,,260<br />
2007-2-15,32,28,24,26,21,16,96,68,36,1013,1011,1008,10,6,3,16,6,,0.00,4,Rain-Thunderstorm,268<br />
2007-2-16,31,27,24,26,19,16,95,67,43,1012,1010,1008,8,5,2,23,6,,0.00,5,,253<br />
2007-2-17,34,28,23,25,23,22,100,84,52,1012,1009,1007,10,6,2,37,8,63,0.25,5,Rain-Thunderstorm,220<br />
2007-2-18,33,28,23,25,23,22,100,82,58,1011,1009,1006,10,6,3,19,6,,0.51,3,Rain-Thunderstorm,136<br />
2007-2-19,31,27,23,26,24,23,100,86,66,1011,1009,1006,10,6,1,19,5,,0.00,5,,244<br />
2007-2-20,28,26,23,26,24,23,100,90,72,1013,1010,1009,10,8,6,19,5,,2.03,6,Rain,270<br />
2007-2-21,31,27,24,26,24,23,100,89,58,1012,1010,1007,8,6,2,16,5,,1.02,7,Rain-Thunderstorm,259<br />
2007-2-22,31,28,24,25,24,23,100,87,60,1010,1008,1006,10,8,6,19,10,,0.00,5,,251<br />
2007-2-23,32,28,23,26,24,23,100,86,58,1010,1008,1005,10,7,1,16,10,29,0.00,5,Thunderstorm,264<br />
2007-2-24,29,27,24,26,24,23,100,87,66,1011,1008,1006,10,7,3,19,5,,10.92,6,Rain,290<br />
2007-2-25,31,27,24,25,23,22,100,83,55,1010,1008,1006,10,8,6,23,10,,0.51,5,Rain-Thunderstorm,232<br />
2007-2-26,33,28,24,27,24,22,100,84,55,1009,1008,1005,10,7,5,23,6,,0.00,5,Rain-Thunderstorm,264<br />
2007-2-27,32,27,23,25,24,22,100,85,51,1010,1008,1006,10,7,2,34,10,,0.00,6,Rain,241<br />
2007-2-28,32,28,24,26,24,23,94,84,66,1010,1008,1005,8,7,5,29,13,48,0.25,5,Rain,263<br />
2007-3-1,31,27,23,25,23,22,94,79,58,1010,1008,1006,10,9,5,35,24,53,0.25,4,,253<br />
2007-3-2,28,27,24,26,24,23,94,87,74,1010,1008,1006,10,8,1,27,14,40,7.11,5,Rain-Thunderstorm,246<br />
2007-3-3,31,27,24,24,23,20,94,77,52,1011,1009,1006,10,9,6,29,18,,0.00,5,Rain,255<br />
2007-3-4,32,28,24,26,23,22,94,80,52,1011,1009,1007,10,9,6,39,18,58,7.11,5,Rain,243<br />
2007-3-5,32,27,23,24,23,22,100,81,52,1011,1009,1007,10,7,1,35,13,,33.02,4,Rain,243<br />
2007-3-6,30,27,23,24,24,23,100,81,70,1010,1008,1005,10,9,5,34,18,,0.25,6,Rain,247<br />
2007-3-7,31,27,24,26,23,22,94,82,62,1007,1005,1003,10,8,4,39,19,58,0.51,5,Rain,262<br />
2007-3-8,32,29,25,25,24,23,96,83,66,1009,1007,1005,10,8,5,113,13,,4.06,4,Rain-Thunderstorm,302<br />
2007-3-9,31,27,24,26,25,24,100,86,64,1011,1009,1007,8,7,2,23,10,,91.95,6,Rain-Thunderstorm,311<br />
2007-3-10,30,27,24,26,24,22,100,82,58,1011,1009,1007,10,7,4,24,8,,14.99,4,Rain,360<br />
2007-3-11,31,27,24,25,24,22,94,79,58,1012,1010,1008,10,7,5,24,8,,0.25,3,,5<br />
