
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,12,7,2,8,2,-4,81,72,62,1022,1009,1003,16,16,16,37,26,58,0.00,7,Rain,256<br />
2007-1-2,7,3,-1,-1,-3,-6,82,68,43,1030,1027,1023,16,16,16,26,11,37,0.00,0,,243<br />
2007-1-3,8,4,1,2,-1,-2,87,70,48,1024,1021,1017,16,15,10,29,19,45,0.00,0,,225<br />
2007-1-4,9,7,5,7,4,1,96,79,61,1017,1012,1006,16,12,3,27,19,47,15.24,5,Rain,219<br />
2007-1-5,11,9,7,9,8,7,100,91,82,1008,1005,1003,16,11,2,21,6,32,18.03,8,Rain,211<br />
2007-1-6,10,6,1,9,4,-3,100,82,60,1023,1009,1002,16,12,3,26,8,42,2.54,7,Rain,277<br />
2007-1-7,3,0,-2,2,-1,-3,93,85,70,1025,1017,1005,16,11,8,14,6,,0.76,5,Rain,106<br />
2007-1-8,3,1,-1,1,-3,-7,93,77,52,1011,1006,1002,16,11,1,34,14,50,2.03,7,Rain-Snow,263<br />
2007-1-9,1,-2,-5,-4,-8,-12,80,64,49,1021,1012,1007,16,16,16,35,16,52,0.00,5,,282<br />
2007-1-10,-1,-3,-6,-7,-11,-14,75,60,48,1029,1027,1021,16,16,8,24,13,35,0.00,5,Snow,271<br />
2007-1-11,6,2,-1,0,-6,-7,73,54,42,1027,1021,1018,16,16,14,29,21,45,1.02,5,Rain,201<br />
2007-1-12,11,8,3,9,6,1,94,83,70,1022,1020,1017,16,13,3,34,19,48,3.30,8,Rain,234<br />
2007-1-13,2,1,-1,1,-3,-5,93,85,75,1029,1026,1023,16,14,6,24,16,37,3.05,8,Rain,16<br />
2007-1-14,0,-1,-2,-2,-2,-4,93,88,82,1027,1025,1021,16,13,6,16,10,,6.86,8,Rain,31<br />
2007-1-15,1,-1,-2,-1,-2,-4,93,90,82,1020,1013,1010,16,9,1,21,13,32,15.24,8,Rain-Snow,346<br />
2007-1-16,-3,-6,-8,-5,-9,-13,86,77,55,1038,1027,1019,16,11,3,21,13,34,0.00,5,Snow,319<br />
2007-1-17,-2,-6,-10,-8,-11,-13,80,69,58,1040,1037,1032,16,16,16,24,10,29,0.00,2,,233<br />
2007-1-18,1,-1,-4,-2,-5,-9,86,71,61,1031,1020,1013,16,14,3,26,16,48,0.76,7,Snow,229<br />
2007-1-19,-1,-3,-7,-4,-6,-12,86,74,56,1022,1017,1013,16,10,2,27,18,52,0.00,8,Snow,279<br />
