
AKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,-4,-6,-9,-7,-9,-11,92,80,68,1005,991,985,16,16,16,21,6,27,0.00,6,,21<br />
2008-1-2,-6,-8,-11,-9,-11,-13,88,81,73,985,983,980,16,16,16,10,2,,T,6,,343<br />
2008-1-3,-6,-7,-9,-7,-9,-12,92,83,74,980,979,978,16,16,11,11,4,,T,8,Snow,25<br />
2008-1-4,-6,-9,-13,-9,-12,-16,88,84,80,983,982,980,16,11,3,10,3,,T,7,Snow,17<br />
2008-1-5,-11,-13,-16,-14,-17,-19,87,78,69,987,982,981,16,16,16,14,3,,T,4,,32<br />
2008-1-6,-14,-16,-18,-16,-18,-20,87,72,57,991,989,987,16,13,3,13,7,,T,6,Snow,11<br />
2008-1-7,-9,-12,-14,-12,-13,-17,84,76,67,994,989,986,16,12,1,23,9,34,0.76,7,Snow,32<br />
2008-1-8,-8,-11,-13,-12,-13,-14,84,76,67,995,993,990,16,11,1,10,4,,1.78,7,Snow,17<br />
2008-1-9,-9,-10,-11,-11,-12,-14,92,80,67,991,989,988,16,7,1,10,2,,2.54,8,Snow,82<br />
2008-1-10,-8,-11,-13,-11,-14,-16,88,82,76,996,993,991,14,3,1,13,6,,4.32,8,Snow,356<br />
2008-1-11,-12,-13,-14,-14,-16,-18,87,80,73,1003,999,996,16,8,2,13,8,,0.51,8,Snow,1<br />
2008-1-12,-13,-17,-21,-16,-19,-24,87,81,75,1003,1000,997,16,14,5,16,8,,T,5,Snow,22<br />
2008-1-13,-16,-19,-23,-18,-22,-26,87,72,56,1013,1007,1001,16,15,5,16,9,,T,3,Snow,25<br />
2008-1-14,-17,-20,-23,-21,-23,-26,82,67,51,1016,1015,1013,16,14,2,23,8,,T,6,,24<br />
2008-1-15,-7,-12,-17,-10,-13,-20,84,77,69,1013,1008,1006,16,11,1,23,14,29,1.27,8,Snow,9<br />
2008-1-16,-4,-7,-11,-7,-8,-11,92,86,80,1026,1014,1004,16,10,1,14,7,,5.33,5,Snow,112<br />
2008-1-17,-6,-8,-10,-8,-9,-11,92,83,74,1026,1021,1014,16,13,0,23,12,,T,7,Fog-Snow,9<br />
2008-1-18,-4,-6,-8,-7,-8,-9,92,83,74,1030,1023,1015,16,15,3,11,3,,0.00,6,,57<br />
2008-1-19,-4,-7,-10,-8,-9,-12,88,81,74,1032,1030,1028,16,16,16,11,4,,0.00,7,,57<br />
2008-1-20,1,-2,-4,-1,-3,-8,89,79,68,1028,1023,1020,16,13,2,26,11,43,3.56,8,Rain-Snow,324<br />
2008-1-21,6,3,-1,-1,-2,-3,92,74,55,1025,1022,1013,16,12,2,40,10,74,T,8,Rain-Snow,305<br />
2008-1-22,6,3,1,-3,-4,-7,75,60,44,1018,1016,1012,16,16,16,43,24,77,T,6,Snow,175<br />
2008-1-23,1,-6,-13,-2,-11,-23,92,62,31,1031,1020,1015,16,9,1,27,19,50,3.81,6,Fog-Snow,328<br />
2008-1-24,-12,-13,-15,-15,-18,-22,80,63,45,1031,1019,1007,16,9,2,23,10,37,1.78,7,Snow,18<br />
2008-1-25,-8,-11,-14,-12,-14,-17,84,79,73,1011,1005,1002,16,9,2,21,9,26,2.29,7,Snow,3<br />
2008-1-26,-11,-15,-19,-18,-22,-24,76,61,45,1024,1021,1012,16,16,16,29,18,40,T,1,,357<br />
2008-1-27,-12,-17,-22,-16,-21,-25,87,69,50,1024,1013,1004,16,14,5,13,6,,T,6,Snow,10<br />
2008-1-28,-10,-11,-13,-12,-14,-16,88,81,73,1004,1000,998,16,7,1,16,10,50,1.52,8,Snow,7<br />
2008-1-29,-9,-11,-13,-11,-13,-16,92,86,80,1006,1004,1002,16,12,5,16,5,,T,8,Snow,29<br />
2008-1-30,-12,-14,-17,-14,-16,-19,91,84,76,1006,1003,1001,16,8,0,10,4,,T,6,Fog-Snow,351<br />
2008-1-31,-13,-16,-18,-16,-18,-21,87,83,79,1007,1006,1005,16,10,0,10,2,,T,5,Fog-Snow,353<br />
2008-2-1,-15,-17,-19,-17,-19,-22,87,81,75,1007,1006,1004,16,6,0,10,3,53,0.25,5,Fog,53<br />
2008-2-2,-13,-17,-21,-19,-21,-23,79,70,60,1007,1006,1004,16,14,3,19,9,,0.00,4,,25<br />
2008-2-3,-13,-17,-22,-19,-23,-25,79,65,50,1010,1009,1007,16,16,16,14,6,,0.00,0,,20<br />
2008-2-4,-17,-21,-24,-20,-24,-28,87,70,53,1008,1007,1005,16,14,2,13,3,,T,2,Fog-Snow,81<br />
2008-2-5,-14,-19,-24,-20,-24,-27,79,63,46,1005,1003,1000,16,16,16,10,3,,0.00,0,,143<br />
2008-2-6,-12,-17,-23,-22,-24,-28,82,60,37,1002,1001,1000,16,16,16,32,15,39,0.00,0,,7<br />
2008-2-7,-9,-14,-19,-22,-23,-24,68,51,34,1020,1012,1004,16,16,16,35,16,48,0.00,0,,350<br />
2008-2-8,-13,-17,-22,-23,-24,-27,65,52,38,1022,1020,1015,16,16,16,23,10,,0.00,3,,10<br />
2008-2-9,-13,-16,-19,-25,-27,-29,46,39,31,1014,999,990,16,16,16,24,20,34,0.00,4,,4<br />
2008-2-10,-15,-19,-24,-24,-27,-29,56,47,37,993,992,991,16,16,16,19,13,,0.00,2,,12<br />
2008-2-11,-9,-12,-16,-11,-16,-21,83,66,49,994,993,991,16,6,1,19,14,,5.84,8,Snow,15<br />
2008-2-12,-3,-6,-9,-7,-9,-12,92,80,68,1005,999,991,16,12,2,13,8,,1.78,7,Snow,249<br />
