
UYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,26,23,21,21,18,15,83,71,57,1014,1011,1009,10,9,5,32,18,,0.00,5,Rain-Thunderstorm,63<br />
2008-1-2,34,27,19,21,18,15,88,63,41,1012,1010,1006,10,10,10,27,13,,0.00,3,,62<br />
2008-1-3,31,26,21,21,20,17,100,73,43,1016,1010,1008,10,10,8,37,21,,0.00,5,Rain-Thunderstorm,174<br />
2008-1-4,22,20,18,16,13,10,73,66,53,1020,1019,1016,10,10,10,32,26,,0.00,5,,141<br />
2008-1-5,23,19,16,16,14,12,88,66,53,1020,1018,1015,10,10,10,23,14,,0.00,4,,99<br />
2008-1-6,29,21,14,20,17,12,100,72,37,1016,1013,1010,10,9,8,26,11,,0.00,0,Fog,84<br />
2008-1-7,35,26,16,19,16,12,88,60,30,1019,1011,1005,10,10,10,27,16,,0.00,3,,58<br />
2008-1-8,36,29,23,22,17,6,83,52,16,1006,1005,1004,10,10,10,23,16,,0.00,2,Thunderstorm,346<br />
2008-1-9,30,24,19,23,19,13,100,66,50,1008,1005,1002,10,9,1,55,14,,0.00,4,Rain-Hail-Thunderstorm,32<br />
2008-1-10,26,23,20,21,18,13,94,77,50,1007,1003,1000,10,9,3,40,19,,0.00,8,Rain-Thunderstorm,345<br />
2008-1-11,22,20,17,16,12,10,73,60,46,1015,1012,1008,10,10,10,26,18,,0.00,4,,137<br />
2008-1-12,27,20,13,15,10,8,77,55,34,1017,1016,1015,10,10,10,27,16,,0.00,2,,46<br />
2008-1-13,28,22,16,19,13,9,72,56,37,1018,1016,1014,10,10,10,29,23,,0.00,0,,60<br />
2008-1-14,29,23,18,19,18,15,94,70,45,1018,1016,1013,10,10,10,32,16,,0.00,1,,79<br />
2008-1-15,32,26,20,23,20,17,100,73,46,1014,1010,1004,10,10,10,26,18,,0.00,3,,58<br />
2008-1-16,26,22,18,22,16,10,100,71,53,1010,1005,1000,10,9,3,37,16,66,0.00,5,Rain-Thunderstorm,206<br />
2008-1-17,23,20,17,12,11,9,72,57,43,1010,1009,1007,10,10,10,35,16,,0.00,1,,146<br />
2008-1-18,26,20,15,18,14,11,94,72,42,1011,1008,1007,10,10,10,27,16,,0.00,6,,64<br />
2008-1-19,21,19,17,14,12,10,77,64,56,1017,1014,1011,10,10,10,26,16,,0.00,3,,153<br />
2008-1-20,23,17,11,16,12,7,94,65,38,1017,1016,1014,10,10,10,21,10,,0.00,4,,83<br />
2008-1-21,28,21,15,17,13,11,77,58,37,1017,1016,1015,10,10,10,23,14,,0.00,8,,66<br />
2008-1-22,24,20,16,17,14,11,82,66,44,1021,1019,1016,10,10,10,201,55,,0.00,4,,78<br />
2008-1-23,26,22,18,18,16,12,83,68,50,1021,1019,1018,10,10,10,37,18,,0.00,4,,95<br />
2008-1-24,25,22,20,19,17,13,83,73,47,1021,1019,1017,10,10,10,32,23,,0.00,4,,92<br />
2008-1-25,26,22,19,19,17,16,88,73,57,1019,1017,1016,10,10,10,37,21,58,0.00,5,,88<br />
2008-1-26,25,22,19,18,17,16,88,75,61,1021,1019,1018,10,10,10,34,21,47,0.00,6,,103<br />
2008-1-27,26,22,19,18,17,16,94,79,54,1020,1018,1016,10,10,10,200,23,48,0.00,6,,100<br />
2008-1-28,29,24,20,21,18,10,88,72,48,1018,1015,1012,10,10,10,27,19,,0.00,5,Rain,77<br />
2008-1-29,26,23,20,21,19,10,94,81,49,1014,1012,1009,10,10,10,26,16,,0.00,6,Rain,86<br />
2008-1-30,24,21,19,20,19,17,100,87,73,1011,1011,1009,10,10,6,37,11,48,0.00,6,,113<br />
2008-1-31,25,22,19,19,19,18,100,84,69,1012,1011,1009,10,10,10,35,16,47,0.00,2,,111<br />
2008-2-1,25,21,18,19,18,16,94,80,65,1012,1010,1009,10,10,10,24,10,,0.00,3,,106<br />
2008-2-2,28,22,17,20,17,12,94,79,51,1011,1009,1008,10,9,4,37,13,55,0.00,6,Rain,225<br />
2008-2-3,23,19,16,15,11,6,94,58,35,1016,1014,1012,10,10,10,32,21,48,0.00,3,Rain,190<br />
2008-2-4,32,22,13,15,13,10,94,60,29,1015,1013,1010,10,10,10,27,11,,0.00,1,,312<br />
2008-2-5,25,21,17,17,14,9,88,66,36,1016,1014,1011,10,9,8,24,16,,0.00,3,,135<br />
2008-2-6,35,26,17,22,16,13,94,62,30,1015,1012,1007,10,10,10,32,18,,0.00,2,,35<br />
2008-2-7,29,24,21,23,20,18,89,79,51,1016,1012,1008,10,10,8,34,21,,0.00,4,,109<br />
2008-2-8,24,23,22,22,21,19,100,89,73,1017,1013,1008,8,6,3,34,21,,0.00,8,Rain-Thunderstorm,108<br />
2008-2-9,27,23,19,21,19,18,100,86,58,1008,1004,1003,10,6,1,29,14,,0.00,6,Fog-Rain-Thunderstorm,265<br />
2008-2-10,22,20,18,20,16,12,94,76,64,1015,1011,1006,10,10,6,26,13,,0.00,5,Rain,173<br />
2008-2-11,21,19,17,16,13,10,83,67,59,1018,1017,1015,10,10,10,27,16,,0.00,4,,153<br />
2008-2-12,24,21,19,20,17,16,88,79,69,1018,1017,1014,10,10,5,32,23,47,0.00,5,Rain,104<br />
2008-2-13,24,20,16,18,16,14,94,75,61,1015,1014,1012,10,10,10,21,8,,0.00,2,,114<br />
2008-2-14,30,23,17,20,17,15,94,71,40,1013,1012,1011,10,10,10,24,16,,0.00,3,,47<br />
2008-2-15,30,25,20,21,18,17,88,68,48,1013,1011,1010,10,10,10,24,16,,0.00,4,Thunderstorm,78<br />
2008-2-16,26,23,20,21,19,17,100,82,61,1012,1011,1011,10,9,6,24,14,,0.00,4,Rain-Thunderstorm,123<br />
2008-2-17,26,22,19,21,19,18,100,80,65,1015,1013,1012,10,10,10,29,13,,0.00,2,,95<br />
2008-2-18,26,21,17,20,18,16,100,81,69,1018,1017,1015,10,10,10,34,16,,0.00,6,,90<br />
2008-2-19,25,22,20,21,19,18,94,84,74,1018,1016,1014,10,10,10,26,16,,0.00,5,,99<br />
2008-2-20,28,23,19,22,20,18,100,82,58,1014,1011,1009,10,10,10,21,13,,0.00,1,,74<br />
2008-2-21,32,26,19,22,19,16,100,77,38,1011,1010,1009,10,10,10,24,13,,0.00,4,,332<br />
2008-2-22,26,22,19,21,19,17,100,82,61,1014,1012,1011,10,10,8,21,8,,0.00,6,Fog-Rain,134<br />
2008-2-23,25,22,20,20,18,16,88,78,61,1017,1016,1014,10,10,8,24,6,,0.00,6,,110<br />
2008-2-24,25,22,19,19,17,16,88,74,65,1019,1017,1016,10,10,10,27,18,,0.00,2,,102<br />
2008-2-25,25,22,19,21,19,17,94,86,69,1017,1016,1014,10,10,10,34,16,,0.00,4,Rain-Thunderstorm,97<br />
2008-2-26,27,23,21,21,20,18,100,83,61,1016,1014,1012,10,9,4,27,13,,0.00,4,Rain-Thunderstorm,90<br />
2008-2-27,26,23,21,22,20,18,89,83,78,1015,1014,1012,10,10,5,24,16,,0.00,7,Rain,77<br />
2008-2-28,23,21,20,21,20,20,100,96,83,1013,1010,1007,10,6,1,29,10,,0.00,8,Rain,108<br />
2008-2-29,24,21,19,21,20,18,100,94,78,1007,1004,1003,10,7,2,32,14,,0.00,8,Rain,84<br />
2008-3-1,24,21,19,21,19,10,100,93,52,1003,1000,999,10,7,2,34,19,50,0.00,6,Rain,108<br />
2008-3-2,23,20,18,21,19,18,100,95,83,1005,1003,1002,10,7,2,24,11,,0.00,6,Rain,123<br />
2008-3-3,23,21,20,22,21,19,100,97,83,1006,1005,1003,10,6,2,21,14,,0.00,8,Rain,146<br />
2008-3-4,24,22,21,22,21,20,100,94,83,1006,1005,1004,10,7,2,26,13,,0.00,6,Rain,230<br />
2008-3-5,21,19,18,20,19,18,100,98,88,1005,1002,1000,10,8,1,40,14,,0.00,8,Rain,331<br />
2008-3-6,23,21,20,21,20,19,100,92,78,1006,1003,1000,10,10,8,24,14,,0.00,6,Rain,288<br />
2008-3-7,22,20,19,20,19,18,100,93,78,1011,1008,1007,10,8,2,26,11,,0.00,6,Rain,313<br />
2008-3-8,28,23,18,18,17,13,94,70,42,1014,1013,1010,10,10,10,14,10,,0.00,3,,334<br />
2008-3-9,26,23,21,20,19,18,94,79,61,1016,1015,1014,10,10,10,16,3,,0.00,3,,183<br />
2008-3-10,22,20,18,19,14,9,100,69,53,1018,1017,1016,10,10,8,27,14,,0.00,6,,181<br />
2008-3-11,22,19,14,13,11,9,88,60,53,1018,1016,1015,10,10,10,16,8,,0.00,4,,160<br />
2008-3-12,22,17,12,15,13,11,94,77,60,1017,1016,1016,10,9,5,21,5,,0.00,3,,160<br />
2008-3-13,23,18,14,17,14,13,94,76,57,1020,1019,1017,10,10,6,19,6,,0.00,2,,215<br />
2008-3-14,23,21,18,17,14,12,83,69,53,1021,1020,1019,10,10,10,19,11,,0.00,2,,127<br />
2008-3-15,26,19,12,18,14,10,94,73,42,1022,1020,1019,10,10,10,21,8,,0.00,1,,70<br />
2008-3-16,28,22,16,18,16,13,83,69,48,1020,1019,1016,10,10,10,21,14,,0.00,3,,48<br />
2008-3-17,30,24,19,19,18,15,94,72,43,1018,1017,1015,10,10,10,27,16,,0.00,4,,41<br />
2008-3-18,24,21,19,21,19,17,100,86,73,1020,1018,1016,10,10,10,27,10,,0.00,4,,118<br />
2008-3-19,29,24,19,19,18,17,94,72,51,1017,1013,1009,10,10,10,37,14,,0.00,5,Rain,36<br />
2008-3-20,27,22,17,19,18,15,100,80,54,1015,1012,1010,10,9,6,37,18,,0.00,4,Rain,237<br />
2008-3-21,28,21,15,21,18,15,100,83,48,1015,1013,1010,10,8,3,24,5,,0.00,3,Rain-Thunderstorm,132<br />
2008-3-22,20,18,17,18,13,10,100,72,52,1021,1016,1012,10,10,10,26,18,,0.00,6,,175<br />
2008-3-23,21,16,12,15,12,11,94,71,56,1021,1020,1018,10,10,10,19,10,,0.00,3,,124<br />
2008-3-24,24,18,13,17,14,12,94,75,47,1019,1018,1017,10,10,10,21,11,,0.00,1,,65<br />
2008-3-25,27,21,15,18,14,12,88,67,39,1018,1016,1013,10,10,10,24,13,,0.00,1,,40<br />
2008-3-26,27,22,18,20,17,15,94,77,51,1014,1011,1010,,,,13,6,,0.00,,,315<br />
2008-3-27,25,21,17,20,18,16,100,88,74,1015,1012,1010,10,8,4,23,5,,0.00,5,,151<br />
2008-3-28,22,21,20,18,17,13,88,79,60,1021,1017,1016,10,10,7,24,16,,0.00,5,Rain,121<br />
2008-3-29,22,18,15,15,13,12,82,68,53,1023,1021,1020,10,10,10,21,5,,0.00,2,,108<br />
2008-3-30,24,18,12,16,13,10,94,72,44,1021,1019,1015,10,10,10,27,8,,0.00,2,,80<br />
2008-3-31,23,19,15,18,16,14,94,82,65,1017,1014,1011,10,10,10,23,13,,0.00,6,Rain,94<br />
2008-4-1,23,21,16,20,18,15,100,84,65,1012,1011,1010,10,10,6,26,10,,0.00,5,Rain-Thunderstorm,152<br />
2008-4-2,20,18,15,16,14,11,100,84,68,1015,1012,1010,10,9,3,29,11,,0.00,6,Rain-Thunderstorm,189<br />
2008-4-3,20,17,13,14,12,7,88,70,56,1019,1016,1015,10,10,10,14,6,,0.00,1,,205<br />
2008-4-4,25,18,12,15,12,10,88,71,41,1016,1014,1012,,,,29,16,48,0.00,,,302<br />
2008-4-5,26,20,15,18,15,12,100,79,51,1013,1011,1009,8,5,3,21,11,,0.00,0,,294<br />
2008-4-6,29,22,15,19,14,11,94,64,35,1010,1007,1005,,,,37,16,,0.00,,,323<br />
2008-4-7,26,21,17,18,16,14,94,74,47,1012,1011,1010,10,10,10,23,13,,0.00,2,,110<br />
2008-4-8,26,20,15,17,12,7,100,70,32,1013,1012,1011,10,9,5,23,6,,0.00,4,Fog,303<br />
2008-4-9,28,20,12,16,12,7,88,65,37,1013,1011,1008,,,,19,5,,0.00,,,315<br />
2008-4-10,27,21,16,19,16,13,94,76,53,1009,1007,1005,8,6,4,13,6,,0.00,1,,330<br />
2008-4-11,25,20,15,19,16,11,94,85,68,1008,1005,1004,10,9,6,34,8,52,0.00,5,Rain-Thunderstorm,199<br />
2008-4-12,16,13,11,14,7,3,88,63,42,1011,1009,1007,10,10,10,29,16,,0.00,6,,212<br />
2008-4-13,17,12,8,8,6,4,87,65,42,1015,1011,1009,10,10,10,37,14,,0.00,5,Rain,254<br />
2008-4-14,16,12,7,6,5,3,81,62,51,1019,1017,1015,10,10,10,37,24,,0.00,4,Rain,245<br />
2008-4-15,18,11,5,7,4,3,93,67,39,1020,1018,1017,10,10,10,21,8,,0.00,1,,299<br />
2008-4-16,22,13,5,6,2,-1,87,51,22,1018,1016,1014,,,,23,10,,0.00,,,340<br />
2008-4-17,24,17,10,10,6,1,66,50,33,1020,1018,1016,5,4,2,26,13,,0.00,,,305<br />
2008-4-18,26,18,11,13,9,6,94,61,34,1018,1016,1015,8,5,4,19,5,,0.00,2,,19<br />
2008-4-19,26,19,13,14,10,6,82,57,36,1017,1016,1015,5,2,1,11,10,,0.00,,,311<br />
2008-4-20,26,18,11,17,14,11,100,78,44,1018,1017,1017,8,3,0,23,6,,0.00,0,Fog,88<br />
2008-4-21,26,20,14,18,14,9,100,75,47,1018,1017,1015,,,,26,13,,0.00,,,48<br />
2008-4-22,26,20,14,18,17,14,100,91,54,1018,1015,1012,10,4,0,16,11,,0.00,1,Fog,39<br />
2008-4-23,25,19,13,17,15,12,100,87,57,1013,1011,1009,8,5,0,26,8,,0.00,3,Fog,287<br />
2008-4-24,25,19,14,16,13,10,100,79,39,1010,1007,1004,8,3,0,23,8,,0.00,5,Fog,314<br />
2008-4-25,19,16,10,16,10,8,88,69,49,1009,1008,1005,10,9,8,27,11,,0.00,4,,140<br />
2008-4-26,18,14,10,13,11,7,88,80,68,1010,1009,1008,10,8,6,16,5,,0.00,6,,100<br />
2008-4-27,23,16,8,16,12,8,100,81,47,1009,1006,1004,8,6,4,14,6,,0.00,,,7<br />
2008-4-28,21,17,13,16,13,10,100,84,56,1010,1005,1003,10,6,1,29,10,,0.00,7,Fog-Rain,246<br />
2008-4-29,14,12,10,11,4,0,82,60,44,1020,1014,1009,10,10,10,47,27,,0.00,3,,235<br />
2008-4-30,15,10,6,7,5,3,87,70,51,1023,1021,1020,10,10,10,23,10,,0.00,2,,262<br />
2008-5-1,17,11,6,14,7,4,87,78,63,1026,1024,1023,10,10,10,11,6,,0.00,3,,41<br />
2008-5-2,17,11,5,14,9,5,100,83,63,1026,1025,1025,10,10,10,24,6,,0.00,4,,148<br />
2008-5-3,19,17,15,14,12,11,94,78,60,1028,1027,1026,10,10,10,148,16,,0.00,3,,138<br />
2008-5-4,19,14,10,13,12,10,100,81,68,1028,1023,1020,10,10,10,19,6,,0.00,4,Rain,132<br />
2008-5-5,17,11,6,13,9,6,100,88,63,1019,1017,1015,10,4,0,21,5,,0.00,1,Fog,252<br />
2008-5-6,22,13,6,12,8,5,100,74,41,1016,1014,1012,8,8,8,14,10,,0.00,,,349<br />
2008-5-7,17,13,10,12,9,7,88,75,63,1018,1015,1013,10,10,10,21,13,,0.00,5,,207<br />
