
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,12,9,7,7,6,5,93,80,67,1024,1021,1019,10,10,10,23,11,,0.00,5,,193<br />
2009-1-2,10,5,0,6,3,-1,93,80,66,1020,1017,1015,10,10,10,19,5,,0.00,6,,264<br />
2009-1-3,8,3,-1,3,1,-2,100,84,66,1018,1016,1015,10,9,5,13,6,,0.00,4,Rain,182<br />
2009-1-4,9,4,-2,2,-1,-3,100,80,53,1018,1016,1015,10,8,5,16,8,,0.00,1,,306<br />
2009-1-5,7,1,-4,-3,-5,-9,93,70,36,1016,1013,1011,9,6,5,29,10,,0.00,0,,318<br />
2009-1-6,3,0,-2,-2,-4,-7,81,70,60,1013,1011,1010,10,9,7,21,13,29,0.00,6,,332<br />
2009-1-7,1,0,-1,0,-1,-2,100,94,81,1014,1010,1008,10,4,0,26,14,,0.00,7,Rain-Snow,318<br />
2009-1-8,4,1,-1,2,0,-2,100,91,75,1022,1018,1014,6,4,2,8,3,,0.00,6,Rain-Snow,173<br />
2009-1-9,6,3,1,3,2,0,100,90,70,1022,1022,1021,10,7,1,14,5,,0.00,5,Fog-Rain,161<br />
2009-1-10,10,6,1,4,2,0,100,87,58,1027,1023,1022,10,6,3,10,3,,0.00,4,Rain,154<br />
2009-1-11,10,4,-2,2,-1,-3,100,84,50,1029,1028,1027,8,7,5,11,5,,0.00,,,140<br />
2009-1-12,12,4,-2,2,-1,-3,100,83,44,1028,1026,1023,10,7,1,10,3,,0.00,,Fog,117<br />
2009-1-13,11,4,-2,2,-1,-3,100,80,44,1023,1017,1013,10,10,9,11,2,,0.00,,,158<br />
2009-1-14,10,4,-2,3,0,-2,100,75,57,1013,1012,1010,10,9,5,52,18,71,0.00,3,,320<br />
2009-1-15,12,6,1,1,1,-1,93,71,47,1020,1015,1012,10,10,10,34,16,,0.00,1,,278<br />
2009-1-16,12,6,0,3,1,-1,100,79,44,1024,1022,1020,10,9,8,11,3,,0.00,3,,209<br />
2009-1-17,13,8,3,7,4,1,93,78,62,1025,1023,1022,10,10,8,16,5,,0.00,5,,180<br />
2009-1-18,13,8,4,8,6,3,100,85,67,1022,1018,1016,10,9,3,21,6,,0.00,5,Rain,146<br />
2009-1-19,15,11,8,11,8,5,88,81,71,1016,1006,999,10,10,8,35,14,,0.00,7,Rain,126<br />
2009-1-20,13,8,3,10,4,1,94,81,54,1003,999,997,10,9,3,23,13,,0.00,4,Rain,289<br />
2009-1-21,10,5,0,2,0,-2,93,73,43,1011,1007,1003,10,10,10,32,13,,0.00,3,,302<br />
2009-1-22,8,4,2,3,1,-1,81,73,61,1011,1007,1004,10,10,8,32,16,,0.00,7,Rain,285<br />
2009-1-23,12,8,5,11,6,2,100,90,76,1003,997,993,10,7,0,19,8,,0.00,7,Fog-Rain,71<br />
2009-1-24,11,8,6,6,4,1,100,75,62,995,988,983,10,10,8,77,19,101,0.00,6,Rain,307<br />
2009-1-25,13,9,5,4,1,-1,70,60,44,999,997,995,10,10,10,66,35,85,0.00,3,,331<br />
