
KST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,3,-1,-4,-12,-15,-17,54,38,24,1025,1022,1021,10,9,1,26,14,37,0.00,0,,325<br />
2009-1-2,8,2,-4,-12,-14,-16,46,35,22,1027,1026,1025,10,10,10,21,13,27,0.00,0,,319<br />
2009-1-3,10,2,-5,-9,-13,-17,64,40,15,1028,1027,1024,10,10,10,21,10,,0.00,0,,342<br />
2009-1-4,7,2,-3,-9,-11,-15,64,42,20,1026,1024,1023,10,10,10,11,8,,0.00,0,,356<br />
2009-1-5,8,3,-2,-6,-9,-11,69,44,27,1026,1024,1022,10,10,10,21,11,,0.00,0,,322<br />
2009-1-6,8,2,-3,-5,-7,-8,69,52,32,1028,1026,1024,10,10,10,16,10,,0.00,4,,323<br />
2009-1-7,10,4,-2,-3,-12,-15,80,34,19,1027,1026,1024,10,10,10,14,10,,0.00,3,,322<br />
2009-1-8,8,3,-2,-8,-12,-15,55,36,22,1027,1024,1020,10,10,10,14,10,,0.00,5,,344<br />
2009-1-9,6,1,-3,-11,-14,-16,44,32,23,1021,1019,1017,10,10,10,27,14,32,0.00,1,,328<br />
2009-1-10,3,-1,-5,-10,-14,-18,55,40,22,1021,1019,1017,10,10,10,29,18,39,0.00,0,,317<br />
2009-1-11,4,-2,-7,-1,-11,-15,75,51,34,1022,1020,1011,10,10,10,16,8,26,0.00,1,,301<br />
2009-1-12,3,-1,-5,-12,-14,-16,51,39,26,1026,1024,1021,10,10,10,27,19,37,0.00,0,,306<br />
2009-1-13,3,-3,-9,-12,-14,-16,63,43,24,1028,1027,1026,10,10,10,23,11,29,0.00,0,,312<br />
2009-1-14,3,-2,-7,-4,-12,-21,74,48,17,1030,1026,1024,10,10,6,24,11,34,0.00,3,Snow,342<br />
2009-1-15,6,-1,-7,-14,-19,-23,58,33,12,1032,1030,1026,10,10,10,23,11,,0.00,0,,317<br />
2009-1-16,7,0,-6,-7,-11,-18,93,48,31,1031,1028,1024,10,10,10,11,8,,0.00,1,,307<br />
2009-1-17,8,1,-5,0,-4,-8,86,63,37,1029,1026,1024,10,10,10,13,6,,0.00,2,,21<br />
2009-1-18,10,5,0,7,1,-10,93,82,36,1024,1017,1013,10,8,2,11,5,,0.00,6,Rain,354<br />
2009-1-19,10,4,-1,1,-7,-14,81,49,19,1027,1021,1017,9,7,6,19,10,,0.00,3,Rain,299<br />
2009-1-20,11,4,-1,-4,-7,-14,75,50,16,1024,1023,1021,10,10,10,11,6,,0.00,6,,355<br />
2009-1-21,6,3,-1,0,-5,-11,87,59,29,1022,1020,1019,10,10,9,13,6,,0.00,7,Rain,345<br />
2009-1-22,9,4,-1,-1,-3,-5,93,73,43,1020,1016,1013,10,10,10,10,6,,0.00,3,,357<br />
2009-1-23,3,-1,-6,-2,-11,-19,86,50,27,1024,1017,1012,10,10,10,32,16,42,0.00,3,,302<br />
2009-1-24,1,-4,-8,-11,-16,-19,59,40,30,1025,1021,1017,10,10,10,21,13,32,0.00,2,,312<br />
2009-1-25,4,-2,-7,-9,-11,-12,74,51,31,1022,1021,1019,10,10,10,16,8,,0.00,1,,287<br />
2009-1-26,5,-1,-6,-5,-9,-12,80,59,29,1026,1023,1022,10,10,10,16,8,,0.00,3,,323<br />
2009-1-27,8,1,-6,-7,-10,-16,80,53,17,1031,1029,1027,10,10,10,14,6,,0.00,0,,332<br />
2009-1-28,11,3,-4,1,-4,-9,81,58,38,1029,1027,1025,10,10,10,11,6,,0.00,1,,35<br />
2009-1-29,6,2,-1,3,0,-3,93,79,61,1026,1023,1020,10,9,4,10,6,,0.00,7,Rain,3<br />
2009-1-30,10,7,4,6,5,3,93,84,71,1020,1015,1013,9,7,4,34,18,32,0.00,8,Rain,3<br />
2009-1-31,10,8,4,5,2,0,75,64,54,1027,1021,1015,10,10,9,32,26,32,0.00,5,Rain,31<br />
2009-2-1,10,4,-2,1,0,-2,100,69,47,1030,1029,1027,10,10,10,14,8,,0.00,4,,355<br />
2009-2-2,12,4,-2,5,2,-3,93,74,51,1028,1025,1022,10,10,10,16,6,,0.00,3,,101<br />
2009-2-3,11,7,4,4,3,2,93,72,54,1023,1021,1019,10,10,9,19,8,,0.00,7,Rain,28<br />
2009-2-4,13,8,3,5,3,1,87,75,54,1023,1021,1019,10,10,10,11,6,,0.00,4,,15<br />
2009-2-5,15,8,2,5,-1,-8,100,62,23,1023,1020,1018,10,9,6,21,8,,0.00,1,,345<br />
2009-2-6,14,7,1,3,1,-2,81,69,44,1025,1024,1022,10,8,6,11,6,,0.00,2,,36<br />
2009-2-7,14,7,1,3,-1,-3,93,64,31,1022,1021,1018,9,8,6,21,8,,0.00,0,,338<br />
2009-2-8,13,7,1,1,-2,-4,81,57,31,1025,1022,1021,10,7,6,14,10,,0.00,1,,297<br />
2009-2-9,11,6,2,3,0,-8,87,69,36,1021,1015,1012,10,8,6,21,6,,0.00,6,Rain,312<br />
2009-2-10,14,8,3,1,-2,-6,81,55,27,1016,1014,1011,9,8,6,14,11,,0.00,0,,284<br />
2009-2-11,15,8,2,6,0,-3,75,61,42,1013,1011,1009,10,9,8,14,5,,0.00,0,,270<br />
2009-2-12,15,9,3,11,1,-5,94,61,34,1016,1014,1011,10,9,6,16,6,,0.00,4,,19<br />
2009-2-13,16,14,13,15,13,11,94,90,82,1011,1001,997,8,7,6,47,27,71,0.00,8,Rain,211<br />
2009-2-14,17,12,7,11,4,-4,82,63,24,1014,1010,1003,8,8,8,21,16,,0.00,6,,292<br />
2009-2-15,12,6,-1,4,-1,-10,87,59,36,1020,1016,1014,10,10,10,23,10,32,0.00,5,Rain,334<br />
2009-2-16,6,2,-2,-12,-18,-22,40,24,13,1027,1025,1021,10,10,10,24,16,48,0.00,6,,331<br />
2009-2-17,6,1,-4,-14,-18,-24,40,27,10,1030,1028,1026,10,10,10,23,14,,0.00,4,,324<br />
2009-2-18,8,2,-3,-7,-14,-18,52,31,19,1027,1026,1024,10,10,10,19,13,,0.00,2,,310<br />
