
AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,31,27,24,25,24,22,100,83,66,1009,1007,1005,10,10,10,21,8,,0.00,6,Rain,316<br />
2009-1-2,31,27,24,25,24,23,100,82,62,1010,1007,1005,10,10,9,14,5,,0.00,4,Fog,7<br />
2009-1-3,31,28,25,26,24,23,100,80,62,1010,1008,1006,10,10,8,23,6,,0.00,5,Rain,49<br />
2009-1-4,32,29,26,25,24,23,94,82,62,1009,1008,1006,10,10,6,21,8,,0.00,6,Rain-Thunderstorm,158<br />
2009-1-5,31,28,25,25,24,23,100,85,62,1008,1007,1005,10,9,3,27,11,,0.00,6,Rain,161<br />
2009-1-6,32,28,24,25,24,23,100,79,59,1008,1006,1004,10,10,10,27,8,,0.00,7,,146<br />
2009-1-7,32,28,25,24,23,22,89,75,55,1008,1006,1003,10,10,10,24,10,,0.00,5,Rain,174<br />
2009-1-8,31,28,25,25,24,23,94,80,66,1006,1004,1003,10,10,7,16,8,,0.00,5,Rain,187<br />
2009-1-9,29,27,24,25,24,21,100,87,66,1005,1003,1001,10,8,2,26,13,,0.00,6,Rain,160<br />
2009-1-10,27,24,22,26,23,21,100,93,83,1006,1004,1002,10,6,1,24,13,,0.00,6,Rain,197<br />
2009-1-11,28,26,23,23,22,20,100,85,62,1007,1005,1004,10,8,1,27,14,,0.00,7,Rain,161<br />
2009-1-12,27,24,23,26,24,22,100,96,89,1005,1001,999,10,4,0,34,19,60,0.00,6,Rain-Thunderstorm,143<br />
2009-1-13,29,26,23,24,23,21,100,85,62,1005,1001,999,10,9,2,26,11,,0.00,5,Rain,310<br />
2009-1-14,30,27,24,24,23,22,100,80,66,1009,1006,1004,10,10,10,16,6,,0.00,2,,31<br />
2009-1-15,31,27,24,25,24,23,94,81,62,1011,1009,1008,10,9,3,21,6,,0.00,3,Rain-Thunderstorm,6<br />
2009-1-16,31,28,25,26,25,24,100,89,70,1012,1010,1009,10,10,4,24,8,,0.00,5,Rain-Thunderstorm,155<br />
2009-1-17,31,27,24,25,24,23,100,83,62,1011,1010,1008,10,10,8,16,6,,0.00,5,Rain,131<br />
2009-1-18,32,28,25,25,24,21,94,82,52,1012,1010,1008,10,8,2,29,11,,0.00,6,Rain,144<br />
2009-1-19,31,27,23,25,23,21,100,84,62,1013,1010,1008,10,8,1,34,14,,0.00,6,Rain,148<br />
2009-1-20,29,27,24,25,23,21,100,88,78,1013,1010,1008,10,6,1,24,14,,0.00,6,Rain,163<br />
2009-1-21,32,27,23,24,23,22,100,75,55,1011,1010,1007,10,10,9,26,14,,0.00,4,Rain,143<br />
2009-1-22,31,27,24,26,24,23,100,81,66,1010,1009,1006,10,10,10,16,8,,0.00,4,Rain,315<br />
2009-1-23,31,28,25,25,24,23,100,84,70,1011,1010,1007,10,10,6,14,6,,0.00,6,Rain,319<br />
2009-1-24,31,28,25,25,24,23,94,82,62,1011,1009,1006,10,10,10,16,6,,0.00,5,,359<br />
2009-1-25,31,28,25,26,24,23,100,81,66,1010,1008,1006,10,10,5,14,6,,0.00,6,Rain,5<br />
2009-1-26,31,28,25,25,23,22,100,79,58,1010,1009,1007,10,10,4,26,13,,0.00,6,Rain,151<br />
2009-1-27,31,28,25,23,22,21,83,73,58,1010,1008,1005,10,10,10,29,16,,0.00,6,Rain,152<br />
2009-1-28,31,27,23,23,22,20,94,76,52,1009,1007,1004,10,9,5,26,18,,0.00,6,Rain,155<br />
2009-1-29,31,27,23,23,22,21,94,77,58,1008,1006,1003,10,10,5,26,18,,0.00,5,Rain,152<br />
2009-1-30,32,28,24,25,23,22,94,81,58,1005,1003,1001,10,9,4,26,11,,0.00,5,Rain,175<br />
2009-1-31,25,24,24,24,23,23,100,94,89,1005,1003,1001,10,7,3,34,21,50,0.00,8,Rain,173<br />
2009-2-1,27,26,24,24,23,22,100,89,74,1002,1000,998,10,9,3,26,8,45,0.00,8,Rain-Thunderstorm,260<br />
2009-2-2,31,28,26,26,24,22,94,81,66,1001,1000,998,10,10,7,24,14,,0.00,6,Rain,303<br />
2009-2-3,29,27,25,26,25,24,100,93,79,1002,1000,998,10,8,0,16,6,,0.00,6,Rain,172<br />
2009-2-4,30,27,24,25,24,23,100,93,74,1002,1000,998,10,7,0,19,10,,0.00,6,Rain,152<br />
2009-2-5,31,27,24,25,24,23,100,86,66,1002,1000,998,10,9,2,32,11,,0.00,6,Rain,162<br />
2009-2-6,30,27,24,26,24,23,100,91,70,1002,999,998,10,7,1,24,14,,0.00,6,Rain,148<br />
2009-2-7,29,27,25,26,26,24,100,92,84,1006,1003,1000,10,8,0,24,10,,0.00,6,Rain-Thunderstorm,337<br />
2009-2-8,30,27,24,27,25,24,100,92,79,1008,1005,1003,10,9,3,16,6,,0.00,5,Rain-Thunderstorm,316<br />
2009-2-9,30,28,25,26,25,24,100,90,74,1009,1008,1006,10,10,3,21,5,,0.00,6,Rain,331<br />
2009-2-10,30,28,25,26,25,24,100,88,74,1010,1008,1007,10,9,4,19,8,,0.00,6,Rain,326<br />
2009-2-11,31,28,25,26,25,22,100,84,58,1010,1008,1006,10,9,1,24,10,,0.00,6,Fog-Rain-Thunderstorm,333<br />
2009-2-12,30,28,25,26,24,23,100,86,74,1009,1008,1006,10,10,6,16,10,,0.00,6,Rain,328<br />
