
AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,27,19,12,6,4,1,58,32,14,1008,1004,1001,10,10,10,42,19,63,0.00,,,307<br />
2009-1-2,24,18,12,7,0,-9,67,33,6,1021,1012,1006,10,10,10,35,14,,0.00,1,,351<br />
2009-1-3,26,18,10,11,7,4,82,54,16,1021,1019,1013,31,11,10,23,11,,0.00,4,,58<br />
2009-1-4,30,20,10,14,12,8,94,59,18,1019,1015,1010,31,12,10,23,8,,0.00,5,,146<br />
2009-1-5,31,23,15,14,4,-6,82,34,4,1015,1012,1009,31,12,10,26,10,39,0.00,,,302<br />
2009-1-6,34,22,10,8,2,-9,71,30,4,1014,1011,1007,10,9,0,32,10,,0.00,,,293<br />
2009-1-7,35,23,12,13,7,2,58,32,8,1012,1009,1004,31,11,9,53,14,71,0.00,6,Rain-Thunderstorm,341<br />
2009-1-8,27,20,13,14,12,8,82,62,26,1019,1012,1007,31,12,10,37,14,,0.00,4,,65<br />
2009-1-9,21,16,11,8,6,3,72,53,21,1021,1018,1015,10,10,10,27,16,,0.00,5,,92<br />
2009-1-10,24,16,8,11,7,5,93,56,20,1019,1014,1008,31,11,10,23,11,,0.00,4,,74<br />
2009-1-11,28,19,9,15,10,7,94,57,17,1016,1012,1007,31,11,9,26,10,42,2.03,3,,57<br />
2009-1-12,26,20,13,16,13,11,95,67,34,1021,1016,1013,31,12,10,27,11,,0.25,3,,98<br />
2009-1-13,34,24,16,15,12,6,82,50,10,1021,1017,1011,31,12,10,23,8,,0.00,7,,186<br />
2009-1-14,37,26,15,14,11,6,77,38,9,1017,1013,1009,31,14,10,32,10,50,0.00,3,,313<br />
2009-1-15,37,27,17,14,8,-3,72,34,4,1015,1011,1007,31,12,10,39,14,61,0.00,,,323<br />
2009-1-16,29,22,14,13,4,-12,82,44,4,1017,1012,1008,26,11,10,37,14,58,0.00,5,,340<br />
2009-1-17,25,17,8,11,1,-8,77,38,5,1022,1019,1015,10,10,10,29,13,42,0.00,5,,127<br />
2009-1-18,29,18,8,11,6,0,93,52,9,1023,1020,1015,31,11,10,27,8,,0.00,2,,67<br />
2009-1-19,33,22,11,10,5,-2,77,38,5,1021,1016,1010,10,10,10,26,8,,0.00,,,268<br />
2009-1-20,34,24,14,21,13,5,100,55,15,1016,1013,1008,31,10,0,60,10,106,21.08,2,Rain-Hail-Thunderstorm,11<br />
2009-1-21,34,26,17,18,13,5,100,51,11,1014,1011,1007,31,13,10,29,13,,0.25,4,,340<br />
2009-1-22,29,24,19,19,16,14,94,62,31,1013,1008,1001,31,11,1,50,26,63,17.02,5,,337<br />
2009-1-23,31,24,18,20,17,13,94,68,26,1011,1008,1004,26,11,9,42,16,95,9.91,5,,350<br />
2009-1-24,29,22,16,19,12,2,100,54,13,1016,1008,1003,31,10,1,39,16,60,0.25,3,,319<br />
2009-1-25,27,21,15,14,12,10,82,62,26,1021,1019,1015,31,11,10,26,14,45,0.00,6,,75<br />
2009-1-26,31,22,13,15,12,6,94,57,17,1024,1020,1016,26,11,6,32,10,,0.00,1,,94<br />
2009-1-27,32,24,17,18,14,11,83,56,19,1023,1020,1014,18,10,10,19,10,,0.00,6,,54<br />
2009-1-28,34,26,17,18,15,11,94,52,15,1019,1017,1013,31,14,9,24,6,,0.00,3,,42<br />
2009-1-29,37,28,19,15,12,4,73,38,8,1020,1017,1013,31,15,10,21,6,,0.00,,,77<br />
2009-1-30,37,27,16,15,8,-6,82,37,4,1020,1016,1012,31,13,10,21,8,,0.00,,,59<br />
2009-1-31,38,27,16,15,11,-5,88,42,4,1019,1016,1011,31,14,10,21,6,,0.00,1,,72<br />
2009-2-1,32,26,19,16,12,7,73,43,14,1020,1017,1014,26,13,10,27,13,,0.00,,,99<br />
2009-2-2,34,26,17,16,13,8,83,51,13,1020,1014,1007,26,12,10,27,11,48,0.51,5,,121<br />
2009-2-3,30,23,17,18,16,13,88,64,30,1015,1012,1009,26,12,10,32,11,,0.25,5,,107<br />
2009-2-4,33,25,17,19,16,12,83,60,19,1015,1011,1005,31,12,10,37,8,48,0.00,6,,84<br />
2009-2-5,37,28,18,18,15,11,94,52,13,1011,1009,1004,31,13,10,32,10,,0.00,2,,138<br />
2009-2-6,40,30,21,19,12,4,64,36,6,1013,1010,1006,31,14,10,24,10,42,0.00,2,,102<br />
2009-2-7,40,30,20,19,13,8,83,39,9,1015,1012,1008,26,13,10,37,14,60,0.00,,,350<br />
2009-2-8,40,30,20,15,11,5,73,33,7,1014,1011,1006,26,11,10,26,8,32,0.00,,,258<br />
2009-2-9,26,21,14,15,13,11,83,65,37,1015,1012,1008,31,11,10,27,14,,0.00,6,Rain,81<br />
2009-2-10,22,17,12,13,11,8,94,71,44,1015,1012,1008,26,11,3,24,13,,0.00,7,Rain,126<br />
2009-2-11,22,17,11,9,7,4,72,51,21,1017,1013,1010,26,11,10,26,16,,0.25,5,,144<br />
2009-2-12,16,13,11,11,8,5,88,69,47,1025,1020,1015,31,10,5,23,14,39,3.05,6,Rain,130<br />
