
UZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,18,11,4,6,2,-3,87,61,26,1017,1014,1011,7,4,4,14,6,,0.00,,,111<br />
2010-1-2,18,11,4,6,1,-2,87,57,29,1013,1012,1012,7,5,4,14,8,,0.00,,,71<br />
2010-1-3,12,9,6,4,2,-2,76,58,41,1015,1014,1012,5,4,3,14,8,,0.00,7,,69<br />
2010-1-4,18,11,5,7,2,0,76,56,32,1015,1013,1012,10,7,3,14,8,,0.00,8,,100<br />
2010-1-5,17,12,8,7,5,3,82,62,42,1016,1015,1013,10,10,10,18,11,,0.00,5,Rain,72<br />
2010-1-6,10,6,2,5,2,0,100,78,57,1027,1021,1015,10,6,4,14,6,,0.00,8,Rain,319<br />
2010-1-7,3,1,0,2,1,-1,100,96,87,1031,1028,1027,10,4,1,11,5,,0.00,8,Fog-Rain-Snow,309<br />
2010-1-8,3,0,-3,1,-2,-6,100,86,65,1034,1033,1031,10,6,0,11,5,,0.00,7,Fog,87<br />
2010-1-9,1,-2,-5,-2,-4,-6,100,91,80,1039,1036,1033,4,2,0,14,6,,0.00,6,Fog,139<br />
2010-1-10,5,0,-5,-3,-7,-13,100,65,28,1039,1037,1033,7,2,0,14,6,,0.00,4,Fog,42<br />
2010-1-11,5,0,-5,-7,-11,-14,74,46,28,1032,1027,1022,4,4,4,14,10,,0.00,,,89<br />
2010-1-12,12,3,-4,0,-7,-11,69,50,24,1022,1017,1013,7,6,4,18,8,,0.00,,,73<br />
2010-1-13,12,6,1,-1,-5,-11,75,45,25,1021,1017,1012,10,9,4,18,11,,0.00,5,,163<br />
2010-1-14,14,9,4,5,1,-4,75,58,44,1020,1019,1017,10,6,4,29,8,,0.00,6,,40<br />
2010-1-15,12,9,7,7,5,0,87,73,50,1024,1021,1018,10,8,4,18,10,,0.00,7,Rain,59<br />
2010-1-16,18,12,7,7,4,2,81,63,37,1024,1022,1020,10,8,4,18,11,,0.00,6,,85<br />
2010-1-17,13,6,-1,5,2,-2,100,74,47,1034,1026,1020,10,7,2,21,11,,0.00,7,Rain-Snow,245<br />
2010-1-18,-2,-4,-6,-2,-5,-7,100,92,74,1039,1037,1034,10,7,1,14,10,,0.00,6,Snow,223<br />
2010-1-19,1,-3,-7,-4,-6,-8,100,84,60,1037,1030,1024,7,4,1,6,5,,0.00,8,,160<br />
2010-1-20,8,2,-4,3,-2,-6,100,77,52,1024,1020,1018,10,5,3,14,6,,0.00,7,Rain,23<br />
2010-1-21,14,8,2,6,4,1,100,80,51,1022,1020,1017,5,4,2,14,5,,0.00,6,Rain,290<br />
2010-1-22,11,8,5,8,6,4,100,88,67,1021,1019,1016,3,2,1,11,5,,0.00,7,Rain,118<br />
2010-1-23,13,10,7,9,7,6,100,92,72,1023,1021,1020,3,2,0,21,6,,0.00,7,Fog-Rain,311<br />
2010-1-24,7,6,6,7,6,5,100,97,87,1024,1023,1023,3,2,0,11,5,,0.00,8,Fog-Rain,236<br />
2010-1-25,13,8,4,7,5,3,100,85,58,1024,1022,1017,5,3,0,14,5,,0.00,8,Fog,35<br />
2010-1-26,14,8,3,6,2,-3,100,70,38,1017,1014,1011,10,5,0,14,8,,0.00,6,Fog,90<br />
2010-1-27,10,8,5,7,5,3,93,85,66,1022,1018,1013,10,5,2,26,11,,0.00,6,Rain,339<br />
2010-1-28,5,2,-1,3,1,-1,100,95,87,1024,1022,1018,10,5,1,21,13,40,0.00,8,Rain-Snow,329<br />
2010-1-29,6,2,-1,2,0,-1,100,92,66,1025,1023,1022,4,3,1,14,5,,0.00,8,Snow,226<br />
2010-1-30,14,7,1,5,1,-1,100,71,38,1022,1020,1019,10,6,0,18,8,29,0.00,5,Fog,63<br />
2010-1-31,13,9,4,4,1,-3,81,60,46,1022,1021,1019,10,6,3,18,8,,0.00,6,,101<br />
2010-2-1,15,9,3,2,0,-3,87,56,34,1022,1021,1020,10,5,4,14,8,,0.00,6,,81<br />
2010-2-2,16,9,3,0,-3,-6,70,45,27,1019,1019,1018,7,5,4,14,10,,0.00,,,69<br />
2010-2-3,10,8,5,7,1,-5,93,69,46,1018,1017,1017,10,7,3,14,8,,0.00,7,Rain,106<br />
2010-2-4,8,6,4,6,4,3,100,88,76,1018,1016,1014,10,5,0,14,6,,0.00,7,Fog,203<br />
2010-2-5,11,7,4,6,4,3,100,86,62,1014,1008,1004,5,4,2,18,6,,0.00,7,Rain,223<br />
2010-2-6,7,3,1,7,3,0,100,96,87,1022,1016,1006,10,4,2,21,10,,0.00,8,Rain-Snow,260<br />
2010-2-7,2,1,0,1,0,-1,100,94,81,1023,1021,1019,10,5,2,11,8,,0.00,8,Snow,307<br />
2010-2-8,0,-2,-4,0,-2,-5,100,95,86,1028,1023,1020,10,4,1,18,8,,0.00,8,Snow,258<br />
2010-2-9,-3,-6,-7,-5,-8,-9,93,82,64,1031,1029,1028,5,4,3,18,11,29,0.00,8,Snow,340<br />
2010-2-10,1,-4,-8,-4,-7,-10,93,79,69,1028,1027,1025,4,3,2,14,5,,0.00,1,,144<br />
2010-2-11,2,-1,-4,-1,-4,-7,93,81,64,1028,1027,1025,5,4,3,11,5,,0.00,8,Snow,177<br />
2010-2-12,0,-2,-3,-1,-2,-3,100,97,93,1030,1029,1027,4,2,1,11,6,,0.00,8,Fog-Snow,243<br />
2010-2-13,-2,-4,-7,-3,-5,-8,100,93,80,1034,1032,1030,5,3,1,14,6,,0.00,8,Snow,250<br />
2010-2-14,-5,-7,-8,-7,-8,-9,100,90,74,1040,1037,1035,5,3,2,11,5,,0.00,8,Snow,170<br />
2010-2-15,-3,-8,-12,-8,-10,-13,100,85,59,1039,1036,1032,3,2,0,11,6,,0.00,5,Fog,139<br />
2010-2-16,1,-6,-11,-6,-9,-12,100,79,48,1032,1027,1020,4,2,0,11,6,,0.00,8,Fog,88<br />
2010-2-17,9,1,-7,0,-5,-11,86,62,34,1020,1016,1014,10,5,1,14,6,29,0.00,8,Rain,74<br />
2010-2-18,9,7,4,6,4,0,100,87,66,1021,1019,1015,10,6,3,18,10,,0.00,8,Rain,113<br />
2010-2-19,11,8,5,8,7,5,100,92,67,1017,1015,1014,10,6,1,18,11,,0.00,8,Rain,76<br />
