
AFT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,17,8,0,1,-1,-3,87,55,26,1017,1015,1012,10,10,10,14,6,,0.00,,,69<br />
2010-1-2,11,8,5,8,4,0,93,77,57,1018,1015,1013,10,9,5,11,6,,0.00,6,Rain,144<br />
2010-1-3,16,11,7,7,4,1,100,70,39,1022,1020,1018,10,10,10,26,10,45,0.00,5,Rain,177<br />
2010-1-4,19,10,1,4,1,-2,87,59,24,1024,1021,1019,,,,11,5,,0.00,,,85<br />
2010-1-5,17,9,1,3,1,-2,93,67,27,1021,1020,1019,,,,10,6,,0.00,,,271<br />
2010-1-6,13,7,0,2,-1,-3,87,63,38,1021,1020,1018,,,,19,10,,0.00,,,258<br />
2010-1-7,9,4,-2,-1,-3,-4,86,70,46,1027,1024,1021,8,8,8,21,10,,0.00,,,249<br />
2010-1-8,10,2,-5,0,-3,-6,93,62,37,1028,1026,1025,8,8,8,14,6,,0.00,,,260<br />
2010-1-9,9,3,-3,-2,-3,-5,93,67,43,1030,1028,1026,10,10,10,24,10,,0.00,,,262<br />
2010-1-10,8,1,-6,-4,-6,-7,93,67,37,1029,1027,1025,,,,16,10,,0.00,,,278<br />
2010-1-11,8,0,-8,-4,-7,-10,93,68,34,1026,1024,1022,8,7,7,11,6,,0.00,,,243<br />
2010-1-12,14,4,-6,-5,-8,-12,86,55,16,1024,1023,1021,,,,10,6,,0.00,,,228<br />
2010-1-13,13,4,-4,-6,-8,-11,69,46,18,1026,1024,1023,,,,11,6,,0.00,,,14<br />
2010-1-14,18,8,-1,-4,-7,-14,64,38,11,1024,1022,1019,10,8,7,19,8,32,0.00,2,,234<br />
2010-1-15,18,8,-2,-3,-6,-9,74,40,16,1026,1024,1022,10,9,7,8,5,,0.00,,,29<br />
2010-1-16,18,10,3,-2,-4,-8,61,41,19,1028,1026,1024,10,9,6,11,6,,0.00,,,301<br />
2010-1-17,18,9,1,0,-3,-5,65,46,24,1030,1028,1027,7,7,7,11,5,,0.00,,,301<br />
2010-1-18,12,6,-1,2,0,-3,87,69,50,1032,1030,1028,8,8,8,16,8,,0.00,,,320<br />
2010-1-19,17,7,-3,2,0,-4,93,53,26,1026,1022,1019,8,7,5,10,3,,0.00,,,189<br />
2010-1-20,6,4,3,0,-1,-1,75,70,66,1020,1019,1019,10,10,10,11,8,,0.00,,,130<br />
2010-1-21,18,14,10,5,1,-4,67,41,24,1021,1019,1017,10,8,4,11,6,,0.00,4,Rain,86<br />
2010-1-22,19,11,3,6,3,0,87,57,32,1021,1019,1018,10,10,8,10,6,,0.00,3,Rain,317<br />
2010-1-23,10,6,2,7,4,1,100,85,71,1025,1021,1018,10,8,4,23,10,,0.00,5,Rain,280<br />
2010-1-24,14,7,1,5,3,0,100,76,41,1024,1022,1021,10,4,0,11,5,,0.00,3,Fog,292<br />
2010-1-25,18,9,1,4,1,-3,93,64,26,1022,1019,1015,10,10,10,11,6,,0.00,,,58<br />
2010-1-26,20,13,6,8,2,-1,100,50,24,1017,1013,1011,10,8,3,45,26,66,0.00,2,Rain-Thunderstorm,180<br />
2010-1-27,11,7,3,7,4,-1,100,82,62,1018,1016,1015,10,9,7,24,13,,0.00,3,Rain-Thunderstorm,252<br />
2010-1-28,6,3,0,-1,-3,-7,81,70,42,1022,1020,1018,10,10,10,16,8,,0.00,4,,269<br />
2010-1-29,15,6,-4,-1,-4,-11,93,58,17,1023,1021,1020,10,10,10,14,5,,0.00,1,,114<br />
2010-1-30,16,8,1,2,-3,-7,81,49,20,1022,1020,1019,10,10,8,14,5,,0.00,4,Rain,36<br />
2010-1-31,14,8,2,2,1,-2,87,64,33,1024,1022,1020,10,9,8,14,10,,0.00,1,,248<br />
2010-2-1,15,7,-1,0,-2,-4,87,59,27,1021,1019,1018,10,9,8,10,5,,0.00,,,38<br />
2010-2-2,16,10,4,2,0,-2,75,53,29,1019,1018,1017,10,8,5,19,5,,0.00,3,,57<br />
2010-2-3,20,11,3,4,1,-4,87,55,20,1019,1017,1015,10,10,10,14,6,,0.00,2,,240<br />
2010-2-4,14,10,6,9,5,1,82,69,54,1016,1014,1010,10,9,6,21,10,,0.00,4,Rain,98<br />
2010-2-5,19,14,11,10,8,5,88,64,48,1011,1008,1005,10,7,3,50,26,69,0.00,3,Rain-Thunderstorm,192<br />
