
SDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-3-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-3-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
