
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,0,-6,-11,-5,-10,-14,93,72,51,1020,1016,1013,6,4,3,21,8,,0.00,0,,52<br />
2010-1-2,-5,-7,-9,-6,-9,-11,93,83,68,1029,1026,1020,7,5,2,18,13,,0.00,5,Snow,103<br />
2010-1-3,-5,-8,-11,-6,-9,-13,100,91,85,1028,1022,1018,6,2,1,32,14,,0.00,8,Fog-Snow,90<br />
2010-1-4,-10,-12,-15,-11,-18,-22,93,60,48,1033,1028,1022,7,4,3,40,23,50,0.00,5,Snow,331<br />
2010-1-5,-10,-14,-19,-19,-23,-26,78,52,38,1035,1033,1031,6,5,4,29,18,,0.00,0,,342<br />
2010-1-6,-10,-14,-18,-19,-22,-24,78,52,38,1035,1034,1033,8,7,4,18,8,,0.00,0,,356<br />
2010-1-7,-7,-12,-18,-16,-18,-21,85,63,45,1037,1034,1032,8,4,1,11,5,,0.00,0,,355<br />
2010-1-8,-4,-10,-15,-11,-15,-19,93,71,39,1032,1028,1025,5,3,2,11,3,,0.00,0,,53<br />
2010-1-9,-4,-9,-14,-12,-13,-16,92,72,50,1034,1029,1026,7,4,1,18,8,,0.00,,,347<br />
2010-1-10,-2,-9,-15,-9,-13,-16,92,71,47,1034,1032,1030,6,2,1,21,5,,0.00,0,Fog,286<br />
2010-1-11,-5,-8,-11,-13,-17,-19,58,48,39,1036,1034,1032,7,7,7,40,26,,0.00,,,337<br />
2010-1-12,-9,-11,-12,-18,-21,-23,57,44,35,1033,1030,1027,,,,47,21,61,0.00,,,330<br />
2010-1-13,-5,-10,-15,-17,-20,-23,62,46,31,1033,1031,1027,7,6,4,32,18,,0.00,0,,316<br />
2010-1-14,-3,-8,-13,-11,-15,-17,79,60,43,1032,1025,1021,7,4,2,26,10,,0.00,0,,355<br />
2010-1-15,0,-6,-12,-11,-14,-18,86,56,29,1040,1037,1032,8,5,2,21,13,,0.00,0,,46<br />
2010-1-16,1,-4,-10,-7,-9,-12,93,77,38,1037,1033,1030,6,4,2,11,6,,0.00,0,,185<br />
2010-1-17,-1,-6,-11,-3,-8,-12,100,92,80,1032,1029,1026,2,1,0,6,5,,0.00,0,Fog,1<br />
2010-1-18,2,-4,-10,-4,-7,-11,93,81,56,1029,1027,1025,2,1,0,11,5,,0.00,0,Fog,28<br />
2010-1-19,1,-1,-2,0,-1,-3,100,94,86,1024,1020,1018,1,1,0,11,6,,0.00,,Fog,27<br />
2010-1-20,1,-2,-5,0,-6,-15,100,72,46,1036,1029,1020,10,4,0,32,14,,0.00,7,Fog,10<br />
2010-1-21,-3,-7,-10,-15,-17,-20,53,42,31,1038,1036,1034,7,7,7,35,27,,0.00,,,328<br />
2010-1-22,-1,-4,-7,-14,-16,-18,46,40,34,1036,1034,1032,7,7,7,47,23,,0.00,,,324<br />
2010-1-23,2,-3,-7,-12,-14,-16,54,39,26,1033,1028,1023,6,6,6,21,10,,0.00,0,,272<br />
2010-1-24,5,-2,-8,-11,-14,-17,68,38,21,1029,1021,1017,8,5,3,50,13,72,0.00,0,,286<br />
2010-1-25,1,-4,-8,-15,-19,-23,46,30,15,1036,1033,1030,7,5,3,35,23,,0.00,0,,309<br />
2010-1-26,6,-1,-7,-6,-13,-16,69,41,23,1031,1025,1019,8,5,3,21,11,,0.00,0,,205<br />
2010-1-27,7,3,-1,-6,-9,-11,69,43,29,1021,1016,1013,6,5,3,29,10,,0.00,0,,311<br />
2010-1-28,2,-2,-5,-4,-13,-20,93,49,20,1028,1026,1021,10,7,4,29,14,,0.00,1,,341<br />
2010-1-29,6,1,-3,-7,-13,-20,69,42,15,1028,1023,1020,8,5,3,18,8,,0.00,0,,251<br />
2010-1-30,7,1,-4,-8,-13,-19,64,38,14,1021,1020,1018,8,5,3,21,6,,0.00,0,,293<br />
2010-1-31,7,1,-4,-4,-12,-17,86,46,18,1027,1024,1021,8,6,4,32,14,,0.00,0,,4<br />
2010-2-1,-1,-4,-7,-5,-8,-10,86,76,51,1028,1027,1026,10,10,10,29,13,,0.00,3,,103<br />
2010-2-2,-1,-6,-10,-7,-10,-13,93,73,40,1030,1029,1027,7,6,4,14,6,,0.00,0,,27<br />
2010-2-3,0,-4,-9,-7,-11,-16,93,64,30,1030,1029,1027,8,5,2,14,8,,0.00,0,,300<br />
2010-2-4,2,-3,-7,-9,-13,-21,80,50,18,1028,1027,1024,8,5,4,14,8,,0.00,0,,2<br />
2010-2-5,-1,-3,-6,-6,-9,-11,93,72,51,1034,1030,1027,8,5,3,21,13,,0.00,,,100<br />
2010-2-6,-2,-6,-10,-4,-8,-12,100,77,55,1034,1031,1026,10,7,3,26,10,,0.00,4,Snow,88<br />
2010-2-7,-2,-3,-5,-4,-4,-6,100,92,86,1026,1023,1020,3,2,1,11,6,,0.00,8,Snow,29<br />
2010-2-8,1,-1,-3,-2,-3,-5,93,84,70,1021,1019,1017,3,2,2,11,5,,0.00,8,,30<br />
2010-2-9,0,-2,-4,-2,-7,-12,93,67,41,1028,1024,1021,10,5,1,32,14,,0.00,7,Snow,92<br />
2010-2-10,1,-2,-4,-7,-11,-21,80,57,20,1033,1030,1028,7,7,7,21,8,,0.00,,,53<br />
2010-2-11,-2,-4,-6,-8,-15,-18,74,44,29,1037,1035,1033,,,,18,8,,0.00,,,359<br />
2010-2-12,0,-4,-9,-10,-16,-22,80,47,19,1038,1035,1032,8,7,5,14,6,,0.00,0,,37<br />
2010-2-13,3,-4,-11,-6,-11,-14,80,59,33,1032,1029,1027,6,4,2,18,8,,0.00,0,,197<br />
2010-2-14,0,-4,-8,-7,-14,-21,74,43,20,1035,1032,1028,7,3,2,26,13,,0.00,,,332<br />
2010-2-15,0,-6,-11,-13,-19,-26,57,36,13,1037,1035,1033,,,,32,13,35,0.00,,,342<br />
2010-2-16,3,-3,-9,-7,-13,-17,80,46,24,1035,1031,1026,8,6,4,21,10,,0.00,0,,215<br />
2010-2-17,1,-1,-3,-5,-16,-24,75,39,14,1028,1026,1023,6,3,3,43,18,61,0.00,,,289<br />
2010-2-18,4,-1,-5,-12,-18,-20,47,26,16,1028,1024,1021,8,5,5,18,10,,0.00,0,,249<br />
2010-2-19,11,3,-3,-7,-14,-17,64,30,13,1021,1017,1014,8,6,5,21,13,,0.00,0,,236<br />
2010-2-20,13,4,-4,-2,-6,-13,93,55,29,1016,1013,1009,7,5,3,21,10,,0.00,0,,144<br />
2010-2-21,14,4,-5,-1,-5,-16,100,66,12,1019,1013,1010,6,3,1,29,11,,0.00,0,Fog,31<br />
2010-2-22,4,0,-4,-4,-6,-7,93,72,48,1022,1019,1013,8,6,4,21,13,,0.00,0,,99<br />
2010-2-23,10,2,-5,1,-3,-7,100,81,54,1013,1007,1002,5,2,0,14,6,,0.00,0,Fog,57<br />
2010-2-24,5,1,-2,3,1,-2,100,91,81,1009,1004,1001,6,2,0,21,10,40,0.00,4,Fog,62<br />
2010-2-25,7,3,-1,3,-2,-6,93,73,39,1021,1016,1010,8,3,2,26,10,35,0.00,3,,132<br />
2010-2-26,4,0,-3,-5,-9,-14,86,54,30,1023,1021,1020,,,,21,10,,0.00,,,97<br />
2010-2-27,0,-1,-2,-4,-7,-12,80,66,41,1021,1019,1016,10,10,10,26,13,,0.00,8,Snow,80<br />
2010-2-28,3,-1,-4,-3,-4,-9,100,79,48,1027,1022,1019,10,4,1,32,13,,0.00,7,Snow,63<br />
2010-3-1,1,-4,-8,-4,-7,-12,100,74,38,1027,1023,1019,8,4,2,18,8,,0.00,3,Snow,210<br />
2010-3-2,8,2,-3,-4,-7,-11,86,55,25,1025,1021,1018,7,5,3,35,13,,0.00,,,283<br />
2010-3-3,7,2,-2,-3,-6,-12,86,61,25,1026,1023,1020,8,5,2,18,10,,0.00,,,166<br />
2010-3-4,10,4,-1,2,-2,-4,87,67,43,1020,1016,1012,8,4,2,21,10,,0.00,7,Rain,188<br />
2010-3-5,5,2,-2,2,-12,-23,87,45,13,1033,1026,1017,7,4,2,43,23,50,0.00,8,Rain,10<br />
2010-3-6,1,-2,-5,-6,-11,-18,80,56,29,1036,1034,1032,10,10,10,26,11,,0.00,,Snow,138<br />
2010-3-7,1,-3,-6,-8,-11,-18,86,60,25,1038,1036,1034,8,7,6,26,11,40,0.00,0,,123<br />
2010-3-8,-2,-3,-5,-4,-7,-10,93,78,59,1041,1040,1038,10,5,1,21,11,,0.00,5,Snow,35<br />
2010-3-9,1,-3,-6,-6,-17,-23,86,37,15,1041,1035,1029,10,10,10,40,27,55,0.00,6,Snow,332<br />
2010-3-10,9,3,-3,-11,-14,-19,51,31,13,1029,1022,1017,,,,26,11,40,0.00,,,242<br />
2010-3-11,12,4,-3,0,-5,-11,75,51,30,1016,1010,1003,8,4,2,21,11,,0.00,0,,191<br />
2010-3-12,9,6,2,0,-11,-19,81,37,12,1026,1017,1005,2,2,2,47,24,64,0.00,,,10<br />
2010-3-13,7,3,0,-3,-8,-12,70,47,27,1029,1026,1024,,,,29,19,35,0.00,,,105<br />
2010-3-14,3,1,0,0,-1,-3,100,87,70,1024,1020,1018,10,3,0,21,14,,0.00,7,Fog-Rain-Snow,51<br />
2010-3-15,5,2,0,-1,-9,-15,93,46,26,1027,1023,1019,8,3,2,64,24,87,0.00,4,,315<br />
2010-3-16,9,3,-3,-5,-9,-14,75,42,20,1026,1023,1021,7,5,4,26,11,,0.00,0,,164<br />
2010-3-17,7,2,-2,-3,-7,-13,86,56,23,1028,1026,1024,10,8,6,26,13,,0.00,1,,102<br />
2010-3-18,8,2,-3,2,-2,-8,93,73,32,1027,1021,1012,7,4,1,29,13,43,0.00,4,,200<br />
2010-3-19,7,6,4,5,4,2,100,92,81,1012,1004,1000,2,1,1,18,11,,0.00,8,Fog,195<br />
2010-3-20,10,7,4,5,-4,-17,93,52,14,1018,1008,999,10,3,1,58,19,87,0.00,6,,309<br />
2010-3-21,14,8,3,-1,-6,-11,65,40,20,1018,1014,1010,8,7,6,35,16,,0.00,,,180<br />
2010-3-22,15,10,5,1,-5,-12,70,41,15,1021,1013,1010,8,4,2,47,14,58,0.00,,,286<br />
2010-3-23,12,6,1,-2,-7,-11,75,41,22,1025,1022,1019,,,,29,16,,0.00,,,161<br />
2010-3-24,9,6,3,-2,-6,-8,61,45,30,1028,1023,1020,10,8,8,35,18,21,0.00,8,Rain,145<br />
2010-3-25,8,4,1,-2,-12,-21,75,35,12,1030,1026,1023,10,9,6,35,16,55,0.00,1,,304<br />
2010-3-26,16,9,2,-5,-9,-16,56,30,10,1023,1019,1015,7,6,5,26,13,40,0.00,0,,244<br />
2010-3-27,7,3,0,0,-7,-12,75,50,29,1028,1026,1019,7,5,4,35,23,35,0.00,0,,111<br />
2010-3-28,15,7,-2,2,-5,-10,80,50,17,1030,1027,1024,8,7,5,18,6,,0.00,0,,206<br />
2010-3-29,16,9,3,6,2,-2,76,58,41,1026,1024,1021,5,3,2,29,11,,0.00,0,Rain,180<br />
2010-3-30,17,12,7,5,4,2,76,58,37,1022,1017,1014,7,5,2,29,13,40,0.00,,,164<br />
2010-3-31,18,13,9,7,4,-8,76,56,24,1017,1014,1011,8,4,2,40,11,,0.00,,,270<br />
2010-4-1,13,9,5,-9,-16,-22,29,17,8,1023,1020,1017,,,,40,29,50,0.00,,,330<br />
2010-4-2,12,8,4,-9,-14,-21,39,21,10,1023,1020,1017,8,7,3,58,18,68,0.00,0,,300<br />
2010-4-3,19,10,2,1,-4,-12,65,37,23,1023,1017,1010,8,7,6,32,14,43,0.00,0,,191<br />
2010-4-4,21,14,8,4,-1,-12,66,42,10,1011,1010,1008,8,6,4,26,14,35,0.00,0,,179<br />
2010-4-5,10,8,5,5,3,2,81,75,58,1024,1014,1009,10,5,3,35,23,,0.00,7,Rain,84<br />
2010-4-6,15,8,2,3,-7,-16,93,45,11,1028,1026,1024,7,5,3,32,11,50,0.00,0,,310<br />
2010-4-7,20,13,6,-1,-6,-10,49,30,12,1026,1022,1016,8,7,6,40,23,61,0.00,0,,223<br />
2010-4-8,22,14,7,3,1,-1,61,39,23,1016,1009,1004,7,6,6,35,19,58,0.00,0,,196<br />
2010-4-9,14,10,6,4,3,2,81,64,44,1015,1011,1009,10,6,4,50,19,68,0.00,0,,138<br />
2010-4-10,13,9,5,3,-1,-5,76,56,31,1021,1018,1015,8,5,3,29,14,32,0.00,,Rain,115<br />
2010-4-11,9,7,4,3,-2,-3,81,56,43,1020,1017,1014,10,9,7,14,8,26,0.00,8,Rain,107<br />
2010-4-12,11,7,4,3,-7,-15,93,42,16,1025,1017,1013,10,9,4,58,19,79,0.00,2,Rain,338<br />
2010-4-13,11,6,2,-9,-16,-19,34,21,11,1029,1027,1025,,,,40,24,58,0.00,,,321<br />
2010-4-14,12,7,3,-1,-6,-12,61,40,18,1030,1027,1023,8,6,4,29,11,43,0.00,0,,215<br />
2010-4-15,13,8,3,3,1,0,87,62,44,1025,1021,1018,5,3,2,29,21,40,0.00,0,,216<br />
2010-4-16,13,9,6,6,4,2,87,72,54,1024,1019,1017,7,4,2,26,18,,0.00,2,Rain,163<br />
2010-4-17,14,8,3,6,4,3,100,76,51,1024,1021,1017,4,3,1,26,13,,0.00,0,,112<br />
2010-4-18,21,13,7,10,7,5,93,70,43,1017,1013,1009,3,2,1,21,8,,0.00,0,,101<br />
2010-4-19,16,12,9,12,9,7,88,81,67,1018,1014,1010,8,3,1,29,14,,0.00,6,Rain,111<br />
2010-4-20,18,12,6,8,2,-4,100,59,22,1022,1019,1018,7,4,1,26,10,,0.00,0,Fog,94<br />
2010-4-21,17,13,11,4,-1,-7,62,38,19,1022,1021,1019,7,7,7,26,11,43,0.00,,,33<br />
2010-4-22,13,10,8,8,6,3,87,71,54,1022,1020,1019,10,7,3,26,14,,0.00,4,Rain,352<br />
2010-4-23,21,13,7,5,-4,-12,81,35,11,1022,1020,1018,8,6,3,21,11,35,0.00,0,,292<br />
2010-4-24,23,16,9,6,3,-4,62,39,25,1020,1017,1014,8,6,4,32,18,61,0.00,0,,215<br />
2010-4-25,22,16,9,8,4,-1,87,51,24,1017,1015,1012,10,7,4,32,23,50,0.00,2,Rain,207<br />
2010-4-26,17,12,7,6,-3,-11,76,45,17,1017,1013,1008,10,9,8,40,23,61,0.00,8,Rain,323<br />
2010-4-27,15,10,5,-6,-10,-13,31,24,18,1011,1009,1006,10,10,10,43,27,47,0.00,1,,316<br />
2010-4-28,15,10,6,-5,-9,-11,39,24,16,1014,1012,1009,,,,43,32,64,0.00,,,321<br />
2010-4-29,20,14,9,-3,-7,-9,34,24,13,1017,1013,1011,,,,43,23,64,0.00,,,318<br />
2010-4-30,23,17,12,-2,-6,-9,38,21,11,1017,1014,1011,,,,29,18,32,0.00,,,284<br />
2010-5-1,31,22,14,9,1,-4,46,28,10,1011,1007,1003,8,7,6,32,23,55,0.00,0,,242<br />
2010-5-2,31,24,18,14,7,-1,73,39,13,1006,1002,1000,8,6,4,29,18,43,0.00,0,,285<br />
2010-5-3,22,18,15,10,9,-2,72,57,20,1009,1007,1005,8,5,4,32,19,50,0.00,4,Thunderstorm,99<br />
2010-5-4,24,18,12,17,14,11,100,82,65,1005,1002,1000,5,2,1,32,16,47,0.00,4,Rain-Thunderstorm,99<br />
2010-5-5,26,20,14,18,11,0,94,62,32,1003,998,995,10,4,1,47,21,68,0.00,3,Rain,289<br />
2010-5-6,26,19,13,3,1,-3,44,29,15,1009,1006,1003,,,,47,29,64,0.00,,,293<br />
2010-5-7,27,21,16,12,6,3,64,37,21,1007,1004,1002,8,6,4,26,14,,0.00,,,249<br />
2010-5-8,25,20,15,13,8,5,88,53,28,1009,1007,1005,7,5,3,40,16,55,0.00,0,,109<br />
2010-5-9,22,16,11,10,4,-6,82,50,16,1010,1007,1003,10,6,3,35,18,55,0.00,1,Rain-Thunderstorm,344<br />
