
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,3,-6,-12,-6,-12,-14,85,77,48,1021,1020,1017,10,1,1,35,6,40,0.00,4,,237<br />
2010-1-2,-1,-7,-13,-7,-12,-15,92,82,63,1020,1018,1014,4,2,1,14,6,,0.00,0,,20<br />
2010-1-3,-5,-8,-11,-8,-9,-12,93,88,80,1020,1019,1018,2,2,1,6,5,,0.00,7,,325<br />
2010-1-4,-5,-6,-7,-6,-7,-9,93,93,86,1020,1019,1017,2,1,0,11,3,,0.00,7,Fog,351<br />
2010-1-5,-3,-6,-7,-4,-6,-7,100,94,93,1019,1016,1014,1,1,0,11,5,,0.00,6,Fog-Snow,330<br />
2010-1-6,8,2,-3,0,-2,-6,93,69,39,1018,1016,1011,8,5,1,43,14,61,0.00,6,,160<br />
2010-1-7,6,-1,-8,-1,-5,-9,100,80,36,1024,1018,1010,10,7,0,43,18,58,0.00,5,Fog-Rain-Snow,50<br />
2010-1-8,-1,-3,-5,-2,-4,-7,100,88,74,1029,1025,1022,10,5,1,11,5,,0.00,7,Snow,284<br />
2010-1-9,-4,-7,-10,-4,-8,-12,100,87,74,1038,1033,1029,10,6,2,14,6,,0.00,5,Snow,259<br />
2010-1-10,-7,-11,-14,-9,-12,-16,93,83,73,1045,1042,1039,10,7,0,11,6,,0.00,5,Fog-Snow,200<br />
2010-1-11,-15,-18,-21,-16,-19,-23,92,86,78,1044,1038,1032,10,2,0,11,6,,0.00,4,Fog-Snow,257<br />
2010-1-12,-15,-18,-20,-17,-20,-22,92,83,72,1031,1026,1022,8,4,2,6,3,,0.00,1,Snow,282<br />
2010-1-13,-13,-17,-20,-17,-19,-22,92,82,67,1024,1022,1020,4,2,0,11,5,,0.00,1,Fog,334<br />
2010-1-14,-7,-12,-17,-13,-17,-19,85,79,63,1024,1022,1020,8,3,1,14,5,,0.00,,,358<br />
2010-1-15,-7,-12,-16,-12,-15,-17,92,80,68,1024,1022,1019,3,2,1,11,5,,0.00,0,,299<br />
2010-1-16,-3,-9,-14,-10,-13,-16,86,74,54,1028,1026,1020,8,3,1,32,6,50,0.00,0,,249<br />
2010-1-17,-8,-11,-14,-11,-13,-15,92,83,73,1027,1017,1010,3,1,0,14,6,,0.00,2,Fog-Snow,41<br />
2010-1-18,-1,-8,-15,-8,-12,-16,93,86,51,1041,1028,1011,10,3,1,47,11,,0.00,7,Snow,316<br />
2010-1-19,-13,-18,-23,-15,-20,-25,92,84,78,1050,1046,1041,10,5,2,11,5,,0.00,6,Snow,290<br />
2010-1-20,-22,-23,-26,-24,-26,-28,84,81,77,1051,1050,1050,10,5,2,11,5,,0.00,1,Snow,304<br />
2010-1-21,-21,-24,-29,-25,-28,-32,84,76,70,1050,1046,1043,7,4,2,14,3,,0.00,1,,232<br />
