
IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,16,8,0,-12,-14,-18,38,21,10,1017,1014,1011,8,5,2,8,3,,0.00,5,,320<br />
2011-1-2,13,7,1,-1,-11,-18,65,31,10,1021,1017,1013,10,10,10,19,6,,0.00,5,,129<br />
2011-1-3,7,3,0,0,-1,-4,81,70,57,1022,1020,1020,10,9,6,11,5,,0.00,5,,132<br />
2011-1-4,10,3,-4,-1,-3,-7,93,66,40,1023,1020,1019,8,5,3,14,3,,0.00,0,,342<br />
2011-1-5,14,6,-2,-4,-6,-8,69,43,21,1018,1017,1015,10,6,4,11,3,,0.00,5,,239<br />
2011-1-6,10,6,2,-2,-5,-8,65,46,28,1025,1021,1017,10,7,5,19,5,,0.00,6,,102<br />
2011-1-7,9,6,2,-2,-2,-5,75,58,37,1028,1026,1021,10,7,6,14,6,,0.00,3,,117<br />
2011-1-8,10,4,-1,-2,-4,-6,80,55,35,1027,1025,1023,10,8,5,11,6,,0.00,1,,110<br />
2011-1-9,10,3,-3,-5,-6,-8,74,50,32,1024,1022,1021,10,9,7,11,5,,0.00,6,,128<br />
2011-1-10,4,2,0,1,-1,-6,100,85,49,1020,1017,1015,10,4,0,19,5,,0.00,8,Fog-Snow,160<br />
2011-1-11,2,0,-2,0,-2,-3,100,93,81,1023,1022,1019,10,5,1,19,11,,0.00,7,Snow,136<br />
2011-1-12,2,-1,-3,-2,-3,-6,100,82,65,1022,1021,1019,8,4,1,14,8,,0.00,4,Snow,123<br />
2011-1-13,2,-1,-4,-3,-6,-8,93,68,48,1023,1021,1020,10,8,0,23,8,,0.00,4,Fog-Snow,194<br />
2011-1-14,4,-1,-6,-4,-7,-9,100,67,45,1023,1021,1018,7,2,0,14,5,,0.00,7,Fog,127<br />
2011-1-15,7,1,-5,-4,-7,-10,80,55,31,1018,1017,1015,10,9,8,14,8,,0.00,7,,162<br />
2011-1-16,8,4,0,0,-3,-5,80,63,53,1015,1012,1010,10,9,6,23,10,,0.00,5,,340<br />
2011-1-17,8,3,-1,-2,-4,-5,80,60,40,1023,1019,1015,10,10,10,34,18,,0.00,2,,314<br />
2011-1-18,9,2,-5,-2,-5,-9,100,64,34,1023,1020,1018,7,5,0,14,3,,0.00,0,Fog,14<br />
2011-1-19,10,4,-2,-3,-5,-6,75,54,32,1018,1016,1013,,,,11,5,,0.00,,,311<br />
2011-1-20,7,2,-3,-3,-4,-6,86,61,42,1022,1019,1015,10,9,6,23,8,,0.00,4,,132<br />
2011-1-21,9,4,-1,-3,-4,-7,86,58,32,1026,1023,1021,10,7,4,23,6,,0.00,1,,38<br />
2011-1-22,9,2,-4,-3,-5,-7,86,62,34,1027,1025,1022,8,6,5,8,5,,0.00,0,,112<br />
2011-1-23,6,1,-3,-3,-4,-6,93,69,49,1028,1026,1024,8,6,3,23,5,,0.00,0,,107<br />
2011-1-24,10,3,-4,-3,-4,-7,100,62,32,1025,1022,1020,8,4,0,11,8,,0.00,2,Fog,275<br />
2011-1-25,13,4,-3,-5,-7,-11,80,46,18,1021,1020,1018,8,7,5,19,5,,0.00,0,,269<br />
2011-1-26,15,7,-1,6,-7,-10,71,38,18,1020,1017,1016,8,7,6,23,6,,0.00,,,194<br />
2011-1-27,14,8,2,-2,-5,-7,60,41,25,1018,1017,1015,8,8,5,14,8,,0.00,6,,310<br />
2011-1-28,16,8,0,-2,-4,-6,75,44,23,1018,1016,1014,10,9,8,26,8,,0.00,6,,299<br />
2011-1-29,12,6,1,0,-1,-3,81,59,44,1019,1016,1014,10,7,6,14,8,,0.00,0,,131<br />
2011-1-30,11,6,2,3,0,-2,87,65,47,1016,1014,1013,8,7,5,14,6,,0.00,5,Rain,271<br />
2011-1-31,18,9,0,7,0,-2,93,56,26,1016,1011,1008,10,6,2,34,6,,0.00,4,,284<br />
2011-2-1,16,11,7,5,2,0,71,52,39,1011,1009,1007,10,8,5,32,11,,0.00,6,Rain,229<br />
2011-2-2,10,8,5,6,4,3,93,82,66,1014,1010,1006,10,8,1,26,10,,0.00,6,Rain,359<br />
2011-2-3,8,3,-1,6,3,-7,100,93,64,1013,1007,1001,10,3,0,34,19,,0.00,8,Fog-Rain,96<br />
