
ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,26,21,16,14,14,13,88,64,47,1014,1012,1008,6,5,3,3,3,,0.00,2,,159<br />
2011-1-2,28,22,16,16,15,14,100,64,42,1014,1011,1009,7,5,3,8,3,,0.00,2,,300<br />
2011-1-3,29,23,17,27,18,16,100,69,51,1014,1011,1009,6,4,2,8,3,,0.00,1,,169<br />
2011-1-4,29,24,19,18,18,16,88,63,48,1016,1013,1010,8,6,4,8,5,,0.00,2,,105<br />
2011-1-5,29,23,18,20,18,16,88,66,55,1014,1011,1008,7,5,2,3,3,,0.00,2,,144<br />
2011-1-6,30,24,19,26,20,17,88,73,58,1015,1013,1009,8,6,3,8,5,,0.00,1,,98<br />
2011-1-7,30,23,17,26,16,13,84,62,48,1018,1015,1011,10,10,8,8,5,,0.00,1,,88<br />
2011-1-8,27,21,16,16,14,13,82,62,47,1017,1015,1011,7,6,5,3,3,,0.00,2,,74<br />
2011-1-9,26,22,18,20,18,16,88,73,54,1015,1012,1003,7,5,2,8,3,,0.00,5,,104<br />
2011-1-10,26,21,17,17,14,13,82,65,47,1016,1013,1010,8,6,3,14,8,,0.00,5,,108<br />
2011-1-11,23,19,15,16,15,13,100,85,53,1015,1012,1011,7,4,2,11,6,,0.00,7,,70<br />
2011-1-12,24,20,16,17,16,14,88,74,65,1016,1012,1009,8,6,2,8,5,,0.00,3,,73<br />
2011-1-13,27,21,16,16,14,13,82,62,47,1015,1012,1009,8,6,2,23,5,,0.00,2,,354<br />
2011-1-14,27,21,15,18,17,14,100,69,57,1015,1011,1008,7,5,2,8,5,,0.00,2,,80<br />
2011-1-15,27,21,15,18,16,14,94,69,48,1018,1015,1013,8,5,2,19,8,,0.00,3,,89<br />
2011-1-16,25,20,15,15,13,10,72,63,53,1019,1015,1012,6,4,2,11,6,,0.00,1,,91<br />
2011-1-17,24,18,13,14,12,10,88,61,47,1019,1016,1013,7,5,2,11,5,,0.00,2,,91<br />
2011-1-18,26,20,15,20,17,13,88,72,61,1017,1014,1011,8,6,2,8,5,,0.00,1,,149<br />
2011-1-19,28,21,15,17,15,14,94,66,45,1017,1013,1009,8,5,2,11,5,,0.00,3,,149<br />
2011-1-20,28,22,17,17,16,15,94,63,45,1015,1011,1007,7,5,2,3,3,,0.00,2,,62<br />
2011-1-21,28,23,18,16,14,13,83,63,42,1015,1013,1009,7,5,2,8,5,,0.00,3,,129<br />
2011-1-22,27,21,15,15,13,12,82,56,45,1017,1014,1011,7,5,2,8,5,,0.00,1,,146<br />
2011-1-23,29,23,17,18,16,14,88,60,45,1018,1014,1010,7,5,2,8,5,,0.00,1,,240<br />
2011-1-24,28,23,18,17,16,14,88,60,48,1018,1015,1012,8,6,2,8,5,,0.00,2,,102<br />
2011-1-25,28,22,17,17,14,13,78,60,42,1019,1016,1013,10,7,3,23,8,,0.00,1,,148<br />
2011-1-26,29,22,16,17,15,13,94,59,42,1019,1016,1013,8,6,2,11,5,,0.00,0,,79<br />
2011-1-27,28,23,18,18,15,14,83,60,45,1020,1016,1013,8,6,3,8,5,,0.00,5,,148<br />
2011-1-28,29,24,19,16,16,15,83,57,42,1018,1015,1013,10,7,2,23,6,,0.00,4,,98<br />
2011-1-29,29,23,18,16,13,12,68,48,35,1019,1016,1013,10,9,2,14,6,,0.00,2,,82<br />
2011-1-30,27,21,16,13,12,11,77,52,39,1020,1017,1015,6,5,2,11,5,,0.00,2,,143<br />
2011-1-31,27,21,16,13,12,11,77,52,39,1020,1017,1013,8,7,3,6,5,,0.00,3,,131<br />
2011-2-1,23,20,18,15,13,12,73,61,53,1019,1016,1014,7,5,2,8,6,,0.00,4,,29<br />
2011-2-2,27,21,15,16,13,12,88,61,42,1019,1015,1011,7,5,2,8,3,,0.00,2,,66<br />
2011-2-3,28,21,15,14,13,11,88,57,37,1018,1015,1011,8,6,3,11,5,,0.00,,,203<br />
2011-2-4,30,23,17,16,15,14,94,58,42,1017,1013,1010,7,5,2,8,5,,0.00,0,,126<br />
2011-2-5,31,23,17,16,15,13,88,55,35,1015,1013,1009,8,5,3,8,5,,0.00,1,,148<br />
2011-2-6,29,24,19,16,14,14,78,53,40,1015,1012,1008,8,6,3,11,5,,0.00,2,,112<br />
2011-2-7,31,24,18,19,17,16,94,60,40,1011,1008,1004,8,6,2,8,3,,0.00,1,,51<br />
2011-2-8,33,24,17,17,13,9,88,53,23,1008,1005,1002,8,5,2,14,5,,0.00,,,54<br />
2011-2-9,33,24,17,15,14,12,88,48,28,1008,1005,1003,8,6,3,11,5,,0.00,,,63<br />
2011-2-10,34,26,17,18,15,14,88,49,30,1010,1007,1005,7,5,2,8,5,,0.00,1,,348<br />
2011-2-11,34,27,19,18,16,14,83,58,31,1012,1009,1006,8,5,2,3,3,,0.00,1,,174<br />
2011-2-12,30,26,21,19,18,17,83,59,45,1014,1009,1007,8,5,3,14,6,,0.00,3,,124<br />
2011-2-13,29,26,22,19,19,18,83,66,51,1012,1010,1007,6,5,3,8,5,,0.00,5,,48<br />
2011-2-14,25,23,21,19,16,16,88,67,57,1016,1012,1010,6,5,2,11,8,,0.00,7,,95<br />
2011-2-15,24,22,20,18,16,15,83,69,61,1015,1013,1012,7,5,3,8,3,,0.00,5,,167<br />
2011-2-16,32,24,17,21,19,17,100,66,51,1015,1012,1008,7,5,2,8,3,,0.00,2,,138<br />
2011-2-17,34,27,20,20,19,18,94,59,38,1014,1011,1007,8,7,3,8,5,,0.00,1,,59<br />
2011-2-18,34,27,20,20,18,17,94,56,36,1012,1009,1006,8,6,2,8,5,,0.00,1,,46<br />
2011-2-19,35,29,23,21,19,17,88,53,34,1012,1009,1006,8,6,2,8,3,,0.00,2,,160<br />
2011-2-20,33,27,22,20,19,18,83,56,41,1020,1011,1008,8,5,2,11,5,,0.00,2,,113<br />
2011-2-21,31,26,22,21,18,17,73,60,46,1015,1012,1009,8,6,3,19,6,,0.00,4,,104<br />
2011-2-22,32,27,22,23,21,19,88,65,49,1014,1011,1008,8,5,2,8,3,,0.00,2,,127<br />
2011-2-23,31,28,25,22,21,21,83,67,55,1013,1011,1008,8,6,2,10,5,,0.00,4,Rain,41<br />
2011-2-24,32,27,22,22,21,20,94,63,49,1013,1010,1006,8,6,3,11,5,,0.00,2,,87<br />
2011-2-25,35,29,23,22,21,20,88,59,41,1012,1008,1004,8,6,2,8,5,,0.00,2,,35<br />
2011-2-26,29,26,23,21,19,19,78,70,58,1012,1010,1008,7,5,2,29,11,,0.00,4,Rain,12<br />
2011-2-27,32,29,27,20,18,16,62,50,38,1018,1011,1007,8,6,2,11,6,,0.00,5,,99<br />
2011-2-28,35,29,23,21,19,17,88,55,39,1011,1008,1005,8,5,3,3,3,,0.00,0,,344<br />
2011-3-1,35,30,25,21,19,17,65,48,41,1011,1008,1004,8,7,2,11,5,,0.00,1,,126<br />
2011-3-2,31,27,23,20,18,17,73,59,43,1015,1011,1009,8,6,3,11,5,,0.00,4,,102<br />
2011-3-3,32,27,22,20,18,18,78,55,43,1013,1010,1007,8,7,2,3,3,,0.00,0,,99<br />
2011-3-4,31,26,22,17,17,16,73,55,40,1014,1011,1007,8,6,3,8,5,,0.00,3,,155<br />
2011-3-5,33,27,22,20,18,17,73,52,43,1013,1010,1006,8,6,2,8,5,,0.00,1,,106<br />
2011-3-6,35,28,22,20,19,18,88,55,41,1012,1008,1005,8,6,2,8,5,,0.00,1,,355<br />
2011-3-7,36,30,25,22,21,19,83,52,37,1011,1008,1005,8,6,2,19,5,,0.00,2,,103<br />
2011-3-8,27,24,23,18,17,15,73,61,54,1014,1012,1010,6,5,2,11,10,,0.00,6,,88<br />
2011-3-9,31,26,22,20,18,15,78,60,42,1016,1013,1009,8,6,3,8,5,,0.00,3,,100<br />
2011-3-10,32,27,22,22,18,16,69,54,43,1017,1014,1010,8,7,2,8,5,,0.00,2,,100<br />
2011-3-11,31,26,21,18,17,16,78,55,43,1016,1013,1009,8,7,3,14,6,,0.00,2,,108<br />
2011-3-12,32,26,21,18,17,16,73,53,43,1014,1010,1007,7,6,2,8,5,,0.00,2,,97<br />
2011-3-13,33,27,22,19,18,17,73,55,41,1014,1010,1007,8,6,3,8,5,,0.00,3,,126<br />
2011-3-14,36,30,24,22,20,18,83,58,36,1011,1008,1004,7,5,3,19,6,,0.00,4,Rain-Thunderstorm,111<br />
2011-3-15,25,23,22,22,21,19,100,85,69,1014,1012,1009,5,3,1,8,5,,0.00,6,Rain,359<br />
2011-3-16,18,17,15,15,14,13,88,85,82,1016,1015,1013,5,4,2,8,6,,0.00,6,Rain,26<br />
2011-3-17,15,14,14,14,13,13,94,93,88,1019,1017,1015,7,5,3,11,8,,0.00,6,Rain,331<br />
2011-3-18,20,18,15,16,16,15,100,89,73,1017,1014,1011,6,4,1,98,6,,0.00,6,Rain,191<br />
2011-3-19,30,24,18,20,18,16,88,64,51,1014,1010,1007,10,9,2,8,3,,0.00,2,,112<br />
2011-3-20,34,27,21,20,19,17,88,58,36,1011,1008,1005,10,8,3,11,5,,0.00,2,,307<br />
2011-3-21,35,28,22,21,18,16,78,50,32,1011,1008,1005,10,9,2,8,3,,0.00,2,,340<br />
2011-3-22,36,29,23,20,16,11,73,44,22,1011,1008,1005,10,9,2,8,5,,0.00,2,,58<br />
2011-3-23,30,27,23,18,18,17,73,58,45,1015,1013,1011,10,9,3,11,6,,0.00,6,,96<br />
2011-3-24,31,26,21,19,18,17,88,59,46,1016,1012,1009,8,6,2,8,5,,0.00,1,,60<br />
2011-3-25,30,25,20,19,16,14,78,52,40,1018,1014,1011,8,6,2,19,8,,0.00,3,,93<br />
2011-3-26,29,24,20,15,13,12,64,48,40,1018,1015,1011,10,7,3,19,13,,0.00,6,,102<br />
2011-3-27,24,21,19,18,14,12,83,63,47,1018,1016,1014,6,5,2,14,8,,0.00,6,,18<br />
2011-3-28,23,20,17,15,12,11,77,58,47,1018,1016,1014,6,4,2,14,5,,0.00,6,,43<br />
2011-3-29,19,17,16,15,14,11,94,77,64,1021,1018,1017,6,4,2,3,3,,0.00,5,Rain,310<br />
2011-3-30,22,18,15,16,15,14,94,80,64,1019,1017,1014,5,4,2,8,3,,0.00,6,,173<br />
2011-3-31,28,22,17,20,16,15,88,65,51,1017,1014,1010,8,6,2,3,3,,0.00,3,,185<br />
2011-4-1,33,26,18,20,18,17,94,61,41,1022,1012,1007,8,6,3,8,5,,0.00,1,,150<br />
2011-4-2,34,27,21,20,19,18,88,57,38,1012,1009,1006,8,7,4,8,3,,0.00,1,,71<br />
2011-4-3,34,29,24,21,19,15,83,57,43,1012,1009,1005,8,6,3,8,5,,0.00,2,,126<br />
2011-4-4,35,29,24,23,22,20,89,58,47,1011,1008,1005,7,6,3,19,5,,0.00,2,Thunderstorm,122<br />
2011-4-5,32,28,25,21,20,18,69,59,52,1014,1011,1008,8,7,2,11,6,,0.00,4,,84<br />
2011-4-6,33,28,24,24,22,21,83,66,55,1013,1010,1006,8,6,2,3,3,,0.00,2,,100<br />
2011-4-7,32,29,26,24,23,21,89,71,58,1013,1011,1008,7,5,3,19,8,,0.00,6,Thunderstorm,60<br />
2011-4-8,34,29,24,23,22,21,89,63,49,1014,1011,1008,7,5,2,8,5,,0.00,2,,93<br />
2011-4-9,33,29,25,21,20,19,74,56,46,1016,1013,1011,7,5,2,8,6,,0.00,3,,87<br />
2011-4-10,30,26,24,21,19,18,73,66,54,1017,1015,1005,8,5,3,11,5,,0.00,5,,157<br />
2011-4-11,34,29,24,22,19,18,89,56,46,1014,1011,1007,10,8,4,3,3,,0.00,2,,147<br />
2011-4-12,33,28,23,21,19,17,69,54,43,1014,1011,1008,8,6,2,8,3,,0.00,1,,127<br />
2011-4-13,30,27,24,20,18,18,73,63,51,1015,1014,1012,7,5,2,8,5,,0.00,4,,118<br />
2011-4-14,34,29,24,23,22,21,89,66,46,1012,1009,1005,7,5,3,3,3,,0.00,3,,131<br />
2011-4-15,36,30,25,23,22,20,89,57,39,1009,1007,1004,8,5,3,8,5,,0.00,2,,270<br />
2011-4-16,36,30,25,23,23,22,89,57,44,1010,1008,1006,8,6,2,3,3,,0.00,1,,219<br />
2011-4-17,38,32,27,25,22,21,79,54,39,1010,1007,1003,10,7,2,29,5,,0.00,3,,355<br />
2011-4-18,37,31,25,24,22,21,83,58,42,1008,1005,1002,10,8,4,3,3,,0.00,2,,3<br />
2011-4-19,30,28,25,22,20,17,74,63,45,1013,1010,1007,7,5,3,8,5,,0.00,6,,4<br />
2011-4-20,34,29,25,21,21,20,74,58,46,1012,1010,1007,7,5,2,8,5,,0.00,4,,109<br />
2011-4-21,35,30,25,24,22,21,83,61,46,1015,1011,1006,8,6,2,3,3,,0.00,2,,84<br />
2011-4-22,35,30,26,24,23,23,83,63,52,1010,1008,1004,8,6,3,11,5,,0.00,2,,331<br />
2011-4-23,29,27,25,24,23,22,89,79,70,1011,1010,1007,6,5,2,14,8,,0.00,6,Rain,24<br />
2011-4-24,32,27,23,23,21,20,89,61,49,1014,1010,1007,8,6,2,8,5,,0.00,4,,299<br />
2011-4-25,35,29,24,21,20,19,78,56,44,1012,1010,1006,8,6,2,8,3,,0.00,1,,49<br />
