
CAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,32,29,26,24,23,20,89,69,52,1014,1013,1011,10,10,10,26,10,,0.00,3,,87<br />
2011-1-2,33,29,25,24,23,22,89,71,55,1014,1012,1009,10,10,10,32,14,,0.00,2,,62<br />
2011-1-3,32,29,26,25,23,20,89,71,52,1017,1013,1011,10,10,10,23,6,,0.00,3,,109<br />
2011-1-4,29,27,24,23,22,21,89,76,66,1018,1016,1014,10,10,2,19,14,,0.00,6,Rain,157<br />
2011-1-5,29,26,22,22,22,19,94,80,58,1015,1013,1012,10,8,1,24,10,,0.00,6,Rain,178<br />
2011-1-6,27,23,21,22,21,20,100,85,69,1013,1012,1010,10,8,1,26,18,47,0.00,7,Rain,198<br />
2011-1-7,29,24,21,24,21,20,94,80,58,1012,1010,1006,10,10,10,26,18,,0.00,5,,209<br />
2011-1-8,31,26,22,23,22,20,89,74,55,1009,1007,1005,10,10,10,19,13,,0.00,4,,179<br />
2011-1-9,32,27,23,25,23,22,94,78,55,1007,1006,1004,10,9,7,23,6,,0.00,3,Rain,95<br />
2011-1-10,31,28,25,24,24,23,94,80,66,1012,1008,1006,10,10,5,19,6,35,0.00,5,Rain,149<br />
2011-1-11,31,27,23,23,21,17,94,71,43,1016,1013,1011,10,10,10,27,19,47,0.00,5,,192<br />
2011-1-12,29,26,23,21,20,19,88,68,55,1015,1013,1012,10,10,10,26,19,,0.00,6,,183<br />
2011-1-13,28,24,22,24,23,20,94,86,74,1012,1010,1008,10,8,2,23,13,,0.00,7,Rain,181<br />
2011-1-14,31,27,24,25,24,23,94,84,70,1009,1007,1004,10,9,1,19,6,,0.00,5,Rain,79<br />
2011-1-15,28,24,23,25,23,22,100,90,74,1013,1010,1007,10,7,2,26,10,,0.00,2,Rain-Thunderstorm,204<br />
2011-1-17,31,27,24,25,23,21,94,79,66,1013,1011,1010,10,9,4,26,10,,0.00,5,Rain,198<br />
2011-1-18,32,27,23,26,23,21,94,77,55,1013,1011,1007,10,10,10,19,13,,0.00,5,,173<br />
2011-1-19,34,29,25,25,24,22,94,77,49,1011,1009,1006,10,10,8,19,10,,0.00,3,,162<br />
2011-1-20,36,30,25,26,24,22,94,74,44,1010,1007,1005,10,10,10,29,8,,0.00,2,Thunderstorm,64<br />
2011-1-21,30,28,25,23,22,20,83,70,58,1012,1010,1009,10,10,10,185,21,,0.00,5,Rain,187<br />
2011-1-22,36,30,24,25,23,22,89,68,44,1011,1007,1003,10,10,2,24,10,,0.00,2,,29<br />
2011-1-23,35,30,26,26,24,20,89,74,56,1012,1008,1006,10,10,10,29,11,48,0.00,3,,137<br />
2011-1-24,32,28,24,24,22,19,94,72,52,1012,1011,1009,10,9,5,24,16,39,0.00,6,Rain,196<br />
2011-1-25,31,27,23,22,22,21,94,75,55,1011,1009,1006,10,10,10,16,13,,0.00,5,,177<br />
2011-1-26,27,24,23,23,22,20,94,87,74,1007,1006,1004,10,9,4,13,8,,0.00,7,Rain,213<br />
2011-1-27,31,27,23,23,21,19,94,74,55,1013,1008,1005,10,10,10,19,8,,0.00,6,,183<br />
2011-1-28,29,26,23,22,20,19,83,69,55,1015,1013,1012,10,10,8,23,16,,0.00,5,,175<br />
