
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,-22,-27,-32,-26,-32,-37,71,65,63,1017,1014,1012,24,19,2,10,2,,0.00,5,Snow,71<br />
2011-1-2,-16,-19,-22,-19,-21,-25,85,78,71,1019,1018,1017,24,22,16,8,2,,0.00,7,Snow,132<br />
2011-1-3,-16,-18,-20,-18,-19,-23,92,84,78,1016,1016,1016,24,16,2,14,3,,0.00,8,Snow,83<br />
2011-1-4,-20,-21,-23,-23,-26,-27,78,73,71,1016,1015,1010,24,24,24,19,10,27,0.00,6,Snow,91<br />
2011-1-5,-18,-20,-23,-23,-25,-28,71,67,65,1010,1007,1006,24,17,4,26,19,34,0.00,7,Snow,89<br />
2011-1-6,-20,-22,-25,-25,-27,-30,71,66,64,1025,1015,1008,24,23,16,24,13,,0.00,7,Snow,82<br />
2011-1-7,-22,-26,-29,-27,-31,-34,70,64,58,1030,1028,1025,24,24,24,11,5,,0.00,3,,43<br />
2011-1-8,-21,-24,-28,-25,-29,-33,71,65,63,1039,1035,1030,24,24,24,13,5,,0.00,4,,22<br />
2011-1-9,-15,-20,-26,-19,-22,-31,78,72,64,1044,1042,1039,24,24,16,11,10,,0.00,7,Snow,352<br />
2011-1-10,-18,-19,-21,-22,-23,-25,78,70,66,1045,1042,1037,24,20,6,10,5,,0.00,8,Snow,75<br />
2011-1-11,-17,-21,-25,-21,-23,-29,78,72,64,1039,1037,1035,24,15,3,16,6,,0.00,7,Snow,133<br />
2011-1-12,-25,-30,-35,-30,-38,-41,70,61,56,1040,1038,1036,24,24,24,16,13,,0.00,2,,328<br />
2011-1-13,-35,-36,-37,-41,-41,-42,62,59,56,1042,1038,1036,24,23,16,14,8,,0.00,5,Snow,305<br />
2011-1-14,-35,-37,-39,-41,-42,-43,67,61,55,1047,1046,1042,24,24,24,8,3,,0.00,2,Snow,305<br />
2011-1-15,-32,-34,-38,-37,-39,-43,68,61,56,1045,1035,1024,24,24,24,10,3,,0.00,3,Snow,258<br />
2011-1-16,-25,-29,-34,-29,-34,-39,70,64,62,1024,1020,1020,24,23,6,11,5,,0.00,5,Snow,290<br />
2011-1-17,-27,-30,-33,-31,-34,-38,70,65,62,1020,1019,1016,24,22,8,13,5,,0.00,2,Fog-Snow,178<br />
2011-1-18,-27,-31,-35,-31,-34,-37,83,68,63,1019,1016,1014,24,22,8,14,6,,0.00,4,Snow,290<br />
2011-1-19,-27,-29,-32,-31,-34,-36,70,67,63,1027,1024,1020,24,23,5,14,8,,0.00,1,Snow,278<br />
2011-1-20,-30,-33,-36,-34,-37,-41,69,64,62,1020,1015,1012,24,24,24,14,5,,0.00,0,,242<br />
2011-1-21,-33,-37,-41,-37,-42,-45,74,66,60,1021,1019,1015,24,21,3,14,5,,0.00,2,Snow,61<br />
2011-1-22,-24,-28,-32,-27,-31,-36,77,70,63,1014,1006,996,24,22,6,19,13,,0.00,5,Snow,92<br />
2011-1-23,-22,-22,-24,-25,-27,-29,77,71,64,1016,1007,996,24,15,3,19,13,,0.00,6,Snow,324<br />
2011-1-24,-24,-27,-30,-29,-31,-35,70,64,58,1018,1014,1010,24,15,2,16,11,,0.00,5,Snow,48<br />
2011-1-25,-22,-26,-30,-26,-31,-35,71,64,58,1019,1011,1007,24,24,24,19,10,,0.00,4,Snow,95<br />
2011-1-26,-18,-19,-21,-21,-23,-25,85,78,71,1009,1009,1007,24,21,8,19,8,,0.00,8,Snow,92<br />
2011-1-27,-16,-18,-23,-19,-22,-29,85,74,59,1025,1012,1008,24,22,5,23,10,27,0.00,7,Snow,26<br />
2011-1-28,-24,-30,-37,-29,-36,-43,75,61,50,1041,1036,1027,24,24,24,23,11,,0.00,3,,25<br />
2011-1-29,-28,-34,-41,-33,-41,-46,74,63,51,1046,1044,1041,24,23,10,3,0,,0.00,0,,55<br />
2011-1-30,-28,-34,-40,-33,-39,-46,69,62,55,1046,1044,1042,24,19,2,11,2,,0.00,0,,118<br />
2011-1-31,-21,-27,-33,-25,-31,-38,77,67,62,1042,1032,1021,24,21,5,19,13,27,0.00,1,Snow,148<br />
2011-2-1,-15,-20,-24,-18,-24,-28,78,73,70,1021,1014,1002,24,24,24,19,6,,0.00,3,,143<br />
2011-2-2,-6,-12,-18,-7,-13,-21,100,88,78,1007,1004,999,24,17,0,14,5,,0.00,3,Fog,239<br />
2011-2-3,-5,-9,-12,-5,-8,-12,100,99,93,1006,1002,998,24,20,0,13,3,,0.00,6,Fog-Snow,30<br />
2011-2-4,-6,-11,-16,-6,-9,-19,100,92,72,1022,1010,1005,24,19,2,27,5,29,0.00,8,Snow,34<br />
2011-2-5,-16,-20,-25,-20,-25,-30,77,69,64,1039,1033,1024,24,24,24,21,13,29,0.00,1,,310<br />
2011-2-6,-21,-26,-32,-25,-30,-38,83,71,52,1039,1035,1026,24,23,3,14,3,,0.00,1,,149<br />
2011-2-7,-17,-20,-23,-20,-24,-27,84,76,65,1035,1030,1025,24,24,24,23,10,34,0.00,1,Snow,297<br />
2011-2-8,-23,-29,-35,-28,-33,-41,69,62,46,1037,1036,1031,24,24,24,19,8,,0.00,1,,330<br />
2011-2-9,-23,-28,-33,-29,-34,-39,70,63,57,1030,1019,1011,24,24,24,14,5,,0.00,2,,86<br />
2011-2-10,-19,-23,-27,-24,-27,-32,71,67,64,1011,1006,1002,24,19,2,24,8,29,0.00,5,Snow,289<br />
2011-2-11,-22,-26,-31,-27,-31,-36,71,65,58,1015,1013,1008,24,24,24,14,6,,0.00,4,Snow,315<br />
2011-2-12,-20,-21,-23,-26,-27,-28,71,66,60,1007,1003,998,24,19,6,24,10,35,0.00,7,Snow,71<br />
2011-2-13,-19,-20,-22,-23,-25,-26,78,69,65,1004,1001,998,24,11,2,19,10,,0.00,7,Snow,98<br />
2011-2-14,-23,-27,-33,-27,-32,-38,71,62,53,1020,1013,1005,24,23,5,26,13,,0.00,3,Snow,316<br />
2011-2-15,-28,-33,-38,-34,-38,-43,69,61,56,1022,1021,1020,24,24,24,10,5,,0.00,2,,339<br />
2011-2-16,-25,-30,-36,-31,-36,-42,70,62,56,1021,1020,1019,24,24,24,10,3,,0.00,3,,292<br />
2011-2-17,-25,-29,-33,-30,-35,-39,70,63,57,1029,1023,1021,24,24,24,14,8,,0.00,1,,289<br />
2011-2-18,-28,-34,-39,-33,-38,-44,63,60,55,1033,1031,1025,24,24,24,27,8,37,0.00,0,Snow,158<br />
2011-2-19,-19,-23,-28,-23,-27,-33,77,68,63,1023,1017,1012,24,21,3,24,16,37,0.00,6,Snow,129<br />
2011-2-20,-15,-19,-23,-18,-24,-27,92,73,65,1013,1012,1009,24,24,24,10,5,,0.00,4,Snow,40<br />
2011-2-21,-16,-19,-23,-19,-23,-25,84,73,65,1009,1006,1004,24,17,3,23,5,,0.00,6,Snow,321<br />
2011-2-22,-19,-22,-26,-23,-27,-31,92,73,64,1029,1019,1009,24,22,13,23,18,34,0.00,2,Snow,329<br />
2011-2-23,-22,-23,-26,-25,-29,-32,84,67,53,1043,1038,1030,24,24,24,27,19,47,0.00,2,Snow,325<br />
2011-2-24,-16,-23,-30,-18,-28,-37,85,73,52,1043,1031,1016,24,16,2,19,6,34,0.00,5,Snow,208<br />
2011-2-25,-2,-10,-18,-3,-13,-21,100,85,78,1015,1002,985,24,16,2,27,10,37,0.00,7,Snow,226<br />
2011-2-26,-3,-13,-24,-5,-15,-29,86,76,64,1009,995,985,24,17,3,45,27,60,0.00,6,Snow,323<br />
2011-2-27,-24,-27,-29,-27,-31,-35,84,62,40,1021,1016,1010,24,15,3,29,21,40,0.00,5,Snow,312<br />
2011-2-28,-24,-28,-32,-29,-36,-44,70,51,31,1029,1026,1022,24,23,16,19,13,,0.00,2,Snow,306<br />
2011-3-1,-23,-27,-31,-30,-33,-37,63,59,54,1034,1032,1030,24,24,24,16,10,,0.00,1,,299<br />
2011-3-2,-22,-27,-33,-30,-34,-39,64,58,48,1033,1030,1028,24,24,24,14,6,,0.00,0,,289<br />
2011-3-3,-24,-30,-37,-31,-37,-42,64,57,47,1038,1032,1029,24,24,24,11,5,,0.00,1,,340<br />
2011-3-4,-25,-32,-39,-34,-39,-44,62,55,40,1044,1042,1039,24,24,24,10,3,,0.00,1,,36<br />
2011-3-5,-22,-30,-39,-30,-36,-45,68,57,46,1042,1041,1038,24,24,24,16,5,,0.00,1,,314<br />
2011-3-6,-22,-27,-32,-28,-31,-38,65,61,52,1038,1030,1021,24,24,24,14,5,,0.00,3,,165<br />
2011-3-7,-13,-19,-24,-18,-24,-29,78,67,57,1020,1015,1012,24,21,4,26,8,32,0.00,4,Snow,288<br />
2011-3-8,-14,-22,-29,-20,-26,-34,78,66,56,1020,1018,1015,24,24,24,19,5,27,0.00,2,Fog-Snow,271<br />
2011-3-9,-18,-26,-33,-22,-37,-42,72,49,38,1031,1028,1018,24,23,5,19,13,37,0.00,2,Snow,310<br />
2011-3-10,-27,-33,-40,-36,-39,-44,68,56,40,1034,1032,1030,24,24,24,11,6,,0.00,0,,336<br />
2011-3-11,-25,-33,-41,-32,-37,-45,91,58,44,1036,1034,1031,24,23,10,11,3,,0.00,3,Snow,95<br />
2011-3-12,-19,-23,-27,-25,-29,-31,70,62,55,1030,1024,1021,24,20,5,14,10,,0.00,4,Snow,65<br />
2011-3-13,-18,-24,-30,-25,-29,-34,69,60,51,1021,1020,1019,24,23,16,14,8,,0.00,2,Snow,350<br />
2011-3-14,-18,-24,-30,-23,-30,-36,71,62,55,1021,1020,1019,24,19,4,11,8,,0.00,5,Snow,32<br />
2011-3-15,-17,-21,-24,-24,-27,-30,71,63,54,1020,1019,1019,24,19,5,19,11,,0.00,3,Snow,32<br />
2011-3-16,-16,-23,-30,-22,-29,-35,64,59,55,1020,1016,1012,24,24,24,23,16,,0.00,3,Snow,102<br />
2011-3-17,-10,-13,-16,-13,-16,-19,79,75,67,1022,1015,1012,24,15,5,23,11,,0.00,7,Snow,119<br />
2011-3-18,-14,-18,-21,-18,-21,-25,78,67,56,1027,1026,1023,24,22,8,11,8,,0.00,4,Snow,331<br />
2011-3-19,-12,-21,-29,-19,-24,-34,78,66,56,1030,1026,1025,24,21,3,3,0,,0.00,2,Snow,45<br />
2011-3-20,-12,-19,-27,-21,-26,-31,77,62,48,1036,1034,1030,24,24,24,11,2,,0.00,0,,54<br />
2011-3-21,-9,-17,-24,-16,-22,-28,71,65,57,1034,1029,1025,24,24,24,19,14,27,0.00,0,Snow,133<br />
2011-3-22,1,-8,-16,-6,-12,-20,78,67,60,1024,1022,1020,24,24,24,23,13,34,0.00,1,,128<br />
2011-3-23,1,-1,-3,-1,-4,-7,100,86,69,1022,1021,1020,24,21,3,23,18,27,0.00,5,Snow,147<br />
2011-3-24,4,-1,-6,0,-5,-9,100,78,39,1022,1020,1017,24,20,3,19,10,,0.00,6,Snow,121<br />
2011-3-25,0,-3,-6,-7,-10,-13,69,58,47,1016,1016,1015,24,24,24,21,14,27,0.00,7,,141<br />
2011-3-26,0,-3,-6,-7,-9,-13,69,61,51,1015,1014,1014,24,24,24,23,11,27,0.00,4,,135<br />
2011-3-27,0,-6,-11,-4,-8,-13,86,77,68,1016,1015,1014,24,24,24,14,8,,0.00,5,,143<br />
2011-3-28,3,0,-3,-3,-5,-7,80,74,60,1017,1016,1015,24,24,24,19,11,27,0.00,6,,144<br />
2011-3-29,0,-3,-6,-2,-4,-8,100,85,74,1014,1011,1007,24,23,13,11,5,,0.00,8,Snow,101<br />
2011-3-30,2,-1,-4,-2,-4,-8,100,81,60,1006,1000,998,24,20,3,10,5,,0.00,5,Snow,71<br />
2011-3-31,2,-4,-10,-3,-7,-12,93,76,56,1003,999,998,24,23,8,10,2,,0.00,4,Snow,64<br />
2011-4-1,1,-1,-3,-2,-5,-7,93,77,56,1010,1007,1004,24,22,8,19,3,27,0.00,7,Snow,321<br />
2011-4-2,-2,-6,-9,-3,-8,-12,93,78,64,1019,1015,1010,24,20,5,19,11,,0.00,6,Snow,338<br />
2011-4-3,-6,-9,-11,-11,-12,-14,86,74,68,1019,1015,1009,24,24,24,19,6,,0.00,5,Snow,115<br />
2011-4-4,-1,-6,-11,-6,-12,-16,74,68,64,1008,1003,1000,24,24,24,19,13,,0.00,7,,74<br />
2011-4-5,1,-4,-9,-4,-9,-13,93,75,68,999,997,997,24,23,16,19,8,,0.00,6,Snow,45<br />
2011-4-6,-2,-7,-11,-6,-8,-13,93,79,64,1010,1003,998,24,24,13,23,8,,0.00,5,Snow,341<br />
2011-4-7,-5,-11,-16,-12,-15,-19,79,72,54,1016,1014,1010,24,24,24,14,8,,0.00,1,Snow,57<br />
2011-4-8,3,-4,-11,0,-6,-15,87,79,70,1007,995,990,24,24,10,26,16,34,0.00,6,Snow,212<br />
2011-4-9,0,-5,-10,-2,-7,-12,100,86,69,1000,998,997,24,19,2,21,8,27,0.00,6,Snow,77<br />
2011-4-10,-6,-10,-14,-8,-11,-18,93,80,68,1008,1001,996,24,12,1,24,14,27,0.00,7,Snow,9<br />
2011-4-11,-13,-17,-21,-20,-23,-27,78,61,48,1025,1016,1009,24,24,24,23,14,,0.00,1,,14<br />
2011-4-12,-12,-21,-29,-24,-29,-34,64,47,29,1031,1030,1026,24,24,24,14,6,,0.00,2,,43<br />
2011-4-13,-7,-15,-23,-20,-24,-30,55,44,32,1036,1035,1032,24,24,24,19,6,,0.00,2,,61<br />
2011-4-14,-4,-11,-17,-18,-22,-25,56,43,24,1037,1036,1035,24,24,24,14,11,,0.00,4,,55<br />
2011-4-15,-4,-13,-22,-20,-23,-28,59,40,28,1039,1037,1033,24,24,24,14,8,,0.00,1,,40<br />
2011-4-16,-5,-11,-18,-13,-18,-24,63,53,39,1033,1026,1020,24,24,24,14,6,,0.00,2,,159<br />
2011-4-17,-7,-11,-15,-13,-17,-20,73,61,53,1022,1021,1020,24,24,24,23,14,,0.00,4,,328<br />
2011-4-18,-4,-13,-22,-10,-17,-27,74,64,50,1020,1018,1015,24,24,24,14,2,,0.00,5,,238<br />
2011-4-19,-3,-6,-8,-7,-9,-12,93,78,59,1015,1010,1006,24,21,5,19,5,,0.00,7,Snow,254<br />
2011-4-20,-4,-8,-11,-4,-14,-17,100,63,49,1014,1010,1006,24,23,5,23,11,27,0.00,5,Snow,327<br />
2011-4-21,-8,-14,-20,-17,-19,-24,71,59,48,1019,1017,1014,24,24,24,14,5,,0.00,3,,338<br />
2011-4-22,-6,-13,-20,-13,-18,-25,72,60,49,1018,1016,1012,24,24,24,14,3,,0.00,3,,192<br />
2011-4-23,-7,-11,-15,-13,-18,-20,73,58,46,1014,1013,1012,24,24,24,23,13,35,0.00,2,,329<br />
2011-4-24,-11,-17,-23,-18,-24,-28,72,55,38,1019,1017,1013,24,24,24,16,10,,0.00,1,,69<br />
2011-4-25,-4,-12,-19,-8,-16,-26,86,65,48,1015,1009,1007,24,18,2,13,8,,0.00,6,Snow,107<br />
2011-4-26,0,-3,-6,-6,-8,-9,80,71,60,1012,1011,1008,24,24,24,11,0,,0.00,5,,151<br />
2011-4-27,7,-2,-10,-3,-7,-12,86,62,46,1011,1010,1009,24,24,24,11,3,,0.00,3,,38<br />
2011-4-28,0,-3,-7,-5,-9,-13,86,65,54,1020,1015,1009,24,24,24,23,11,34,0.00,2,,339<br />
2011-4-29,0,-7,-13,-9,-14,-17,74,57,40,1021,1020,1019,24,24,24,14,5,,0.00,3,,264<br />
2011-4-30,5,-2,-9,-4,-8,-13,75,63,45,1019,1018,1017,24,22,5,14,8,,0.00,6,Snow,262<br />
2011-5-1,-1,-4,-7,-5,-12,-15,80,56,40,1025,1022,1018,24,24,24,24,8,27,0.00,3,,8<br />
2011-5-2,1,-7,-13,-11,-16,-19,67,48,32,1026,1024,1018,24,24,24,19,11,,0.00,4,,132<br />
2011-5-3,3,-1,-5,2,-5,-14,100,74,43,1017,1012,1008,24,10,0,23,13,34,0.00,7,Fog-Rain-Snow,112<br />
2011-5-4,5,2,0,1,-1,-2,100,86,70,1015,1011,1007,24,23,10,23,10,27,0.00,5,Snow,305<br />
2011-5-5,6,1,-4,-2,-4,-6,86,71,49,1015,1015,1014,24,24,24,11,6,,0.00,1,,79<br />
2011-5-6,8,2,-3,-1,-3,-6,80,65,46,1016,1015,1014,24,24,24,16,10,,0.00,5,,100<br />
2011-5-7,9,4,0,1,-1,-3,81,66,46,1014,1013,1012,24,24,24,19,16,29,0.00,4,,136<br />
2011-5-8,9,4,1,7,3,0,100,84,66,1013,1012,1011,24,24,24,23,11,32,0.00,5,Rain,116<br />
2011-5-9,13,7,0,4,3,0,100,75,54,1016,1014,1012,24,21,2,11,2,,0.00,3,Fog,124<br />
2011-5-10,13,9,5,8,4,0,100,77,51,1012,1010,1008,24,24,19,19,13,27,0.00,6,Rain,105<br />
2011-5-11,16,11,7,6,3,1,93,57,42,1016,1013,1009,24,24,24,23,14,34,0.00,6,,138<br />
2011-5-12,19,14,9,4,2,1,58,47,32,1024,1021,1017,24,24,24,37,19,39,0.00,6,,112<br />
2011-5-13,17,12,7,5,3,1,71,57,45,1032,1027,1024,24,24,24,23,13,34,0.00,2,,142<br />
2011-5-14,18,9,1,4,2,-1,87,59,36,1034,1030,1022,24,24,24,27,8,37,0.00,5,,119<br />
2011-5-15,21,14,8,1,-1,-3,54,38,20,1021,1012,1003,24,23,16,29,19,35,0.00,3,,135<br />
2011-5-16,21,13,7,5,1,-2,62,47,33,1004,1001,999,24,19,6,29,14,32,0.00,2,,170<br />
2011-5-17,11,7,4,3,1,0,87,68,54,1015,1010,1005,24,24,24,27,16,27,0.00,1,,3<br />
2011-5-18,12,6,0,2,0,-2,93,73,51,1021,1019,1016,24,24,24,23,14,27,0.00,4,,41<br />
2011-5-19,15,8,2,4,2,-1,81,64,48,1027,1026,1022,24,24,24,23,11,,0.00,1,,54<br />
2011-5-20,15,8,2,5,2,-1,81,67,51,1029,1026,1022,24,24,24,21,11,,0.00,1,,69<br />
2011-5-21,14,9,5,4,2,-1,87,66,51,1024,1021,1020,24,24,24,26,10,39,0.00,1,,67<br />
2011-5-22,10,5,0,-1,-6,-10,70,45,25,1030,1029,1025,24,24,24,29,23,45,0.00,1,,79<br />
2011-5-23,13,7,1,-3,-6,-8,65,42,25,1030,1028,1025,24,24,24,14,8,,0.00,2,,55<br />
2011-5-24,13,7,2,-1,-2,-4,75,52,33,1032,1030,1027,24,24,24,19,11,,0.00,1,,45<br />
2011-5-25,15,8,2,1,-2,-5,87,47,27,1030,1026,1019,24,24,24,14,2,,0.00,1,,199<br />
2011-5-26,18,11,4,0,-4,-6,75,34,20,1018,1014,1011,24,24,24,11,3,,0.00,2,,226<br />
2011-5-27,16,11,7,2,-2,-4,58,40,27,1018,1015,1011,24,24,24,19,11,,0.00,1,,82<br />
2011-5-28,12,8,4,2,-2,-4,76,50,35,1020,1018,1015,24,24,24,16,5,,0.00,4,,155<br />
