
ACDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,24,20,17,17,13,10,83,63,41,1015,1012,1010,10,10,10,40,18,52,0.00,2,,186<br />
2011-1-2,26,20,15,12,9,6,77,54,30,1017,1015,1014,10,10,10,32,21,,0.00,1,,140<br />
2011-1-3,25,19,14,9,7,4,67,48,26,1017,1015,1013,10,10,10,32,21,35,0.00,1,,132<br />
2011-1-4,24,18,12,14,9,7,82,57,38,1014,1011,1009,10,10,10,26,14,,0.00,1,,209<br />
2011-1-5,27,21,15,12,9,8,72,54,30,1011,1009,1008,10,10,10,29,14,,0.00,4,,152<br />
2011-1-6,35,24,13,11,6,1,82,37,12,1009,1005,1002,10,10,10,34,14,,0.00,6,,353<br />
2011-1-7,32,27,22,20,14,9,74,47,29,1005,1004,1002,,,,29,10,,0.00,,,194<br />
2011-1-8,27,23,19,19,16,13,83,63,47,1013,1007,1002,10,10,10,37,16,55,0.00,4,Rain,142<br />
2011-1-9,30,24,18,15,12,9,73,51,37,1015,1013,1011,10,10,10,29,21,,0.00,1,,139<br />
2011-1-10,31,26,21,18,16,15,69,59,38,1012,1010,1007,10,10,10,35,18,40,0.00,1,,165<br />
2011-1-11,24,21,18,18,17,15,83,73,61,1009,1006,1004,10,10,10,29,18,,0.00,6,,165<br />
2011-1-12,24,21,18,18,17,15,88,82,61,1005,1003,1002,10,9,5,19,11,,0.00,6,,225<br />
2011-1-13,23,21,20,20,18,17,94,85,73,1004,1001,999,10,9,3,19,10,,0.00,7,Rain,166<br />
2011-1-14,26,21,17,18,16,13,100,73,47,1008,1004,1000,10,10,9,23,10,,0.00,3,Fog,258<br />
2011-1-15,27,21,15,20,15,11,88,68,39,1010,1009,1007,,,,32,10,,0.00,,,198<br />
2011-1-16,24,21,18,19,14,9,88,67,44,1012,1010,1009,10,10,10,37,16,,0.00,1,,212<br />
2011-1-17,22,18,15,12,10,9,72,59,49,1014,1012,1011,10,10,10,35,19,,0.00,5,,185<br />
2011-1-18,26,21,16,13,9,8,68,55,36,1013,1011,1008,10,10,10,32,18,,0.00,4,,172<br />
2011-1-19,27,20,13,16,11,9,82,59,37,1013,1011,1009,10,10,10,26,14,,0.00,1,,162<br />
2011-1-20,36,26,15,15,8,-3,83,40,8,1010,1006,1003,,,,26,10,,0.00,,,346<br />
2011-1-21,28,23,18,17,12,5,69,50,24,1014,1009,1003,10,10,10,34,21,,0.00,1,,156<br />
2011-1-22,30,23,17,26,11,8,94,52,33,1014,1012,1011,10,10,10,32,18,,0.00,1,,150<br />
2011-1-23,26,20,14,17,12,8,78,58,38,1011,1008,1005,10,10,10,29,13,,0.00,1,,208<br />
2011-1-24,24,21,18,17,12,5,78,57,35,1008,1006,1005,10,10,10,32,16,,0.00,4,,196<br />
2011-1-25,30,24,18,18,12,5,68,51,29,1010,1005,1002,10,10,10,37,13,,0.00,7,Rain-Thunderstorm,163<br />
2011-1-26,28,22,16,15,13,11,77,59,35,1016,1013,1009,10,10,10,34,19,,0.00,3,,165<br />
2011-1-27,27,23,19,17,12,7,69,53,30,1021,1017,1014,10,10,10,37,14,,0.00,3,,176<br />
2011-1-28,31,22,14,17,11,4,82,53,22,1021,1019,1017,10,10,10,29,14,,0.00,1,,159<br />
2011-1-29,35,25,15,18,9,-4,72,41,9,1018,1016,1013,,,,26,10,,0.00,,,234<br />
2011-1-30,40,33,26,13,4,-1,44,18,8,1014,1012,1011,,,,24,14,,0.00,,,354<br />
2011-1-31,41,33,26,15,11,6,39,25,15,1011,1008,1004,,,,35,14,50,0.00,,,6<br />
2011-2-1,32,26,20,20,15,6,69,49,20,1010,1006,1002,10,10,10,47,18,60,0.00,3,,144<br />
2011-2-2,28,23,18,20,16,13,77,60,42,1010,1008,1006,10,10,10,26,14,,0.00,1,,180<br />
2011-2-3,32,27,22,21,16,10,78,53,39,1012,1010,1008,10,10,10,21,10,,0.00,6,Rain,178<br />
2011-2-4,30,27,23,22,20,17,83,69,55,1009,1008,1006,10,10,10,24,10,,0.00,5,,236<br />
2011-2-5,23,19,16,18,13,5,88,66,48,1018,1010,1005,10,10,9,35,16,48,0.00,5,Rain,206<br />
2011-2-6,22,16,10,8,4,1,76,44,25,1026,1023,1019,10,10,10,39,19,53,0.00,1,,145<br />
2011-2-7,26,19,13,9,3,-2,59,36,17,1026,1023,1020,,,,35,19,,0.00,,,118<br />
2011-2-8,28,21,14,14,9,7,72,52,28,1023,1020,1017,10,10,10,26,16,47,0.00,1,,145<br />
2011-2-9,31,23,16,17,11,5,72,47,19,1019,1017,1014,10,10,10,27,13,,0.00,,,117<br />
2011-2-10,36,27,19,19,12,6,61,38,19,1014,1011,1009,,,,24,14,,0.00,,,352<br />
2011-2-11,29,23,18,21,18,13,100,77,42,1018,1013,1008,10,8,2,32,14,,0.00,6,Rain-Thunderstorm,192<br />
2011-2-12,22,19,16,13,11,9,73,61,49,1022,1020,1017,10,10,10,27,21,45,0.00,6,,141<br />
2011-2-13,25,19,14,12,9,7,77,58,36,1025,1022,1020,10,10,10,27,19,,0.00,3,,138<br />
2011-2-14,27,21,15,16,12,10,77,61,36,1022,1020,1017,10,10,10,35,19,,0.00,3,,179<br />
2011-2-15,29,23,17,18,13,10,77,55,32,1018,1014,1012,10,10,10,45,14,63,0.00,5,,121<br />
2011-2-16,29,23,17,19,16,13,83,66,40,1013,1012,1010,10,10,10,26,10,,0.00,1,,213<br />
2011-2-17,27,22,18,18,17,15,88,72,54,1014,1012,1011,10,10,10,35,16,,0.00,5,,184<br />
2011-2-18,22,21,20,21,19,16,100,86,73,1012,1006,1000,10,7,3,37,16,55,0.00,7,Rain,43<br />
2011-2-19,23,21,19,19,16,15,94,76,61,1012,1008,1003,10,10,8,29,21,,0.00,5,Rain,237<br />
2011-2-20,21,18,16,17,12,6,88,62,43,1021,1016,1012,10,10,4,34,24,48,0.00,5,Rain,211<br />
2011-2-21,22,18,15,10,8,4,72,52,40,1024,1022,1021,10,10,10,35,19,,0.00,4,,161<br />
2011-2-22,25,18,12,13,9,7,77,58,36,1024,1023,1021,10,10,10,27,18,,0.00,1,,139<br />
2011-2-23,27,21,15,18,13,11,77,63,42,1023,1020,1016,10,10,10,27,18,,0.00,1,,175<br />
2011-2-24,31,23,16,16,12,9,77,47,25,1017,1015,1012,,,,23,11,,0.00,,,182<br />
