
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,2,-1,-5,-4,-6,-8,92,72,51,1023,1021,1017,16,16,11,13,3,16,0.00,5,,312<br />
2011-1-2,3,-1,-5,-4,-6,-7,96,74,52,1023,1022,1021,16,15,11,14,2,19,0.00,0,,48<br />
2011-1-3,4,-1,-7,-4,-6,-8,96,74,52,1025,1024,1023,16,15,11,13,2,13,0.00,0,,310<br />
2011-1-4,1,-2,-6,-2,-4,-7,92,81,69,1027,1026,1025,16,12,8,8,0,8,0.00,2,,320<br />
2011-1-5,3,1,-1,2,1,-3,100,93,85,1029,1028,1026,10,4,1,10,1,24,7.62,8,Fog-Rain,338<br />
2011-1-6,6,4,2,5,3,2,100,95,89,1028,1025,1023,6,2,0,10,1,13,T,8,Fog-Rain,306<br />
2011-1-7,7,3,-2,6,4,-1,100,95,89,1023,1021,1019,16,5,0,14,4,19,2.03,6,Fog-Rain,281<br />
2011-1-8,2,0,-3,2,0,-3,100,96,92,1023,1022,1020,8,2,0,10,1,11,T,6,Fog-Rain,263<br />
2011-1-9,3,2,0,2,1,0,100,93,85,1026,1022,1020,16,4,1,11,2,13,0.51,8,Fog-Rain,300<br />
2011-1-10,6,2,-1,2,-2,-9,100,77,54,1028,1026,1025,16,11,1,29,11,37,0.00,5,,78<br />
2011-1-11,2,1,-1,-1,-5,-9,100,72,44,1024,1018,1014,16,10,2,29,13,39,4.06,6,Rain-Snow,96<br />
2011-1-12,11,6,-1,11,3,-1,100,95,89,1020,1016,1013,16,5,2,21,8,27,15.49,8,Rain,175<br />
2011-1-13,13,10,7,11,10,8,100,92,83,1023,1016,1013,16,11,3,29,16,39,14.48,7,Rain,171<br />
2011-1-14,14,11,7,12,10,8,100,93,86,1028,1025,1023,16,15,10,29,15,37,0.76,5,Rain,172<br />
