
FET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,-1,-2,-3,-3,-4,-5,93,82,75,1016,1014,1012,10,10,10,14,10,,0.00,6,,281<br />
2012-1-2,0,-2,-4,-1,-3,-5,100,95,86,1014,1012,1009,10,6,1,21,14,32,0.00,8,Rain-Snow,139<br />
2012-1-3,3,2,1,2,2,1,100,96,93,1013,1010,1007,10,5,1,18,11,,0.00,8,Rain,265<br />
2012-1-4,4,2,1,3,2,0,93,92,87,1004,1001,1000,10,8,2,21,18,29,0.00,7,Rain-Snow,211<br />
2012-1-5,2,1,0,0,-1,-2,100,86,81,998,991,984,10,7,1,32,21,43,0.00,7,Rain-Snow,196<br />
2012-1-6,1,0,0,0,0,0,100,97,93,995,989,984,10,5,1,18,11,,0.00,8,Snow,187<br />
2012-1-7,0,-1,-2,-2,-3,-5,93,83,75,1008,1006,1003,10,10,5,18,13,,0.00,5,Snow,244<br />
2012-1-8,-1,-3,-5,-3,-4,-6,100,90,86,1011,1010,1008,10,10,10,11,10,,0.00,7,,133<br />
2012-1-9,-2,-6,-9,-2,-5,-9,100,96,86,1014,1014,1013,6,4,0,6,2,,0.00,6,Fog-Snow,189<br />
2012-1-10,0,-1,-1,-1,-3,-4,93,84,80,1021,1018,1015,10,10,10,18,14,,0.00,7,Snow,304<br />
2012-1-11,-1,-3,-6,-2,-4,-7,100,94,86,1022,1019,1013,10,5,0,18,8,29,0.00,7,Fog-Snow,216<br />
2012-1-12,2,1,1,1,-1,-1,93,86,81,1013,1008,1000,10,9,4,26,19,35,0.00,8,Rain-Snow,244<br />
2012-1-13,2,0,-1,0,-2,-3,93,86,70,994,993,991,10,7,0,35,24,58,0.00,7,Snow,265<br />
2012-1-14,-1,-2,-3,-2,-3,-4,93,88,80,996,994,993,10,6,1,18,10,,0.00,7,Snow,236<br />
2012-1-15,-2,-3,-3,-3,-5,-6,93,84,74,1012,1007,1002,10,10,10,21,16,29,0.00,8,,18<br />
2012-1-16,-3,-4,-4,-5,-6,-7,93,85,80,1013,1012,1012,10,5,1,18,16,29,0.00,8,Snow,337<br />
2012-1-17,-3,-4,-6,-7,-7,-8,93,83,69,1022,1020,1016,10,8,2,6,5,,0.00,7,Snow,143<br />
2012-1-18,-7,-8,-8,-9,-9,-10,93,86,80,1024,1023,1022,10,5,3,18,11,,0.00,8,Snow,183<br />
2012-1-19,-5,-7,-8,-7,-8,-9,100,93,86,1015,1011,1006,6,2,1,26,21,35,0.00,8,Snow,156<br />
2012-1-20,-4,-4,-5,-6,-7,-7,86,86,80,1000,998,997,10,3,1,21,18,32,0.00,8,Snow,93<br />
2012-1-21,-2,-6,-8,-2,-5,-10,100,97,86,1009,1008,1006,5,1,0,14,6,,0.00,8,Fog-Snow,104<br />
2012-1-22,-2,-3,-3,-3,-3,-4,93,93,93,1003,1002,1001,10,5,1,26,19,35,0.00,8,Snow,141<br />
2012-1-23,-6,-7,-8,-8,-9,-11,93,83,74,1007,1005,1004,10,8,1,26,21,35,0.00,8,Snow,123<br />
2012-1-24,-4,-6,-6,-5,-6,-8,100,92,86,1017,1014,1011,10,4,1,18,18,29,0.00,8,Fog-Snow,119<br />
2012-1-25,-8,-9,-9,-10,-11,-12,93,85,79,1029,1025,1021,10,8,3,18,16,,0.00,8,Snow,114<br />
2012-1-26,-9,-11,-13,-12,-16,-17,79,74,67,1036,1034,1032,10,10,10,18,14,,0.00,4,,95<br />
2012-1-27,-13,-14,-15,-16,-17,-17,85,78,73,1041,1040,1038,,,,21,18,29,0.00,,,103<br />
2012-1-28,-10,-13,-17,-17,-19,-20,78,64,53,1043,1043,1042,,,,11,8,,0.00,,,75<br />
2012-1-29,-8,-12,-15,-17,-18,-20,72,58,49,1044,1043,1016,,,,18,13,,0.00,,,50<br />
