
IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,18,16,13,16,13,11,100,85,68,1016,1015,1013,3,1,0,13,5,,0.00,4,Fog,119<br />
2012-1-2,17,14,13,15,13,11,100,94,77,1018,1016,1015,1,0,0,10,3,,0.00,4,Fog,253<br />
2012-1-3,19,13,8,11,8,6,100,80,43,1018,1015,1013,2,1,0,13,3,,0.00,3,Fog,252<br />
2012-1-4,20,14,8,14,9,5,100,77,37,1017,1014,1013,2,1,0,10,2,,0.00,3,Fog,66<br />
2012-1-5,19,14,11,14,13,11,100,93,68,1018,1015,1014,3,1,0,14,8,,0.00,3,Fog,119<br />
2012-1-6,16,13,12,14,13,11,100,93,82,1018,1015,1014,3,2,1,16,13,,0.00,5,Fog-Rain-Thunderstorm,119<br />
2012-1-7,17,14,13,14,13,12,100,95,77,1020,1017,1015,3,2,1,19,13,,0.00,6,,122<br />
2012-1-8,17,13,10,12,11,10,100,86,63,1022,1019,1018,2,2,1,13,8,,0.00,5,Fog,269<br />
2012-1-9,16,12,8,9,7,4,100,80,45,1021,1019,1017,4,1,0,14,10,,0.00,1,Fog,289<br />
2012-1-10,16,10,4,8,4,0,100,75,34,1022,1020,1018,5,2,0,16,3,,0.00,,Fog,279<br />
2012-1-11,17,10,4,7,5,3,100,75,42,1022,1020,1018,4,1,0,16,3,,0.00,,Fog,261<br />
2012-1-12,18,11,5,7,4,1,93,70,34,1021,1019,1017,5,2,0,24,5,,0.00,,Fog,265<br />
2012-1-13,19,11,4,5,3,2,87,64,32,1021,1018,1017,4,2,0,16,8,,0.00,,Fog,259<br />
