
JST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,7,4,3,1,-1,-2,75,66,53,1021,1018,1015,10,10,10,16,6,,0.00,6,Rain,260<br />
2012-1-2,6,2,-1,-1,-4,-8,81,60,39,1021,1019,1016,10,9,3,29,19,48,0.00,3,Rain-Snow,317<br />
2012-1-3,7,3,1,-1,-4,-6,65,55,45,1017,1015,1013,10,10,10,27,11,,0.00,5,Snow,283<br />
2012-1-4,2,0,-2,-1,-3,-9,100,81,44,1018,1015,1012,10,6,0,35,21,52,0.00,4,Snow,293<br />
2012-1-5,5,1,-2,-2,-4,-7,100,68,45,1023,1022,1021,10,10,10,21,11,,0.00,3,Snow,295<br />
2012-1-6,5,1,-2,-3,-4,-7,74,59,52,1025,1024,1023,10,10,10,16,10,,0.00,3,,301<br />
2012-1-7,6,3,1,-3,-4,-6,75,56,42,1031,1029,1027,10,10,10,21,13,,0.00,3,,354<br />
2012-1-8,7,3,-1,-6,-7,-7,64,47,39,1031,1028,1025,10,10,10,11,6,,0.00,1,,114<br />
2012-1-9,7,4,2,-1,-3,-5,75,56,43,1025,1024,1023,10,10,10,21,11,,0.00,3,,316<br />
2012-1-10,9,4,0,-2,-3,-5,80,56,40,1024,1021,1019,10,10,10,14,8,,0.00,2,,287<br />
2012-1-11,5,2,0,-4,-6,-8,75,54,42,1023,1020,1019,10,10,10,37,19,55,0.00,3,Snow,299<br />
2012-1-12,5,0,-4,-3,-5,-7,80,62,45,1026,1023,1021,10,10,10,14,8,,0.00,3,,256<br />
2012-1-13,6,3,1,0,-4,-7,87,62,42,1020,1019,1019,10,10,10,26,14,,0.00,5,Rain-Snow,292<br />
2012-1-14,8,4,0,-2,-6,-8,75,49,32,1019,1018,1016,10,10,10,21,11,,0.00,2,,300<br />
2012-1-15,5,3,1,-3,-5,-6,65,55,45,1018,1017,1015,10,10,10,11,6,,0.00,5,,329<br />
2012-1-16,3,2,1,0,-2,-5,93,75,56,1016,1015,1014,10,8,3,23,14,,0.00,6,Rain-Snow,79<br />
