
SRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,30,27,23,23,20,2,100,73,18,1015,1013,1011,10,10,10,19,14,,0.00,4,,105<br />
2012-1-2,29,26,23,24,23,22,100,83,70,1013,1011,1010,10,10,8,14,5,,0.00,3,Rain,89<br />
2012-1-3,31,27,24,24,23,21,94,74,58,1014,1012,1010,10,10,10,19,8,,0.00,2,,100<br />
2012-1-4,31,27,24,23,23,22,94,73,58,1015,1012,1010,10,10,10,19,10,,0.00,3,,94<br />
2012-1-5,30,27,24,24,23,22,100,76,62,1014,1012,1010,10,10,10,19,8,,0.00,2,Rain,85<br />
2012-1-6,31,28,25,24,24,23,94,82,62,1014,1013,1012,10,10,10,14,2,,0.00,4,,95<br />
2012-1-7,29,26,23,25,23,22,100,86,70,1014,1012,1009,10,9,5,23,8,,0.00,5,Rain,86<br />
2012-1-8,31,29,27,25,24,24,89,75,66,1013,1011,1009,10,10,10,19,8,,0.00,2,,90<br />
2012-1-9,32,28,24,25,24,23,94,81,62,1013,1011,1009,10,9,5,14,3,,0.00,3,Rain,113<br />
2012-1-10,30,27,24,25,23,23,94,80,66,1013,1011,1009,10,10,10,19,6,,0.00,3,,98<br />
2012-1-11,32,28,24,25,23,23,100,77,59,1013,1011,1009,10,10,10,19,6,,0.00,2,Rain,125<br />
2012-1-12,29,27,24,24,23,23,94,80,70,1014,1012,1010,10,10,10,14,11,,0.00,3,Rain,103<br />
2012-1-13,31,28,25,23,22,21,89,70,55,1015,1013,1011,10,10,10,23,11,,0.00,2,,93<br />
2012-1-14,31,28,25,23,22,20,89,68,52,1014,1013,1011,10,10,10,19,10,,0.00,2,,82<br />
2012-1-15,31,28,25,24,22,21,94,70,55,1015,1013,1012,10,10,10,19,8,,0.00,3,,79<br />
2012-1-16,28,26,23,24,22,20,94,79,62,1016,1014,1012,10,10,10,19,6,,0.00,3,,123<br />
2012-1-17,29,27,24,23,22,22,94,78,66,1014,1012,1010,10,9,5,14,5,,0.00,3,Rain,50<br />
2012-1-18,30,28,24,23,22,21,89,69,58,1013,1011,1009,10,10,10,19,14,,0.00,2,,62<br />
2012-1-19,29,26,23,24,23,22,100,80,66,1013,1011,1009,10,9,6,19,5,,0.00,4,Rain,65<br />
2012-1-20,29,26,23,24,23,22,100,79,70,1013,1011,1009,10,10,10,19,6,,0.00,2,Rain,102<br />
2012-1-21,27,24,23,24,23,22,94,86,78,1013,1011,1009,10,9,5,11,3,,0.00,2,Rain,95<br />
2012-1-22,29,26,23,24,23,22,100,81,70,1013,1011,1009,10,10,6,19,10,,0.00,2,Rain,88<br />
2012-1-23,31,28,25,23,22,21,89,70,55,1013,1011,1009,10,10,10,19,10,,0.00,2,,83<br />
2012-1-24,29,27,24,23,23,22,89,78,70,1012,1010,1009,10,10,8,19,6,,0.00,3,Rain,72<br />
2012-1-25,28,26,24,24,23,23,94,85,74,1013,1011,1009,10,10,10,19,5,,0.00,3,,75<br />
2012-1-26,28,26,24,24,23,23,94,85,74,1012,1010,1008,10,10,10,19,6,,0.00,2,,90<br />
2012-1-27,26,24,24,24,24,23,100,95,89,1013,1011,1009,10,8,0,14,6,,0.00,4,Rain,77<br />
2012-1-28,29,26,23,24,23,22,94,84,66,1014,1012,1010,10,10,8,19,11,,0.00,4,Rain,124<br />
2012-1-29,28,26,23,24,23,22,100,88,74,1013,1012,1010,10,10,8,14,5,,0.00,3,Rain,93<br />
2012-1-30,29,27,24,25,23,22,94,82,66,1013,1011,1009,10,10,10,14,5,,0.00,2,,70<br />
2012-1-31,29,27,24,23,22,21,94,84,62,1013,1011,1009,10,10,8,19,11,,0.00,3,Rain,76<br />
2012-2-1,25,24,23,24,23,22,100,93,89,1013,1011,1010,10,9,5,16,3,,0.00,3,Rain,74<br />
2012-2-2,29,26,23,24,23,23,100,84,70,1012,1010,1008,10,10,8,14,5,,0.00,2,Rain,69<br />
2012-2-3,27,26,25,24,23,21,94,84,74,1011,1010,1008,10,10,8,14,10,,0.00,4,,111<br />
2012-2-4,28,26,23,24,23,23,100,87,74,1012,1010,1009,10,9,6,19,5,,0.00,3,Rain,104<br />
2012-2-5,29,26,23,24,23,23,100,85,70,1013,1011,1009,10,10,10,19,6,,0.00,4,Rain,94<br />
2012-2-6,30,27,24,24,23,22,94,79,66,1014,1011,1010,10,10,10,19,6,,0.00,2,Rain,94<br />
2012-2-7,32,28,24,24,23,22,94,75,55,1013,1011,1009,10,10,10,23,10,,0.00,3,,94<br />
2012-2-8,31,27,24,24,22,21,94,73,58,1013,1011,1009,10,10,10,19,6,,0.00,2,,80<br />
2012-2-9,31,27,24,23,22,22,94,71,58,1014,1012,1010,10,10,10,19,6,,0.00,3,,79<br />
2012-2-10,30,27,23,23,22,21,100,73,58,1014,1012,1010,10,10,10,19,8,,0.00,3,,61<br />
2012-2-11,28,27,25,24,21,3,89,75,23,1014,1012,1010,10,10,10,14,8,,0.00,4,,74<br />
2012-2-12,28,26,24,23,22,21,94,78,66,1014,1012,1010,10,10,8,14,6,,0.00,4,Rain,86<br />
2012-2-13,30,26,22,23,22,21,100,76,62,1013,1011,1009,10,10,8,19,5,,0.00,2,Rain,58<br />
2012-2-14,28,26,23,23,22,21,94,82,70,1014,1012,1010,10,10,6,14,2,,0.00,2,Rain,90<br />
2012-2-15,30,27,23,23,22,22,94,80,62,1014,1012,1010,10,10,10,11,2,,0.00,3,,75<br />
2012-2-16,28,26,24,23,22,21,94,80,70,1014,1012,1010,10,10,10,23,5,,0.00,3,Rain,71<br />
2012-2-17,30,27,23,23,22,21,94,74,62,1014,1012,1010,10,10,10,14,3,,0.00,3,,76<br />
2012-2-18,31,26,22,22,22,20,100,73,52,1014,1012,1010,10,10,10,19,6,,0.00,1,,66<br />
2012-2-19,28,27,25,23,23,22,89,83,70,1015,1012,1011,10,10,8,14,3,,0.00,3,Rain,60<br />
2012-2-20,27,24,23,24,22,22,94,87,83,1014,1012,1010,10,9,5,23,6,,0.00,4,Rain,92<br />
2012-2-21,27,26,24,24,23,23,100,89,79,1014,1012,1010,10,9,6,14,3,,0.00,4,Rain,65<br />
2012-2-22,30,27,24,25,23,23,94,82,66,1013,1011,1009,10,10,8,19,6,,0.00,3,Rain,66<br />
2012-2-23,29,27,24,23,22,21,94,79,66,1013,1011,1009,10,10,10,19,3,,0.00,3,,87<br />
2012-2-24,26,26,26,22,22,21,78,76,74,1011,1010,1010,10,10,10,8,6,,0.00,1,,75<br />
2012-2-25,30,27,24,23,21,19,94,71,51,1013,1010,1009,10,10,10,23,5,,0.00,2,,66<br />
2012-2-26,31,27,23,23,22,20,94,70,52,1013,1011,1010,10,10,10,16,5,,0.00,2,Rain,71<br />
2012-2-27,29,27,24,24,22,21,94,80,62,1013,1012,1011,10,10,8,19,5,,0.00,3,Rain,65<br />
2012-2-28,31,27,24,24,23,23,94,82,62,1013,1011,1009,10,10,10,23,8,,0.00,4,Rain,97<br />
2012-2-29,29,26,23,24,23,22,100,91,66,1014,1012,1011,10,9,5,26,10,,0.00,6,Rain,94<br />
2012-3-1,30,27,24,23,22,21,94,71,58,1014,1012,1010,10,10,10,23,10,,0.00,2,,99<br />
2012-3-2,31,28,25,23,22,21,83,70,58,1015,1013,1011,10,10,10,19,6,,0.00,2,,72<br />
2012-3-3,31,28,25,23,22,21,83,68,58,1014,1012,1010,10,10,10,19,10,,0.00,3,,83<br />
2012-3-4,31,28,26,22,22,21,78,67,58,1015,1013,1011,10,10,10,19,10,,0.00,2,,74<br />
2012-3-5,29,27,24,25,22,21,94,75,62,1015,1012,1011,10,10,10,23,11,,0.00,3,,68<br />
2012-3-6,28,26,24,23,22,21,94,82,70,1014,1012,1010,10,10,5,14,3,,0.00,4,Rain,79<br />
2012-3-7,28,26,23,23,22,21,94,83,70,1015,1012,1010,10,9,5,16,8,,0.00,4,Rain,97<br />
2012-3-8,31,29,26,23,21,20,79,65,52,1014,1012,1010,10,10,10,19,13,,0.00,3,,86<br />
2012-3-9,30,28,26,23,22,21,83,70,58,1014,1012,1010,10,10,10,19,11,,0.00,2,,80<br />
2012-3-10,30,28,25,23,22,22,89,73,62,1014,1012,1010,10,10,10,19,11,,0.00,2,,70<br />
2012-3-11,30,27,25,23,22,21,83,75,58,1015,1014,1013,10,10,10,19,6,,0.00,4,Rain,96<br />
2012-3-12,30,27,24,23,22,21,89,71,58,1015,1013,1011,10,10,10,23,10,,0.00,2,,75<br />
2012-3-13,31,27,24,22,21,20,89,67,52,1014,1012,1011,10,10,10,19,8,,0.00,2,,71<br />
2012-3-14,30,27,24,23,21,21,89,69,58,1015,1013,1012,10,10,10,23,8,,0.00,3,,65<br />
2012-3-15,30,28,25,23,22,21,89,73,62,1015,1013,1011,10,9,8,23,8,,0.00,4,,67<br />
2012-3-16,30,28,25,22,22,21,83,72,58,1014,1012,1011,10,9,6,19,8,,0.00,4,,65<br />
2012-3-17,27,24,23,24,23,22,94,89,74,1015,1013,1010,10,9,5,11,2,,0.00,6,Rain,80<br />
2012-3-18,31,28,25,23,22,21,89,74,58,1014,1011,1008,10,9,5,19,8,,0.00,2,,76<br />
2012-3-19,31,29,25,23,23,22,89,69,58,1013,1011,1008,10,8,5,14,6,,0.00,2,,104<br />
2012-3-20,28,27,26,23,22,22,83,76,70,1010,1009,1009,10,10,10,16,14,,0.00,2,,70<br />
2012-3-21,31,28,26,23,23,22,83,73,58,1013,1011,1009,10,10,10,19,10,,0.00,3,,69<br />
2012-3-22,31,27,24,24,23,22,94,75,58,1012,1011,1009,10,9,5,19,6,,0.00,3,,77<br />
2012-3-23,30,28,25,25,23,23,94,78,66,1013,1010,1008,10,10,10,19,6,,0.00,4,,68<br />
2012-3-24,30,27,24,25,22,2,94,79,22,1014,1011,1009,10,10,6,23,6,,0.00,3,Rain-Thunderstorm,70<br />
2012-3-25,30,27,24,25,24,23,100,82,70,1014,1012,1010,10,10,10,19,5,,0.00,3,,65<br />
2012-3-26,30,28,25,23,22,21,89,73,62,1014,1011,1009,10,10,10,23,11,,0.00,2,,78<br />
2012-3-27,31,28,26,23,22,21,83,68,55,1014,1012,1010,10,10,10,19,10,,0.00,2,,92<br />
2012-3-28,30,27,24,23,22,22,94,73,62,1015,1012,1010,10,10,10,19,8,,0.00,2,,54<br />
2012-3-29,31,29,26,24,23,22,79,71,62,1014,1013,1011,10,10,10,19,10,,0.00,2,Rain,87<br />
2012-3-30,30,27,24,23,22,22,94,73,62,1016,1014,1011,10,10,10,19,8,,0.00,3,,72<br />
2012-3-31,30,27,24,23,22,21,94,71,62,1016,1015,1012,10,10,10,14,8,,0.00,3,,68<br />
2012-4-1,29,27,24,24,23,23,94,88,70,1015,1012,1010,10,9,3,13,5,,0.00,2,Rain,58<br />
2012-4-2,28,26,24,23,22,22,94,79,70,1013,1013,1012,10,10,10,11,5,,0.00,4,,83<br />
2012-4-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-4-4,30,28,27,24,23,23,84,73,66,1011,1009,1008,10,10,10,19,14,,0.00,3,,52<br />
2012-4-5,29,27,24,24,24,23,94,87,74,1013,1011,1010,10,7,1,11,2,,0.00,6,Rain,61<br />
2012-4-6,28,26,24,25,24,23,100,93,84,1013,1012,1010,10,9,3,14,3,,0.00,3,Rain,92<br />
2012-4-7,29,27,24,24,24,23,100,85,74,1014,1012,1010,10,10,10,14,2,,0.00,2,Thunderstorm,58<br />
2012-4-8,29,27,24,24,23,22,100,81,70,1013,1011,1009,10,10,10,14,5,,0.00,3,,70<br />
2012-4-9,31,27,24,24,23,22,94,74,56,1012,1010,1008,19,13,10,14,3,,0.00,1,,53<br />
2012-4-10,30,27,24,24,23,23,100,78,57,1013,1012,1010,19,13,10,14,3,,2.03,3,Rain,84<br />
2012-4-11,29,27,24,24,23,22,94,78,58,1015,1014,1011,19,11,0,108,29,,1.02,3,Fog-Rain,91<br />
2012-4-12,29,27,24,25,24,23,94,80,68,1014,1012,1009,19,11,6,14,5,,0.00,3,Rain,56<br />
2012-4-13,31,28,26,24,23,23,89,71,58,1014,1012,1010,19,13,10,35,11,,0.00,2,,75<br />
2012-4-14,29,27,25,24,23,22,94,80,65,1014,1012,1009,19,12,8,14,5,,6.10,2,Rain,49<br />
2012-4-15,31,27,24,25,23,22,100,77,57,1013,1012,1009,19,12,10,14,3,,0.00,3,,62<br />
2012-4-16,29,27,24,24,24,23,94,81,72,1013,1011,1008,19,12,10,11,2,,0.00,3,,60<br />
2012-4-17,32,29,27,24,23,22,79,67,44,1014,1012,1009,19,12,10,14,3,,0.00,2,,103<br />
2012-4-18,31,28,24,24,23,22,89,75,50,1014,1012,1009,19,12,8,14,10,,6.10,2,Rain,119<br />
2012-4-19,31,27,24,25,24,23,100,80,59,1013,1011,1008,19,12,10,121,6,,7.11,3,Rain,73<br />
2012-4-20,32,28,25,25,23,23,94,70,53,1013,1011,1009,19,12,10,19,10,,0.00,3,Thunderstorm,92<br />
2012-4-21,32,28,24,24,23,22,100,70,51,1013,1011,1009,19,12,10,16,6,,0.00,4,,95<br />
2012-4-22,33,28,24,25,23,22,94,69,49,1015,1013,1010,19,14,10,14,5,,0.00,2,,106<br />
2012-4-23,32,28,24,24,23,21,100,69,46,1014,1012,1010,19,12,1,19,6,,0.00,1,,90<br />
2012-4-24,32,28,24,25,23,22,94,72,46,1013,1011,1009,19,13,10,23,5,,0.00,2,Rain,70<br />
2012-4-25,32,28,24,24,24,23,100,78,57,1014,1012,1010,19,12,8,19,3,,12.95,3,Rain,115<br />
2012-4-26,31,28,24,26,24,23,100,80,55,1014,1011,1009,19,12,10,14,5,,13.97,3,Rain,86<br />
2012-4-27,32,28,25,25,23,12,94,68,21,1013,1011,1008,19,12,10,19,10,,0.00,2,,85<br />
2012-4-28,31,28,25,24,23,21,94,71,50,1012,1011,1009,19,12,10,14,5,,3.05,2,Rain,59<br />
2012-4-29,29,27,24,25,24,23,94,85,70,1013,1011,1009,19,12,10,19,2,,0.00,3,Rain,71<br />
