
TAHT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,30,27,23,23,21,20,94,74,62,1016,1014,1013,10,9,1,27,13,,0.00,6,Rain,72<br />
2012-1-2,30,27,23,23,21,20,83,72,58,1016,1015,1014,10,10,10,19,6,29,0.00,3,,134<br />
2012-1-3,31,27,23,23,22,20,83,72,62,1016,1014,1012,10,10,10,19,8,,0.00,2,,48<br />
2012-1-4,31,27,24,23,22,20,83,70,58,1014,1013,1011,10,10,9,19,11,,0.00,3,Rain,38<br />
2012-1-5,31,28,26,23,22,21,83,69,58,1013,1012,1010,10,10,10,21,10,,0.00,5,,9<br />
2012-1-6,28,26,24,23,22,21,94,81,70,1011,1010,1008,10,9,1,32,10,53,0.00,6,Rain,30<br />
2012-1-7,26,23,21,23,21,18,89,81,65,1012,1010,1007,10,8,1,50,16,52,0.00,7,Rain,42<br />
2012-1-8,26,23,21,21,19,17,88,79,57,1013,1011,1010,10,8,2,35,18,55,0.00,6,Rain,74<br />
2012-1-9,25,23,21,21,19,18,94,83,65,1014,1011,1009,10,6,2,48,21,64,0.00,7,Rain,73<br />
2012-1-10,29,26,22,22,20,17,94,75,62,1013,1011,1009,10,9,1,42,26,63,0.00,6,Rain,53<br />
2012-1-11,31,28,25,22,21,18,83,69,52,1013,1012,1010,10,10,3,37,18,50,0.00,5,Rain,58<br />
2012-1-12,30,27,24,23,22,19,89,72,62,1013,1012,1010,10,10,7,37,18,,0.00,4,Rain,55<br />
