
YAKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,-29,-33,-37,-31,-35,-39,91,82,69,1037,1036,1033,19,10,8,18,11,,0.00,8,Snow,280<br />
2013-1-2,-35,-37,-39,-30,-35,-41,84,81,69,1034,1034,1033,19,10,8,14,11,,0.00,7,Snow,291<br />
2013-1-3,-34,-37,-40,-35,-37,-41,83,81,70,1034,1032,1030,19,10,8,11,6,,0.00,8,Snow,302<br />
2013-1-4,-24,-31,-38,-26,-35,-39,84,82,72,1049,1029,1027,19,10,10,14,6,,0.00,7,Snow,291<br />
2013-1-5,-27,-29,-32,-27,-29,-31,84,83,74,1027,1026,1025,10,10,3,11,6,,0.25,8,Snow,305<br />
2013-1-6,-26,-28,-30,-27,-29,-32,84,83,71,1025,1023,1021,10,6,1,47,18,61,0.51,8,Snow,260<br />
2013-1-7,-30,-33,-37,-32,-35,-39,83,81,64,1027,1023,1021,19,5,1,58,47,68,0.25,7,Snow,249<br />
2013-1-8,-33,-34,-37,-36,-38,-39,82,74,59,1030,1029,1027,19,14,10,26,18,35,0.00,6,Snow,239<br />
2013-1-9,-36,-38,-39,-36,-39,-42,83,78,68,1029,1027,1026,19,15,10,11,3,,0.00,7,Snow,197<br />
2013-1-10,-35,-37,-39,-37,-38,-41,83,79,66,1026,1024,1022,19,10,10,35,14,47,0.00,7,Snow,257<br />
2013-1-11,-33,-36,-39,-37,-39,-42,75,74,62,1024,1022,1022,19,10,4,47,37,58,0.00,2,Snow,252<br />
2013-1-12,-36,-38,-40,-37,-38,-42,83,79,65,1026,1025,1023,19,14,10,35,16,47,0.00,8,Snow,212<br />
2013-1-13,-38,-39,-41,-40,-41,-43,82,80,66,1030,1028,1026,19,11,10,18,2,,0.00,4,Snow,195<br />
2013-1-14,-37,-40,-42,-39,-41,-43,82,78,67,1031,1030,1030,19,14,10,21,6,29,0.00,6,Snow,216<br />
2013-1-15,-37,-39,-41,-37,-39,-43,83,81,68,1031,1030,1030,19,15,10,14,5,,0.00,8,Snow,191<br />
2013-1-16,-31,-36,-41,-32,-36,-40,83,82,67,1030,1027,1025,19,7,3,21,6,,0.76,8,Snow,281<br />
2013-1-17,-29,-32,-35,-32,-36,-38,83,80,72,1028,1027,1025,19,10,3,32,14,43,0.25,8,Snow,228<br />
2013-1-18,-22,-29,-36,-27,-33,-36,84,81,63,1031,1028,1026,19,12,10,26,13,35,0.00,6,,133<br />
2013-1-19,-24,-30,-36,-28,-33,-38,84,80,70,1038,1034,1031,19,15,10,29,10,40,0.00,7,Snow,213<br />
2013-1-20,-32,-33,-36,-29,-34,-38,84,81,66,1041,1039,1030,19,19,19,18,8,29,0.00,8,Snow,252<br />
2013-1-21,-31,-33,-36,-33,-36,-38,83,82,66,1039,1037,1035,19,11,8,11,6,,0.00,8,Snow,308<br />
2013-1-22,-34,-37,-39,-33,-37,-41,83,82,69,1035,1034,1033,19,12,3,18,6,,0.00,7,Snow,92<br />
2013-1-23,-29,-34,-39,-29,-33,-37,84,82,65,1034,1029,1026,19,10,3,11,6,,0.25,7,Snow,304<br />
2013-1-24,-36,-37,-38,-35,-37,-40,83,81,67,1029,1028,1027,19,12,10,6,0,,0.00,7,Snow,120<br />
2013-1-25,-30,-34,-38,-32,-36,-39,83,81,67,1027,1024,1022,19,10,8,29,5,40,0.25,8,Snow,286<br />
2013-1-26,-27,-31,-35,-31,-35,-38,83,80,58,1026,1024,1022,19,12,8,32,19,43,0.00,8,Snow,183<br />
2013-1-27,-25,-28,-33,-29,-32,-35,84,77,56,1029,1027,1025,19,19,19,32,10,,0.51,8,Snow,244<br />
2013-1-28,-34,-37,-39,-35,-38,-41,83,81,64,1029,1027,1026,19,19,19,11,2,,0.00,,,123<br />
2013-1-29,-34,-36,-38,-36,-38,-42,83,81,64,1028,1027,1026,19,19,19,11,3,,0.00,8,,246<br />
2013-1-30,-27,-32,-37,-31,-37,-39,91,82,66,1027,1026,1025,19,16,10,21,3,32,0.00,3,Snow,261<br />
2013-1-31,-26,-31,-36,-28,-33,-38,84,82,64,1032,1029,1027,19,11,8,40,18,50,0.00,6,Snow,223<br />
2013-2-1,-37,-38,-39,-36,-39,-42,83,80,62,1032,1031,1028,19,14,10,11,6,,0.00,7,Snow,277<br />
2013-2-2,-37,-38,-39,-37,-39,-42,83,80,61,1028,1026,1024,19,12,7,14,5,,0.00,7,Snow,294<br />
2013-2-3,-40,-41,-43,-38,-42,-45,83,80,60,1035,1030,1025,19,12,8,14,8,,0.00,6,Snow,289<br />
2013-2-4,-39,-42,-44,-42,-43,-46,82,79,60,1040,1038,1035,19,19,19,6,0,,0.00,,,-1<br />
2013-2-5,-40,-42,-45,-43,-45,-47,82,79,59,1042,1041,1040,19,10,8,6,0,,0.00,1,Snow,170<br />
