
VLAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,-12,-22,-32,-21,-29,-36,77,62,30,1019,1017,1016,19,10,5,18,5,,0.00,3,,203<br />
2013-1-2,-17,-19,-22,-20,-25,-31,78,58,30,1028,1021,1016,19,9,5,40,13,40,0.00,8,Snow,334<br />
2013-1-3,-14,-19,-24,-25,-28,-32,64,45,26,1030,1028,1027,19,10,10,29,11,29,0.00,2,,316<br />
2013-1-4,-10,-19,-28,-17,-27,-34,77,57,23,1029,1027,1023,19,10,2,26,8,,0.00,0,,275<br />
2013-1-5,-6,-14,-23,-15,-23,-30,84,61,28,1029,1019,1015,19,10,5,32,11,47,0.00,2,,351<br />
2013-1-6,-10,-17,-23,-22,-24,-29,77,47,27,1026,1023,1021,19,10,5,29,14,47,0.00,0,,324<br />
2013-1-7,-13,-19,-25,-22,-28,-33,84,57,21,1026,1025,1023,19,10,3,29,5,,0.00,3,,335<br />
2013-1-8,-12,-21,-30,-23,-27,-34,76,56,34,1027,1025,1023,19,9,2,21,8,,0.00,1,,318<br />
2013-1-9,-16,-21,-27,-27,-29,-32,70,47,28,1026,1024,1022,19,10,10,21,11,,0.00,0,,343<br />
2013-1-10,-15,-22,-30,-25,-30,-36,76,56,27,1029,1026,1024,19,9,3,21,5,32,0.00,1,,2<br />
2013-1-11,-10,-21,-32,-17,-28,-35,77,61,32,1030,1028,1025,19,9,5,18,5,,0.00,2,,192<br />
2013-1-12,-8,-13,-18,-13,-17,-22,92,74,58,1024,1020,1017,10,8,3,29,8,29,0.00,7,Snow,312<br />
2013-1-13,-9,-18,-27,-20,-23,-30,85,63,35,1030,1027,1023,19,9,5,26,8,,0.00,1,,314<br />
2013-1-14,-13,-17,-20,-17,-20,-24,85,71,51,1026,1023,1019,19,7,1,35,11,43,0.00,5,Snow,335<br />
2013-1-15,-12,-17,-21,-23,-24,-29,77,56,37,1029,1027,1026,10,8,3,29,11,,0.00,1,,343<br />
2013-1-16,-13,-17,-25,-23,-26,-30,64,51,37,1028,1026,1024,19,10,5,29,10,,0.00,5,,332<br />
2013-1-17,-12,-19,-27,-23,-26,-33,77,54,29,1030,1028,1026,19,10,5,32,10,,0.00,0,,352<br />
2013-1-18,-10,-15,-20,-22,-24,-29,77,47,27,1028,1026,1024,19,11,10,26,8,,0.00,0,,2<br />
2013-1-19,-7,-14,-22,-21,-25,-31,84,53,22,1030,1026,1024,19,9,4,29,10,40,0.00,1,,326<br />
2013-1-20,-7,-16,-24,-17,-21,-28,78,55,32,1036,1034,1030,19,7,5,29,10,,0.00,3,,332<br />
2013-1-21,-8,-13,-19,-14,-19,-23,78,57,38,1035,1030,1025,19,9,3,35,8,,0.00,8,,249<br />
2013-1-22,-6,-11,-16,-14,-17,-19,72,57,49,1026,1025,1024,19,9,5,35,14,,0.00,4,,327<br />
2013-1-23,-5,-14,-24,-7,-18,-29,93,75,46,1025,1020,1014,10,6,3,26,8,,0.00,5,,206<br />
2013-1-24,-3,-7,-11,-4,-9,-19,100,74,42,1013,1008,1005,10,5,1,40,14,55,0.00,7,Snow,31<br />
2013-1-25,-11,-16,-20,-22,-26,-28,72,44,27,1010,1009,1007,19,10,3,47,27,58,0.00,6,Snow,336<br />
2013-1-26,-12,-15,-18,-16,-19,-21,78,67,45,1020,1014,1008,19,7,1,58,27,55,0.00,8,Snow,349<br />
2013-1-27,-11,-14,-17,-19,-22,-25,61,49,34,1023,1022,1020,19,11,10,43,19,43,0.00,5,,18<br />
2013-1-28,-9,-13,-18,-22,-24,-28,61,44,26,1026,1023,1022,19,11,10,29,13,,0.00,2,,340<br />
2013-1-29,-5,-14,-24,-12,-21,-28,77,56,29,1029,1026,1024,19,10,5,26,5,,0.00,4,,269<br />
2013-1-30,-7,-12,-17,-14,-17,-20,85,72,49,1034,1032,1029,19,10,5,40,16,43,0.00,2,,307<br />
2013-1-31,1,-8,-17,-1,-8,-20,99,84,74,1033,1031,1029,10,6,0,35,5,,0.00,8,Fog-Snow,131<br />
2013-2-1,4,1,-1,3,1,-2,100,96,87,1029,1020,1011,10,3,0,40,11,55,0.00,8,Fog-Rain-Snow,184<br />
2013-2-2,-2,-8,-13,-4,-17,-23,86,52,24,1025,1020,1012,19,10,1,40,23,58,0.00,2,Snow,350<br />
2013-2-3,-6,-14,-22,-9,-19,-24,85,62,23,1028,1025,1021,19,10,10,14,6,,0.00,1,,61<br />
2013-2-4,-10,-12,-15,-8,-13,-18,93,78,57,1024,1017,1013,19,9,2,40,13,43,0.00,7,Snow,345<br />
2013-2-5,-6,-15,-24,-16,-21,-26,92,63,21,1029,1026,1023,19,9,5,14,5,,0.00,2,,242<br />
2013-2-6,-4,-10,-15,-11,-16,-20,74,58,43,1023,1019,1015,19,11,10,26,6,,0.00,7,,286<br />
2013-2-7,-11,-13,-16,-16,-17,-20,85,73,48,1017,1014,1011,19,4,1,58,27,64,0.00,8,Snow,351<br />
2013-2-8,-15,-17,-18,-16,-24,-26,85,47,26,1028,1025,1017,19,9,1,47,31,64,0.00,3,Snow,344<br />
2013-2-9,-12,-16,-19,-24,-26,-27,55,42,24,1028,1026,1023,19,11,10,29,14,,0.00,4,,345<br />
2013-2-10,-10,-14,-19,-21,-24,-27,56,45,32,1025,1022,1020,19,11,10,26,11,,0.00,4,,342<br />
2013-2-11,-11,-15,-20,-19,-23,-25,78,52,38,1031,1029,1025,19,9,5,29,13,40,0.00,3,Snow,354<br />
2013-2-12,-8,-17,-26,-12,-21,-29,93,67,31,1031,1026,1022,10,7,3,18,3,,0.00,5,Snow,291<br />
2013-2-13,-2,-10,-17,-6,-13,-23,92,78,51,1023,1021,1019,19,7,2,21,5,,0.00,5,Snow,192<br />
2013-2-14,0,-3,-7,-6,-11,-19,100,70,26,1022,1020,1018,19,7,0,21,5,,0.00,6,Fog-Snow,277<br />
2013-2-15,-8,-11,-14,-18,-21,-22,57,42,25,1024,1022,1019,19,10,10,26,11,,0.00,1,,355<br />
2013-2-16,-8,-13,-19,-19,-22,-23,78,52,23,1028,1026,1023,19,10,10,21,8,,0.00,0,,359<br />
2013-2-17,-2,-12,-23,-3,-15,-25,100,79,47,1027,1021,1012,19,9,2,47,8,,0.00,5,Snow,135<br />
2013-2-18,-2,-8,-13,-3,-16,-22,100,53,26,1020,1016,1012,19,9,0,32,16,40,0.00,3,Fog,333<br />
2013-2-19,-7,-11,-16,-18,-22,-25,60,40,23,1022,1020,1017,19,10,10,32,14,29,0.00,1,,315<br />
2013-2-20,-8,-16,-24,-22,-24,-28,71,40,22,1024,1022,1020,19,10,10,32,13,47,0.00,2,,309<br />
2013-2-21,-7,-12,-16,-19,-26,-28,56,35,15,1027,1024,1022,19,10,10,26,8,,0.00,0,,329<br />
2013-2-22,-3,-12,-21,-8,-19,-24,93,58,25,1023,1019,1016,19,10,3,21,5,,0.00,6,Snow,336<br />
2013-2-23,-5,-13,-21,-9,-19,-24,80,53,30,1023,1019,1014,19,10,10,40,13,61,0.00,4,,301<br />
2013-2-24,-7,-11,-15,-19,-21,-22,61,44,23,1030,1026,1021,19,10,10,32,19,55,0.00,1,,336<br />
2013-2-25,-7,-14,-22,-21,-23,-26,84,47,14,1033,1031,1029,19,10,10,26,8,,0.00,0,,3<br />
2013-2-26,-3,-12,-22,-5,-17,-25,100,72,34,1029,1022,1014,19,9,1,18,5,,0.00,5,Snow,142<br />
2013-2-27,0,-4,-8,-4,-8,-11,100,77,44,1015,1013,1012,19,7,2,26,8,,0.00,4,Snow,288<br />
2013-2-28,1,-6,-11,-3,-11,-18,100,63,23,1018,1015,1012,19,8,2,43,8,40,0.00,5,Snow,158<br />
2013-3-1,0,-3,-7,-1,-5,-10,100,88,59,1012,1006,1002,10,4,0,47,19,61,0.00,7,Fog-Snow,323<br />
2013-3-2,-2,-4,-7,-8,-11,-15,80,63,45,1023,1017,1011,19,9,4,61,26,58,0.00,6,Snow,341<br />
2013-3-3,-2,-7,-11,-15,-19,-24,62,39,18,1023,1021,1017,19,10,10,26,11,,0.00,4,,352<br />
2013-3-4,2,-11,-23,-11,-18,-25,85,57,21,1019,1017,1015,19,9,5,21,5,,0.00,3,,233<br />
2013-3-5,1,-8,-16,-2,-9,-18,95,73,36,1017,1014,1010,19,9,5,32,6,,0.00,7,,142<br />
