
TMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,8,0,-7,-1,-5,-9,100,71,20,1031,1027,1023,10,9,6,18,8,,0.00,0,,131<br />
2013-1-2,8,1,-7,-3,-5,-9,100,68,25,1030,1024,1021,10,9,0,21,5,,0.00,1,,281<br />
2013-1-3,1,-1,-2,0,-1,-3,100,87,69,1035,1032,1028,10,9,3,18,8,,0.00,7,Snow,304<br />
2013-1-4,1,-2,-5,0,-2,-6,100,93,74,1034,1028,1023,10,3,0,26,10,,0.00,7,Fog,114<br />
2013-1-5,0,-1,-2,-1,-2,-3,100,93,73,1023,1015,1011,6,3,0,18,11,,0.00,8,Fog,111<br />
2013-1-6,15,6,-4,4,-1,-4,100,70,21,1013,1011,1010,10,8,0,14,5,,0.00,2,Fog,116<br />
2013-1-7,17,9,1,4,-2,-6,93,52,14,1014,1011,1009,10,10,8,14,8,,0.00,0,,133<br />
2013-1-8,18,8,-1,5,1,-3,93,72,22,1011,1008,1006,10,9,5,11,5,,0.00,2,,340<br />
2013-1-9,19,10,1,5,1,-2,81,49,16,1013,1010,1007,10,10,6,18,10,,0.00,1,,158<br />
2013-1-10,21,12,4,4,-1,-6,62,39,10,1008,1004,1001,10,10,10,18,8,35,0.00,3,,112<br />
2013-1-11,6,3,1,4,0,-2,93,75,45,1025,1014,1004,10,10,8,32,19,,0.51,6,Rain-Thunderstorm,297<br />
2013-1-12,9,3,-2,-2,-4,-7,93,58,19,1030,1028,1024,10,10,10,18,10,,0.00,2,,110<br />
2013-1-13,9,3,-4,0,-3,-5,93,70,35,1029,1023,1016,10,10,10,14,6,,0.00,1,,109<br />
2013-1-14,12,4,-4,0,-3,-5,93,60,23,1019,1015,1013,10,10,9,14,5,,0.00,6,,296<br />
2013-1-15,3,2,2,2,-1,-3,81,72,56,1036,1028,1019,10,10,10,29,19,,0.00,8,Rain,300<br />
