
EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-2,18,,18,7,7,7,49,49,49,1023,1023,1023,10,10,10,6,6,,0.00,6,,300<br />
2013-1-3,18,,18,10,10,10,48,48,48,1024,1024,1024,10,10,10,3,3,,0.00,,,-1<br />
2013-1-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2013-1-13,8,,8,1,1,1,62,62,62,1024,1024,1024,,,,8,8,,0.00,,,10<br />
2013-2-11,16,16,12,9,8,7,72,68,63,1013,1013,1013,10,10,10,29,23,,0.00,6,Rain-Thunderstorm,320<br />
2013-2-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2013-2-17,11,9,9,9,8,8,93,90,88,1016,1016,1015,6,5,5,3,3,,0.00,4,,95<br />
2013-2-21,18,,18,8,8,8,52,52,52,1020,1020,1020,10,10,10,3,3,,0.00,6,,240<br />
2013-3-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2013-3-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2013-3-25,,,,,,,,,,,,,,,,90,90,,0.00,,,-1<br />
2013-3-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2013-4-2,19,,19,15,15,15,78,78,78,1014,1014,1014,10,10,10,16,16,,0.00,6,,230<br />
2013-6-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2013-6-27,24,,24,21,21,21,83,83,83,1009,1009,1009,,,,3,3,,0.00,,,70<br />
2013-7-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2013-7-4,,,,,,,,,,,,,,,,90,90,,0.00,,,-1<br />
2013-7-11,,,11,,,,,,,,,,0,0,0,2,2,,0.00,,,-1<br />
