
BDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,24,17,11,11,10,9,99,59,32,1014,1012,1011,3,3,3,0,0,,0.00,,,-1<br />
2013-1-2,24,13,12,11,11,9,94,66,28,1013,1012,1012,3,3,2,3,0,,0.00,,,-1<br />
2013-1-3,25,19,16,14,13,12,80,62,38,1014,1013,1013,3,3,2,0,0,,0.00,,,-1<br />
2013-1-4,26,20,16,16,15,14,95,67,44,1014,1013,1011,3,2,2,0,0,,0.00,,,-1<br />
2013-1-5,25,20,17,13,11,10,73,49,35,1012,1012,1011,3,3,2,3,2,,0.00,,,-1<br />
2013-1-6,23,19,16,11,8,7,67,42,26,1014,1013,1012,3,3,2,3,2,,0.00,,,-1<br />
2013-1-7,21,17,16,12,9,8,58,52,44,1013,1013,1012,2,2,2,3,3,,0.00,,,-1<br />
2013-1-8,18,11,11,8,8,7,79,68,56,1014,1014,1014,3,2,2,3,3,,0.00,,,-1<br />
2013-1-9,15,9,8,8,7,6,93,73,61,1017,1015,1013,3,2,2,3,3,,0.00,,,-1<br />
2013-1-10,18,16,12,10,10,10,86,78,70,1014,1014,1013,2,2,2,0,0,,0.00,,,-1<br />
2013-1-11,17,10,8,10,9,7,90,76,50,1015,1014,1014,2,2,2,0,0,,0.00,,Fog,-1<br />
2013-1-12,22,14,8,8,8,8,97,66,35,1015,1014,1013,3,3,2,3,2,,0.00,,,-1<br />
2013-1-13,24,18,14,13,12,11,73,57,40,1013,1012,1011,3,3,2,3,3,,0.00,,,-1<br />
2013-1-14,26,19,15,13,11,9,84,52,29,1014,1013,1012,3,3,3,0,0,,0.00,,,-1<br />
2013-1-15,26,13,13,11,11,11,85,64,44,1014,1014,1013,3,2,2,0,0,,0.00,,,-1<br />
2013-1-16,26,20,15,12,12,11,77,52,31,1016,1016,1015,3,3,2,0,0,,0.00,,,-1<br />
2013-1-17,25,13,13,11,10,9,81,53,25,1017,1016,1015,2,2,2,0,0,,0.00,,,-1<br />
2013-1-18,26,14,14,13,11,9,88,56,24,1017,1016,1016,3,2,2,0,0,,0.00,,,-1<br />
2013-1-19,27,17,17,14,12,10,76,50,24,1016,1016,1016,3,3,3,0,0,,0.00,,,-1<br />
2013-1-20,26,,23,26,20,15,52,52,52,1014,1014,1014,3,3,3,3,3,,0.00,,,-1<br />
2013-1-21,24,20,17,16,12,9,75,54,30,1019,1017,1015,3,3,3,3,3,,0.00,,,-1<br />
2013-1-22,25,19,15,12,11,9,70,51,33,1018,1017,1015,3,3,3,3,2,,0.00,,,-1<br />
2013-1-23,26,23,22,12,12,11,40,39,38,1017,1016,1015,3,3,3,3,3,,0.00,,,-1<br />
2013-1-24,24,16,13,12,10,8,77,55,25,1017,1016,1016,3,3,3,6,5,,0.00,,,-1<br />
2013-1-25,23,14,11,9,8,8,82,54,35,1018,1016,1014,3,3,2,6,5,,0.00,,,-1<br />
2013-1-26,23,18,15,10,7,5,64,40,26,1017,1016,1014,3,3,3,6,5,,0.00,,,-1<br />
2013-1-27,19,13,12,11,9,8,74,60,50,1016,1016,1016,3,3,3,6,5,,0.00,,,-1<br />
2013-1-28,24,21,21,12,12,12,48,47,46,1015,1013,1012,3,2,2,0,0,,0.00,,,-1<br />
2013-1-29,22,17,17,11,9,8,61,45,29,1015,1014,1014,3,3,3,6,5,,0.00,,,-1<br />
2013-1-30,26,19,14,10,8,6,67,38,20,1016,1015,1013,3,3,2,3,2,,0.00,,,-1<br />
2013-1-31,27,20,14,13,10,7,73,46,20,1016,1015,1014,3,3,3,0,0,,0.00,,,-1<br />
2013-2-1,25,18,18,13,12,11,66,48,31,1017,1016,1016,3,2,2,3,3,,0.00,,,-1<br />
2013-2-2,27,25,23,11,11,11,35,33,31,1015,1014,1012,3,3,3,0,0,,0.00,,,-1<br />
2013-2-3,28,27,24,12,11,9,35,28,21,1015,1013,1012,3,3,3,3,3,,0.00,,,-1<br />
2013-2-4,28,22,17,13,11,10,58,41,25,1016,1015,1014,3,3,3,0,0,,0.00,,,-1<br />
2013-2-5,28,16,16,15,14,14,95,64,32,1017,1016,1016,3,2,2,3,2,,0.00,,,-1<br />
2013-2-6,32,23,17,14,12,10,79,43,20,1015,1014,1011,3,3,3,3,2,,0.00,,,-1<br />
2013-2-7,30,23,18,15,14,13,63,44,30,1014,1012,1010,3,3,3,3,2,,0.00,,,-1<br />
2013-2-8,28,23,20,16,15,14,71,53,40,1013,1013,1012,3,3,3,6,5,,T,8,,-1<br />
2013-2-9,26,21,18,13,11,8,66,46,24,1016,1014,1012,3,3,3,3,3,,0.00,,,-1<br />
2013-2-10,25,25,24,10,9,8,28,26,24,1014,1013,1011,3,3,3,8,6,,0.00,,,-1<br />
2013-2-11,28,27,25,12,12,11,31,30,29,1014,1013,1011,3,3,3,3,2,,0.00,,,-1<br />
2013-2-12,29,27,26,11,11,10,27,26,26,1014,1012,1011,3,3,3,3,3,,0.00,8,,-1<br />
2013-2-13,29,24,22,14,13,10,52,38,26,1013,1011,1010,3,3,3,3,3,,0.00,,,-1<br />
2013-2-14,29,24,22,13,12,10,44,34,26,1014,1012,1010,3,3,3,3,2,,0.00,,,-1<br />
2013-2-15,28,18,18,13,11,9,66,43,20,1013,1013,1013,3,3,3,0,0,,0.00,,,-1<br />
2013-2-16,29,24,21,16,13,10,50,38,26,1012,1011,1008,3,3,3,3,2,,0.00,,,-1<br />
2013-2-17,28,22,22,17,16,14,55,50,42,1012,1011,1010,3,3,3,11,8,,7.11,8,Rain,-1<br />
2013-2-18,21,18,17,16,15,14,90,76,60,1013,1012,1011,3,3,3,3,0,,0.00,,,-1<br />
2013-2-19,17,17,14,15,14,13,88,88,87,1013,1013,1013,3,3,3,0,0,,0.00,,,-1<br />
2013-2-20,28,22,19,13,12,12,60,41,31,1014,1013,1011,3,3,3,3,3,,0.00,,,-1<br />
2013-2-21,28,18,18,14,13,12,60,49,38,1012,1012,1011,3,2,0,6,5,,0.00,,,-1<br />
2013-2-22,31,28,27,14,13,13,32,32,31,1015,1013,1011,3,3,3,6,5,,0.00,,,-1<br />
2013-2-23,31,24,19,15,14,12,63,42,26,1014,1013,1011,3,3,3,3,2,,0.00,,,-1<br />
2013-2-24,30,21,21,15,14,14,62,44,27,1013,1013,1012,3,3,3,3,3,,0.00,,,-1<br />
