
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,12,9,6,4,3,1,83,69,54,1026,1024,1023,16,16,14,32,13,35,T,2,,77<br />
2013-1-2,13,8,3,7,2,-1,85,68,50,1024,1023,1021,16,16,16,13,4,35,0.00,0,,140<br />
2013-1-3,12,7,3,6,3,1,85,73,61,1025,1023,1022,16,16,14,13,2,14,0.00,2,,126<br />
2013-1-4,13,9,4,6,3,2,82,68,54,1026,1024,1022,16,15,13,13,4,14,0.00,2,,116<br />
2013-1-5,12,8,5,9,7,2,93,85,76,1025,1021,1018,16,14,5,35,5,39,1.52,7,Rain,151<br />
2013-1-6,11,10,8,8,6,5,86,77,68,1023,1021,1017,16,16,6,39,13,42,T,7,Rain,358<br />
2013-1-7,14,9,5,9,7,4,93,83,72,1025,1023,1022,16,15,13,19,5,23,0.00,4,,312<br />
2013-1-8,13,10,6,8,7,4,92,79,66,1024,1022,1021,16,14,6,11,4,14,0.00,2,,18<br />
2013-1-9,13,9,6,9,6,2,89,75,61,1021,1019,1017,16,12,2,40,15,53,1.02,6,Rain,279<br />
2013-1-10,11,9,7,2,1,-1,70,60,50,1023,1020,1019,16,16,16,39,23,48,0.00,3,,295<br />
2013-1-11,11,9,7,4,2,-2,76,63,49,1025,1023,1021,16,16,16,39,18,47,0.00,4,,302<br />
2013-1-12,9,7,3,3,-1,-3,76,59,42,1025,1023,1021,16,16,16,21,8,24,0.00,2,,24<br />
2013-1-13,10,6,2,1,-3,-9,65,47,28,1025,1023,1022,16,16,16,32,12,39,0.00,1,,30<br />
2013-1-14,11,7,2,0,-5,-8,70,50,29,1030,1028,1024,16,16,16,37,13,42,0.00,1,,76<br />
2013-1-15,12,7,1,3,0,-3,85,60,35,1032,1031,1030,16,16,16,21,5,27,0.00,3,,353<br />
2013-1-16,11,7,2,4,1,-2,82,66,50,1031,1028,1025,16,15,11,14,3,16,0.00,0,,120<br />
