
CLST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,22,18,14,14,13,9,94,68,47,1014,1012,1009,26,14,10,24,10,,0.00,2,,168<br />
2013-1-2,21,18,15,15,13,12,88,70,48,1013,1012,1010,19,11,10,27,11,,0.00,4,,180<br />
2013-1-3,22,19,16,14,14,12,82,71,48,1015,1014,1013,26,13,10,26,11,,0.00,4,,175<br />
2013-1-4,21,19,17,15,14,13,82,70,53,1016,1014,1011,26,12,10,34,14,,0.00,5,,191<br />
2013-1-5,21,19,16,15,14,13,83,72,58,1015,1013,1011,26,14,10,29,16,,0.00,5,,191<br />
2013-1-6,21,19,16,14,13,11,82,67,40,1015,1012,1011,26,13,10,24,13,,0.00,5,,186<br />
2013-1-7,21,18,14,14,12,11,82,68,44,1013,1012,1010,26,14,10,23,10,,0.00,1,,166<br />
2013-1-8,22,18,15,15,13,12,88,73,50,1012,1011,1009,26,13,10,29,11,,0.00,1,,163<br />
2013-1-9,21,18,16,16,14,13,94,78,60,1020,1011,1009,26,12,10,24,14,,0.00,3,,195<br />
2013-1-10,22,19,17,15,14,14,88,74,54,1012,1011,1010,26,14,10,24,10,,0.00,4,,197<br />
2013-1-11,22,19,16,15,14,13,88,72,54,1013,1010,1007,26,13,10,24,10,,0.00,3,,178<br />
2013-1-12,23,21,18,15,14,13,78,66,49,1012,1010,1009,19,11,10,24,10,,0.00,5,,201<br />
2013-1-13,23,21,19,15,14,13,73,64,47,1014,1013,1012,26,13,10,23,10,,0.00,4,,198<br />
2013-1-14,23,20,16,16,14,12,83,69,52,1014,1012,1011,26,12,10,24,10,,0.00,1,,183<br />
2013-1-15,23,19,15,16,14,8,88,69,32,1013,1012,1004,26,14,10,24,10,,0.00,2,,168<br />
2013-1-16,23,20,17,19,14,13,78,64,47,1013,1012,1009,26,13,10,24,8,,0.00,2,,194<br />
2013-1-17,24,21,17,16,14,12,78,65,45,1015,1013,1012,26,13,10,26,10,,0.00,4,,162<br />
2013-1-18,23,20,17,16,16,14,83,72,54,1015,1014,1012,26,13,10,26,13,,0.00,1,,186<br />
2013-1-19,23,20,17,16,14,13,77,66,43,1016,1012,1010,26,13,10,24,10,,0.00,3,,178<br />
2013-1-20,23,21,18,16,16,14,88,72,51,1013,1011,1010,26,14,10,23,13,,0.00,4,,191<br />
2013-1-21,24,21,17,16,15,13,83,68,44,1015,1012,1010,26,15,10,26,8,,0.00,2,,188<br />
2013-1-22,24,21,17,17,15,13,88,69,44,1015,1013,1012,26,15,10,24,13,,0.00,3,,183<br />
